"PHA192904230",0,"Windy","FILENAME_TX","LINE_NUMBER_CT"
"PHA192904240",61,"Through Foxx","1929PHA.EVA.regular.comment.csv",24
"PHA192904260",3,"Low liner","1929PHA.EVA.regular.comment.csv",25
"PHA192904260",4,"Gehrig: running catch","1929PHA.EVA.regular.comment.csv",26
"PHA192904260",5,"Off Gehrig","1929PHA.EVA.regular.comment.csv",27
"PHA192904260",7,"Pennock knocked down smash with bare hand","1929PHA.EVA.regular.comment.csv",28
"PHA192904260",8,"Lazzeri knocked it down","1929PHA.EVA.regular.comment.csv",29
"PHA192904260",14,"Hard liner got away from Combs","1929PHA.EVA.regular.comment.csv",30
"PHA192904260",31,"Quinn knocked it down","1929PHA.EVA.regular.comment.csv",31
"PHA192904260",36,"Off Pennock's glove","1929PHA.EVA.regular.comment.csv",32
"PHA192904260",37,"To LF bleachers","1929PHA.EVA.regular.comment.csv",33
"PHA192904260",51,"Johnson had been working in bullpen since game started","1929PHA.EVA.regular.comment.csv",34
"PHA192904260",53,"Cochrane made a wide turn of 3B","1929PHA.EVA.regular.comment.csv",35
"PHA192904260",57,"Koenig: good 1-handed stop and throw","1929PHA.EVA.regular.comment.csv",36
"PHA192904260",58,"Into lower deck in LF","1929PHA.EVA.regular.comment.csv",37
"PHA192904270",2,"Over Foxx's raised glove","1929PHA.EVA.regular.comment.csv",38
"PHA192904270",3,"Splendid ovation when Ruth struck out","1929PHA.EVA.regular.comment.csv",39
"PHA192904270",11,"Threw over Hale","1929PHA.EVA.regular.comment.csv",40
"PHA192904270",31,"$Grabowski injured his right hand on foul tip by Foxx.  He left game suffering great pain.","1929PHA.EVA.regular.comment.csv",41
"PHA192904270",43,"Grazed his head","1929PHA.EVA.regular.comment.csv",42
"PHA192904270",47,"Over wall in dead CF; one of the longest HRs ever seen here","1929PHA.EVA.regular.comment.csv",43
"PHA192904270",49,"Hit on the foot","1929PHA.EVA.regular.comment.csv",44
"PHA192904270",51,"Slow roller","1929PHA.EVA.regular.comment.csv",45
"PHA192904270",52,"Lazzeri stole home cleanly on Earnshaw's long wind-up","1929PHA.EVA.regular.comment.csv",46
"PHA192904270",62,"Cochrane ran to the NYA bench","1929PHA.EVA.regular.comment.csv",47
"PHA192904270",67,"The ball hit 3B bag and bounded away from Koenig","1929PHA.EVA.regular.comment.csv",48
"PHA192904270",73,"Hit bleacher wall and took a long bound away from Combs","1929PHA.EVA.regular.comment.csv",49
"PHA192904270",78,"Into the upper deck in LF","1929PHA.EVA.regular.comment.csv",50
"PHA192904270",82,"Haas: amazing 1-handed running catch robbed Combs","1929PHA.EVA.regular.comment.csv",51
"PHA192904270",86,"Cochrane ran to the stands","1929PHA.EVA.regular.comment.csv",52
"PHA192904290",9,"Ruth came in fast","1929PHA.EVA.regular.comment.csv",53
"PHA192904290",15,"Through Koenig","1929PHA.EVA.regular.comment.csv",54
"PHA192904290",16,"Ruth and Durocher let the short fly fall between them","1929PHA.EVA.regular.comment.csv",55
"PHA192904290",24,"Over RF wall","1929PHA.EVA.regular.comment.csv",56
"PHA192904290",26,"Over RF wall","1929PHA.EVA.regular.comment.csv",57
"PHA192904290",35,"Lazzeri started for 2B on a short PB but changed his mind","1929PHA.EVA.regular.comment.csv",58
"PHA192904290",36,"Durocher: 1-handed catch in the sun","1929PHA.EVA.regular.comment.csv",59
"PHA192904290",39,"Rhodes made a false move toward 2B","1929PHA.EVA.regular.comment.csv",60
"PHA192904290",49,"Hit in the kidney","1929PHA.EVA.regular.comment.csv",61
"PHA192904290",58,"Swinging bunt","1929PHA.EVA.regular.comment.csv",62
"PHA192904290",72,"Bishop's 7th consecutive walk","1929PHA.EVA.regular.comment.csv",63
"PHA192904290",74,"Over Combs","1929PHA.EVA.regular.comment.csv",64
"PHA192904290",75,"Stole home in the midst of Rhodes' alarm-clock windup","1929PHA.EVA.regular.comment.csv",65
"PHA192905200",0,"$Before the game, AL president Barnard presented Mickey Cochrane with a framed diploma for winning the MVP award in 1928.","1929PHA.EVA.regular.comment.csv",66
"PHA192905200",56,"Miller fumbled","1929PHA.EVA.regular.comment.csv",67
"PHA192905200",66,"To the scoreboard in RCF","1929PHA.EVA.regular.comment.csv",68
"PHA192905220",5,"Over RF wall","1929PHA.EVA.regular.comment.csv",69
"PHA192905220",23,"Into LF upper deck","1929PHA.EVA.regular.comment.csv",70
"PHA192905220",50,"Durham replaced with 2-0 count to Haas","1929PHA.EVA.regular.comment.csv",71
"PHA192905220",52,"Into LF upper deck","1929PHA.EVA.regular.comment.csv",72
"PHA192905232",29,"Into LF stands","1929PHA.EVA.regular.comment.csv",73
"PHA192905232",40,"Over RCF wall","1929PHA.EVA.regular.comment.csv",74
"PHA192905232",56,"Cronin hesitated on the squeeze attempt","1929PHA.EVA.regular.comment.csv",75
"PHA192905240",55,"Likely bunting for a hit.","1929PHA.EVA.regular.comment.csv",76
"PHA192905250",70,"During this AB Rice sent a hit down RF line but was called foul by Ump Geisel even though it looked fair by a yard.","1929PHA.EVA.regular.comment.csv",77
"PHA192905250",98,"Over RF wall","1929PHA.EVA.regular.comment.csv",78
"PHA192905310",40,"Through 1B","1929PHA.EVA.regular.comment.csv",79
"PHA192905310",82,"Off Rommel's glove","1929PHA.EVA.regular.comment.csv",80
"PHA192905310",83,"Cochrane's throw to 1B glanced off Rice's shoulder","1929PHA.EVA.regular.comment.csv",81
"PHA192906050",12,"Kress misjudged it","1929PHA.EVA.regular.comment.csv",82
"PHA192906050",22,"Over RF fence","1929PHA.EVA.regular.comment.csv",83
"PHA192906050",29,"Off top of RF fence and into the street","1929PHA.EVA.regular.comment.csv",84
"PHA192906050",32,"Hale: good play","1929PHA.EVA.regular.comment.csv",85
"PHA192906050",54,"Over RF fence","1929PHA.EVA.regular.comment.csv",86
"PHA192906050",55,"Terrific HR into LF upper deck","1929PHA.EVA.regular.comment.csv",87
"PHA192906050",66,"McGowan: remarkable catch","1929PHA.EVA.regular.comment.csv",88
"PHA192906060",4,"Kress: good play","1929PHA.EVA.regular.comment.csv",89
"PHA192906060",26,"Into upper LF bleachers","1929PHA.EVA.regular.comment.csv",90
"PHA192906060",31,"Into LF seats","1929PHA.EVA.regular.comment.csv",91
"PHA192906060",45,"Off Hale's shin","1929PHA.EVA.regular.comment.csv",92
"PHA192906060",51,"Manush: leaping 1-hand catch","1929PHA.EVA.regular.comment.csv",93
"PHA192906060",55,"Off Shore's glove","1929PHA.EVA.regular.comment.csv",94
"PHA192906070",18,"Melillo: nice stop","1929PHA.EVA.regular.comment.csv",95
"PHA192906070",21,"Hale: nice play","1929PHA.EVA.regular.comment.csv",96
"PHA192906070",27,"Melillo stole while Quinn held ball and caused balk.","1929PHA.EVA.regular.comment.csv",97
"PHA192906070",42,"Would've been a double but runners had to hold up","1929PHA.EVA.regular.comment.csv",98
"PHA192906070",49,"Over RF fence","1929PHA.EVA.regular.comment.csv",99
"PHA192906070",50,"Into LCF seats","1929PHA.EVA.regular.comment.csv",100
"PHA192906070",62,"Haas fumbled","1929PHA.EVA.regular.comment.csv",101
"PHA192906070",82,"O'Rourke: nice stop","1929PHA.EVA.regular.comment.csv",102
"PHA192906100",12,"Off Foxx's bare hand","1929PHA.EVA.regular.comment.csv",103
"PHA192906100",18,"Off scoreboard","1929PHA.EVA.regular.comment.csv",104
"PHA192906100",58,"Dykes: smart play","1929PHA.EVA.regular.comment.csv",105
"PHA192906110",12,"Haas misjudged it","1929PHA.EVA.regular.comment.csv",106
"PHA192906110",17,"Cissell: good play","1929PHA.EVA.regular.comment.csv",107
"PHA192906110",21,"Bishop lost it in the sun","1929PHA.EVA.regular.comment.csv",108
"PHA192906110",25,"Reynolds: good running catch","1929PHA.EVA.regular.comment.csv",109
"PHA192906110",32,"Over RF wall","1929PHA.EVA.regular.comment.csv",110
"PHA192906110",38,"Muffed after hard run","1929PHA.EVA.regular.comment.csv",111
"PHA192906110",40,"Bishop: leaping stop; throw to 1B was late","1929PHA.EVA.regular.comment.csv",112
"PHA192906110",46,"Bishop: diving stop","1929PHA.EVA.regular.comment.csv",113
"PHA192906110",48,"Dykes: good pickup & throw","1929PHA.EVA.regular.comment.csv",114
"PHA192906110",51,"Hit & run through vacated SS","1929PHA.EVA.regular.comment.csv",115
"PHA192906110",59,"Into LF lower deck","1929PHA.EVA.regular.comment.csv",116
"PHA192906110",61,"Bad hop; Cissell injured a finger","1929PHA.EVA.regular.comment.csv",117
"PHA192906110",74,"Over CF wall","1929PHA.EVA.regular.comment.csv",118
"PHA192906120",7,"Hit the roof of LF stands and bounded back onto the field","1929PHA.EVA.regular.comment.csv",119
"PHA192906120",9,"Watwood lost it in the sun","1929PHA.EVA.regular.comment.csv",120
"PHA192906120",14,"Off Walberg's glove","1929PHA.EVA.regular.comment.csv",121
"PHA192906120",16,"Cissell threw the relay into the CHA dugout","1929PHA.EVA.regular.comment.csv",122
"PHA192906120",18,"Metzler dropped the liner but got the force","1929PHA.EVA.regular.comment.csv",123
"PHA192906120",25,"Metzler fumbled","1929PHA.EVA.regular.comment.csv",124
"PHA192906120",59,"Watwood fumbled","1929PHA.EVA.regular.comment.csv",125
"PHA192906130",9,"Good stop on hot grounder","1929PHA.EVA.regular.comment.csv",126
"PHA192906130",16,"Over Bishop","1929PHA.EVA.regular.comment.csv",127
"PHA192906130",34,"Fine stop","1929PHA.EVA.regular.comment.csv",128
"PHA192906130",44,"Off Tavener's glove","1929PHA.EVA.regular.comment.csv",129
"PHA192906130",55,"Over RF fence","1929PHA.EVA.regular.comment.csv",130
"PHA192906130",64,"IPHR into CF","1929PHA.EVA.regular.comment.csv",131
"PHA192906130",67,"Miller fumbled","1929PHA.EVA.regular.comment.csv",132
"PHA192906140",2,"Smashed back to Grove who was temporarily incapacitated","1929PHA.EVA.regular.comment.csv",133
"PHA192906140",3,"Hard smash caught after a long run","1929PHA.EVA.regular.comment.csv",134
"PHA192906140",11,"The pitch was 6-inches inside, but Foxx just fell away from the plate and rapped the ball down the LF line.","1929PHA.EVA.regular.comment.csv",135
"PHA192906140",12,"Miller also hit an inside pitch down LF line","1929PHA.EVA.regular.comment.csv",136
"PHA192906140",15,"Lind caught the foul with his back to plate instead of permitting Morgan to catch it.  Dykes likely would not have tried to score had Morgan caught it. Gardner threw past Fonseca on the run down.","1929PHA.EVA.regular.comment.csv",137
"PHA192906140",40,"Haas ran up the bank in front of scoreboard","1929PHA.EVA.regular.comment.csv",138
"PHA192906140",50,"Haas stole another hit","1929PHA.EVA.regular.comment.csv",139
"PHA192906140",53,"Unsure of Lind assist. Lind dropped pop fly; Averill recovered in time to force Bishop at 2B but threw wild past Gardner, who tried to catch it with his bare hand and suffered a badly sprained thumb.","1929PHA.EVA.regular.comment.csv",140
"PHA192906140",54,"Jamieson fumbled","1929PHA.EVA.regular.comment.csv",141
"PHA192906140",58,"'Tavener...has shown a marked distaste for southpaw hurling'","1929PHA.EVA.regular.comment.csv",142
"PHA192906140",62,"Great running catch","1929PHA.EVA.regular.comment.csv",143
"PHA192906150",25,"Text: 'Haas forced Bishop, Lind to Fonseca'","1929PHA.EVA.regular.comment.csv",144
"PHA192906150",32,"Off Hudlin's shins","1929PHA.EVA.regular.comment.csv",145
"PHA192906150",41,"$Game called for rain","1929PHA.EVA.regular.comment.csv",146
"PHA192906170",9,"Chicago Daily News coverage ended here.","1929PHA.EVA.regular.comment.csv",147
"PHA192906170",34,"ej,dykej101,P,hildg101,Call at 3B $3bman Dykes ejected by 3B umpire Hildebrand for arguing that Berg was out at 3rd","1929PHA.EVA.regular.comment.csv",148
"PHA192906170",53,"Over RF fence","1929PHA.EVA.regular.comment.csv",149
"PHA192906240",7,"$7 minute rain delay during Haas' AB","1929PHA.EVA.regular.comment.csv",150
"PHA192906240",69,"To the scoreboard in RCF","1929PHA.EVA.regular.comment.csv",151
"PHA192906240",72,"Reeves knocked it down","1929PHA.EVA.regular.comment.csv",152
"PHA192906240",75,"Wild throw to Boley into the dirt","1929PHA.EVA.regular.comment.csv",153
"PHA192906251",4,"Stole home as Grove was winding up","1929PHA.EVA.regular.comment.csv",154
"PHA192906251",12,"Slow roller","1929PHA.EVA.regular.comment.csv",155
"PHA192906251",65,"Into LF stands","1929PHA.EVA.regular.comment.csv",156
"PHA192906251",77,"Updated by Wayne Townsend, 12/5/02.","1929PHA.EVA.regular.comment.csv",157
"PHA192906252",22,"Over Rothrock's head","1929PHA.EVA.regular.comment.csv",158
"PHA192906252",23,"Infield hit","1929PHA.EVA.regular.comment.csv",159
"PHA192906252",26,"Miller's 26-game hitting streak set a new ML record","1929PHA.EVA.regular.comment.csv",160
"PHA192906252",32,"To the scoreboard","1929PHA.EVA.regular.comment.csv",161
"PHA192906252",54,"Over RF wall","1929PHA.EVA.regular.comment.csv",162
"PHA192906252",63,"Hit 2nd pitch into LF stands","1929PHA.EVA.regular.comment.csv",163
"PHA192906260",3,"Over RF wall","1929PHA.EVA.regular.comment.csv",164
"PHA192906260",63,"Off Dykes' glove","1929PHA.EVA.regular.comment.csv",165
"PHA192906260",77,"Haas: crashed into the bleacher wall, robbing Barrett","1929PHA.EVA.regular.comment.csv",166
"PHA192906270",7,"To the scoreboard","1929PHA.EVA.regular.comment.csv",167
"PHA192906270",27,"Into lower deck of LF bleachers","1929PHA.EVA.regular.comment.csv",168
"PHA192906270",36,"Robbed of a double on Simmons' great backhand catch at the foul line.","1929PHA.EVA.regular.comment.csv",169
"PHA192906270",43,"Hit 1st pitch into upper LF stands","1929PHA.EVA.regular.comment.csv",170
"PHA192906270",50,"28-game hitting streak for Miller","1929PHA.EVA.regular.comment.csv",171
"PHA192906270",55,"Boley just was able to knock it down in deep SS","1929PHA.EVA.regular.comment.csv",172
"PHA192906270",61,"1-handed catch","1929PHA.EVA.regular.comment.csv",173
"PHA192906270",68,"Off Durocher's glove","1929PHA.EVA.regular.comment.csv",174
"PHA192906270",74,"Updated by Wayne Townsend, 12/16/02.","1929PHA.EVA.regular.comment.csv",175
"PHA192906290",5,"High throw","1929PHA.EVA.regular.comment.csv",176
"PHA192906290",15,"Wild throw to Boley at 2B","1929PHA.EVA.regular.comment.csv",177
"PHA192906290",29,"Through SS","1929PHA.EVA.regular.comment.csv",178
"PHA192906290",43,"Over the scoreboard in RCF","1929PHA.EVA.regular.comment.csv",179
"PHA192906290",60,"Over RF fence","1929PHA.EVA.regular.comment.csv",180
"PHA192906290",61,"Down 3B line","1929PHA.EVA.regular.comment.csv",181
"PHA192906290",64,"Over Dykes' head","1929PHA.EVA.regular.comment.csv",182
"PHA192906290",71,"Slow roller down 3B line","1929PHA.EVA.regular.comment.csv",183
"PHA192906290",93,"Updated by Wayne Townsend, 12/19/02.","1929PHA.EVA.regular.comment.csv",184
"PHA192907041",0,"Jim Cronin's ML debut","1929PHA.EVA.regular.comment.csv",185
"PHA192907042",44,"Scarritt fumbled","1929PHA.EVA.regular.comment.csv",186
"PHA192907042",63,"Barrett fumbled","1929PHA.EVA.regular.comment.csv",187
"PHA192907231",32,"Into upper balcony of LF stands","1929PHA.EVA.regular.comment.csv",188
"PHA192907231",35,"Cochrane chased him and tagged him out","1929PHA.EVA.regular.comment.csv",189
"PHA192907231",46,"Beautiful 1-handed running catch near scoreboard","1929PHA.EVA.regular.comment.csv",190
"PHA192907231",53,"High bounder back of pitcher's box","1929PHA.EVA.regular.comment.csv",191
"PHA192907231",65,"Over RF wall","1929PHA.EVA.regular.comment.csv",192
"PHA192907231",71,"Off LF bleachers","1929PHA.EVA.regular.comment.csv",193
"PHA192907231",72,"Updated by Wayne Townsend, 1/23/03.","1929PHA.EVA.regular.comment.csv",194
"PHA192907232",6,"High bounder","1929PHA.EVA.regular.comment.csv",195
"PHA192907232",26,"Attempted double steal; assuming POCS since text credited Ferrell with assist.","1929PHA.EVA.regular.comment.csv",196
"PHA192907232",39,"1-handed catch in deep CF","1929PHA.EVA.regular.comment.csv",197
"PHA192907232",50,"Dykes knocked down drive over 3B","1929PHA.EVA.regular.comment.csv",198
"PHA192907232",61,"Roller hit 1B bag","1929PHA.EVA.regular.comment.csv",199
"PHA192907232",67,"Great running catch","1929PHA.EVA.regular.comment.csv",200
"PHA192907232",68,"Completely over the top of LF bleachers.  It was the longest hit this season made in Shibe Park.","1929PHA.EVA.regular.comment.csv",201
"PHA192907232",79,"Texas Leaguer","1929PHA.EVA.regular.comment.csv",202
"PHA192907240",10,"Great running catch","1929PHA.EVA.regular.comment.csv",203
"PHA192907240",11,"Great stop","1929PHA.EVA.regular.comment.csv",204
"PHA192907240",25,"Into upper deck of LF stands","1929PHA.EVA.regular.comment.csv",205
"PHA192907240",30,"CPD: S6","1929PHA.EVA.regular.comment.csv",206
"PHA192907240",39,"Shaute complained of the heat and left the mound","1929PHA.EVA.regular.comment.csv",207
"PHA192907240",41,"Attempted double steal","1929PHA.EVA.regular.comment.csv",208
"PHA192907240",42,"CPD: 63","1929PHA.EVA.regular.comment.csv",209
"PHA192907240",60,"Into upper balcony of LF stands","1929PHA.EVA.regular.comment.csv",210
"PHA192907240",61,"Off Harder's glove through the box","1929PHA.EVA.regular.comment.csv",211
"PHA192907240",63,"Off J.Sewell's glove over 3B","1929PHA.EVA.regular.comment.csv",212
"PHA192907250",11,"Over RCF wall near scoreboard","1929PHA.EVA.regular.comment.csv",213
"PHA192907250",14,"Off Miljus' glove","1929PHA.EVA.regular.comment.csv",214
"PHA192907250",15,"Triple steal while Miljus was winding up","1929PHA.EVA.regular.comment.csv",215
"PHA192907250",18,"Took a long hop over Averill and rolled to the wall","1929PHA.EVA.regular.comment.csv",216
"PHA192907250",19,"$During Cochrane's AB, the umpires called time on account of a heavy downpour.  Time was called at 3:50pm; play resumed at 4:25pm.  The sun came out and the rest of the game was played under ideal conditions except for softened grounds.","1929PHA.EVA.regular.comment.csv",217
"PHA192907250",30,"Morgan fumbled","1929PHA.EVA.regular.comment.csv",218
"PHA192907250",37,"To the scoredboard","1929PHA.EVA.regular.comment.csv",219
"PHA192907250",38,"Smashed off J.Sewell's glove","1929PHA.EVA.regular.comment.csv",220
"PHA192907250",40,"Into upper deck in LF","1929PHA.EVA.regular.comment.csv",221
"PHA192907250",51,"Zinn threw to 2B but Grove was safe","1929PHA.EVA.regular.comment.csv",222
"PHA192907250",62,"Over RF fence","1929PHA.EVA.regular.comment.csv",223
"PHA192907250",68,"Off Hale's knees","1929PHA.EVA.regular.comment.csv",224
"PHA192907250",82,"Over 3B","1929PHA.EVA.regular.comment.csv",225
"PHA192907260",7,"Off Cissell's shins","1929PHA.EVA.regular.comment.csv",226
"PHA192907260",12,"High throw","1929PHA.EVA.regular.comment.csv",227
"PHA192907260",16,"Great running catch","1929PHA.EVA.regular.comment.csv",228
"PHA192907260",24,"Haas overran 2B","1929PHA.EVA.regular.comment.csv",229
"PHA192907260",40,"Wonderful running catch","1929PHA.EVA.regular.comment.csv",230
"PHA192907260",53,"Into LF bleachers","1929PHA.EVA.regular.comment.csv",231
"PHA192907270",21,"Great 1-hand catch of steaming drive","1929PHA.EVA.regular.comment.csv",232
"PHA192907270",29,"Off Cissell's glove in deep SS","1929PHA.EVA.regular.comment.csv",233
"PHA192907270",39,"Fast play","1929PHA.EVA.regular.comment.csv",234
"PHA192907270",63,"Into upper tier of LF bleachers","1929PHA.EVA.regular.comment.csv",235
"PHA192907290",0,"Weather: terrific heat affected the players of both teams","1929PHA.EVA.regular.comment.csv",236
"PHA192907290",2,"Off Earnshaw's glove to Bishop","1929PHA.EVA.regular.comment.csv",237
"PHA192907290",18,"Against scoreboard in RCF","1929PHA.EVA.regular.comment.csv",238
"PHA192907290",31,"Through second","1929PHA.EVA.regular.comment.csv",239
"PHA192907290",52,"Slow grounder","1929PHA.EVA.regular.comment.csv",240
"PHA192907290",82,"Past second","1929PHA.EVA.regular.comment.csv",241
"PHA192907290",87,"Not sure if Lyons should get credit for a save (5 runs allowed but just 2 earned) in 4 IP. Updated by Wayne Townsend, 1/31/03.","1929PHA.EVA.regular.comment.csv",242
"PHA192907300",3,"Cochrane tagged him out","1929PHA.EVA.regular.comment.csv",243
"PHA192907300",6,"Slow roller","1929PHA.EVA.regular.comment.csv",244
"PHA192907300",11,"Through SS","1929PHA.EVA.regular.comment.csv",245
"PHA192907300",14,"Came in fast","1929PHA.EVA.regular.comment.csv",246
"PHA192907300",15,"Nice stop behind 2B","1929PHA.EVA.regular.comment.csv",247
"PHA192907300",28,"Over LF grandstand roof; 3rd time this had been done (twice in '29, once in '28).","1929PHA.EVA.regular.comment.csv",248
"PHA192907300",32,"Fine stop of fast grounder","1929PHA.EVA.regular.comment.csv",249
"PHA192907300",40,"Hot liner","1929PHA.EVA.regular.comment.csv",250
"PHA192907300",41,"Fine running 1-handed stop of hard grounder","1929PHA.EVA.regular.comment.csv",251
"PHA192907300",42,"Ran all the way to CF grandstand","1929PHA.EVA.regular.comment.csv",252
"PHA192907300",48,"Simmons stumbled twice but caught it while laying on ground","1929PHA.EVA.regular.comment.csv",253
"PHA192907300",68,"Into upper LF stands","1929PHA.EVA.regular.comment.csv",254
"PHA192907300",83,"Updated by Wayne Townsend, 2/4/03.","1929PHA.EVA.regular.comment.csv",255
"PHA192907310",9,"Gehringer tagged Haas","1929PHA.EVA.regular.comment.csv",256
"PHA192907310",19,"Over RF wall","1929PHA.EVA.regular.comment.csv",257
"PHA192907310",37,"Hard sprint by Dykes","1929PHA.EVA.regular.comment.csv",258
"PHA192907310",39,"Off Gehringer's shin","1929PHA.EVA.regular.comment.csv",259
"PHA192907310",51,"Fine running catch","1929PHA.EVA.regular.comment.csv",260
"PHA192907310",55,"Great 1-hand catch","1929PHA.EVA.regular.comment.csv",261
"PHA192907310",64,"Off Walberg's glove","1929PHA.EVA.regular.comment.csv",262
"PHA192908010",8,"Hargrave let it roll, thinking it would go foul","1929PHA.EVA.regular.comment.csv",263
"PHA192908010",32,"McManus muffed pop, but Hargrave recovered in time","1929PHA.EVA.regular.comment.csv",264
"PHA192908020",7,"Into upper LF stands","1929PHA.EVA.regular.comment.csv",265
"PHA192908020",18,"Over RCF fence","1929PHA.EVA.regular.comment.csv",266
"PHA192908020",24,"Dykes was suffering from a charley horse","1929PHA.EVA.regular.comment.csv",267
"PHA192908020",32,"assuming 1-2","1929PHA.EVA.regular.comment.csv",268
"PHA192908020",38,"Assuming timing; may have occurred during Hale's AB","1929PHA.EVA.regular.comment.csv",269
"PHA192908020",47,"Gehringer 'messed up' the grounder","1929PHA.EVA.regular.comment.csv",270
"PHA192908020",61,"Over LF roof of the grand stand","1929PHA.EVA.regular.comment.csv",271
"PHA192908020",66,"To the RCF scoreboard","1929PHA.EVA.regular.comment.csv",272
"PHA192908020",81,"Attempted double steal","1929PHA.EVA.regular.comment.csv",273
"PHA192908020",91,"Over RF wall","1929PHA.EVA.regular.comment.csv",274
"PHA192908020",94,"Updated by Wayne Townsend, 2/10/03.","1929PHA.EVA.regular.comment.csv",275
"PHA192908030",11,"Hale/Foxx: spectacular play at both ends","1929PHA.EVA.regular.comment.csv",276
"PHA192908030",19,"Yerkes replaced with 1-0 count. It was raining hard at this point.","1929PHA.EVA.regular.comment.csv",277
"PHA192908030",27,"It was still raining hard","1929PHA.EVA.regular.comment.csv",278
"PHA192908030",29,"Cochrane: running catch at the railing","1929PHA.EVA.regular.comment.csv",279
"PHA192908030",42,"Cochrane: brilliant catch","1929PHA.EVA.regular.comment.csv",280
"PHA192908030",54,"Deflected by Quinn","1929PHA.EVA.regular.comment.csv",281
"PHA192908030",58,"Just out of Manush's reach","1929PHA.EVA.regular.comment.csv",282
"PHA192908030",59,"Close play","1929PHA.EVA.regular.comment.csv",283
"PHA192908030",60,"Over RF fence into 20th Street","1929PHA.EVA.regular.comment.csv",284
"PHA192908030",66,"Too hot for Bishop","1929PHA.EVA.regular.comment.csv",285
"PHA192908030",70,"Into CF upper deck","1929PHA.EVA.regular.comment.csv",286
"PHA192908030",73,"Rain falling more heavily than ever","1929PHA.EVA.regular.comment.csv",287
"PHA192908030",80,"Melillo: great catch","1929PHA.EVA.regular.comment.csv",288
"PHA192908030",82,"$Game called due to rain; second game of scheduled double- header was postponed.","1929PHA.EVA.regular.comment.csv",289
"PHA192908051",4,"Delayed steal","1929PHA.EVA.regular.comment.csv",290
"PHA192908051",9,"Pop fell safe among many infielders","1929PHA.EVA.regular.comment.csv",291
"PHA192908051",13,"Miller fumbled","1929PHA.EVA.regular.comment.csv",292
"PHA192908051",34,"Ferrell: nice catch","1929PHA.EVA.regular.comment.csv",293
"PHA192908051",43,"McNeely: great catch","1929PHA.EVA.regular.comment.csv",294
"PHA192908051",53,"Haas: great running catch","1929PHA.EVA.regular.comment.csv",295
"PHA192908051",58,"High bounder","1929PHA.EVA.regular.comment.csv",296
"PHA192908051",65,"Into LF upper deck","1929PHA.EVA.regular.comment.csv",297
"PHA192908051",79,"High bounder","1929PHA.EVA.regular.comment.csv",298
"PHA192908052",9,"Over RF wall","1929PHA.EVA.regular.comment.csv",299
"PHA192908052",13,"Simmons: startling catch","1929PHA.EVA.regular.comment.csv",300
"PHA192908052",48,"Knocked down smash","1929PHA.EVA.regular.comment.csv",301
"PHA192908052",61,"High bounder","1929PHA.EVA.regular.comment.csv",302
"PHA192908052",62,"Off Groves' glove","1929PHA.EVA.regular.comment.csv",303
"PHA192908052",75,"SLPD: 3/P","1929PHA.EVA.regular.comment.csv",304
"PHA192908052",85,"Over RF fence","1929PHA.EVA.regular.comment.csv",305
"PHA192908052",103,"SLPD: 54/SH.1-2","1929PHA.EVA.regular.comment.csv",306
"PHA192908061",9,"Into LF stands","1929PHA.EVA.regular.comment.csv",307
"PHA192908061",12,"Cronin: good play","1929PHA.EVA.regular.comment.csv",308
