"PIT201504140",55,"ej,hurdc001,M,rackd901,Balls and strikes Pirates Manager Clint Hurdle ejected by HP umpire David Rackley","FILENAME_TX","LINE_NUMBER_CT"
"PIT201505060",61,"$Gregory Polanco was called for interference when he was struck by the throw to 1B while running in fair territory","2015PIT.EVN.regular.comment.csv",12
"PIT201505090",25,"Pirates left fielder Starling Marte left the game due to an injured head","2015PIT.EVN.regular.comment.csv",13
"PIT201505190",55,"replay,6,harrj002,PIT,kellj901,PIT08,O,Y,U,,H $Josh Harrison's fly to RF struck near the top of the wall and was ruled a home run; crew chief Jeff Kellogg requested a review, which overturned the call to in play","2015PIT.EVN.regular.comment.csv",14
"PIT201505200",80,"$Starling Marte called for interference with the catcher's throw","2015PIT.EVN.regular.comment.csv",15
"PIT201505220",14,"$originally scored as single, changed to error on 06-01-2015, removing RBI and making both runs in inning unearned","2015PIT.EVN.regular.comment.csv",16
"PIT201505230",46,"replay,6,dudal001,NYN,wintm901,PIT08,,Y,M,PIT,I $when Curtis Granderson advanced to 2B on strike 3, Pirates manager Clint Hurdle challenged the ruling; the pitch struck Lucas Duda on the left ankle and so was a dead ball; Duda was out but Granderson had to return to 1B","2015PIT.EVN.regular.comment.csv",17
"PIT201505230",62,"replay,8,tejar001,NYN,wintm901,PIT08,I,N,U,,H $Ruben Tejada's fly to LF was caught by a fan in the first row and Sean Rodriguez lost his glove in the seats; the ball was ruled a homer but crew chief Mike Winters requested a review; the call was upheld by replay, saying the ball was over the wall and there was no fan interference","2015PIT.EVN.regular.comment.csv",18
"PIT201505240",17,"$originally scored as defensive indifference, changed to stolen base on 05-25-2015","2015PIT.EVN.regular.comment.csv",19
"PIT201505250",48,"replay,6,alvap001,PIT,westj901,PIT08,I,N,U,,H $Pedro Alvarez' fly to CF landed in the first row of seats and was caught by a fan who might have reached over the fence; the play was ruled a home run but crew chief Joe West requested a review, which upheld the call","2015PIT.EVN.regular.comment.csv",20
"PIT201506080",10,"replay,2,seguj002,MIL,culbf901,PIT08,,Y,M,PIT,C $when Jean Segura was called safe at 1B, Pirates manager Clint Hurdle challenged the ruling; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",21
"PIT201506090",58,"replay,8,lucrj001,MIL,culbf901,PIT08,,Y,M,PIT,C $when Jonathan Lucroy was called safe at 1B, Pirates manager Clint Hurdle challenged the ruling; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",22
"PIT201506120",24,"replay,3,lockj001,PIT,nelsj901,PIT08,,N,M,PHI,C $when Jordy Mercer was called safe at 2B, Phillies manager Ryne Sandberg challenged the ruling; the call was upheld by replay","2015PIT.EVN.regular.comment.csv",23
"PIT201506130",55,"replay,6,mccua001,PIT,nelsj901,PIT08,,Y,M,PHI,A $when Starling Marte was called safe at 2B, Phillies manager Ryne Sandberg challenged the ruling; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",24
"PIT201506140",64,"replay,9,utlec001,PHI,nelsj901,PIT08,,N,M,PHI,O $when Chase Utley's line drive to LF was ruled a foul ball, Phillies manager Ryne Sandberg challenged the ruling; the call was upheld by replay","2015PIT.EVN.regular.comment.csv",25
"PIT201506140",70,"ej,hurdc001,M,blasc901,Balls and strikes $Pirates manager Hurdle ejected by HP umpire Blaser for arguing balls and strikes","2015PIT.EVN.regular.comment.csv",26
"PIT201506150",61,"replay,7,rodrs002,PIT,hallt901,PIT08,,N,M,CHA,C $when Sean Rodriguez was called safe at 1B, White Sox manager Robin Ventura challenged the ruling; the call was upheld by replay","2015PIT.EVN.regular.comment.csv",27
"PIT201506230",5,"replay,1,byrdm001,CIN,barrt901,PIT08,,Y,M,PIT,C $when Joey Votto was called safe at HP, Pirates manager Clint Hurdle challenged the ruling; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",28
"PIT201506230",29,"replay,3,marts002,PIT,barrt901,PIT08,,Y,M,CIN,A $when Gregory Polanco was called safe at 2B, Reds manager Bryan Price challenged the ruling; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",29
"PIT201506230",68,"replay,6,marts002,PIT,barrt901,PIT08,,Y,M,CIN,A $when Gregory Polanco was called safe at 2B, Reds manager Bryan Price challenged the ruling; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",30
"PIT201506240",62,"replay,7,polag001,PIT,barrt901,PIT08,,N,M,CIN,A $when Gregory Polanco was called safe at 2B, Reds manager Bryan Price challenged the ruling; the call was upheld by replay","2015PIT.EVN.regular.comment.csv",31
"PIT201506250",41,"replay,5,penab002,CIN,barrt901,PIT08,,N,M,PIT,C $when Brayan Pena was called safe at 1B, Pirates manager Clint Hurdle challenged the ruling; the call was upheld by replay","2015PIT.EVN.regular.comment.csv",32
"PIT201506250",92,"replay,10,worlv001,PIT,barrt901,PIT08,,N,U,,Q $crew chief Ted Barrett requested a rules check on the play at 2B; the on-field umpires ruled that it was a neighborhood play; those types of plays are not reviewable","2015PIT.EVN.regular.comment.csv",33
"PIT201506260",43,"replay,5,marts002,PIT,hirsj901,PIT08,,Y,M,PIT,C $when Starling Marte was called out at 1B, Pirates manager Clint Hurdle challenged the ruling; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",34
"PIT201506260",67,"replay,8,polag001,PIT,hirsj901,PIT08,,N,M,PIT,C $when Gregory Polanco was called out at 1B, Pirates manager Clint Hurdle challenged the ruling; the call was upheld by replay","2015PIT.EVN.regular.comment.csv",35
"PIT201506260",74,"replay,9,walkn001,PIT,hirsj901,PIT08,,N,U,,A $Jung Ho Kang rounded 3B too far; when he was called out at 3B, crew chief John Hirschbeck requested a review; the call was upheld by replay","2015PIT.EVN.regular.comment.csv",36
"PIT201506270",4,"replay,1,piera001,ATL,hirsj901,PIT08,,N,M,ATL,P $when Nick Markakis was called out at 1B, Braves manager Fredi Gonzalez challenged the ruling; the call was upheld by replay","2015PIT.EVN.regular.comment.csv",37
"PIT201506270",7,"Pirates center fielder Andrew McCutchen left the game due to an injured elbow","2015PIT.EVN.regular.comment.csv",38
"PIT201506280",64,"$Gorkys Hernandez called for interference for running into his own bunt","2015PIT.EVN.regular.comment.csv",39
"PIT201507030",45,"replay,6,walkn001,PIT,herna901,PIT08,,N,M,PIT,C $when Neil Walker was called out at 1B, Pirates manager Clint Hurdle challenged the ruling; the call was upheld by replay","2015PIT.EVN.regular.comment.csv",40
"PIT201507050",30,"Pirates left fielder Starling Marte left the game due to an injured chest","2015PIT.EVN.regular.comment.csv",41
"PIT201507050",38,"replay,5,stewc001,PIT,carlm901,PIT08,,Y,M,PIT,C $when Chris Stewart was called out at 1B, Pirates manager Clint Hurdle challenged the ruling; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",42
"PIT201507050",55,"replay,7,harrj002,PIT,carlm901,PIT08,,N,M,CLE,C $when Josh Harrison was called safe at 1B, Indians manager Terry Francona challenged the ruling; the call was upheld by replay","2015PIT.EVN.regular.comment.csv",43
"PIT201507100",30,"replay,4,moliy001,SLN,vanol901,PIT08,,Y,M,PIT,I $when Yadier Molina was ruled to have been hit by a pitch, Pirates manager Clint Hurdle challenged the ruling; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",44
"PIT201507110",9,"ej,cervf001,P,carav901,Balls and strikes ej,hurdc001,M,carav901,Balls and strikes Pirates catcher Francisco Cervelli and Manager Clint Hurdle ejected by HP umpire Vic Carapazza; on the pitch previous to the homer, it appeared that Mark Reynolds swung and missed but it was ruled a foul ball; before the home run landed in the seats, Cervelli yelled and was ejected","2015PIT.EVN.regular.comment.csv",45
"PIT201507110",39,"replay,5,heywj001,SLN,vanol901,PIT08,,N,M,PIT,B $the Pirates appealed that Kolton Wong missed 2B on his way to 3B; when Wong was ruled to have touched the bag, Pirates acting manager Dave Jauss challenged the ruling; the call was upheld by replay","2015PIT.EVN.regular.comment.csv",46
"PIT201507110",57,"replay,7,peraj001,SLN,vanol901,PIT08,,N,U,,A $when Kolton Wong was called safe at 2B, crew chief Larry Vanover requested a review, which upheld the call","2015PIT.EVN.regular.comment.csv",47
"PIT201508040",3,"$originally scored as error, changed to single on 08-13-2015","2015PIT.EVN.regular.comment.csv",48
"PIT201508040",73,"replay,8,ishit001,PIT,nauep901,PIT08,,N,M,PIT,C $when Travis Ishikawa was called out at 1B, Pirates manager Clint Hurdle challenged the ruling; the call was upheld by replay","2015PIT.EVN.regular.comment.csv",49
"PIT201508080",2,"replay,1,kendh001,LAN,carlm901,PIT08,,Y,M,PIT,C replay,1,kendh001,LAN,carlm901,PIT08,,N,M,PIT,C $when Jimmy Rollins was called safe at 2B, Pirates manager Clint Hurdle challenged the ruling; the call was overturned by replay; the Pirates also challenged the call at 1B, which was upheld by replay","2015PIT.EVN.regular.comment.csv",50
"PIT201508080",10,"$on the second pitch, Andrew McCutchen's follow through struck catcher A.J. Ellis as Starling Marte tried to steal 2B; it was ruled unintentional and per rule 6.06(c) the runner was sent back to 1B","2015PIT.EVN.regular.comment.csv",51
"PIT201508080",31,"replay,3,latom001,LAN,carlm901,PIT08,,N,M,LAN,C $when Alex Guerrero was called out at 2B, Dodgers manager Don Mattingly challenged the ruling; the call was upheld by replay","2015PIT.EVN.regular.comment.csv",52
"PIT201508080",48,"replay,5,guera001,LAN,carlm901,PIT08,,Y,M,PIT,C $when Alex Guerrero was called safe at 1B, Pirates manager Clint Hurdle challenged the ruling; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",53
"PIT201508080",78,"replay,9,puigy001,LAN,carlm901,PIT08,,Y,M,PIT,C $when Yasiel Puig was called safe at 1B, Pirates manager Clint Hurdle challenged the ruling; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",54
"PIT201508090",41,"Dodgers second baseman Howie Kendrick left the game due to an injured leg","2015PIT.EVN.regular.comment.csv",55
"PIT201508090",59,"replay,6,walkn001,PIT,carlm901,PIT08,O,N,U,,H $Neil Walker's fly to CF struck the top of the wall and caromed back onto the field; the ball was ruled in play; acting crew chief Mark Carlson requested a review which upheld the call","2015PIT.EVN.regular.comment.csv",56
"PIT201508170",26,"replay,4,lambj001,ARI,culbf901,PIT08,O,N,U,,H $Jake Lamb's fly to CF landed in the first row and was ruled a home run; crew chief Fieldin Culbreth requested a review, which upheld the call by replay","2015PIT.EVN.regular.comment.csv",57
"PIT201508170",42,"replay,6,castw002,ARI,culbf901,PIT08,,Y,M,PIT,A $when David Peralta was called safe at 2B, Pirates manager Clint Hurdle challenged the ruling; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",58
"PIT201508180",82,"replay,9,kangj001,PIT,culbf901,PIT08,,Y,M,ARI,A $when Andrew McCutchen was called safe at 2B, D-Backs manager Chip Hale challenged the ruling; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",59
"PIT201508200",50,"replay,6,alvap001,PIT,davig901,PIT08,,Y,M,SFN,C $when Pedro Alvarez was called safe at 1B, Giants manager Bruce Bochy challenged the ruling; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",60
"PIT201508230",58,"replay,6,duffm002,SFN,davig901,PIT08,,N,M,SFN,C $when Matt Duffy was called out at 1B, Giants Bruce Bochy challenged the ruling; the call was upheld by replay","2015PIT.EVN.regular.comment.csv",61
"PIT201508230",68,"replay,7,kangj001,PIT,davig901,PIT08,,Y,U,,C $when Jung Ho Kang was called safe at 1B, crew chief Gerry Davis requested a review; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",62
"PIT201508290",49,"$Aramis Ramirez called for interference","2015PIT.EVN.regular.comment.csv",63
"PIT201508300",56,"ej,delaj001,P,nelsj901,Balls and strikes Rockies pitcher Jorge de la Rosa ejected by HP umpire Jeff Nelson while de la Rosa was being removed from the game","2015PIT.EVN.regular.comment.csv",64
"PIT201509100",75,"Pirates left fielder Starling Marte left the game due to an injured shoulder","2015PIT.EVN.regular.comment.csv",65
"PIT201509100",85,"replay,11,rogej002,MIL,culbf901,PIT08,,Y,M,PIT,A $when Ryan Braun was called safe at 2B, Pirates manager Clint Hurdle challenged the ruling; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",66
"PIT201509110",18,"$when Scooter Gennett was called safe at 2B, Pirates manager Clint Hurdle challenged the ruling; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",67
"PIT201509110",55,"$when Logan Schafer was called safe at 1B on a pickoff attempt, Pirtes manager Clint Hurdle challenged the ruling; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",68
"PIT201509120",75,"replay,9,santd002,MIL,culbf901,PIT08,,N,M,MIL,C $when Domingo Santana was called out at 1B, Brewers interim manager Craig Counsell challenged the ruling; the call was upheld by replay","2015PIT.EVN.regular.comment.csv",69
"PIT201509151",40,"$Gregory Polanco was playing near the RF line","2015PIT.EVN.regular.comment.csv",70
"PIT201509152",36,"replay,5,lestj001,CHN,joycj901,PIT08,,N,M,PIT,A $when David Ross was called safe at 3B, Pirates manager Clint Hurdle challenged the ruling; the call was upheld by replay","2015PIT.EVN.regular.comment.csv",71
"PIT201509160",68,"replay,8,harrj002,PIT,joycj901,PIT08,,N,M,PIT,P $when Pedro Florimon was called out at HP, Pirates manager Clint Hurdle challenged the ruling; the call was upheld by replay, saying the catcher did not block HP without the ball","2015PIT.EVN.regular.comment.csv",72
"PIT201509160",70,"$originally ruled not a DP, changed to DP on 09-17-2015","2015PIT.EVN.regular.comment.csv",73
"PIT201509170",4,"$Jung Ho Kang suffered a fractured leg and torn menicus on Chris Coghlan's slide into 2B; he had surgery in the evening","2015PIT.EVN.regular.comment.csv",74
"PIT201509170",56,"replay,6,russa002,CHN,joycj901,PIT08,,Y,M,PIT,A $when Anthony Rizzo was called safe at HP, Pirates manager Clint Hurdle challenged the ruling; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",75
"PIT201509280",52,"$Stephen Piscotty and Peter Bourjos collided; Piscotty was struck on the head by Bourjos' knee; Piscotty was taken off the field on a cart with a head contusion and was kept in the hospital overnight for observation","2015PIT.EVN.regular.comment.csv",76
"PIT201509302",2,"replay,1,jay-j001,SLN,cedeg901,PIT08,,Y,M,SLN,I $when Jon Jay was ruled not to have been hit by a pitch, Cardinals manager Mike Matheny challenged the ruling; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",77
"PIT201510030",60,"replay,8,frazt001,CIN,welkt901,PIT08,,N,M,CIN,A $when Brandon Phillips was called out at 1B, Reds manager Bryan Price challenged the ruling; the call was upheld by replay","2015PIT.EVN.regular.comment.csv",78
"PIT201510040",47,"replay,6,philb001,CIN,welkt901,PIT08,,N,M,CIN,A $when Brandon Phillips was called out at 2B, Reds manager Bryan Price challenged the ruling; the call was upheld by replay","2015PIT.EVN.regular.comment.csv",79
