"BAL200804020",43,"Debut game for Randor Bierd","FILENAME_TX","LINE_NUMBER_CT"
"BAL200805300",100,"$Jacoby Ellsbury called interfering with Melvin Mora","2008BAL.EVA.regular.comment.csv",20
"BAL200805310",2,"$infield shifted to right for Ortiz","2008BAL.EVA.regular.comment.csv",21
"BAL200805310",60,"$infield in for Pedroia","2008BAL.EVA.regular.comment.csv",22
"BAL200805310",63,"$Ramirez's 500th home run; the ball landed in section 94, row P (410 feet); Ramirez becomes the 24th batter to hit 500","2008BAL.EVA.regular.comment.csv",23
"BAL200805310",77,"$Ortiz hurt his left hand on a swing hitting a foul ball","2008BAL.EVA.regular.comment.csv",24
"BAL200806020",22,"ej,tremd801,M,marqa901,Balls and strikes $Orioles manager Trembley ejected by HP umpire Marquez for arguing balls and strikes; he was ejected from dugout and then came to plate to draw inner line of batter's box with finger","2008BAL.EVA.regular.comment.csv",25
"BAL200806020",46,"$Ramirez is the first player in history to hit home runs 500 through 502 in three days","2008BAL.EVA.regular.comment.csv",26
"BAL200806140",5,"$Mora fouled ball off left knee, was replaced by Salazar with 0-2 count; strikeout to Mora","2008BAL.EVA.regular.comment.csv",27
"BAL200806140",81,"$Nady chased foul ball and jammed shoulder into wall. Game delayed several minutes and he was replaced","2008BAL.EVA.regular.comment.csv",28
"BAL200806300",64,"Orioles shortstop Alex Cintron left the game due to an injured leg","2008BAL.EVA.regular.comment.csv",29
"BAL200807040",31,"Rangers pitcher Vicente Padilla left the game due to an injured hand/wrist","2008BAL.EVA.regular.comment.csv",30
"BAL200807050",46,"Rangers catcher Jarrod Saltalamacchia left the game due to an injured leg","2008BAL.EVA.regular.comment.csv",31
"BAL200807060",51,"Orioles pitcher Adam Loewen left the game due to an injured elbow","2008BAL.EVA.regular.comment.csv",32
"BAL200807060",60,"Rangers designated hitter Milton Bradley left the game due to an injured knee","2008BAL.EVA.regular.comment.csv",33
"BAL200807230",0,"Suspend=20080724,,2,1,32","2008BAL.EVA.regular.comment.csv",34
"BAL200807230",47,"suspended,20080724,BAL12,weather Game suspended for weather with 1-0 count on Rolen, completed next day","2008BAL.EVA.regular.comment.csv",35
"BAL200808090",34,"Rangers shortstop Michael Young left the game due to an injured hand/wrist","2008BAL.EVA.regular.comment.csv",36
"BAL200808090",62,"Orioles shortstop Juan Castro left the game due to an injured groin","2008BAL.EVA.regular.comment.csv",37
"BAL200808190",74,"ej,pedrd001,P,davib902,Checked swing $Dustin Pedroia argued a check swing call by 1B umpire Alfonso Marquez; after grounding out, he chirped on his way back to the dugout and was ejected by HP umpire Bob Davidson","2008BAL.EVA.regular.comment.csv",38
"BAL200808200",27,"fan interference","2008BAL.EVA.regular.comment.csv",39
"BAL200808200",28,"$Lowrie was part way to 3B when Orioles shortstop Juan Castro snuck in behind him","2008BAL.EVA.regular.comment.csv",40
"BAL200808200",33,"$The steal was really a continuation of the walk play. Mora simply kept running after the walk. The two parts are separated out here to make the software work.","2008BAL.EVA.regular.comment.csv",41
"BAL200808200",76,"Debut game for Kameron Mickolio","2008BAL.EVA.regular.comment.csv",42
"BAL200808230",22,"ej,tremd801,M,westj901,Batter abandonment $Orioles manager Trembley ejected by HP umpire West for arguing call that Mora had abandoned his attempt to reach 1st after catcher missed strike 3","2008BAL.EVA.regular.comment.csv",43
"BAL200808260",33,"White Sox center fielder Nick Swisher left the game due to an injured leg","2008BAL.EVA.regular.comment.csv",44
"BAL200809050",74,"Debut game for Omir Santos","2008BAL.EVA.regular.comment.csv",45
"BAL200809060",35,"Debut game for Alfredo Simon","2008BAL.EVA.regular.comment.csv",46
"BAL200809100",1,"Debut game for Scott Lewis","2008BAL.EVA.regular.comment.csv",47
"BAL200809131",0,"$Debut for umpire R.J. Thompson","2008BAL.EVA.regular.comment.csv",48
"BAL200809131",51,"$Twins right fielder Denard Span called for runner interference, thus causing an automatic out on batter Alexi Casilla","2008BAL.EVA.regular.comment.csv",49
"BAL200809131",85,"Debut game for Jose Mijares","2008BAL.EVA.regular.comment.csv",50
"BAL200809220",53,"fan interference","2008BAL.EVA.regular.comment.csv",51
"BAL200809260",51,"$Game called for rain","2008BAL.EVA.regular.comment.csv",52
"BAL200809270",51,"$Game called for rain","2008BAL.EVA.regular.comment.csv",53
"BAL200809280",24,"$the line drive hit the RF pole","2008BAL.EVA.regular.comment.csv",54
