"CHN201804100",8,"$Pirates challenged call that Contreras was safe at 3rd; call was overturned - out at third"FILENAME_TX","LINE_NUMBER_CT"
"CHN201808020",40,"Mound Visit"2018CHN.EVN.regular.comment.csv",149

"CHN201808020",41,"Mound Visit"2018CHN.EVN.regular.comment.csv",150

"CHN201808020",45,"$Wil Myers left with an injured foot"2018CHN.EVN.regular.comment.csv",151

"CHN201808020",63,"Mound Visit"2018CHN.EVN.regular.comment.csv",152

"CHN201808030",7,"$Padres challenged call that 4th pitch to Villanueva was a ball, claiming hit by pitch; call was upheld - ball, not hit by pitch"2018CHN.EVN.regular.comment.csv",153

"CHN201808030",24,"$Cubs challenged call that Renfroe was safe at first; call was overturned - ground out"2018CHN.EVN.regular.comment.csv",154

"CHN201808030",30,"Mound Visit"2018CHN.EVN.regular.comment.csv",155

"CHN201808030",39,"On-field Delay"2018CHN.EVN.regular.comment.csv",156

"CHN201808030",57,"Mound Visit"2018CHN.EVN.regular.comment.csv",157

"CHN201808030",57,"Mound Visit"2018CHN.EVN.regular.comment.csv",158

"CHN201808030",60,"Mound Visit"2018CHN.EVN.regular.comment.csv",159

"CHN201808030",60,"Mound Visit"2018CHN.EVN.regular.comment.csv",160

"CHN201808030",61,"Mound Visit"2018CHN.EVN.regular.comment.csv",161

"CHN201808030",70,"Mound Visit"2018CHN.EVN.regular.comment.csv",162

"CHN201808030",73,"Mound Visit"2018CHN.EVN.regular.comment.csv",163

"CHN201808040",17,"Mound Visit"2018CHN.EVN.regular.comment.csv",164

"CHN201808040",20,"Injury Delay"2018CHN.EVN.regular.comment.csv",165

"CHN201808040",42,"$Cubs challenged call that Schwarber was out at 2nd; call was overturned - double"2018CHN.EVN.regular.comment.csv",166

"CHN201808040",48,"Mound Visit"2018CHN.EVN.regular.comment.csv",167

"CHN201808040",49,"Mound Visit"2018CHN.EVN.regular.comment.csv",168

"CHN201808050",14,"Mound Visit"2018CHN.EVN.regular.comment.csv",169

"CHN201808050",42,"Mound Visit"2018CHN.EVN.regular.comment.csv",170

"CHN201808050",45,"Mound Visit"2018CHN.EVN.regular.comment.csv",171

"CHN201808050",46,"$Padres challenged call that Baez was safe at third; call was overturned - out on caught stealing"2018CHN.EVN.regular.comment.csv",172

"CHN201808050",53,"Mound Visit"2018CHN.EVN.regular.comment.csv",173

"CHN201808050",63,"Mound Visit"2018CHN.EVN.regular.comment.csv",174

"CHN201808050",79,"Mound Visit"2018CHN.EVN.regular.comment.csv",175

"CHN201808100",3,"Injury Delay"2018CHN.EVN.regular.comment.csv",176

"CHN201808100",7,"Mound Visit"2018CHN.EVN.regular.comment.csv",177

"CHN201808100",47,"Mound Visit"2018CHN.EVN.regular.comment.csv",178

"CHN201808100",48,"Mound Visit"2018CHN.EVN.regular.comment.csv",179

"CHN201808100",49,"Mound Visit"2018CHN.EVN.regular.comment.csv",180

"CHN201808100",53,"Mound Visit"2018CHN.EVN.regular.comment.csv",181

"CHN201808100",57,"Mound Visit"2018CHN.EVN.regular.comment.csv",182

"CHN201808100",58,"On-field Delay ej,maddj801,M,millb901,Arguing interference call $Chicaho manager Maddon ejected by plate umpire Miller for arguing interference call aaginst Contreras who was running inside the lane on the way to first"2018CHN.EVN.regular.comment.csv",183

"CHN201808100",60,"Mound Visit"2018CHN.EVN.regular.comment.csv",184

"CHN201808100",61,"Mound Visit"2018CHN.EVN.regular.comment.csv",185

"CHN201808100",63,"On-field Delay"2018CHN.EVN.regular.comment.csv",186

"CHN201808100",65,"Mound Visit"2018CHN.EVN.regular.comment.csv",187

"CHN201808100",75,"Mound Visit"2018CHN.EVN.regular.comment.csv",188

"CHN201808110",8,"$Nationals challenged call that Rizzo was safe at first; call was overturned - out on pickoff"2018CHN.EVN.regular.comment.csv",189

"CHN201808110",31,"Mound Visit"2018CHN.EVN.regular.comment.csv",190

"CHN201808110",34,"$Cubs challenged call that Wieters was safe at home; call was upheld - safe"2018CHN.EVN.regular.comment.csv",191

"CHN201808110",35,"Mound Visit"2018CHN.EVN.regular.comment.csv",192

"CHN201808110",36,"Mound Visit"2018CHN.EVN.regular.comment.csv",193

"CHN201808110",75,"Mound Visit"2018CHN.EVN.regular.comment.csv",194

"CHN201808110",86,"Mound Visit"2018CHN.EVN.regular.comment.csv",195

"CHN201808120",54,"Mound Visit"2018CHN.EVN.regular.comment.csv",196

"CHN201808120",55,"$Nationals challenged call that Baez was safe at first; call was overturned - ground out"2018CHN.EVN.regular.comment.csv",197

"CHN201808120",58,"Mound Visit"2018CHN.EVN.regular.comment.csv",198

"CHN201808120",60,"Mound Visit"2018CHN.EVN.regular.comment.csv",199

"CHN201808120",67,"Mound Visit"2018CHN.EVN.regular.comment.csv",200

"CHN201808140",5,"Mound Visit"2018CHN.EVN.regular.comment.csv",201

"CHN201808140",47,"On-field Delay ej,maddj801,M,cuzzp901,Arguing called third strike $Chicago manager Maddon ejected by plate umpire Cuzzi for arguing called third strike"2018CHN.EVN.regular.comment.csv",202

"CHN201808140",54,"Mound Visit"2018CHN.EVN.regular.comment.csv",203

"CHN201808140",64,"ej,zobrb001,P,cuzzp901,Continuing argument from strikeout in 6th $Ben Zobrist ejected by plate umpire Cuzzi for continuing argument over his 6th inning strikeout"2018CHN.EVN.regular.comment.csv",204

"CHN201808150",33,"Mound Visit"2018CHN.EVN.regular.comment.csv",205

"CHN201808150",42,"Mound Visit"2018CHN.EVN.regular.comment.csv",206

"CHN201808150",45,"Mound Visit"2018CHN.EVN.regular.comment.csv",207

"CHN201808150",49,"$Ryan Braun left the game with an injured chest"2018CHN.EVN.regular.comment.csv",208

"CHN201808150",59,"Mound Visit"2018CHN.EVN.regular.comment.csv",209

"CHN201808150",62,"Mound Visit Mound Visit"2018CHN.EVN.regular.comment.csv",210

"CHN201808150",63,"Injury Delay"2018CHN.EVN.regular.comment.csv",211

"CHN201808150",65,"Mound Visit"2018CHN.EVN.regular.comment.csv",212

"CHN201808150",66,"Mound Visit"2018CHN.EVN.regular.comment.csv",213

"CHN201808150",72,"Mound Visit"2018CHN.EVN.regular.comment.csv",214

"CHN201808150",73,"Mound Visit"2018CHN.EVN.regular.comment.csv",215

"CHN201808150",79,"$Cubs challenged call of double play at both bases, claiming Baez was safe at 2nd as shortstop was off second when he caught throw and that Heyward had beaten play at first; call at second was overturned but call at first was upheld - ground out, no DP"2018CHN.EVN.regular.comment.csv",216

"CHN201808230",49,"$Cubs challenged call that Suarez was safe at 1st; call was overturne - out to complete double play"2018CHN.EVN.regular.comment.csv",217

