"FLO201004130",10,"replay,2,brucj001,CIN,kellj901,MIA01,F,Y,I,,H $Jay Bruce hit a fly ball down the RF line on the second pitch that was called a fair ball and home run by 1B umpire Larry Vanover; Marlins RF Cody Ross insisted that the ball was foul so Marlins manager Fredi Gonzalez asked crew chief Jeff Kellogg to review the play; after the umpires huddled, Kellogg watched the replay and overturned the call to a foul ball","FILENAME_TX","LINE_NUMBER_CT"
"FLO201007170",43,"Marlins left fielder Chris Coghlan left the game due to an injured back","2010FLO.EVN.regular.comment.csv",20
"FLO201007210",17,"Debut game for Brad Davis","2010FLO.EVN.regular.comment.csv",21
"FLO201007210",49,"Rockies center fielder Carlos Gonzalez left the game due to an injured hand","2010FLO.EVN.regular.comment.csv",22
"FLO201007240",40,"ej,rodre001,M,fostm901,Balls and strikes Marlins Manager Edwin Rodriguez ejected by HP umpire Marty Foster","2010FLO.EVN.regular.comment.csv",23
"FLO201007250",91,"$during the post-game celebration, Chris Coghlan tore the meniscus in his left knee trying to hit Wes Helms in the face with a shaving cream pie","2010FLO.EVN.regular.comment.csv",24
"FLO201008050",89,"replay,10,franb001,PHI,tscht901,MIA01,F,N,I,,H $Ben Francisco hit the fifth pitch down the left field line; the ball curved foul by about eight feet and was called foul; Phillies manager Charlie Manuel asked about the ruling so crew chief Tim Tschida watched the replay and upheld the call","2010FLO.EVN.regular.comment.csv",25
"FLO201008300",20,"$the ball struck a message board on the facing of the upper deck and knocked out a bank of lights","2010FLO.EVN.regular.comment.csv",26
"FLO201008310",66,"$Nationals Nyjer Morgan ran through Marlins catcher Brett Hayes, who held onto the ball for the out; if Morgan had slid, he would have been safe; Hayes suffered a separated left shoulder; Morgan had run into another catcher just three days earlier; the Marlins would throw at Morgan in the next day's game","2010FLO.EVN.regular.comment.csv",27
"FLO201009010",45,"$Nyjer Morgan is hit as payback for injuring Marlins catcher Brett Hayes the previous day","2010FLO.EVN.regular.comment.csv",28
"FLO201009010",47,"$the Marlins were not happy with Morgan running after being hit with the score as one-sided as it was","2010FLO.EVN.regular.comment.csv",29
"FLO201009010",59,"Debut game for Danny Espinosa","2010FLO.EVN.regular.comment.csv",30
"FLO201009010",63,"ej,volsc001,P,hudsm901,Intentionally throwing at Nyjer Morgan ej,morgn001,P,hudsm901,Charging mound ej,rodre001,M,hudsm901,Brawl ej,veraj001,P,cousd901,Brawl $the first pitch to Nyjer Morgan was behind his back; Marlins pitcher Chris Volstad was ejected by HP umpire Marvin Hudson; Morgan charged the mound and threw a punch at Volstad; Marlins first baseman Gaby Sanchez threw a body block at Morgan with his arm up at Morgan's neck; Nationals 3B coach Pat Listach tackled Volstad; both benches emptied and there was the usual pushing and shoving; Morgan was ejected by Hudson; Marlins manager Edwin Rodriguez was ejected by Hudson; Marlins pitcher Jose Veras was ejected by 1B umpire Derryl Cousins; both teams were warned about throwing at batters","2010FLO.EVN.regular.comment.csv",31
"FLO201009010",83,"ej,slatd001,P,hudsm901,Intentional HBP ej,riggj801,M,hudsm901,Intentional HBP $Nationals pitcher Doug Slaten and manager Jim Riggleman ejected by HP umpire Marvin Hudson after HP since both teams had been warned","2010FLO.EVN.regular.comment.csv",32
"FLO201009030",55,"Debut game for Scott Cousins","2010FLO.EVN.regular.comment.csv",33
"FLO201009040",7,"ej,jonec004,P,eddid901,Balls and strikes; from bench was on DL $Braves Chipper Jones was ejected by HP umpire Doug Eddings after the sixth pitch to Hanley Ramirez was called a ball; Jones was on the disabled list but sitting in the dugout","2010FLO.EVN.regular.comment.csv",34
"FLO201009150",41,"Debut game for Brett Sinkbeil","2010FLO.EVN.regular.comment.csv",35
"FLO201009190",23,"$Welington Castillo's bat broke; Tyler Colvin was watching the ball to see where it would land and, when he realized it was going to be a hit, turned to run home; the sharp end of the bat punctured his chest on the left side near his collarbone; air entered his chest wall so he was taken to the hospital where doctors worked to prevent a collapsed lung","2010FLO.EVN.regular.comment.csv",36
"FLO201009190",88,"Debut game for Osvaldo Martinez","2010FLO.EVN.regular.comment.csv",37
"FLO201009190",89,"Debut game for Chris Hatcher","2010FLO.EVN.regular.comment.csv",38
"FLO201009200",66,"Debut game for Mark Hamilton","2010FLO.EVN.regular.comment.csv",39
"FLO201010030",25,"$Marlins Wes Helms caught the ball on the tarp as he lunged over; he fell into the gap behind the tarp and 3B umpire Angel Hernandez climbed on the tarp to see the ball and help Helms get out of the hole","2010FLO.EVN.regular.comment.csv",40
"FLO201010030",50,"ej,rodre001,M,westj901,Home run replay ruling replay,6,helmw001,FLO,westj901,MIA01,O,Y,I,,H $Wes Helms' fly hit the edge of the wall in LF at the point that it extends up and caromed back onto the field past Pirates LF Jose Tabata and into foul territory; the play was ruled a home run but when the Pirates objected crew chief Joe West watched the replay and overturned the call to a ball in play; Helms and both runners were awarded two bases each; Marlins manager Edwin Rodriguez objected to the placement of the runners and argued with West until he was ejected by West; neither team is allowed to argue a ruling based on a replay","2010FLO.EVN.regular.comment.csv",41
