"SLN201604140",25,"$Moss returned to tag at 1st, thinking the ball might be caught; Grichuk appeared to pass him, but he was not called out as 1b ump Welke apparently missed the play","FILENAME_TX","LINE_NUMBER_CT"
"SLN201606190",34,"replay,4,phamt001,SLN,westj901,STL10,,Y,M,TEX,A $when Tommy Pham was called safe at 3B, Rangers manager Jeff Banister challenged the ruling; the call was overturned by replay","2016SLN.EVN.regular.comment.csv",28
"SLN201606190",59,"replay,7,carpm002,SLN,westj901,STL10,,N,U,,Q replay,7,carpm002,SLN,westj901,STL10,,N,M,SLN,A $when Matt Carpenter was called out at 2B, Cardinals manager Mike Matheny challenged the ruling; the umpires huddled and then crew chief Joe West requested a clarification on the rules; the call was then reviewed and upheld by replay","2016SLN.EVN.regular.comment.csv",29
"SLN201606190",66,"replay,8,andre001,TEX,westj901,STL10,,Y,M,TEX,C $when Mitch Moreland was called out at 2B, Rangers manager Jeff Banister challenged the ruling; the call was overturned by replay","2016SLN.EVN.regular.comment.csv",30
"SLN201606290",59,"replay,7,garcg002,SLN,everm901,STL10,,Y,M,KCA,I $when Greg Garcia was ruled to have been hit by a pitch, Royals manager Ned Yost challenged the ruling; the call was overturned by replay","2016SLN.EVN.regular.comment.csv",31
"SLN201606290",75,"replay,9,hosme001,KCA,everm901,STL10,,N,M,KCA,I $when Eric Hosmer was ruled not to have been hit by a pitch, Royals manager Ned Yost challenged the ruling; the call was upheld by replay","2016SLN.EVN.regular.comment.csv",32
"SLN201606290",106,"replay,12,escoa003,KCA,everm901,STL10,,N,M,SLN,O $Alcides Escobar's fly down the RF line was touched near the line by Stephen Piscotty, who thought it was foul; the ball was ruled fair, so Cardinals manager Mike Matheny challenged the ruling; the call was upheld by replay","2016SLN.EVN.regular.comment.csv",33
"SLN201606300",48,"ej,mathm001,M,everm901,Replay ruling replay,6,peres002,KCA,everm901,STL10,,Y,M,KCA,C $when Salvador Perez was called out at 1B, Royals manager Ned Yost challenged the ruling; the call was overturned by replay; Cardinals Manager Mike Matheny ejected by HP umpire Mike Everitt","2016SLN.EVN.regular.comment.csv",34
"SLN201607020",21,"replay,3,braur002,MIL,mealj901,STL10,,Y,M,SLN,C $when Ryan Braun was called safe at 1B, Cardinals manager Mike Matheny challenged the ruling; the was overturned by replay","2016SLN.EVN.regular.comment.csv",35
"SLN201607020",29,"$originally scored as error, changed to single on 07-05-2016, making run earned","2016SLN.EVN.regular.comment.csv",36
"SLN201607020",44,"replay,5,moliy001,SLN,mealj901,STL10,,N,M,SLN,C $when Brandon Moss was called out at 2B, Cardinals manager Mike Matheny challenged the ruling; the call was upheld by replay","2016SLN.EVN.regular.comment.csv",37
"SLN201607040",50,"$originally scored as error, changed to single on 07-05-2016","2016SLN.EVN.regular.comment.csv",38
"SLN201607050",4,"replay,1,marts002,PIT,scotd901,STL10,,Y,M,SLN,A $when Andrew McCutchen was called safe at 1B, Cardinals manager Mike Matheny challenged the ruling; the call was overturned by replay","2016SLN.EVN.regular.comment.csv",39
"SLN201607050",40,"replay,5,joycm001,PIT,scotd901,STL10,,Y,M,PIT,C $when Matthew Joyce was called out at 1B, Pirates manager Clint Hurdle challenged the ruling; the call was overturned by replay","2016SLN.EVN.regular.comment.csv",40
"SLN201607060",20,"Cardinals third baseman Matt Carpenter left the game due to an injured side","2016SLN.EVN.regular.comment.csv",41
"SLN201607060",34,"replay,4,wongk001,SLN,scotd901,STL10,,Y,M,SLN,C $when Kolten Wong was called out at 1B, Cardinals manager Mike Matheny challenged the ruling; the call was overturned by replay","2016SLN.EVN.regular.comment.csv",42
"SLN201607070",46,"replay,6,piscs001,SLN,scotd901,STL10,O,Y,U,,H $Stephen Piscotty's fly to RF landed in the flowers behind the wall and caromed back onto the field; the ball was ruled in play and Piscotty reached 2B; crew chief Dale Scott requested a review, which overturned the call to a home run","2016SLN.EVN.regular.comment.csv",43
"SLN201607150",8,"umpchange,1,umphome,joycj901 umpchange,1,ump1b,fagac901 umpchange,1,ump2b,(None) HP Umpire Chad Fairchild was struck on the right elbow by a foul ball; 1B Umpire Jim Joyce moved to HP; 2B umpire Clint Fagan moved to 1B","2016SLN.EVN.regular.comment.csv",44
"SLN201607170",17,"replay,3,suzui001,MIA,joycj901,STL10,,Y,M,SLN,C $when Ichiro Suzuki was called safe at 1B, Cardinals manager Mike Matheny challenged the ruling; the was overturned by replay","2016SLN.EVN.regular.comment.csv",45
"SLN201607180",17,"replay,2,garcg002,SLN,vanol901,STL10,,N,M,SDN,E replay,2,garcg002,SLN,vanol901,STL10,,Y,M,SDN,C $when Alexei Ramirez made a bad throw to 1B and Greg Garcia was called safe at 1B, Padres manager Andy Green challenged the slide at 2B and the call at 1B; the slide was ruled legal but the call at 1B was overturned by replay","2016SLN.EVN.regular.comment.csv",46
"SLN201607180",59,"$Alexei Ramirez' hit down the LF line was touched by a fan who reached over the wall for interference","2016SLN.EVN.regular.comment.csv",47
"SLN201607220",60,"replay,7,gricr001,SLN,demud901,STL10,,N,M,LAN,C $when Randal Grichuk was caled safe at 1B, Dodgers manager Dave Roberts challanged the ruling; the call was upheld by replay","2016SLN.EVN.regular.comment.csv",48
"SLN201607220",114,"replay,15,barna001,LAN,demud901,STL10,,N,M,SLN,A $Austin Barnes was called safe at 2B, Cardinals manager Mike Matheny challenged the ruling; the call was upheld by replay","2016SLN.EVN.regular.comment.csv",49
"SLN201607230",47,"replay,6,rosaa002,SLN,demud901,STL10,,N,M,SLN,A $when Alberto Rosario was called safe at 2B, Dodgers manager Dave Roberts challenged the ruling; the call was upheld by replay","2016SLN.EVN.regular.comment.csv",50
"SLN201608060",2,"replay,1,aybae001,ATL,laynj901,STL10,,Y,M,ATL,C $when Ender Inciarte was called out at 2B, Braves intermin manager Brian Snitker challenged the ruling; the call was overturned by replay","2016SLN.EVN.regular.comment.csv",51
"SLN201608060",68,"Cardinals catcher Yadier Molina left the game due to an injured hand","2016SLN.EVN.regular.comment.csv",52
"SLN201608060",71,"replay,8,phamt001,SLN,laynj901,STL10,,N,M,SLN,C $when Tommy Pham was called out at 1B, Cardinals manager Mike Matheny challenged the ruling; the call was upheld by replay","2016SLN.EVN.regular.comment.csv",53
"SLN201608080",19,"replay,2,duvaa001,CIN,barrt901,STL10,F,N,U,,H $Adam Duvall's fly down the LF line went just to the outside of the pole; the ball was ruled foul; crew chief Ted Barrett requested a review, which upheld the call","2016SLN.EVN.regular.comment.csv",54
"SLN201608080",39,"replay,4,peraj001,SLN,barrt901,STL10,,N,M,CIN,A $when Yadier Molina was called safe at 3B, Reds manager Bryan Price challenged the ruling; the call was upheld by replay","2016SLN.EVN.regular.comment.csv",55
"SLN201608090",29,"replay,3,piscs001,SLN,barrt901,STL10,,N,M,SLN,A $when Matt Carpenter was called out at 3B, Cardinals manager Mike Matheny challenged the ruling; the call was upheld by replay","2016SLN.EVN.regular.comment.csv",56
"SLN201608100",18,"replay,3,hamib001,CIN,barrt901,STL10,,N,M,CIN,C $when Anthony DeSclafani was called out at 2B, Reds manager Bryan Price challenged the ruling; the call was upheld by replay","2016SLN.EVN.regular.comment.csv",57
"SLN201608100",58,"$a fan reached over the wall in foul territory and touched the ball for interference","2016SLN.EVN.regular.comment.csv",58
"SLN201608230",11,"Mets pitcher Jonathon Niese left the game due to an injured knee","2016SLN.EVN.regular.comment.csv",59
"SLN201608240",9,"Mets right fielder Jay Bruce left the game due to an injured leg","2016SLN.EVN.regular.comment.csv",60
"SLN201608250",37,"replay,5,lonej001,NYN,wintm901,STL10,,N,M,SLN,A $when Yoenis Cespedes was called safe at 3B, Cardinals manager Mike Matheny challenged the ruling; Adam Wainwright's glove seemed to be in place to tag Cespedes but came off Wainwright's hand; the call was upheld by replay","2016SLN.EVN.regular.comment.csv",61
"SLN201608250",48,"Mets pitcher Seth Lugo left the game due to an injured leg","2016SLN.EVN.regular.comment.csv",62
"SLN201608250",54,"$a fan reached over the wall in RF foul territory and touched the ball for interference","2016SLN.EVN.regular.comment.csv",63
"SLN201609080",16,"replay,2,wongk001,SLN,davig901,STL10,,Y,M,MIL,A $when Randal Grichuk was called safe at 2B, Brewers manager Craig Counsell challenged the ruling; the call was overturned by replay","2016SLN.EVN.regular.comment.csv",64
"SLN201609080",20,"$Jonathan Villar was called for interference for running into his own bunt","2016SLN.EVN.regular.comment.csv",65
"SLN201609080",41,"$a balk was called on Junior Guerra but Kolten Wong swung at the live ball for a 2-run homer","2016SLN.EVN.regular.comment.csv",66
"SLN201609080",75,"replay,8,arcio002,SLN,davig901,STL10,,Y,M,SLN,C $when Orlando Arcia was called safe at 1B, Cardinals manager Mike Matheny challenged the ruling; the call was overturned by replay","2016SLN.EVN.regular.comment.csv",67
"SLN201609100",55,"ej,pereh001,P,torrc901,Called third strike Brewers first baseman Hernan Perez ejected by HP Umpire Carlos Torres","2016SLN.EVN.regular.comment.csv",68
"SLN201609120",62,"ej,maddj801,M,westj901,Mound visit denied $Cubs Manager Joe Maddon told his catcher to go to the mound and talk to the pitcher as a stalling tactic for the bullpen; HP umpire Joe West would not allow the catcher to go to the mound; West told the catcher that it would count as a mound visit; Maddon came onto the field yelling at West; Maddon ejected by West but Maddon went to the mound and changed pitchers","2016SLN.EVN.regular.comment.csv",69
"SLN201609140",38,"replay,5,wongk001,SLN,westj901,STL10,,N,M,SLN,A $when Randal Grichuk was called out at 2B, Cardinals manager Mike Matheny challenged the ruling; the call was upheld by replay","2016SLN.EVN.regular.comment.csv",70
"SLN201609260",4,"replay,1,vottj001,CIN,millb901,STL10,,Y,M,SLN,A $when Jose Peraza was called safe at 3B, Cardinals manager Mike Matheny challenged the ruling; the call was overturned by replay","2016SLN.EVN.regular.comment.csv",71
"SLN201609260",50,"$Brandon Phillips' hit to RF was touched by a fan in foul territory for interference","2016SLN.EVN.regular.comment.csv",72
"SLN201609290",72,"replay,8,diaza003,CIN,millb901,STL10,,Y,M,CIN,C $when Aledmys Diaz was called safe at 1B, Reds manager Bryan Price challenged the ruling; the call was overturned by replay; Ivan De Jesus had been ruled to have come off the bag at 1B","2016SLN.EVN.regular.comment.csv",73
"SLN201609290",82,"$Yadier Molina's ball bounced and struck signage above and behind the LF wall; that area is out of play; the ball was ruled in play and Matt Carpenter scored the apparent game-ending run when he should have been stopped at 3B; the umpires left the field and then Reds manager Bryan Price ran after them trying to challenge the play; Price had not moved to the top step of the dugout to signal a possible challenge","2016SLN.EVN.regular.comment.csv",74
"SLN201610010",8,"replay,1,diaza003,SLN,vanol901,STL10,O,N,U,,H $Aledmys Diaz' fly to LF struck near the top of the wall off the glove of Adam Frazier; the ball caromed back onto the field and was ruled in play; crew chief Larry Vanover requested a review, which upheld the call","2016SLN.EVN.regular.comment.csv",75
"SLN201610020",47,"replay,6,hansa001,PIT,vanol901,STL10,,N,M,SLN,A $when Matt Joyce was called safe at 2B, Cardinals manager Mike Matheny challenged the ruling; the call was upheld by replay","2016SLN.EVN.regular.comment.csv",76
"SLN201610020",61,"replay,7,moliy001,SLN,vanol901,STL10,,Y,M,PIT,S $Yadier Molina's hit to LF bounced out of play and struck the railing behind the wall; the ball caromed back onto the field and was ruled in play; no Pirates player retrieved the ball but the ball dude ran onto the field to pick it up; Molina scored on the play; Pirates manager Clint Hurdle challenged the in play ruling; the call was overturned by replay to an automatic double, since the ball struck something off the field of play","2016SLN.EVN.regular.comment.csv",77
"SLN201610020",77,"$Cardinals sent Matt Holliday, who is unlikely to return, to LF where he received a standing ovation and was then replaced by Tommy Pham","2016SLN.EVN.regular.comment.csv",78
