"WS1191904230",0,"Opening day - Gen. Peyton C March threw out the first ball","FILENAME_TX","LINE_NUMBER_CT"
"WS1191907270",50,"Both runner and filder sliding to the bag","1919WS1.EVA.regular.comment.csv",57
"WS1191907270",57,"$No SH awarded","1919WS1.EVA.regular.comment.csv",58
"WS1191907270",62,"Ball hit hard ground and bounded over 3B's head","1919WS1.EVA.regular.comment.csv",59
"WS1191908020",14,"Runner on 3rd bluf a steal of home. Catcher threw to 3rd, 3rd basemane rolled ball back to pitcher and runner scored.","1919WS1.EVA.regular.comment.csv",60
"WS1191908020",18,"LF lost fly ball in sun","1919WS1.EVA.regular.comment.csv",61
"WS1191908020",21,"Bad hop","1919WS1.EVA.regular.comment.csv",62
"WS1191908020",30,"Texas leauer","1919WS1.EVA.regular.comment.csv",63
"WS1191908020",39,"Texas laguer","1919WS1.EVA.regular.comment.csv",64
"WS1191908050",0,"a lot of jawing between the teams and umpires going on tjrough out the game","1919WS1.EVA.regular.comment.csv",65
"WS1191908050",7,"Ball mis-played by LF","1919WS1.EVA.regular.comment.csv",66
"WS1191908050",35,"LF lost fly ball in sun","1919WS1.EVA.regular.comment.csv",67
"WS1191908050",54,"Nice play on slow roller","1919WS1.EVA.regular.comment.csv",68
"WS1191908050",56,"$Picinich did not initally go for the ball, he turned and asked the umpire for a new one","1919WS1.EVA.regular.comment.csv",69
"WS1191908050",64,"$Aimsmith was hit by a pitch, but umpire said he let himself get hit and dis-allowed it","1919WS1.EVA.regular.comment.csv",70
"WS1191908060",17,"Great one hand leaping stop of high bounder","1919WS1.EVA.regular.comment.csv",71
"WS1191908060",68,"Shanks dove to stop the hot grounder and while sprawled on the ground threw to 2nd","1919WS1.EVA.regular.comment.csv",72
"WS1191908090",24,"$Collins dodged a wild pitch but it struck his bat","1919WS1.EVA.regular.comment.csv",73
"WS1191908100",48,"Nice play to knock ball down behind 2nd","1919WS1.EVA.regular.comment.csv",74
"WS1191908100",54,"Very close play at the plate","1919WS1.EVA.regular.comment.csv",75
"WS1191908110",26,"$Rice and Leonard collided and the ball fell in","1919WS1.EVA.regular.comment.csv",76
"WS1191908310",2,"Bad hit and run play, runner out going to 3rd","1919WS1.EVA.regular.comment.csv",77
"WS1191908310",10,"While C argued play at plate, runners moved up a base","1919WS1.EVA.regular.comment.csv",78
"WS1191908310",15,"Infield hit","1919WS1.EVA.regular.comment.csv",79
"WS1191908310",81,"Infield hit","1919WS1.EVA.regular.comment.csv",80
"WS1191908310",82,"Infield hit","1919WS1.EVA.regular.comment.csv",81
"WS1191909060",68,"$Rice fell and turned a somersault","1919WS1.EVA.regular.comment.csv",82
