"BAL201803290",82,"$Twins challenged call that Davis was safe at 2nd, claiming he had been forced by the center fielder; call was upheld -  single"FILENAME_TX","LINE_NUMBER_CT"
"BAL201808150",58,"Mound Visit"2018BAL.EVA.regular.comment.csv",174

"BAL201808150",72,"Injury Delay"2018BAL.EVA.regular.comment.csv",175

"BAL201808240",54,"Mound Visit"2018BAL.EVA.regular.comment.csv",176

"BAL201808240",59,"Mound Visit"2018BAL.EVA.regular.comment.csv",177

"BAL201808240",62,"Mound Visit"2018BAL.EVA.regular.comment.csv",178

"BAL201808240",65,"Mound Visit"2018BAL.EVA.regular.comment.csv",179

"BAL201808240",69,"Mound Visit"2018BAL.EVA.regular.comment.csv",180

"BAL201808240",80,"Mound Visit"2018BAL.EVA.regular.comment.csv",181

"BAL201808251",20,"Mound Visit"2018BAL.EVA.regular.comment.csv",182

"BAL201808251",24,"Mound Visit"2018BAL.EVA.regular.comment.csv",183

"BAL201808251",31,"Mound Visit"2018BAL.EVA.regular.comment.csv",184

"BAL201808251",42,"Mound Visit"2018BAL.EVA.regular.comment.csv",185

"BAL201808252",58,"Mound Visit"2018BAL.EVA.regular.comment.csv",186

"BAL201808252",77,"Mound Visit"2018BAL.EVA.regular.comment.csv",187

"BAL201808252",78,"Mound Visit"2018BAL.EVA.regular.comment.csv",188

"BAL201808260",22,"Mound Visit"2018BAL.EVA.regular.comment.csv",189

"BAL201808260",26,"$Batter interference as Villar ran into his own bunt"2018BAL.EVA.regular.comment.csv",190

"BAL201808260",51,"Mound Visit"2018BAL.EVA.regular.comment.csv",191

"BAL201808260",56,"Mound Visit"2018BAL.EVA.regular.comment.csv",192

"BAL201808260",67,"Mound Visit"2018BAL.EVA.regular.comment.csv",193

"BAL201808270",22,"$Orioles challenged call that Villar was out at 1st; call was overturned - single"2018BAL.EVA.regular.comment.csv",194

"BAL201808270",34,"Mound Visit"2018BAL.EVA.regular.comment.csv",195

"BAL201808270",43,"Mound Visit"2018BAL.EVA.regular.comment.csv",196

"BAL201808270",46,"Mound Visit"2018BAL.EVA.regular.comment.csv",197

"BAL201808270",52,"Mound Visit"2018BAL.EVA.regular.comment.csv",198

"BAL201808270",63,"Mound Visit"2018BAL.EVA.regular.comment.csv",199

"BAL201808280",23,"Mound Visit"2018BAL.EVA.regular.comment.csv",200

"BAL201808280",32,"$Blue Jays challenged call that Hernandez was out at 1st to complete double play; call was overturned - force out, no DP"2018BAL.EVA.regular.comment.csv",201

"BAL201808280",33,"Mound Visit"2018BAL.EVA.regular.comment.csv",202

"BAL201808280",36,"Mound Visit"2018BAL.EVA.regular.comment.csv",203

"BAL201808280",38,"Mound Visit"2018BAL.EVA.regular.comment.csv",204

"BAL201808280",46,"Mound Visit"2018BAL.EVA.regular.comment.csv",205

"BAL201808280",67,"Mound Visit"2018BAL.EVA.regular.comment.csv",206

"BAL201808280",79,"Mound Visit"2018BAL.EVA.regular.comment.csv",207

"BAL201808290",5,"Injury Delay"2018BAL.EVA.regular.comment.csv",208

"BAL201808290",7,"$Blue Jays challenged call that Villar was safe at 3rd on double steal; call was overturned - out on caught stealing"2018BAL.EVA.regular.comment.csv",209

"BAL201808290",30,"$Umpire review ball hit by Travis; call was upheld - double, not home run"2018BAL.EVA.regular.comment.csv",210

"BAL201808290",40,"Mound Visit"2018BAL.EVA.regular.comment.csv",211

"BAL201808290",46,"Mound Visit"2018BAL.EVA.regular.comment.csv",212

"BAL201808290",48,"Mound Visit"2018BAL.EVA.regular.comment.csv",213

"BAL201808290",52,"Mound Visit"2018BAL.EVA.regular.comment.csv",214

"BAL201808290",57,"Mound Visit"2018BAL.EVA.regular.comment.csv",215

"BAL201808290",58,"Mound Visit"2018BAL.EVA.regular.comment.csv",216

"BAL201808290",66,"Mound Visit"2018BAL.EVA.regular.comment.csv",217

"BAL201808290",74,"Mound Visit"2018BAL.EVA.regular.comment.csv",218

"BAL201808290",80,"Mound Visit"2018BAL.EVA.regular.comment.csv",219

"BAL201808290",84,"Mound Visit"2018BAL.EVA.regular.comment.csv",220

"BAL201808290",87,"On-field Delay"2018BAL.EVA.regular.comment.csv",221

"BAL201808290",90,"Mound Visit"2018BAL.EVA.regular.comment.csv",222

"BAL201808290",92,"Mound Visit"2018BAL.EVA.regular.comment.csv",223

"BAL201809110",18,"Injury Delay"2018BAL.EVA.regular.comment.csv",224

"BAL201809110",21,"Mound Visit"2018BAL.EVA.regular.comment.csv",225

"BAL201809110",56,"$Athletics challenged call that Lowrie was out at 1st; call was overturned - single"2018BAL.EVA.regular.comment.csv",226

"BAL201809110",59,"Mound Visit"2018BAL.EVA.regular.comment.csv",227

"BAL201809120",18,"Mound Visit"2018BAL.EVA.regular.comment.csv",228

"BAL201809120",20,"Mound Visit"2018BAL.EVA.regular.comment.csv",229

"BAL201809120",23,"Mound Visit"2018BAL.EVA.regular.comment.csv",230

"BAL201809120",29,"Mound Visit"2018BAL.EVA.regular.comment.csv",231

"BAL201809120",77,"Mound Visit"2018BAL.EVA.regular.comment.csv",232

"BAL201809130",31,"Mound Visit Injury Delay"2018BAL.EVA.regular.comment.csv",233

"BAL201809130",32,"Mound Visit"2018BAL.EVA.regular.comment.csv",234

"BAL201809130",48,"Mound Visit"2018BAL.EVA.regular.comment.csv",235

"BAL201809130",61,"Mound Visit"2018BAL.EVA.regular.comment.csv",236

"BAL201809130",64,"Mound Visit"2018BAL.EVA.regular.comment.csv",237

"BAL201809130",70,"Mound Visit"2018BAL.EVA.regular.comment.csv",238

"BAL201809130",74,"Mound Visit"2018BAL.EVA.regular.comment.csv",239

"BAL201809140",13,"Mound Visit"2018BAL.EVA.regular.comment.csv",240

"BAL201809140",14,"Injury Delay"2018BAL.EVA.regular.comment.csv",241

"BAL201809140",39,"Injury Delay Mound Visit"2018BAL.EVA.regular.comment.csv",242

"BAL201809140",40,"Mound Visit"2018BAL.EVA.regular.comment.csv",243

"BAL201809140",48,"$White Sox challenged callof double play due to slide interference by Sanchez; call was overturne - no interfernce, so force out, not double play"2018BAL.EVA.regular.comment.csv",244

"BAL201809140",59,"Mound Visit"2018BAL.EVA.regular.comment.csv",245

"BAL201809140",60,"Mound Visit"2018BAL.EVA.regular.comment.csv",246

"BAL201809140",61,"Mound Visit"2018BAL.EVA.regular.comment.csv",247

"BAL201809140",62,"Mound Visit"2018BAL.EVA.regular.comment.csv",248

"BAL201809140",63,"Mound Visit"2018BAL.EVA.regular.comment.csv",249

"BAL201809140",68,"Mound Visit"2018BAL.EVA.regular.comment.csv",250

"BAL201809140",72,"Mound Visit"2018BAL.EVA.regular.comment.csv",251

"BAL201809150",39,"Mound Visit"2018BAL.EVA.regular.comment.csv",252

"BAL201809150",40,"Mound Visit"2018BAL.EVA.regular.comment.csv",253

"BAL201809150",51,"Mound Visit Mound Visit"2018BAL.EVA.regular.comment.csv",254

"BAL201809150",52,"Mound Visit"2018BAL.EVA.regular.comment.csv",255

"BAL201809150",59,"Mound Visit"2018BAL.EVA.regular.comment.csv",256

"BAL201809150",68,"Mound Visit"2018BAL.EVA.regular.comment.csv",257

"BAL201809160",36,"Injury Delay"2018BAL.EVA.regular.comment.csv",258

"BAL201809160",43,"Mound Visit"2018BAL.EVA.regular.comment.csv",259

"BAL201809160",46,"Mound Visit"2018BAL.EVA.regular.comment.csv",260

"BAL201809160",48,"Mound Visit"2018BAL.EVA.regular.comment.csv",261

"BAL201809160",58,"Mound Visit"2018BAL.EVA.regular.comment.csv",262

"BAL201809160",72,"Mound Visit"2018BAL.EVA.regular.comment.csv",263

"BAL201809160",75,"Injury Delay"2018BAL.EVA.regular.comment.csv",264

"BAL201809160",79,"Mound Visit"2018BAL.EVA.regular.comment.csv",265

"BAL201809170",22,"On-field Delay"2018BAL.EVA.regular.comment.csv",266

"BAL201809170",47,"Mound Visit"2018BAL.EVA.regular.comment.csv",267

"BAL201809180",27,"$Orioles challenged call that Gurriel was safe at 2nd; call was overturned - out on caught stealing"2018BAL.EVA.regular.comment.csv",268

"BAL201809180",31,"$Orioles challenged call that Mancini was out at home to complete double play; call was overturned - safe on sacrifice fly"2018BAL.EVA.regular.comment.csv",269

"BAL201809180",52,"Mound Visit"2018BAL.EVA.regular.comment.csv",270

"BAL201809180",55,"Mound Visit"2018BAL.EVA.regular.comment.csv",271

"BAL201809180",58,"Mound Visit"2018BAL.EVA.regular.comment.csv",272

"BAL201809180",61,"Mound Visit"2018BAL.EVA.regular.comment.csv",273

"BAL201809190",24,"Mound Visit"2018BAL.EVA.regular.comment.csv",274

"BAL201809190",53,"Mound Visit On-field Delay"2018BAL.EVA.regular.comment.csv",275

"BAL201809190",54,"Mound Visit"2018BAL.EVA.regular.comment.csv",276

"BAL201809190",59,"Mound Visit"2018BAL.EVA.regular.comment.csv",277

"BAL201809280",48,"Mound Visit"2018BAL.EVA.regular.comment.csv",278

"BAL201809280",56,"Mound Visit"2018BAL.EVA.regular.comment.csv",279

"BAL201809280",58,"Mound Visit"2018BAL.EVA.regular.comment.csv",280

"BAL201809280",63,"Injury Delay"2018BAL.EVA.regular.comment.csv",281

"BAL201809280",66,"Mound Visit"2018BAL.EVA.regular.comment.csv",282

"BAL201809280",69,"Mound Visit"2018BAL.EVA.regular.comment.csv",283

"BAL201809291",39,"Mound Visit"2018BAL.EVA.regular.comment.csv",284

"BAL201809291",44,"$Joseph called for runner interference - double play"2018BAL.EVA.regular.comment.csv",285

"BAL201809291",54,"Mound Visit"2018BAL.EVA.regular.comment.csv",286

"BAL201809291",60,"Mound Visit"2018BAL.EVA.regular.comment.csv",287

"BAL201809291",72,"Mound Visit"2018BAL.EVA.regular.comment.csv",288

"BAL201809292",26,"Mound Visit"2018BAL.EVA.regular.comment.csv",289

"BAL201809292",30,"Mound Visit"2018BAL.EVA.regular.comment.csv",290

"BAL201809292",56,"Mound Visit"2018BAL.EVA.regular.comment.csv",291

"BAL201809292",57,"Mound Visit"2018BAL.EVA.regular.comment.csv",292

"BAL201809292",65,"Mound Visit"2018BAL.EVA.regular.comment.csv",293

"BAL201809292",71,"Mound Visit"2018BAL.EVA.regular.comment.csv",294

"BAL201809300",13,"Mound Visit"2018BAL.EVA.regular.comment.csv",295

"BAL201809300",16,"On-field Delay"2018BAL.EVA.regular.comment.csv",296

"BAL201809300",31,"Mound Visit"2018BAL.EVA.regular.comment.csv",297

"BAL201809300",32,"Mound Visit"2018BAL.EVA.regular.comment.csv",298

"BAL201809300",48,"Mound Visit Mound Visit"2018BAL.EVA.regular.comment.csv",299

"BAL201809300",61,"Mound Visit"2018BAL.EVA.regular.comment.csv",300

"BAL201809300",62,"On-field Delay"2018BAL.EVA.regular.comment.csv",301

