"WS1192904170",0,"Cold, hard biting winds President and Mrs Hoover, VP Curtis, and other cabinet officials were spectators. Mr. Hoover threw out the first ball to Ump Moriarty who caught it 1-handed with a fast jump.","FILENAME_TX","LINE_NUMBER_CT"
"WS1192907260",63,"Slow bounder","1929WS1.EVA.regular.comment.csv",134
"WS1192907270",35,"Great diving stop","1929WS1.EVA.regular.comment.csv",135
"WS1192907270",39,"Past Judge","1929WS1.EVA.regular.comment.csv",136
"WS1192907270",42,"Slow bounder","1929WS1.EVA.regular.comment.csv",137
"WS1192907270",50,"Fine catch","1929WS1.EVA.regular.comment.csv",138
"WS1192907270",52,"Hot grounder","1929WS1.EVA.regular.comment.csv",139
"WS1192907270",62,"Gardner was declared out for interfering with Tate's effort to catch high foul bunt.","1929WS1.EVA.regular.comment.csv",140
"WS1192907270",67,"Gardner reached it but couldn't hold on.  Rice made it a two-bagger by dint of some industrious sprinting.","1929WS1.EVA.regular.comment.csv",141
"WS1192907270",69,"Averill messed up","1929WS1.EVA.regular.comment.csv",142
"WS1192907270",75,"Squeeze; Averill came tearing in with the pitch and scored standing up.","1929WS1.EVA.regular.comment.csv",143
"WS1192907270",78,"Nice running catch","1929WS1.EVA.regular.comment.csv",144
"WS1192907270",80,"Past Morgan","1929WS1.EVA.regular.comment.csv",145
"WS1192907280",4,"Hit & run","1929WS1.EVA.regular.comment.csv",146
"WS1192907280",5,"To LCF bleachers","1929WS1.EVA.regular.comment.csv",147
"WS1192907280",24,"Spectacular catch of near-triple","1929WS1.EVA.regular.comment.csv",148
"WS1192907280",29,"Neat pick-up","1929WS1.EVA.regular.comment.csv",149
"WS1192907280",33,"$Line drive hit Umpire Guthrie","1929WS1.EVA.regular.comment.csv",150
"WS1192907280",36,"Over RF wall","1929WS1.EVA.regular.comment.csv",151
"WS1192907280",37,"To CF corner","1929WS1.EVA.regular.comment.csv",152
"WS1192907280",42,"Ferrell fumbled Fonseca's toss to 1B","1929WS1.EVA.regular.comment.csv",153
"WS1192907280",55,"To LCF bleachers","1929WS1.EVA.regular.comment.csv",154
"WS1192907280",56,"High bounder over 3B","1929WS1.EVA.regular.comment.csv",155
"WS1192907280",58,"Nice catch","1929WS1.EVA.regular.comment.csv",156
"WS1192907280",62,"Neat catch","1929WS1.EVA.regular.comment.csv",157
"WS1192907280",69,"Fine pick-up of slow hopper","1929WS1.EVA.regular.comment.csv",158
"WS1192907280",71,"Delayed steal attempt","1929WS1.EVA.regular.comment.csv",159
"WS1192907280",76,"To RF corner","1929WS1.EVA.regular.comment.csv",160
"WS1192907280",82,"To LCF bleachers","1929WS1.EVA.regular.comment.csv",161
"WS1192907280",83,"Off Brown's glove","1929WS1.EVA.regular.comment.csv",162
"WS1192907280",84,"IPHR, to CF corner","1929WS1.EVA.regular.comment.csv",163
"WS1192907280",93,"Great 1-handed catch","1929WS1.EVA.regular.comment.csv",164
"WS1192907300",27,"Rice overran 3B","1929WS1.EVA.regular.comment.csv",165
"WS1192907300",41,"Hadley replaced with 3-1 count","1929WS1.EVA.regular.comment.csv",166
"WS1192907300",74,"McGowan played it poorly","1929WS1.EVA.regular.comment.csv",167
"WS1192907310",2,"Burke knocked down smash","1929WS1.EVA.regular.comment.csv",168
"WS1192907310",12,"O'Rourke: nice catch","1929WS1.EVA.regular.comment.csv",169
"WS1192907310",23,"Myer: great stop; stole a hit","1929WS1.EVA.regular.comment.csv",170
"WS1192907310",25,"Spencer's throw hit Kress 3XH(6E2/TH3) -- CHECK.EXE crashes with /TH or /TH3 code","1929WS1.EVA.regular.comment.csv",171
"WS1192907310",29,"Myer: another great stop","1929WS1.EVA.regular.comment.csv",172
"WS1192907310",51,"McNeely: running 1-hand catch","1929WS1.EVA.regular.comment.csv",173
"WS1192907310",63,"Low throw","1929WS1.EVA.regular.comment.csv",174
"WS1192907310",73,"Off Stewart's foot","1929WS1.EVA.regular.comment.csv",175
"WS1192908010",7,"Kress: good play","1929WS1.EVA.regular.comment.csv",176
"WS1192908010",43,"Melillo: great play","1929WS1.EVA.regular.comment.csv",177
"WS1192908010",60,"Deflected by Collins","1929WS1.EVA.regular.comment.csv",178
"WS1192908020",0,"500 women guests attended along with 1500 paid Manush was out after a slight attack of ptomaine poisoning","1929WS1.EVA.regular.comment.csv",179
"WS1192908020",27,"Kress: nice catch","1929WS1.EVA.regular.comment.csv",180
"WS1192908020",44,"McNeely stumbled as he was about to catch it","1929WS1.EVA.regular.comment.csv",181
"WS1192908020",45,"Beat a bad throw home","1929WS1.EVA.regular.comment.csv",182
"WS1192908020",51,"McGowan: nice catch","1929WS1.EVA.regular.comment.csv",183
"WS1192908050",3,"Off scoreboard","1929WS1.EVA.regular.comment.csv",184
"WS1192908050",7,"Hit & run","1929WS1.EVA.regular.comment.csv",185
"WS1192908050",73,"Yde replaced Prudhomme with 1-0 count to Goslin","1929WS1.EVA.regular.comment.csv",186
"WS1192908270",40,"Barrett: leaping 1-handed catch","1929WS1.EVA.regular.comment.csv",187
"WS1192908270",47,"Over RF wall","1929WS1.EVA.regular.comment.csv",188
"WS1192908270",61,"Double play grounder","1929WS1.EVA.regular.comment.csv",189
"WS1192908270",86,"Rhyne: fine leaping catch","1929WS1.EVA.regular.comment.csv",190
"WS1192908270",90,"Reeves: good stop and peg robbed MacFayden","1929WS1.EVA.regular.comment.csv",191
"WS1192909080",5,"$Half-wild pitch; Tate quickly ran it down and threw to 3B but it hit Cissell in the back and caromed into LF.","1929WS1.EVA.regular.comment.csv",192
"WS1192909080",22,"Hoffman: good catch","1929WS1.EVA.regular.comment.csv",193
"WS1192909080",26,"Hayes: good play","1929WS1.EVA.regular.comment.csv",194
"WS1192909080",40,"Hoffman: good catch","1929WS1.EVA.regular.comment.csv",195
"WS1192909080",67,"Hit high atop fence near CF scoreboard","1929WS1.EVA.regular.comment.csv",196
"WS1192909080",68,"Myer missed 2nd SH attempt as Rice strayed too far off 2B","1929WS1.EVA.regular.comment.csv",197
"WS1192909110",8,"Bounced off Hudlin's hand","1929WS1.EVA.regular.comment.csv",198
"WS1192909110",11,"1-handed catch in deep RCF","1929WS1.EVA.regular.comment.csv",199
"WS1192909110",21,"Hot smash","1929WS1.EVA.regular.comment.csv",200
"WS1192909110",24,"Averill lost it in the sun","1929WS1.EVA.regular.comment.csv",201
"WS1192909110",30,"1-handed catch","1929WS1.EVA.regular.comment.csv",202
"WS1192909110",48,"Falk fumbled","1929WS1.EVA.regular.comment.csv",203
"WS1192909110",65,"West beat Fonseca's throw to Hudlin","1929WS1.EVA.regular.comment.csv",204
"WS1192909110",66,"Hit & run","1929WS1.EVA.regular.comment.csv",205
"WS1192909110",68,"Jamieson lobbed it to J.Sewell","1929WS1.EVA.regular.comment.csv",206
"WS1192909110",69,"Sharply hit","1929WS1.EVA.regular.comment.csv",207
"WS1192909120",8,"Aided by L.Sewell's high throw","1929WS1.EVA.regular.comment.csv",208
"WS1192909120",23,"Looped over Myer's head","1929WS1.EVA.regular.comment.csv",209
"WS1192909120",38,"CPD: 'Spencer was flagged by Tavener.'","1929WS1.EVA.regular.comment.csv",210
"WS1192909120",40,"Past Hayes","1929WS1.EVA.regular.comment.csv",211
"WS1192909120",43,"Spencer was spiked on his throwing hand and was replaced","1929WS1.EVA.regular.comment.csv",212
"WS1192909120",46,"$Miller overslid second base","1929WS1.EVA.regular.comment.csv",213
"WS1192909130",12,"Off Jones' glove","1929WS1.EVA.regular.comment.csv",214
"WS1192909130",15,"Past Hodapp","1929WS1.EVA.regular.comment.csv",215
"WS1192909130",24,"Past Tavener","1929WS1.EVA.regular.comment.csv",216
"WS1192909130",29,"Good stop back of 3B","1929WS1.EVA.regular.comment.csv",217
"WS1192909130",32,"Past Tavener","1929WS1.EVA.regular.comment.csv",218
"WS1192909130",48,"$no sacrifice awarded","1929WS1.EVA.regular.comment.csv",219
"WS1192909130",61,"'Hauser ran in the field box close to Washington dugout to get Ruel's foul fly.'","1929WS1.EVA.regular.comment.csv",220
"WS1192909130",65,"Falk fumbled","1929WS1.EVA.regular.comment.csv",221
"WS1192909130",83,"Myatt is listed in the account as batting here but there's no mention of him pinch-hitting for L.Sewell.  It's possible he come in defensively earlier, or it was just an accidental omission.","1929WS1.EVA.regular.comment.csv",222
"WS1192909140",5,"Hauser deflected the smash to Hodapp","1929WS1.EVA.regular.comment.csv",223
"WS1192909140",8,"Slow roller","1929WS1.EVA.regular.comment.csv",224
"WS1192909140",10,"Cronin threw into Washington dugout","1929WS1.EVA.regular.comment.csv",225
"WS1192909140",12,"Over West's head in CF","1929WS1.EVA.regular.comment.csv",226
"WS1192909140",15,"Slow roller","1929WS1.EVA.regular.comment.csv",227
"WS1192909140",52,"Off Brown's glove 15-minute rain delay here","1929WS1.EVA.regular.comment.csv",228
"WS1192909152",49,"Close play at home","1929WS1.EVA.regular.comment.csv",229
"WS1192909152",69,"$Game called for darkness","1929WS1.EVA.regular.comment.csv",230
"WS1192909190",10,"West: good running catch","1929WS1.EVA.regular.comment.csv",231
"WS1192909190",28,"Knocked it down","1929WS1.EVA.regular.comment.csv",232
"WS1192909190",29,"Texas Leaguer","1929WS1.EVA.regular.comment.csv",233
"WS1192909190",40,"Judge: fine stop","1929WS1.EVA.regular.comment.csv",234
"WS1192909190",54,"Tagged out","1929WS1.EVA.regular.comment.csv",235
"WS1192909190",57,"Rice: 1-handed catch","1929WS1.EVA.regular.comment.csv",236
"WS1192909190",60,"Liner caromed off Blaeholder's glove to Melillo who stepped on 2B and tagged Marberry on the line.","1929WS1.EVA.regular.comment.csv",237
"WS1192909200",0,"Chilly 2000 paid plus 2000 women guests (Ladies' Day)","1929WS1.EVA.regular.comment.csv",238
"WS1192909200",22,"O'Rourke: fast play","1929WS1.EVA.regular.comment.csv",239
"WS1192909210",4,"West: spectacular catch","1929WS1.EVA.regular.comment.csv",240
"WS1192909210",19,"Past Judge","1929WS1.EVA.regular.comment.csv",241
"WS1192909210",26,"O'Rourke: fine stop of hot smash","1929WS1.EVA.regular.comment.csv",242
"WS1192909210",57,"2XH(8E4/TH3)","1929WS1.EVA.regular.comment.csv",243
"WS1192909230",19,"Past McKain","1929WS1.EVA.regular.comment.csv",244
"WS1192909230",27,"Scratch single","1929WS1.EVA.regular.comment.csv",245
"WS1192909230",59,"Scratch hit past Kerr","1929WS1.EVA.regular.comment.csv",246
"WS1192909230",62,"Scratch hit","1929WS1.EVA.regular.comment.csv",247
"WS1192909230",74,"Scratch single past 2B","1929WS1.EVA.regular.comment.csv",248
"WS1192909230",81,"Adkins' only career SB","1929WS1.EVA.regular.comment.csv",249
"WS1192909260",0,"Weather: clear and warm","1929WS1.EVA.regular.comment.csv",250
"WS1192909260",24,"West: leaping catch against the wall","1929WS1.EVA.regular.comment.csv",251
"WS1192909260",57,"ej,ruelm101,P,campb901,Balls and strikes $Ruel ejected by HP umpire Campbell for arging ball 4","1929WS1.EVA.regular.comment.csv",252
"WS1192909281",19,"Cronin cut off throw to 3B and caught Gehrig off 1B.","1929WS1.EVA.regular.comment.csv",253
"WS1192909281",21,"Nice 1-handed pickup","1929WS1.EVA.regular.comment.csv",254
"WS1192909281",23,"Durocher threw wild to Koenig at 2B","1929WS1.EVA.regular.comment.csv",255
"WS1192909281",38,"Nice pickup","1929WS1.EVA.regular.comment.csv",256
"WS1192909281",72,"Nice stop","1929WS1.EVA.regular.comment.csv",257
"WS1192909282",4,"Myer: beautiful 1-handed catch over his shoulder in short CF","1929WS1.EVA.regular.comment.csv",258
"WS1192909282",10,"High bounder","1929WS1.EVA.regular.comment.csv",259
"WS1192909282",17,"Ump Nallin ruled Marberry trapped bunt pop","1929WS1.EVA.regular.comment.csv",260
"WS1192909282",19,"Just missed a triple play","1929WS1.EVA.regular.comment.csv",261
"WS1192909282",23,"To the deepest corner in CF (left of the scoreboard)","1929WS1.EVA.regular.comment.csv",262
"WS1192909282",31,"Past Koenig","1929WS1.EVA.regular.comment.csv",263
"WS1192910060",16,"Rice: great backhand catch","1929WS1.EVA.regular.comment.csv",264
"WS1192910060",61,"Narleski: fine stop.  Land rounded 3B too far.","1929WS1.EVA.regular.comment.csv",265
