"BRO192904210",0,"Frigid weather; damp winds","FILENAME_TX","LINE_NUMBER_CT"
"BRO192905040",52,"UR?","1929BRO.EVN.regular.comment.csv",59
"BRO192905050",53,"A heavy rain began falling.","1929BRO.EVN.regular.comment.csv",60
"BRO192905060",5,"To the front of CF bleachers","1929BRO.EVN.regular.comment.csv",61
"BRO192905060",13,"Bissonette hurt his right shoulder sliding into home.  He walked to the bench after receiving first aid treatment at the plate.","1929BRO.EVN.regular.comment.csv",62
"BRO192905060",22,"Allen fumbled","1929BRO.EVN.regular.comment.csv",63
"BRO192905060",34,"Wild throw to 1B","1929BRO.EVN.regular.comment.csv",64
"BRO192905060",45,"High bounder","1929BRO.EVN.regular.comment.csv",65
"BRO192905060",50,"Attempted double steal","1929BRO.EVN.regular.comment.csv",66
"BRO192905060",58,"Over Flowers' head","1929BRO.EVN.regular.comment.csv",67
"BRO192905060",71,"Into LF stands","1929BRO.EVN.regular.comment.csv",68
"BRO192905060",73,"High throw bounced off screen in front of the boxes into Kelly's hands at 1B.  He tagged Bressler who had turned towards 2B.","1929BRO.EVN.regular.comment.csv",69
"BRO192905060",76,"Attempted double steal","1929BRO.EVN.regular.comment.csv",70
"BRO192905060",78,"Great 1-hand stop","1929BRO.EVN.regular.comment.csv",71
"BRO192905060",82,"Unsure of HR type: 'line drive against LF wall which bounced into the bleachers for a HR.'","1929BRO.EVN.regular.comment.csv",72
"BRO192905060",89,"Over RF wall","1929BRO.EVN.regular.comment.csv",73
"BRO192905070",14,"ej,mcwed101,P,rearb901,Balls and strikes $Pitcher McWeeny ejected by HP umpire Reardon for protesting the walk","1929BRO.EVN.regular.comment.csv",74
"BRO192905070",15,"Grace tried to score on a short PB","1929BRO.EVN.regular.comment.csv",75
"BRO192905070",20,"Hit & run","1929BRO.EVN.regular.comment.csv",76
"BRO192905070",27,"Over RF wall","1929BRO.EVN.regular.comment.csv",77
"BRO192905070",37,"Through Wright's legs","1929BRO.EVN.regular.comment.csv",78
"BRO192905070",40,"Flowers made a good catch of Wright's low throw","1929BRO.EVN.regular.comment.csv",79
"BRO192905070",53,"Over RF wall","1929BRO.EVN.regular.comment.csv",80
"BRO192905070",63,"Beck beat Wright's underhand throw by a step","1929BRO.EVN.regular.comment.csv",81
"BRO192905070",79,"Through Grimm's legs","1929BRO.EVN.regular.comment.csv",82
"BRO192905070",82,"Over RF wall","1929BRO.EVN.regular.comment.csv",83
"BRO192905080",0,"Bissonette was laid up with the flu and was not in uniform for the Dodgers.","1929BRO.EVN.regular.comment.csv",84
"BRO192905080",6,"Over RF wall","1929BRO.EVN.regular.comment.csv",85
"BRO192905080",26,"Bressler almost made the catch in front of the bleachers","1929BRO.EVN.regular.comment.csv",86
"BRO192905080",32,"Cuyler fumbled","1929BRO.EVN.regular.comment.csv",87
"BRO192905080",41,"High bounder off plate","1929BRO.EVN.regular.comment.csv",88
"BRO192905080",68,"The throw to 2B was late, but they got the man at 1B","1929BRO.EVN.regular.comment.csv",89
"BRO192905090",24,"Over RF wall","1929BRO.EVN.regular.comment.csv",90
"BRO192905090",33,"Hard smash bounced up and hit Hornsby in the chest","1929BRO.EVN.regular.comment.csv",91
"BRO192905090",37,"Past Elliott","1929BRO.EVN.regular.comment.csv",92
"BRO192905090",44,"High bouncer in front of plate","1929BRO.EVN.regular.comment.csv",93
"BRO192905090",51,"Hard grounder; English kicked it over to Hornsby","1929BRO.EVN.regular.comment.csv",94
"BRO192905090",52,"Bradshaw's ML debut","1929BRO.EVN.regular.comment.csv",95
"BRO192905090",63,"Short fly to CF muffed by Cullop, but got force","1929BRO.EVN.regular.comment.csv",96
"BRO192905090",66,"Cuyler overran 1B but Gilbert threw wild to Hendrick","1929BRO.EVN.regular.comment.csv",97
"BRO192905090",83,"Knocked down drive then recovered in time to beat Rajah's slide to the bag.","1929BRO.EVN.regular.comment.csv",98
"BRO192905100",38,"Through SS","1929BRO.EVN.regular.comment.csv",99
"BRO192905100",54,"Bad hop hit Hendrick's shoulder","1929BRO.EVN.regular.comment.csv",100
"BRO192905110",16,"Off Haines' glove","1929BRO.EVN.regular.comment.csv",101
"BRO192905110",18,"Hafey: great running catch","1929BRO.EVN.regular.comment.csv",102
"BRO192905110",20,"Through Herman's legs","1929BRO.EVN.regular.comment.csv",103
"BRO192905110",24,"Rhiel tagged Bottomley","1929BRO.EVN.regular.comment.csv",104
"BRO192905110",27,"Frisch misjudged the wind","1929BRO.EVN.regular.comment.csv",105
"BRO192905110",46,"Off Clark's glove to Hendrick","1929BRO.EVN.regular.comment.csv",106
"BRO192905110",64,"Through Delker's legs","1929BRO.EVN.regular.comment.csv",107
"BRO192905120",38,"$Bounced into stands.","1929BRO.EVN.regular.comment.csv",108
"BRO192905130",1,"Off Bancroft's glove","1929BRO.EVN.regular.comment.csv",109
"BRO192905130",10,"To the bleachers","1929BRO.EVN.regular.comment.csv",110
"BRO192905130",47,"Over Herman's head","1929BRO.EVN.regular.comment.csv",111
"BRO192905130",51,"It was a legitimate double off RF wall, but Gilbert stopped at 2B and Herman was retired after nearing 2B and trying to return to 1B.","1929BRO.EVN.regular.comment.csv",112
"BRO192905130",70,"High bounder over French's head","1929BRO.EVN.regular.comment.csv",113
"BRO192905150",5,"Off Grimes' glove","1929BRO.EVN.regular.comment.csv",114
"BRO192905150",6,"Grantham lost pop fly in sun","1929BRO.EVN.regular.comment.csv",115
"BRO192905150",43,"IPHR over L.Waner's head; it bounded atop a small shed near the furthest corner of the yard, then rolled out in the grass.","1929BRO.EVN.regular.comment.csv",116
"BRO192905150",54,"Over Hendrick's head","1929BRO.EVN.regular.comment.csv",117
"BRO192905150",74,"Low throw","1929BRO.EVN.regular.comment.csv",118
"BRO192905200",57,"Running catch","1929BRO.EVN.regular.comment.csv",119
"BRO192905221",11,"Good stop","1929BRO.EVN.regular.comment.csv",120
"BRO192905221",25,"Good 1-handed catch","1929BRO.EVN.regular.comment.csv",121
"BRO192905221",29,"Off Dudley's shins","1929BRO.EVN.regular.comment.csv",122
"BRO192905221",40,"Over RF wall","1929BRO.EVN.regular.comment.csv",123
"BRO192905222",6,"Roush fumbled","1929BRO.EVN.regular.comment.csv",124
"BRO192905222",81,"Through Moore's legs","1929BRO.EVN.regular.comment.csv",125
"BRO192905222",85,"Over Roush's head","1929BRO.EVN.regular.comment.csv",126
"BRO192905240",3,"Through Gilbert's legs, the ball ending up in CF","1929BRO.EVN.regular.comment.csv",127
"BRO192905240",16,"Close play","1929BRO.EVN.regular.comment.csv",128
"BRO192905240",30,"Over RF wall","1929BRO.EVN.regular.comment.csv",129
"BRO192905240",52,"Delayed double steal; the run scored prior to tag out","1929BRO.EVN.regular.comment.csv",130
"BRO192905240",62,"Off Clark's hand; he tried throwing a few practice pitches but never came close to the plate.","1929BRO.EVN.regular.comment.csv",131
"BRO192905250",5,"Poor throw by Picinich bounced and hit Moore in the face. Moore's return throw home was too late.","1929BRO.EVN.regular.comment.csv",132
"BRO192905250",23,"Over RF fence","1929BRO.EVN.regular.comment.csv",133
"BRO192905250",26,"Over RF wall","1929BRO.EVN.regular.comment.csv",134
"BRO192905250",27,"Bounded Collins' shins","1929BRO.EVN.regular.comment.csv",135
"BRO192905250",35,"Past Collins","1929BRO.EVN.regular.comment.csv",136
"BRO192905250",60,"Thompson was trapped off 1B but returned safely","1929BRO.EVN.regular.comment.csv",137
"BRO192905250",70,"Off Dudley's bare hand","1929BRO.EVN.regular.comment.csv",138
"BRO192905250",78,"Again off Dudley's bare hand","1929BRO.EVN.regular.comment.csv",139
"BRO192905250",79,"Wild throw to Hendrick","1929BRO.EVN.regular.comment.csv",140
"BRO192906090",40,"Over RF wall","1929BRO.EVN.regular.comment.csv",141
"BRO192906090",59,"Over RF wall","1929BRO.EVN.regular.comment.csv",142
"BRO192906090",64,"Bancroft: great stop but late throw to 1B","1929BRO.EVN.regular.comment.csv",143
"BRO192906090",65,"Gilbert: fast pickup; Hendrick: good catch of hurried throw","1929BRO.EVN.regular.comment.csv",144
"BRO192906090",78,"Off Sheely's glove","1929BRO.EVN.regular.comment.csv",145
"BRO192906090",79,"Moore was run down","1929BRO.EVN.regular.comment.csv",146
"BRO192906181",8,"Attempted double steal","1929BRO.EVN.regular.comment.csv",147
"BRO192906181",28,"Attempted double steal","1929BRO.EVN.regular.comment.csv",148
"BRO192906181",30,"Over RF wall","1929BRO.EVN.regular.comment.csv",149
"BRO192906181",31,"Hit first pitch over RF wall","1929BRO.EVN.regular.comment.csv",150
"BRO192906181",58,"The hit got away from Frederick","1929BRO.EVN.regular.comment.csv",151
"BRO192906181",60,"Bad hop off Lindstrom's left shoulder","1929BRO.EVN.regular.comment.csv",152
"BRO192906181",61,"Line drive glanced off Terry's right wrist to Cohen. Morrison evidently believing Terry had caught the ball stopped dead in his tracks and was doubled up.","1929BRO.EVN.regular.comment.csv",153
"BRO192906181",65,"Sharp drive took bad hop past Hendrick into RF","1929BRO.EVN.regular.comment.csv",154
"BRO192906181",80,"Pushed past Lindstrom","1929BRO.EVN.regular.comment.csv",155
"BRO192906182",8,"Jackson's throw went through Farrell into RF","1929BRO.EVN.regular.comment.csv",156
"BRO192906182",75,"Into LF circus seats","1929BRO.EVN.regular.comment.csv",157
"BRO192906182",87,"Over RF wall","1929BRO.EVN.regular.comment.csv",158
"BRO192906270",2,"1-handed catch","1929BRO.EVN.regular.comment.csv",159
"BRO192906270",40,"Over RF wall","1929BRO.EVN.regular.comment.csv",160
"BRO192906270",68,"Off Maranville's shins","1929BRO.EVN.regular.comment.csv",161
"BRO192906270",80,"UR?","1929BRO.EVN.regular.comment.csv",162
"BRO192906291",9,"Hendrick hurt his leg sliding into 2B last inning","1929BRO.EVN.regular.comment.csv",163
"BRO192906291",21,"Bancroft lost the ball in the sun","1929BRO.EVN.regular.comment.csv",164
"BRO192906291",47,"Into LCF bleachers","1929BRO.EVN.regular.comment.csv",165
"BRO192906291",51,"Over RF wall","1929BRO.EVN.regular.comment.csv",166
"BRO192906291",52,"The ball struck Richbourg on the right side of his head as he tried to catch it on the carom.  He fell to the ground in a semi-conscious condition and was unable to continue.","1929BRO.EVN.regular.comment.csv",167
"BRO192906292",8,"Over RF wall","1929BRO.EVN.regular.comment.csv",168
"BRO192906292",23,"Threw into CF","1929BRO.EVN.regular.comment.csv",169
"BRO192906292",27,"Through Maguire","1929BRO.EVN.regular.comment.csv",170
"BRO192906292",28,"Attempted double steal","1929BRO.EVN.regular.comment.csv",171
"BRO192906292",31,"Over RF wall","1929BRO.EVN.regular.comment.csv",172
"BRO192906292",33,"BOUNCE HR, into LF bleachers","1929BRO.EVN.regular.comment.csv",173
"BRO192906292",50,"Frederick fumbled","1929BRO.EVN.regular.comment.csv",174
"BRO192906292",53,"Over RF wall","1929BRO.EVN.regular.comment.csv",175
"BRO192906292",68,"Over RF wall","1929BRO.EVN.regular.comment.csv",176
"BRO192906301",56,"Welsh injured ankle","1929BRO.EVN.regular.comment.csv",177
"BRO192906302",83,"$Game called for rain","1929BRO.EVN.regular.comment.csv",178
"BRO192907041",62,"Bounced into stands.","1929BRO.EVN.regular.comment.csv",179
"BRO192907070",0,"Weather: hot & humid","1929BRO.EVN.regular.comment.csv",180
"BRO192907070",1,"$Hit on the head and knocked out.  After first aid was given he took 1B.","1929BRO.EVN.regular.comment.csv",181
"BRO192907070",4,"Wild throw past 2B","1929BRO.EVN.regular.comment.csv",182
"BRO192907070",5,"Over RF wall","1929BRO.EVN.regular.comment.csv",183
"BRO192907070",15,"To CF wall","1929BRO.EVN.regular.comment.csv",184
"BRO192907070",17,"Fine 1-hand stab","1929BRO.EVN.regular.comment.csv",185
"BRO192907070",45,"Into LF bleachers","1929BRO.EVN.regular.comment.csv",186
"BRO192907070",50,"Into LF bleachers","1929BRO.EVN.regular.comment.csv",187
"BRO192907070",67,"Comorosky robbed him of HR after a hard run, getting the ball as it was going into the bleacher seats.","1929BRO.EVN.regular.comment.csv",188
"BRO192907070",68,"Over RF wall","1929BRO.EVN.regular.comment.csv",189
"BRO192907070",77,"Into LF bleachers","1929BRO.EVN.regular.comment.csv",190
"BRO192907080",10,"Past Morrison","1929BRO.EVN.regular.comment.csv",191
"BRO192907080",11,"IPHR; an ordinary single that bounced past Frederick who slipped.","1929BRO.EVN.regular.comment.csv",192
"BRO192907080",16,"Over RF wall","1929BRO.EVN.regular.comment.csv",193
"BRO192907080",56,"Over RF wall","1929BRO.EVN.regular.comment.csv",194
"BRO192907080",71,"IPHR; it was scored a HR despite L.Waner fumbling the ball several times.","1929BRO.EVN.regular.comment.csv",195
"BRO192907080",79,"Past Traynor","1929BRO.EVN.regular.comment.csv",196
"BRO192907090",37,"Bartell fell as he rounded 3B and had to scoot back","1929BRO.EVN.regular.comment.csv",197
"BRO192907090",39,"ej,hargc101,P,mageg901,Balls and strikes $Catcher Hargreaves ejected by HP umpire Magerkurth when he disputed a called ball on 1-2 pitch","1929BRO.EVN.regular.comment.csv",198
"BRO192907090",48,"BOUNCE HR into LF bleachers","1929BRO.EVN.regular.comment.csv",199
"BRO192907090",58,"Bounced off Dudley's glove","1929BRO.EVN.regular.comment.csv",200
"BRO192907090",71,"Over RF wall","1929BRO.EVN.regular.comment.csv",201
"BRO192907100",4,"Over RF wall.  He had hit two long fouls to RF earlier.","1929BRO.EVN.regular.comment.csv",202
"BRO192907100",11,"Orsatti: 1-hand catch","1929BRO.EVN.regular.comment.csv",203
"BRO192907100",15,"Off High's glove","1929BRO.EVN.regular.comment.csv",204
"BRO192907100",44,"ej,soutb101,M,klemb901,Balls and strikes $Cardinals manager Southworth ejected by HP umpire Klem for arguing balls and strikes","1929BRO.EVN.regular.comment.csv",205
"BRO192907100",51,"Into LF bleachers","1929BRO.EVN.regular.comment.csv",206
"BRO192907100",55,"Douthit fumbled","1929BRO.EVN.regular.comment.csv",207
"BRO192907110",15,"High throw","1929BRO.EVN.regular.comment.csv",208
"BRO192907110",33,"Frederick fumbled","1929BRO.EVN.regular.comment.csv",209
"BRO192907110",67,"High tagged Moore","1929BRO.EVN.regular.comment.csv",210
"BRO192907110",81,"Bounced past E.Moore","1929BRO.EVN.regular.comment.csv",211
"BRO192907120",8,"Gilbert held 3B when Orsatti threw home, but Wilson threw to 2B and trapped Herman.  Gilbert then started for the plate and was doubled up.","1929BRO.EVN.regular.comment.csv",212
"BRO192907120",35,"Through Frederick's legs","1929BRO.EVN.regular.comment.csv",213
"BRO192907120",42,"Walked after knocking several fouls","1929BRO.EVN.regular.comment.csv",214
"BRO192907120",49,"Hafey just missed shoestring catch","1929BRO.EVN.regular.comment.csv",215
"BRO192907120",56,"Orsatti lost it in the sun","1929BRO.EVN.regular.comment.csv",216
"BRO192907120",57,"Over RF wall","1929BRO.EVN.regular.comment.csv",217
"BRO192907120",70,"Bressler fumbled","1929BRO.EVN.regular.comment.csv",218
"BRO192907120",81,"Douthit fumbled","1929BRO.EVN.regular.comment.csv",219
"BRO192907120",82,"Delker muffed throw to 2B","1929BRO.EVN.regular.comment.csv",220
"BRO192907120",87,"Past Bottomley","1929BRO.EVN.regular.comment.csv",221
"BRO192907130",27,"Over RF wall","1929BRO.EVN.regular.comment.csv",222
"BRO192907130",33,"High throw","1929BRO.EVN.regular.comment.csv",223
"BRO192907130",51,"Bissonette: fine play but Morrison failed to cover 1B","1929BRO.EVN.regular.comment.csv",224
"BRO192907130",68,"Off CF exit gate","1929BRO.EVN.regular.comment.csv",225
"BRO192907130",73,"Too hot for Bissonette","1929BRO.EVN.regular.comment.csv",226
"BRO192907130",75,"Morrison threw home, trapping Douthit, who returned to 3B safely.  Picinich's throw to 2B hit Selph in the back and bounced into the outfield, advancing the runners.","1929BRO.EVN.regular.comment.csv",227
"BRO192907130",76,"Selph returned to 3B but High had advanced there, too.","1929BRO.EVN.regular.comment.csv",228
"BRO192907130",86,"Over RF wall","1929BRO.EVN.regular.comment.csv",229
"BRO192907130",88,"BOUNCE HR; into LCF seats on the 2nd bounce","1929BRO.EVN.regular.comment.csv",230
"BRO192907130",91,"Selph wrenched his left knee during the run down and was carried off the field.","1929BRO.EVN.regular.comment.csv",231
"BRO192907150",0,"About 500 YMCA boys were guests of Brooklyn","1929BRO.EVN.regular.comment.csv",232
"BRO192907150",4,"Over RF wall","1929BRO.EVN.regular.comment.csv",233
"BRO192907150",5,"Herman couldn't find his favorite bats in the rack in front of the Dodger dugout so he went over in front of the Reds bench and found his three bats.  He threw two of them over to the Brooklyn bench and went to the plate with the other.","1929BRO.EVN.regular.comment.csv",234
"BRO192907150",46,"Into LF bleachers","1929BRO.EVN.regular.comment.csv",235
"BRO192907161",3,"Off Bissonette's glove","1929BRO.EVN.regular.comment.csv",236
"BRO192907161",13,"Vance trapped pop fly","1929BRO.EVN.regular.comment.csv",237
"BRO192907161",58,"Good stop","1929BRO.EVN.regular.comment.csv",238
"BRO192907161",73,"Infield played in as soon as Ford came to bat","1929BRO.EVN.regular.comment.csv",239
"BRO192907162",5,"Attempted double steal","1929BRO.EVN.regular.comment.csv",240
"BRO192907162",9,"1-hand catch against RF wall","1929BRO.EVN.regular.comment.csv",241
"BRO192907162",16,"Kelly's throw hit Bressler","1929BRO.EVN.regular.comment.csv",242
"BRO192907162",61,"Moore, after turning 3B, ran back to that base. He would have scored easily.","1929BRO.EVN.regular.comment.csv",243
"BRO192907170",1,"The ball refused to roll foul","1929BRO.EVN.regular.comment.csv",244
"BRO192907170",16,"Off Ash's glove","1929BRO.EVN.regular.comment.csv",245
"BRO192907170",33,"Over RF wall; Sukeforth's 1st ML HR?","1929BRO.EVN.regular.comment.csv",246
"BRO192907170",39,"Off Dressen's bare hand","1929BRO.EVN.regular.comment.csv",247
"BRO192907170",53,"BOUNCE HR, into LF bleachers","1929BRO.EVN.regular.comment.csv",248
"BRO192907170",66,"Henline made a poor return throw to Cy Moore","1929BRO.EVN.regular.comment.csv",249
"BRO192907170",74,"Pittenger muffed Walker's return throw to 2B, recovered it, then threw wild to 3B.","1929BRO.EVN.regular.comment.csv",250
"BRO192907180",4,"Through Bressler's legs","1929BRO.EVN.regular.comment.csv",251
"BRO192907180",13,"Over RF wall","1929BRO.EVN.regular.comment.csv",252
"BRO192907180",27,"Good stop","1929BRO.EVN.regular.comment.csv",253
"BRO192907180",54,"Off Carlson's glove","1929BRO.EVN.regular.comment.csv",254
"BRO192907180",59,"Slow roller past Nehf","1929BRO.EVN.regular.comment.csv",255
"BRO192907180",81,"$When Taylor came to bat, Stephenson took a short lead off 2B; Bancroft worked the hidden ball trick on him, tagging Stephenson out when he received a throw from Rhiel","1929BRO.EVN.regular.comment.csv",256
"BRO192907201",3,"Herman fumbled","1929BRO.EVN.regular.comment.csv",257
"BRO192907201",16,"Wild throw to Flowers","1929BRO.EVN.regular.comment.csv",258
"BRO192907201",44,"Bush knocked down line drive","1929BRO.EVN.regular.comment.csv",259
"BRO192907201",55,"Cuyler fumbled","1929BRO.EVN.regular.comment.csv",260
"BRO192907201",76,"1-handed stop of smash","1929BRO.EVN.regular.comment.csv",261
"BRO192907201",81,"Bounced over Bissonette's head","1929BRO.EVN.regular.comment.csv",262
"BRO192907202",32,"1-hand stop","1929BRO.EVN.regular.comment.csv",263
"BRO192907202",40,"Past Gilbert","1929BRO.EVN.regular.comment.csv",264
"BRO192907202",47,"ej,schuj106,P,pfirc901,Called third strike $Schulte ejecte by HP umpire Pfirman for arguing called third strike","1929BRO.EVN.regular.comment.csv",265
"BRO192907202",58,"ej,bancd101,P,mccob104,Call at 2B $Shortstop Bancroft ejected by 3B umpire McCormick for arguing that Hornsby was out at 2nd","1929BRO.EVN.regular.comment.csv",266
"BRO192908101",4,"'Petty to Bartell'","1929BRO.EVN.regular.comment.csv",267
"BRO192908101",17,"Into LF bleachers near foul line","1929BRO.EVN.regular.comment.csv",268
"BRO192908101",26,"Leaping 1-handed catch just as it was about to go over his head into the bleachers.  Comorosky injured his ribs making the catch but stayed in the game.","1929BRO.EVN.regular.comment.csv",269
"BRO192908101",32,"Past Sheely","1929BRO.EVN.regular.comment.csv",270
"BRO192908101",41,"Pie beat the throw to the plate","1929BRO.EVN.regular.comment.csv",271
"BRO192908101",50,"Herman hit a pitch that was over his head","1929BRO.EVN.regular.comment.csv",272
"BRO192908101",67,"L.Waner muffed the fly but got the force.","1929BRO.EVN.regular.comment.csv",273
"BRO192908102",7,"P.Waner fumbled","1929BRO.EVN.regular.comment.csv",274
"BRO192908102",11,"Attempted double steal","1929BRO.EVN.regular.comment.csv",275
"BRO192908102",21,"Slow roller","1929BRO.EVN.regular.comment.csv",276
"BRO192908102",28,"Into LF stands","1929BRO.EVN.regular.comment.csv",277
"BRO192908102",44,"UR?","1929BRO.EVN.regular.comment.csv",278
"BRO192908102",47,"Knocked down line drive","1929BRO.EVN.regular.comment.csv",279
"BRO192908102",74,"WT: The narrative claims this double steal attempt occurred with the bases loaded following Moore's walk.  That doesn't make sense so I switched the events.","1929BRO.EVN.regular.comment.csv",280
"BRO192908110",3,"L.Waner twisted his ankle on the play and time was called. After first aid was given he resumed his position.","1929BRO.EVN.regular.comment.csv",281
"BRO192908110",8,"Comorosky tried to duck a high pitch but his bat hit the ball.","1929BRO.EVN.regular.comment.csv",282
"BRO192908110",20,"Bounded to the little fence in front of the bleachers","1929BRO.EVN.regular.comment.csv",283
"BRO192908110",21,"Clever running catch","1929BRO.EVN.regular.comment.csv",284
"BRO192908110",25,"Great 1-handed catch close to fence in deep CF","1929BRO.EVN.regular.comment.csv",285
"BRO192908110",44,"Traynor, by fast stepping, stretched it into a triple","1929BRO.EVN.regular.comment.csv",286
"BRO192908110",58,"Spectacular running catch","1929BRO.EVN.regular.comment.csv",287
"BRO192908110",59,"Over RF wall, shattering the glass in a window on the far side of the street which extends beyond RF.","1929BRO.EVN.regular.comment.csv",288
"BRO192908110",60,"Wicked bounder through RF; as the ball caromed away from P.Waner and came back toward the infield, Bartell recovered it and fired to Clarke, but it was jolted out of his grasp as Herman plunged into 2B.","1929BRO.EVN.regular.comment.csv",289
