"KCA201804090",19,"$Royals challenged call that Moustakas was out at first; call was overturned - safe for single"FILENAME_TX","LINE_NUMBER_CT"
"KCA201808150",27,"Mound Visit"2018KCA.EVA.regular.comment.csv",158

"KCA201808150",40,"Mound Visit"2018KCA.EVA.regular.comment.csv",159

"KCA201808150",62,"Mound Visit"2018KCA.EVA.regular.comment.csv",160

"KCA201808150",68,"Mound Visit"2018KCA.EVA.regular.comment.csv",161

"KCA201808160",33,"On-field Delay"2018KCA.EVA.regular.comment.csv",162

"KCA201808160",34,"$Umpire review of balk; call was upheld - balk; ball was wet and slipped out of his hand; review confirmed the balk"2018KCA.EVA.regular.comment.csv",163

"KCA201808160",37,"Mound Visit"2018KCA.EVA.regular.comment.csv",164

"KCA201808160",45,"Mound Visit"2018KCA.EVA.regular.comment.csv",165

"KCA201808160",50,"Mound Visit"2018KCA.EVA.regular.comment.csv",166

"KCA201808160",68,"On-field Delay"2018KCA.EVA.regular.comment.csv",167

"KCA201808240",30,"On-field Delay $30 minute delay as broken pipe flooded warning track"2018KCA.EVA.regular.comment.csv",168

"KCA201808240",58,"ej,sveud001,C,dejer901,Arguing balls and strikes $Kansas City bench coach Dale Sveum ejected by plate umpire De Jesus for arguing balls and strikes"2018KCA.EVA.regular.comment.csv",169

"KCA201808240",60,"Mound Visit"2018KCA.EVA.regular.comment.csv",170

"KCA201808240",69,"Mound Visit Mound Visit"2018KCA.EVA.regular.comment.csv",171

"KCA201808250",43,"Mound Visit"2018KCA.EVA.regular.comment.csv",172

"KCA201808250",48,"Mound Visit"2018KCA.EVA.regular.comment.csv",173

"KCA201808250",49,"Mound Visit"2018KCA.EVA.regular.comment.csv",174

"KCA201808250",53,"Mound Visit"2018KCA.EVA.regular.comment.csv",175

"KCA201808260",4,"Injury Delay"2018KCA.EVA.regular.comment.csv",176

"KCA201808260",27,"Mound Visit"2018KCA.EVA.regular.comment.csv",177

"KCA201808260",53,"Mound Visit"2018KCA.EVA.regular.comment.csv",178

"KCA201808260",61,"Mound Visit"2018KCA.EVA.regular.comment.csv",179

"KCA201808260",64,"Mound Visit"2018KCA.EVA.regular.comment.csv",180

"KCA201808280",22,"Mound Visit"2018KCA.EVA.regular.comment.csv",181

"KCA201808280",25,"Mound Visit"2018KCA.EVA.regular.comment.csv",182

"KCA201808280",51,"Mound Visit"2018KCA.EVA.regular.comment.csv",183

"KCA201808280",55,"Mound Visit"2018KCA.EVA.regular.comment.csv",184

"KCA201808280",63,"Mound Visit"2018KCA.EVA.regular.comment.csv",185

"KCA201808290",4,"Mound Visit"2018KCA.EVA.regular.comment.csv",186

"KCA201808290",31,"$Jose Iglesias left with an injured side"2018KCA.EVA.regular.comment.csv",187

"KCA201808290",35,"Mound Visit"2018KCA.EVA.regular.comment.csv",188

"KCA201808290",37,"Mound Visit"2018KCA.EVA.regular.comment.csv",189

"KCA201808290",46,"Mound Visit"2018KCA.EVA.regular.comment.csv",190

"KCA201808290",72,"Mound Visit"2018KCA.EVA.regular.comment.csv",191

"KCA201808310",18,"Mound Visit"2018KCA.EVA.regular.comment.csv",192

"KCA201808310",47,"Mound Visit"2018KCA.EVA.regular.comment.csv",193

"KCA201808310",51,"Mound Visit"2018KCA.EVA.regular.comment.csv",194

"KCA201808310",71,"Mound Visit"2018KCA.EVA.regular.comment.csv",195

"KCA201808310",73,"Injury Delay"2018KCA.EVA.regular.comment.csv",196

"KCA201809010",31,"$Royals challenged call that Andreoli was hit by 4th pitch; call was overturned - foul ball"2018KCA.EVA.regular.comment.csv",197

"KCA201809010",53,"Mound Visit"2018KCA.EVA.regular.comment.csv",198

"KCA201809010",64,"On-field Delay"2018KCA.EVA.regular.comment.csv",199

"KCA201809010",74,"$Royals challenged call that Mullins was safe at 1st; call was overturned - out on pickoff"2018KCA.EVA.regular.comment.csv",200

"KCA201809020",26,"Mound Visit"2018KCA.EVA.regular.comment.csv",201

"KCA201809020",34,"$Royals challenged call that Phillips was out at first; call was overturned - safe on wild pitch"2018KCA.EVA.regular.comment.csv",202

"KCA201809020",37,"Mound Visit"2018KCA.EVA.regular.comment.csv",203

"KCA201809020",53,"Mound Visit"2018KCA.EVA.regular.comment.csv",204

"KCA201809020",60,"Mound Visit"2018KCA.EVA.regular.comment.csv",205

"KCA201809020",70,"Mound Visit"2018KCA.EVA.regular.comment.csv",206

"KCA201809020",71,"Mound Visit"2018KCA.EVA.regular.comment.csv",207

"KCA201809100",8,"$White Sox challenged call that Mondesi was safe at 2nd; call was overturned - out on caught stealing"2018KCA.EVA.regular.comment.csv",208

"KCA201809100",23,"Injury Delay"2018KCA.EVA.regular.comment.csv",209

"KCA201809100",69,"Mound Visit"2018KCA.EVA.regular.comment.csv",210

"KCA201809110",43,"Mound Visit"2018KCA.EVA.regular.comment.csv",211

"KCA201809110",63,"Mound Visit"2018KCA.EVA.regular.comment.csv",212

"KCA201809110",68,"Mound Visit"2018KCA.EVA.regular.comment.csv",213

"KCA201809110",72,"Mound Visit"2018KCA.EVA.regular.comment.csv",214

"KCA201809110",73,"Mound Visit"2018KCA.EVA.regular.comment.csv",215

"KCA201809110",74,"Mound Visit"2018KCA.EVA.regular.comment.csv",216

"KCA201809120",10,"Mound Visit"2018KCA.EVA.regular.comment.csv",217

"KCA201809120",58,"Mound Visit"2018KCA.EVA.regular.comment.csv",218

"KCA201809120",59,"Mound Visit"2018KCA.EVA.regular.comment.csv",219

"KCA201809120",76,"Mound Visit"2018KCA.EVA.regular.comment.csv",220

"KCA201809130",28,"Mound Visit"2018KCA.EVA.regular.comment.csv",221

"KCA201809130",39,"Mound Visit"2018KCA.EVA.regular.comment.csv",222

"KCA201809130",40,"Mound Visit"2018KCA.EVA.regular.comment.csv",223

"KCA201809130",47,"Mound Visit"2018KCA.EVA.regular.comment.csv",224

"KCA201809130",52,"Mound Visit"2018KCA.EVA.regular.comment.csv",225

"KCA201809130",66,"Mound Visit"2018KCA.EVA.regular.comment.csv",226

"KCA201809130",69,"Mound Visit"2018KCA.EVA.regular.comment.csv",227

"KCA201809140",17,"Mound Visit"2018KCA.EVA.regular.comment.csv",228

"KCA201809140",42,"Mound Visit Injury Delay"2018KCA.EVA.regular.comment.csv",229

"KCA201809140",42,"$Jorge Lopez left with an injured chest"2018KCA.EVA.regular.comment.csv",230

"KCA201809140",83,"Mound Visit"2018KCA.EVA.regular.comment.csv",231

"KCA201809150",35,"ej,molip001,M,may-b901,Arguing bunt attempt ej,glyng801,C,blasc901,Denying appeal on bunt attempt $Twins manager Molitor amd ejected by HP umpire May for arguing Gallagher tried to bunt the ball; 3b coach Glynn ejected by 1b umpire Blaser who denied appeal on same pitch; play was attempted squeeze but Twins botched rundown; originally scored as pickoff attempt, changed to POCSH on 09-18-2018"2018KCA.EVA.regular.comment.csv",232

"KCA201809150",36,"Mound Visit"2018KCA.EVA.regular.comment.csv",233

"KCA201809150",56,"$Originally scored as single, changed to E6 on 09-18-2018, making two runs unearned"2018KCA.EVA.regular.comment.csv",234

"KCA201809150",70,"Mound Visit Injury Delay"2018KCA.EVA.regular.comment.csv",235

"KCA201809150",73,"Mound Visit"2018KCA.EVA.regular.comment.csv",236

"KCA201809160",27,"$Batter interference"2018KCA.EVA.regular.comment.csv",237

"KCA201809160",29,"Mound Visit"2018KCA.EVA.regular.comment.csv",238

"KCA201809160",30,"Mound Visit"2018KCA.EVA.regular.comment.csv",239

"KCA201809160",56,"Mound Visit"2018KCA.EVA.regular.comment.csv",240

"KCA201809160",60,"Injury Delay"2018KCA.EVA.regular.comment.csv",241

"KCA201809160",67,"Mound Visit"2018KCA.EVA.regular.comment.csv",242

"KCA201809160",71,"$Royals challenged call that Polanco was safe at 2nd; call was overurned - out on caught stealing"2018KCA.EVA.regular.comment.csv",243

"KCA201809160",82,"Mound Visit"2018KCA.EVA.regular.comment.csv",244

"KCA201809270",9,"$Royals challenged call that Merrifield was out at 2nd; call was overturne - stolen base"2018KCA.EVA.regular.comment.csv",245

"KCA201809270",40,"Mound Visit"2018KCA.EVA.regular.comment.csv",246

"KCA201809270",42,"Mound Visit"2018KCA.EVA.regular.comment.csv",247

"KCA201809270",73,"Mound Visit"2018KCA.EVA.regular.comment.csv",248

"KCA201809270",78,"Mound Visit"2018KCA.EVA.regular.comment.csv",249

"KCA201809270",80,"Mound Visit"2018KCA.EVA.regular.comment.csv",250

"KCA201809270",82,"Mound Visit"2018KCA.EVA.regular.comment.csv",251

"KCA201809280",16,"Mound Visit"2018KCA.EVA.regular.comment.csv",252

"KCA201809280",45,"Mound Visit"2018KCA.EVA.regular.comment.csv",253

"KCA201809280",49,"Mound Visit"2018KCA.EVA.regular.comment.csv",254

"KCA201809280",55,"Mound Visit"2018KCA.EVA.regular.comment.csv",255

"KCA201809280",59,"Mound Visit"2018KCA.EVA.regular.comment.csv",256

"KCA201809280",73,"Mound Visit"2018KCA.EVA.regular.comment.csv",257

"KCA201809280",79,"Mound Visit"2018KCA.EVA.regular.comment.csv",258

"KCA201809280",80,"Mound Visit"2018KCA.EVA.regular.comment.csv",259

"KCA201809290",28,"Mound Visit"2018KCA.EVA.regular.comment.csv",260

"KCA201809290",32,"$Batter interference"2018KCA.EVA.regular.comment.csv",261

"KCA201809290",32,"$Yan Gomes left with an injured hand"2018KCA.EVA.regular.comment.csv",262

"KCA201809290",44,"$Royals challenged call that Mondesi was out at 1st; call was upheld - ground out"2018KCA.EVA.regular.comment.csv",263

"KCA201809290",60,"Mound Visit"2018KCA.EVA.regular.comment.csv",264

"KCA201809290",62,"Mound Visit"2018KCA.EVA.regular.comment.csv",265

"KCA201809290",69,"Mound Visit"2018KCA.EVA.regular.comment.csv",266

"KCA201809290",70,"Mound Visit"2018KCA.EVA.regular.comment.csv",267

"KCA201809300",44,"Mound Visit"2018KCA.EVA.regular.comment.csv",268

"KCA201809300",50,"Mound Visit"2018KCA.EVA.regular.comment.csv",269

"KCA201809300",66,"Mound Visit"2018KCA.EVA.regular.comment.csv",270

