"DET195704180",64,"ej,farrk101,M,honoj901,Non-call of foul tip $Indians manager Farrell ejected by HP umpire Honochick for arguing ball called to Boone was really foul tip strike 3","FILENAME_TX","LINE_NUMBER_CT"
"DET195707110",85,"$Jackie Jensen called out on appeal for missing 1B","1957DET.EVA.regular.comment.csv",29
"DET195707120",3,"$off facing of third deck","1957DET.EVA.regular.comment.csv",30
"DET195707160",53,"$the ball shattered Ray Boone's batting helmet","1957DET.EVA.regular.comment.csv",31
"DET195707160",85,"$off facing of third deck","1957DET.EVA.regular.comment.csv",32
"DET195707170",52,"$Bob Turley threw at Al Kaline on the first pitch and was warned by HP umpire Eddie Hurley","1957DET.EVA.regular.comment.csv",33
"DET195707210",77,"$Pete Runnels left with injured right wrist","1957DET.EVA.regular.comment.csv",34
"DET195708060",36,"$Bad hop hit Chico Carrasquel on face","1957DET.EVA.regular.comment.csv",35
"DET195708070",66,"$Jim Hegan fouled a pitch off his foot","1957DET.EVA.regular.comment.csv",36
"DET195708080",58,"$Reno Bertoia called out on appeal for missing 1B on apparent double","1957DET.EVA.regular.comment.csv",37
"DET195708181",48,"$the ball went under the bullpen bench","1957DET.EVA.regular.comment.csv",38
"DET195708181",69,"$Les Moss struck on finger by foul ball","1957DET.EVA.regular.comment.csv",39
"DET195708240",0,"$steady rain became heavy downpour by final inning","1957DET.EVA.regular.comment.csv",40
"DET195708260",3,"$into upper LC bleachers 450 feet","1957DET.EVA.regular.comment.csv",41
"DET195708270",49,"$Paul Foytack left with sore shoulder","1957DET.EVA.regular.comment.csv",42
"DET195708270",62,"$Norm Zauchin left with broken wrist","1957DET.EVA.regular.comment.csv",43
"DET195708280",20,"54 minute rain delay with 2-2 count","1957DET.EVA.regular.comment.csv",44
"DET195709022",0,"Protest=H","1957DET.EVA.regular.comment.csv",45
"DET195709022",32,"$400 feet","1957DET.EVA.regular.comment.csv",46
"DET195709022",41,"$Tigers manager Jack Tighe objected to the substitution for Minoso and played the game under protest","1957DET.EVA.regular.comment.csv",47
"DET195709022",53,"58 minute rain delay","1957DET.EVA.regular.comment.csv",48
"DET195709030",11,"$onto the roof","1957DET.EVA.regular.comment.csv",49
"DET195709060",38,"DIFF: CS per Det s/s; not per officials","1957DET.EVA.regular.comment.csv",50
"DET195709060",53,"$Charlie Maxwell rounded 2B too far","1957DET.EVA.regular.comment.csv",51
"DET195709060",56,"$George Strickland booted the grounder which rolled to Bobby Avila Avila who tried to get Harvey Kuenn at 3B, but threw the ball into the Tiger dugout; Avila was charged with the error, but it was changed the next day to Larry Raines when all parties involved agreed he should have caught the ball","1957DET.EVA.regular.comment.csv",52
"DET195709070",25,"$Jay Porter left with bruised glove hand","1957DET.EVA.regular.comment.csv",53
"DET195709070",36,"$Reno Bertoia left with spike wound","1957DET.EVA.regular.comment.csv",54
"DET195709080",9,"$Ray Boone pulled up lame","1957DET.EVA.regular.comment.csv",55
"DET195709080",60,"$the ball landed in the lower seats just fair; Tigers manager Jack Tighe argued with 1B umpire Larry Napp that it was foul","1957DET.EVA.regular.comment.csv",56
