"BRO193704200",16,"$Van Mungo, while sliding, kicked the ball Burgess Whitehead had dropped allowing Woodt English to score","FILENAME_TX","LINE_NUMBER_CT"
"BRO193707112",58,"scorecard ends here, rest deduced","1937BRO.EVN.regular.comment.csv",16
"BRO193707140",73,"ej,grisl101,P,mageg901,Fighting ej,phelb101,P,mageg901,Fighting Babe Phelps and Lee Grissom ejected by HP umpire George Magerkurth for fighting after play at HP","1937BRO.EVN.regular.comment.csv",17
"BRO193707160",71,"ej,grimb101,M,parkg901,Balls and strikes Robins Manager Burleigh Grimes ejected by HP umpire Tiny Parker","1937BRO.EVN.regular.comment.csv",18
"BRO193707170",70,"DWS: pbp ends here, rest deduced","1937BRO.EVN.regular.comment.csv",19
"BRO193707182",33,"$Fred Frankhouse purposely dropped the bunt; both Billy Jurges and Phil Cavarretta were at 2B so Frankhouse threw to 1B to retire Curt Davis; Buddy Hassett saw Jurges starting for 3B and threw to Frankhouse who was closest to 3B bag; Jurges started back to 2B and Cavarretta back to 1B; Frankhouse threw wildly to 1B; Jurges tried to score after the error","1937BRO.EVN.regular.comment.csv",20
"BRO193707182",66,"ej,phelb101,P,parkg901,Balls and strikes Babe Phelps ejected by HP umpire Tiny Parker","1937BRO.EVN.regular.comment.csv",21
"BRO193707190",10,"$Babe Phelps struck by foul ball","1937BRO.EVN.regular.comment.csv",22
"BRO193707230",68,"ej,phelb101,P,goetl901,Fighting Babe Phelps ejected by 1B umpire Larry Goetz when Phelps threw punches at Lindsay Brown","1937BRO.EVN.regular.comment.csv",23
"BRO193707240",42,"$Don Padgett left with pulled muscle","1937BRO.EVN.regular.comment.csv",24
"BRO193707252",110,"$Game called for darknes","1937BRO.EVN.regular.comment.csv",25
"BRO193708170",74,"$Bill Atwood called out for passing Morrie Arnovich","1937BRO.EVN.regular.comment.csv",26
"BRO193708192",50,"DWS: pbp ends here, rest deduced","1937BRO.EVN.regular.comment.csv",27
"BRO193708192",79,"$Woody English won a suit by hitting scoreboard sign","1937BRO.EVN.regular.comment.csv",28
"BRO193708200",34,"$Lopez injured his finger on a foul ball by Phelps","1937BRO.EVN.regular.comment.csv",29
"BRO193708210",28,"ej,grimb101,M,morac102,Inteference $Heinie Manush was trapped in a rundown between 3B and HP; he was called for interference when he raised his arm and deflected a thrown ball; Robins Manager Burleigh Grimes ejected by HP umpire Charlie Moran","1937BRO.EVN.regular.comment.csv",30
"BRO193708210",34,"ej,englw101,P,morac102,Called third strike Woody English ejected by HP umpire Charlie Moran","1937BRO.EVN.regular.comment.csv",31
"BRO193708210",63,"$Gene Moore's fly ball landed on a ledge atop the scoreboard then rolled off","1937BRO.EVN.regular.comment.csv",32
"BRO193708220",51,"$Game called for rain; scheduled 2nd game also called","1937BRO.EVN.regular.comment.csv",33
"BRO193708270",65,"$Game called for rain; second game of DH also cancelled","1937BRO.EVN.regular.comment.csv",34
"BRO193708291",67,"$Heinie Manush left with pulled muscle in side","1937BRO.EVN.regular.comment.csv",35
"BRO193708310",34,"$English injured his leg and was carried off the field","1937BRO.EVN.regular.comment.csv",36
"BRO193708310",62,"$Hassett replaced after having words with Manager Grimes","1937BRO.EVN.regular.comment.csv",37
"BRO193709070",53,"$Freddie Fitzsimmons left the game due an injured finger","1937BRO.EVN.regular.comment.csv",38
"BRO193709080",42,"ej,luqud101,C,klemb901,Call at 1B Giants Coach Dolf Luque ejected by 1B umpire Bill Klem","1937BRO.EVN.regular.comment.csv",39
"BRO193709092",18,"This was George Cisar's major-league debut","1937BRO.EVN.regular.comment.csv",40
"BRO193709092",75,"This was Bert Haas' major-league debut","1937BRO.EVN.regular.comment.csv",41
"BRO193709122",14,"ej,englw101,P,barrg901,Call at 1B ej,grimb101,M,barrg901,Call at 1B $English and Brooklyn manager Grimes ejected by 1b umpire Barr for agruing call at first; fans throw bottles","1937BRO.EVN.regular.comment.csv",42
"BRO193709122",31,"ej,camid102,P,parkg901,Balls and strikes $Camilli ejected by plate umpire Parker after called strike two; pinch-hitter Browne then completed at bat by homering","1937BRO.EVN.regular.comment.csv",43
"BRO193710030",18,"ej,grimb101,M,parkg901,Check swing $Brooklyn manager Grimes ejected by plate umpire Parker for check swing on pitch to Bartell","1937BRO.EVN.regular.comment.csv",44
