"WAS201404040",39,"replay,5,desmi001,WAS,joycj901,WAS11,,Y,M,ATL,S $the ball hit the LF wall under the padding and stuck there; Justin Upton threw his hands up indeicating the ball was out of play; 3B umpire Marvin Hudson made no call and Ian Desmond ran the circuit; Braves manager Fredi Gonzalez challenged the ruling, which was overturned to out of play","FILENAME_TX","LINE_NUMBER_CT"
"WAS201405210",46,"replay,6,heisc001,CIN,westj901,WAS11,,N,M,CIN,A $when Todd Frazier was called out at 3B, Reds manager Bryan Price challenged the ruling; it was upheld by replay; while the review was in progress, the teams werer taken off the field and a 1:01 rain delay ensued","2014WAS.EVN.regular.comment.csv",26
"WAS201405210",66,"replay,8,spand001,WAS,westj901,WAS11,,Y,M,WAS,T $when Denard Span's sinking liner is ruled a catch by Billy Hamilton, Nationals manager Matt Williams challenged the call; the ruling was overturned by replay","2014WAS.EVN.regular.comment.csv",27
"WAS201405260",42,"replay,6,joneg002,MIA,culbf901,WAS11,,N,M,MIA,A $when Casey McGehee was called out at 2B, Marlins manager Mike Redmond challenegd the ruling; the call was upheld by replay","2014WAS.EVN.regular.comment.csv",28
"WAS201405280",45,"Marlins pitcher Henderson Alvarez left the game due to an injured elbow","2014WAS.EVN.regular.comment.csv",29
"WAS201405300",49,"$a five-ball walk for Wilson Ramos","2014WAS.EVN.regular.comment.csv",30
"WAS201405310",23,"$pitcher Nick Martinez' first career at bat","2014WAS.EVN.regular.comment.csv",31
"WAS201406010",5,"replay,1,murpd004,TEX,nelsj901,WAS11,,N,M,TEX,A replay,1,murpd004,TEX,nelsj901,WAS11,,Y,M,WAS,M $Alex Rios beat the throw to 2B but came off the bag as he slid across and was called out; HP umpire Clint Fagan ruled that Elvis Andrus scored before the third out; Nationals manager Matt Williams challenged the ruling; Rangers manager Ron Washington challenged the out call at 2B; the out call was upheld and the run disallowed by replay; this was the first time both managers challenged a ruling on the same play","2014WAS.EVN.regular.comment.csv",32
"WAS201406030",16,"replay,3,buchd001,PHI,kulpr901,WAS11,,Y,M,WAS,C $when David Buchanan was called safe at 1B, Nationals manager Matt Williams challenged the ruling; the call was overturned by replay","2014WAS.EVN.regular.comment.csv",33
"WAS201406050",64,"replay,8,lobaj001,WAS,kulpr901,WAS11,,Y,M,WAS,C $when Jose Lobaton was called out at 1B, Nationals manager Matt Williams challenged the ruling; the call Was overturned by replay","2014WAS.EVN.regular.comment.csv",34
"WAS201406180",5,"replay,1,renda001,WAS,vanol901,WAS11,,Y,M,WAS,A $when Denard Span was called out at 2B, Nationals manager Matt Williams challenged the ruling; the call was overturned by replay","2014WAS.EVN.regular.comment.csv",35
"WAS201406190",49,"Braves pitcher Gavin Floyd left the game due to a broken olecranon, the bony tip of the ulna behind the elbow","2014WAS.EVN.regular.comment.csv",36
"WAS201406200",79,"replay,9,renda001,WAS,welkt901,WAS11,O,Y,U,,H $Anthony Rendon hit a fly ball to left center that was ruled in play; the ball struck a wall a few feet behind the outfield barrier and caromed back onto the field; Rendon reached 2B and Nate McLouth advanced from 1B to 3B; crew chief Tim Welke requested a review, which overturned the call to a game-tying home run","2014WAS.EVN.regular.comment.csv",37
"WAS201406200",92,"replay,11,frank001,WAS,welkt901,WAS11,,N,M,WAS,C $when Kevin Frandsen was called out at 1B, Nationals manager Matt Williams challenged the ruling; the call was upheld by replay","2014WAS.EVN.regular.comment.csv",38
"WAS201406220",48,"ej,johnc003,P,carlm901,Checked swing Braves third baseman Chris Johnson ejected by HP umpire Mark Carlson","2014WAS.EVN.regular.comment.csv",39
"WAS201406220",68,"ej,uptoj001,P,carlm901,Balls and strikes Braves left fielder Justin Upton ejected by HP umpire Mark Carlson","2014WAS.EVN.regular.comment.csv",40
"WAS201407020",15,"replay,2,harpb003,WAS,westj901,WAS11,,N,M,WAS,A $when Ryan Zimmerman was called out at 2B, Nationals manager Matt Williams challenged the ruling; the call was upheld by replay","2014WAS.EVN.regular.comment.csv",41
"WAS201407020",54,"replay,7,desmi001,WAS,westj901,WAS11,O,Y,U,,H $Ian Desmond's fly ball struck on the top of the wall in right center and caromed off the metal fence back onto the field; the ball was ruled in play but crew chief Joe West requested a review; the call was overturned by replay to a home run","2014WAS.EVN.regular.comment.csv",42
"WAS201407060",19,"replay,3,sweer001,CHN,barrt901,WAS11,,Y,M,WAS,C $Ryan Sweeney was ruled safe on no tag at 1B; 1B umpire Paul Schreiber had no call and asked for help from HP umpire Mike Everitt; Nationals manager Matt Williams challenged the ruling, which was overturned by replay","2014WAS.EVN.regular.comment.csv",43
"WAS201407060",67,"replay,8,spand001,WAS,barrt901,WAS11,,N,M,CHN,A $when Denard Span was called safe at 2B, Cubs manager Rick Renteria challenged the ruling; the call was upheld by replay","2014WAS.EVN.regular.comment.csv",44
"WAS201407180",6,"$Denard Span beat the throw to 2B and Anthony Rendon was out at 1B; Span was called for interference because he popped up and bumped Scooter Gennett who was throwing to 1B; Span's hand was on Gennett's arm as the latter threw the ball; after an umpire huddle, Span was called out and Rendon safe","2014WAS.EVN.regular.comment.csv",45
"WAS201407180",53,"replay,7,seguj002,MIL,millb901,WAS11,,Y,M,MIL,C $when Jean Segura was called out at 1B, Brewers manager Ron Roenicke challenged the ruling; the call was overturned by replay","2014WAS.EVN.regular.comment.csv",46
"WAS201407190",12,"replay,1,roart001,WAS,millb901,WAS11,,N,U,,P $when Ian Desmond was called out at HP, crew chief Bill Miller requested a review; the call was upheld by replay because the catcher did not block the plate and the runner was out","2014WAS.EVN.regular.comment.csv",47
"WAS201407190",66,"$Rickie Weeks was supposed to pinch hit but could not find his helmet","2014WAS.EVN.regular.comment.csv",48
"WAS201407310",21,"Phillies pitcher Cliff Lee left the game due to an injured arm","2014WAS.EVN.regular.comment.csv",49
"WAS201408020",22,"$A.J. Burnett was not happy with a pitch to Anthony Rendon that was called a ball","2014WAS.EVN.regular.comment.csv",50
"WAS201408020",22,"ej,burna001,P,guccc901,Balls and strikes ej,sandr001,M,guccc901,Balls and strikes $A.J. Burnett waved to HP umpire Chris Guccione after the first pitch to Jayson Werth, telling Guccione that the pitch was a ball; Burnett and Phillies manager Ryne Sandberg ejected by Guccione","2014WAS.EVN.regular.comment.csv",51
"WAS201408030",32,"replay,5,hamec001,PHI,hallt901,WAS11,,N,M,WAS,A $when Cody Asche was called safe at 2B on a pickoff attempt, Nationals manager Matt Williams challenged the ruling; the call was upheld by replay","2014WAS.EVN.regular.comment.csv",52
"WAS201408050",48,"replay,6,laroa001,WAS,vanol901,WAS11,,N,U,,P $when Jayson Werth was called out at HP, acting crew chief Larry Vanover requested a review; the call was upheld by replay","2014WAS.EVN.regular.comment.csv",53
"WAS201408170",58,"replay,7,taylm002,WAS,wegnm901,WAS11,,Y,M,WAS,I $when Michael Taylor was hit by a pitch and not granted 1B, Nationals manager Matt Williams challenged the ruling; the call overturned by replay","2014WAS.EVN.regular.comment.csv",54
"WAS201408170",65,"$Asdrubal Cabrera flipped the ball behind his back to Ian Desmond","2014WAS.EVN.regular.comment.csv",55
"WAS201408180",86,"$the Nationals third consecutive walk-off victory","2014WAS.EVN.regular.comment.csv",56
"WAS201408210",7,"replay,1,laroa001,WAS,davib902,WAS11,,Y,M,ARI,C $when Adam LaRoche was called safe at 1B, D-Backs manager Kirk Gibson challenged the ruling; the call was overturned by replay","2014WAS.EVN.regular.comment.csv",57
"WAS201408210",72,"originally scored E5, changed to single plus error on 08-22-2014","2014WAS.EVN.regular.comment.csv",58
"WAS201408230",0,"1:12 rain delay before start of game","2014WAS.EVN.regular.comment.csv",59
"WAS201408240",22,"ej,peavj001,P,emmep901,Balk non-call ej,hudst001,P,emmep901,Balk non-call Jake Peavy and Tim Hudson ejected by 3B umpire Paul Emmel","2014WAS.EVN.regular.comment.csv",60
"WAS201409050",62,"replay,7,harpb003,WAS,everm901,WAS11,,N,U,,P $when Jayson Werth was called out at HP, acting crew chief Mike Everett requested a review; the call was upheld by replay","2014WAS.EVN.regular.comment.csv",61
"WAS201409070",61,"replay,8,rollj001,PHI,everm901,WAS11,,Y,M,WAS,A $when Ben Revere was called safe at 2B, Nationals manager Matt Williams challenged the ruling; the call was overturned by replay","2014WAS.EVN.regular.comment.csv",62
"WAS201409090",10,"replay,1,harpb003,WAS,westj901,WAS11,,N,M,ATL,C $when Ian Desmond was called safe at 2B, Braves manager Fredi Gonzalez challenged the ruling; the call was upheld by replay","2014WAS.EVN.regular.comment.csv",63
"WAS201409090",49,"Ian Desmond left with lower back tightness","2014WAS.EVN.regular.comment.csv",64
"WAS201409251",24,"replay,3,treib001,WAS,gibsg901,WAS11,,Y,M,WAS,C $when Blake Treinen was called out at 1B, Nationals manager Matt Williams challenged the ruling; the call was overturned by replay","2014WAS.EVN.regular.comment.csv",65
"WAS201409251",69,"replay,8,centj001,NYN,gibsg901,WAS11,,N,M,NYN,C $when Ruben Tejada is called out at 2B, Mets manager Terry Collins challenged the ruling; the call was upheld by replay","2014WAS.EVN.regular.comment.csv",66
"WAS201409280",0,"$Jordan Zimmermann no-hitter","2014WAS.EVN.regular.comment.csv",67
