"CLE201804070",12,"$Lonnie Chisenhall left with injured leg"FILENAME_TX","LINE_NUMBER_CT"
"CLE201805010",14,"$Umpire review of call that Gomes swung and missed at strike three that hit him; he claimed he fouled the pitch; it was a rule check and the call was upheld - strike out"2018CLE.EVA.regular.comment.csv",16

"CLE201805010",39,"$Indians challenged call that Gomes was out at 1st; call was overturned - single"2018CLE.EVA.regular.comment.csv",17

"CLE201805020",49,"$Indians challenged call that 5th pitch to Kipnis was a ball, claiming it hit him; call was overturned - hit by pitch"2018CLE.EVA.regular.comment.csv",18

"CLE201805031",66,"$Nick Goody left with injured elbow"2018CLE.EVA.regular.comment.csv",19

"CLE201805031",90,"$originally scored as E3 with no RBI and run unearned, changed to double on 05-08-2018, creating RBI and earned run"2018CLE.EVA.regular.comment.csv",20

"CLE201805031",115,"$Indians challenged call that 4th pitch to Ramirez was ball, claiming it had hit him; call was overturned - hit by pitch"2018CLE.EVA.regular.comment.csv",21

"CLE201805032",20,"$Blue Jays challenged call that Gonzalez was safe at 2nd; call was upheld - wild pitch"2018CLE.EVA.regular.comment.csv",22

"CLE201805110",44,"$Tyler Naquin left with injured arm"2018CLE.EVA.regular.comment.csv",23

"CLE201805260",59,"$Indians challenged call that Bregman was safe at first for single; call was overturned - ground out"2018CLE.EVA.regular.comment.csv",24

"CLE201805270",41,"ej,hinca001,M,randt901,Arguing balls and strikes $Houston manager Hinch ejected by plate umpire Randazzo after ball 3 to Altuve for arguing balls and strikes"2018CLE.EVA.regular.comment.csv",25

"CLE201806060",65,"ej,counc001,M,wolcq901,Balls and strikes $Brewer manager Counsell ejected by HP umpire Wolcott during pitching change for arguing balls and strkes"2018CLE.EVA.regular.comment.csv",26

"CLE201806150",62,"$Indians challenged call that Ramirez was out at 2nd; call was upheld - single and out stretching"2018CLE.EVA.regular.comment.csv",27

"CLE201806160",15,"$Carlos Carrasco was hit on the right elbow by Mauer's line drive and left game; he was placed on DL the next day"2018CLE.EVA.regular.comment.csv",28

"CLE201806170",48,"$Indians challenged call that Gomes was out at first; call was upheld - ground out"2018CLE.EVA.regular.comment.csv",29

"CLE201806170",53,"$Robbie Grossman left with an injured head"2018CLE.EVA.regular.comment.csv",30

"CLE201806180",70,"$Evan Marshall left an injured elbow"2018CLE.EVA.regular.comment.csv",31

"CLE201806190",25,"$Umpire review of ball hit by Abreu on third pitch; call was overturned - foul ball, not home run"2018CLE.EVA.regular.comment.csv",32

"CLE201806200",25,"$White Sox challenged call that Brantley was safe at 3rd on double steal; call was overturned - out on caught stealing"2018CLE.EVA.regular.comment.csv",33

"CLE201806200",48,"ej,rentr001,M,littw901,Arguing called third strike $Chicago manager Renteria ejected by HP umpire Little for arguing called third strike"2018CLE.EVA.regular.comment.csv",34

"CLE201807060",25,"Mound Visit"2018CLE.EVA.regular.comment.csv",35

"CLE201807060",42,"Mound Visit"2018CLE.EVA.regular.comment.csv",36

"CLE201807060",45,"Mound Visit"2018CLE.EVA.regular.comment.csv",37

"CLE201807060",49,"Mound Visit"2018CLE.EVA.regular.comment.csv",38

"CLE201807060",50,"$Indians challenged call that Olson was safe at second for double; call was overturned - double and out oversliding base Mound Visit"2018CLE.EVA.regular.comment.csv",39

"CLE201807060",57,"Mound Visit"2018CLE.EVA.regular.comment.csv",40

"CLE201807060",58,"Mound Visit"2018CLE.EVA.regular.comment.csv",41

"CLE201807060",60,"Mound Visit"2018CLE.EVA.regular.comment.csv",42

"CLE201807060",64,"Mound Visit"2018CLE.EVA.regular.comment.csv",43

"CLE201807060",66,"Mound Visit"2018CLE.EVA.regular.comment.csv",44

"CLE201807060",68,"Mound Visit"2018CLE.EVA.regular.comment.csv",45

"CLE201807060",70,"Mound Visit"2018CLE.EVA.regular.comment.csv",46

"CLE201807070",44,"Mound Visit"2018CLE.EVA.regular.comment.csv",47

"CLE201807070",52,"Mound Visit"2018CLE.EVA.regular.comment.csv",48

"CLE201807070",61,"Injury Delay"2018CLE.EVA.regular.comment.csv",49

"CLE201807070",64,"Mound Visit"2018CLE.EVA.regular.comment.csv",50

"CLE201807070",65,"Mound Visit"2018CLE.EVA.regular.comment.csv",51

"CLE201807070",74,"Mound Visit"2018CLE.EVA.regular.comment.csv",52

"CLE201807080",18,"Mound Visit"2018CLE.EVA.regular.comment.csv",53

"CLE201807080",48,"Mound Visit"2018CLE.EVA.regular.comment.csv",54

"CLE201807080",56,"Mound Visit"2018CLE.EVA.regular.comment.csv",55

"CLE201807080",57,"Mound Visit"2018CLE.EVA.regular.comment.csv",56

"CLE201807090",1,"$Reds challenged call that Schebler was out at first; call was overturned - safe on pickoff attempt after 3rd pitch"2018CLE.EVA.regular.comment.csv",57

"CLE201807090",25,"$Indians challenged call that Ramirez was out at first; call was upheld - ground out"2018CLE.EVA.regular.comment.csv",58

"CLE201807090",29,"Mound Visit"2018CLE.EVA.regular.comment.csv",59

"CLE201807090",51,"Mound Visit"2018CLE.EVA.regular.comment.csv",60

"CLE201807090",57,"Mound Visit"2018CLE.EVA.regular.comment.csv",61

"CLE201807090",75,"Mound Visit"2018CLE.EVA.regular.comment.csv",62

"CLE201807090",76,"Mound Visit"2018CLE.EVA.regular.comment.csv",63

"CLE201807090",79,"Mound Visit"2018CLE.EVA.regular.comment.csv",64

"CLE201807100",15,"Mound Visit"2018CLE.EVA.regular.comment.csv",65

"CLE201807100",47,"Mound Visit"2018CLE.EVA.regular.comment.csv",66

"CLE201807100",49,"Mound Visit"2018CLE.EVA.regular.comment.csv",67

"CLE201807100",54,"Mound Visit"2018CLE.EVA.regular.comment.csv",68

"CLE201807100",61,"Mound Visit"2018CLE.EVA.regular.comment.csv",69

"CLE201807100",68,"Mound Visit"2018CLE.EVA.regular.comment.csv",70

"CLE201807100",71,"Mound Visit"2018CLE.EVA.regular.comment.csv",71

"CLE201807110",29,"Mound Visit $Reds challenged call that Kipnis was safe at third; call was upheld - safe at third"2018CLE.EVA.regular.comment.csv",72

"CLE201807110",41,"Mound Visit"2018CLE.EVA.regular.comment.csv",73

"CLE201807110",44,"Mound Visit"2018CLE.EVA.regular.comment.csv",74

"CLE201807120",9,"Mound Visit"2018CLE.EVA.regular.comment.csv",75

"CLE201807120",25,"Mound Visit"2018CLE.EVA.regular.comment.csv",76

"CLE201807120",32,"Mound Visit"2018CLE.EVA.regular.comment.csv",77

"CLE201807120",53,"Mound Visit"2018CLE.EVA.regular.comment.csv",78

"CLE201807120",63,"Mound Visit"2018CLE.EVA.regular.comment.csv",79

"CLE201807120",64,"$Indians challenged call that Hicks was safe at third; call was upheld - stolen base"2018CLE.EVA.regular.comment.csv",80

"CLE201807120",65,"Mound Visit"2018CLE.EVA.regular.comment.csv",81

"CLE201807120",71,"Mound Visit"2018CLE.EVA.regular.comment.csv",82

"CLE201807120",73,"Mound Visit"2018CLE.EVA.regular.comment.csv",83

"CLE201807130",6,"Mound Visit"2018CLE.EVA.regular.comment.csv",84

"CLE201807130",19,"Mound Visit"2018CLE.EVA.regular.comment.csv",85

"CLE201807130",36,"Mound Visit"2018CLE.EVA.regular.comment.csv",86

"CLE201807130",44,"Mound Visit"2018CLE.EVA.regular.comment.csv",87

"CLE201807130",64,"Mound Visit"2018CLE.EVA.regular.comment.csv",88

"CLE201807130",66,"Mound Visit"2018CLE.EVA.regular.comment.csv",89

"CLE201807130",68,"$Indians challenged call that Judge was safe at 2nd on steal; call was overturned - out on caught stealing"2018CLE.EVA.regular.comment.csv",90

"CLE201807130",71,"Mound Visit"2018CLE.EVA.regular.comment.csv",91

"CLE201807130",76,"Mound Visit"2018CLE.EVA.regular.comment.csv",92

"CLE201807140",15,"Mound Visit"2018CLE.EVA.regular.comment.csv",93

"CLE201807140",35,"Mound Visit"2018CLE.EVA.regular.comment.csv",94

"CLE201807140",40,"Injury Delay"2018CLE.EVA.regular.comment.csv",95

"CLE201807140",41,"On-field Delay ej,boona001,M,mealj901,Balls and strikes $New York manager Boone ejected by 1b umpire Meals for half swing on strike three"2018CLE.EVA.regular.comment.csv",96

"CLE201807140",47,"Mound Visit"2018CLE.EVA.regular.comment.csv",97

"CLE201807140",49,"Mound Visit"2018CLE.EVA.regular.comment.csv",98

"CLE201807140",50,"Mound Visit"2018CLE.EVA.regular.comment.csv",99

"CLE201807140",52,"Mound Visit"2018CLE.EVA.regular.comment.csv",100

"CLE201807140",54,"Mound Visit"2018CLE.EVA.regular.comment.csv",101

"CLE201807140",65,"Mound Visit"2018CLE.EVA.regular.comment.csv",102

"CLE201807150",56,"Mound Visit"2018CLE.EVA.regular.comment.csv",103

"CLE201807150",66,"Injury Delay"2018CLE.EVA.regular.comment.csv",104

"CLE201807230",13,"Mound Visit"2018CLE.EVA.regular.comment.csv",105

"CLE201807230",31,"Mound Visit"2018CLE.EVA.regular.comment.csv",106

"CLE201807230",50,"Mound Visit"2018CLE.EVA.regular.comment.csv",107

"CLE201807230",52,"Mound Visit"2018CLE.EVA.regular.comment.csv",108

"CLE201807230",53,"$Game called for rain"2018CLE.EVA.regular.comment.csv",109

"CLE201807240",16,"Mound Visit"2018CLE.EVA.regular.comment.csv",110

"CLE201807240",18,"Mound Visit"2018CLE.EVA.regular.comment.csv",111

"CLE201807240",34,"$Corey Dickerson left with an injured groin"2018CLE.EVA.regular.comment.csv",112

"CLE201807240",69,"Mound Visit"2018CLE.EVA.regular.comment.csv",113

"CLE201807240",78,"Mound Visit"2018CLE.EVA.regular.comment.csv",114

"CLE201807250",2,"Injury Delay"2018CLE.EVA.regular.comment.csv",115

"CLE201807250",4,"$Starling Marte left with an injured hand"2018CLE.EVA.regular.comment.csv",116

"CLE201807250",9,"$Indians challenged call that Ramirez was out at 2nd; call was upheld - force out"2018CLE.EVA.regular.comment.csv",117

"CLE201807250",27,"On-field Delay"2018CLE.EVA.regular.comment.csv",118

"CLE201807250",50,"Mound Visit"2018CLE.EVA.regular.comment.csv",119

"CLE201807250",56,"Mound Visit"2018CLE.EVA.regular.comment.csv",120

"CLE201807250",57,"Mound Visit"2018CLE.EVA.regular.comment.csv",121

"CLE201807250",58,"Mound Visit"2018CLE.EVA.regular.comment.csv",122

"CLE201807250",62,"Mound Visit"2018CLE.EVA.regular.comment.csv",123

"CLE201808030",20,"Mound Visit"2018CLE.EVA.regular.comment.csv",124

"CLE201808030",34,"$Yan Gomes left with an injured knee"2018CLE.EVA.regular.comment.csv",125

"CLE201808030",45,"Mound Visit"2018CLE.EVA.regular.comment.csv",126

"CLE201808030",62,"Mound Visit"2018CLE.EVA.regular.comment.csv",127

"CLE201808030",63,"Mound Visit"2018CLE.EVA.regular.comment.csv",128

"CLE201808030",69,"Mound Visit"2018CLE.EVA.regular.comment.csv",129

"CLE201808030",70,"Mound Visit"2018CLE.EVA.regular.comment.csv",130

"CLE201808040",29,"On-field Delay"2018CLE.EVA.regular.comment.csv",131

"CLE201808040",30,"Mound Visit"2018CLE.EVA.regular.comment.csv",132

"CLE201808040",43,"Mound Visit"2018CLE.EVA.regular.comment.csv",133

"CLE201808040",44,"Mound Visit"2018CLE.EVA.regular.comment.csv",134

"CLE201808040",45,"Mound Visit"2018CLE.EVA.regular.comment.csv",135

"CLE201808040",53,"Mound Visit"2018CLE.EVA.regular.comment.csv",136

"CLE201808050",6,"Mound Visit"2018CLE.EVA.regular.comment.csv",137

"CLE201808050",12,"Mound Visit"2018CLE.EVA.regular.comment.csv",138

"CLE201808050",21,"$Angels challenged call that Lindor scored before third out was at first; call was overturned - no run"2018CLE.EVA.regular.comment.csv",139

"CLE201808050",31,"$Originally scored as single plus error, changed to double on 08-06-2018"2018CLE.EVA.regular.comment.csv",140

"CLE201808050",40,"Mound Visit"2018CLE.EVA.regular.comment.csv",141

"CLE201808050",41,"Mound Visit"2018CLE.EVA.regular.comment.csv",142

"CLE201808050",48,"Mound Visit"2018CLE.EVA.regular.comment.csv",143

"CLE201808050",50,"Mound Visit"2018CLE.EVA.regular.comment.csv",144

"CLE201808050",55,"Injury Delay Mound Visit"2018CLE.EVA.regular.comment.csv",145

"CLE201808050",58,"Mound Visit"2018CLE.EVA.regular.comment.csv",146

"CLE201808060",36,"Mound Visit"2018CLE.EVA.regular.comment.csv",147

"CLE201808060",51,"Mound Visit"2018CLE.EVA.regular.comment.csv",148

"CLE201808060",61,"Mound Visit"2018CLE.EVA.regular.comment.csv",149

"CLE201808070",46,"$Adalberto Mejia left with an injured wrist"2018CLE.EVA.regular.comment.csv",150

"CLE201808070",53,"Mound Visit"2018CLE.EVA.regular.comment.csv",151

"CLE201808070",54,"$Batter's interference"2018CLE.EVA.regular.comment.csv",152

"CLE201808070",62,"Mound Visit"2018CLE.EVA.regular.comment.csv",153

"CLE201808070",67,"Mound Visit"2018CLE.EVA.regular.comment.csv",154

"CLE201808080",21,"$Indians challenged call that Garver was safe at 2nd; call was overturned - out on pickoff"2018CLE.EVA.regular.comment.csv",155

"CLE201808080",44,"Mound Visit"2018CLE.EVA.regular.comment.csv",156

"CLE201808080",51,"Mound Visit"2018CLE.EVA.regular.comment.csv",157

"CLE201808080",64,"Mound Visit"2018CLE.EVA.regular.comment.csv",158

"CLE201808080",65,"Mound Visit"2018CLE.EVA.regular.comment.csv",159

"CLE201808080",71,"Mound Visit"2018CLE.EVA.regular.comment.csv",160

"CLE201808080",72,"Mound Visit $Indians challenged call that Morrison was safe at second after Forsythe was out at third; call was upheld - safe advancing"2018CLE.EVA.regular.comment.csv",161

"CLE201808090",15,"Mound Visit"2018CLE.EVA.regular.comment.csv",162

"CLE201808090",23,"Mound Visit"2018CLE.EVA.regular.comment.csv",163

"CLE201808090",33,"Mound Visit"2018CLE.EVA.regular.comment.csv",164

"CLE201808090",49,"On-field Delay"2018CLE.EVA.regular.comment.csv",165

"CLE201808090",54,"ej,rowsj801,C,johna901,Arguing called third strike $Minnesota hitting coach Rowson ejected by plate umpire Johnson for arguing strike three"2018CLE.EVA.regular.comment.csv",166

"CLE201808090",59,"Mound Visit"2018CLE.EVA.regular.comment.csv",167

"CLE201808090",65,"Mound Visit"2018CLE.EVA.regular.comment.csv",168

"CLE201808170",22,"On-field Delay"2018CLE.EVA.regular.comment.csv",169

"CLE201808170",24,"Mound Visit"2018CLE.EVA.regular.comment.csv",170

"CLE201808170",30,"Mound Visit"2018CLE.EVA.regular.comment.csv",171

"CLE201808170",39,"$Orioles challenged call that Lindor was safe at first; call was overturned - ground out"2018CLE.EVA.regular.comment.csv",172

"CLE201808170",58,"Mound Visit"2018CLE.EVA.regular.comment.csv",173

"CLE201808170",66,"Mound Visit"2018CLE.EVA.regular.comment.csv",174

"CLE201808190",12,"Mound Visit"2018CLE.EVA.regular.comment.csv",175

"CLE201808190",41,"Mound Visit"2018CLE.EVA.regular.comment.csv",176

"CLE201808190",43,"Mound Visit"2018CLE.EVA.regular.comment.csv",177

"CLE201808190",54,"Mound Visit"2018CLE.EVA.regular.comment.csv",178

"CLE201808280",32,"Mound Visit"2018CLE.EVA.regular.comment.csv",179

"CLE201808280",37,"Injury Delay"2018CLE.EVA.regular.comment.csv",180

"CLE201808280",42,"$Twins challenged call that Ramirez was safe at 1st; call was upheld - single"2018CLE.EVA.regular.comment.csv",181

"CLE201808280",52,"Mound Visit"2018CLE.EVA.regular.comment.csv",182

"CLE201808280",66,"Mound Visit"2018CLE.EVA.regular.comment.csv",183

"CLE201808290",10,"Mound Visit"2018CLE.EVA.regular.comment.csv",184

"CLE201808290",47,"Mound Visit"2018CLE.EVA.regular.comment.csv",185

"CLE201808290",47,"Mound Visit"2018CLE.EVA.regular.comment.csv",186

"CLE201808290",51,"Mound Visit"2018CLE.EVA.regular.comment.csv",187

"CLE201808290",60,"Mound Visit"2018CLE.EVA.regular.comment.csv",188

"CLE201808290",62,"Mound Visit"2018CLE.EVA.regular.comment.csv",189

"CLE201808290",69,"Mound Visit"2018CLE.EVA.regular.comment.csv",190

"CLE201808290",79,"$Indians challenged call that Austin was safe at first; call was overturned - ground out"2018CLE.EVA.regular.comment.csv",191

"CLE201808300",21,"Injury Delay"2018CLE.EVA.regular.comment.csv",192

"CLE201808300",22,"Injury Delay"2018CLE.EVA.regular.comment.csv",193

"CLE201808300",28,"Mound Visit"2018CLE.EVA.regular.comment.csv",194

"CLE201808300",35,"$Eddie Rosario left with an injured leg"2018CLE.EVA.regular.comment.csv",195

"CLE201808300",44,"Mound Visit"2018CLE.EVA.regular.comment.csv",196

"CLE201808300",45,"Mound Visit"2018CLE.EVA.regular.comment.csv",197

"CLE201808300",52,"Mound Visit"2018CLE.EVA.regular.comment.csv",198

"CLE201808300",60,"Mound Visit"2018CLE.EVA.regular.comment.csv",199

"CLE201808300",61,"Mound Visit"2018CLE.EVA.regular.comment.csv",200

"CLE201808310",23,"Mound Visit"2018CLE.EVA.regular.comment.csv",201

"CLE201808310",58,"Mound Visit"2018CLE.EVA.regular.comment.csv",202

"CLE201809010",8,"Mound Visit"2018CLE.EVA.regular.comment.csv",203

"CLE201809010",16,"Mound Visit"2018CLE.EVA.regular.comment.csv",204

"CLE201809010",45,"Mound Visit"2018CLE.EVA.regular.comment.csv",205

"CLE201809010",47,"Mound Visit"2018CLE.EVA.regular.comment.csv",206

"CLE201809010",50,"Mound Visit"2018CLE.EVA.regular.comment.csv",207

"CLE201809010",55,"Injury Delay"2018CLE.EVA.regular.comment.csv",208

"CLE201809010",56,"Mound Visit"2018CLE.EVA.regular.comment.csv",209

"CLE201809010",57,"$Kevin Kiermaier left with an injured back"2018CLE.EVA.regular.comment.csv",210

"CLE201809010",60,"Mound Visit"2018CLE.EVA.regular.comment.csv",211

"CLE201809010",66,"Mound Visit"2018CLE.EVA.regular.comment.csv",212

"CLE201809010",69,"Mound Visit"2018CLE.EVA.regular.comment.csv",213

"CLE201809010",79,"Mound Visit"2018CLE.EVA.regular.comment.csv",214

"CLE201809020",12,"Mound Visit"2018CLE.EVA.regular.comment.csv",215

"CLE201809020",26,"Injury Delay"2018CLE.EVA.regular.comment.csv",216

"CLE201809020",28,"Mound Visit"2018CLE.EVA.regular.comment.csv",217

"CLE201809020",49,"Mound Visit"2018CLE.EVA.regular.comment.csv",218

"CLE201809020",53,"Mound Visit"2018CLE.EVA.regular.comment.csv",219

"CLE201809020",56,"Mound Visit"2018CLE.EVA.regular.comment.csv",220

"CLE201809020",59,"$Indians challenged call that Golmez was safe at 1st; call was overturned - ground out"2018CLE.EVA.regular.comment.csv",221

"CLE201809020",73,"Mound Visit"2018CLE.EVA.regular.comment.csv",222

"CLE201809020",74,"Mound Visit"2018CLE.EVA.regular.comment.csv",223

"CLE201809020",76,"Mound Visit"2018CLE.EVA.regular.comment.csv",224

"CLE201809030",40,"Mound Visit"2018CLE.EVA.regular.comment.csv",225

"CLE201809030",55,"Mound Visit"2018CLE.EVA.regular.comment.csv",226

"CLE201809030",69,"Mound Visit"2018CLE.EVA.regular.comment.csv",227

"CLE201809030",70,"Mound Visit"2018CLE.EVA.regular.comment.csv",228

"CLE201809040",10,"Injury Delay"2018CLE.EVA.regular.comment.csv",229

"CLE201809040",10,"$Danny Duffy left with an injured shoulder"2018CLE.EVA.regular.comment.csv",230

"CLE201809040",20,"Injury Delay"2018CLE.EVA.regular.comment.csv",231

"CLE201809040",27,"$Brett Phillips left with an injured shoulder"2018CLE.EVA.regular.comment.csv",232

"CLE201809040",58,"Mound Visit"2018CLE.EVA.regular.comment.csv",233

"CLE201809040",68,"Mound Visit"2018CLE.EVA.regular.comment.csv",234

"CLE201809050",50,"Mound Visit"2018CLE.EVA.regular.comment.csv",235

"CLE201809050",51,"Mound Visit"2018CLE.EVA.regular.comment.csv",236

"CLE201809050",61,"Mound Visit"2018CLE.EVA.regular.comment.csv",237

"CLE201809140",28,"Mound Visit"2018CLE.EVA.regular.comment.csv",238

"CLE201809140",43,"Mound Visit"2018CLE.EVA.regular.comment.csv",239

"CLE201809140",48,"Mound Visit"2018CLE.EVA.regular.comment.csv",240

"CLE201809140",52,"Mound Visit"2018CLE.EVA.regular.comment.csv",241

"CLE201809140",56,"Mound Visit"2018CLE.EVA.regular.comment.csv",242

"CLE201809140",63,"$Indians challenged call that Jones was safe at 2nd; call was upheld - stolen base"2018CLE.EVA.regular.comment.csv",243

"CLE201809140",73,"Mound Visit"2018CLE.EVA.regular.comment.csv",244

"CLE201809140",75,"Mound Visit Mound Visit"2018CLE.EVA.regular.comment.csv",245

"CLE201809150",6,"Injury Delay"2018CLE.EVA.regular.comment.csv",246

"CLE201809150",6,"$Michael Fulmer left with an injured knee"2018CLE.EVA.regular.comment.csv",247

"CLE201809150",22,"Mound Visit"2018CLE.EVA.regular.comment.csv",248

"CLE201809150",25,"Mound Visit"2018CLE.EVA.regular.comment.csv",249

"CLE201809150",37,"Mound Visit"2018CLE.EVA.regular.comment.csv",250

"CLE201809150",43,"Mound Visit"2018CLE.EVA.regular.comment.csv",251

"CLE201809150",50,"Injury Delay"2018CLE.EVA.regular.comment.csv",252

"CLE201809150",50,"$JaCoby Jones left with an injured shoulder"2018CLE.EVA.regular.comment.csv",253

"CLE201809150",50,"$Edwin Encarnacion left with an injured ankle"2018CLE.EVA.regular.comment.csv",254

"CLE201809150",73,"Mound Visit"2018CLE.EVA.regular.comment.csv",255

"CLE201809150",78,"Mound Visit"2018CLE.EVA.regular.comment.csv",256

"CLE201809150",84,"Mound Visit"2018CLE.EVA.regular.comment.csv",257

"CLE201809160",31,"Mound Visit"2018CLE.EVA.regular.comment.csv",258

"CLE201809160",43,"Mound Visit"2018CLE.EVA.regular.comment.csv",259

"CLE201809160",62,"Mound Visit"2018CLE.EVA.regular.comment.csv",260

"CLE201809180",13,"Injury Delay $White Sox challenged call that Alonso was hit by pitch; call was upheld - hit by pitch"2018CLE.EVA.regular.comment.csv",261

"CLE201809180",40,"Injury Delay"2018CLE.EVA.regular.comment.csv",262

"CLE201809180",42,"$Run scored by Ramirez originally scored as earned, changed to earned on 09-19-2018"2018CLE.EVA.regular.comment.csv",263

"CLE201809180",60,"$Indians challenged call that Lindor was out at 2nd; call was upheld - out on caught stealing"2018CLE.EVA.regular.comment.csv",264

"CLE201809180",64,"Mound Visit"2018CLE.EVA.regular.comment.csv",265

"CLE201809180",65,"Mound Visit"2018CLE.EVA.regular.comment.csv",266

"CLE201809190",24,"Mound Visit"2018CLE.EVA.regular.comment.csv",267

"CLE201809190",31,"Mound Visit"2018CLE.EVA.regular.comment.csv",268

"CLE201809190",46,"Mound Visit"2018CLE.EVA.regular.comment.csv",269

"CLE201809190",52,"Mound Visit"2018CLE.EVA.regular.comment.csv",270

"CLE201809190",63,"Mound Visit"2018CLE.EVA.regular.comment.csv",271

"CLE201809190",68,"Mound Visit"2018CLE.EVA.regular.comment.csv",272

"CLE201809190",70,"$White Sox challenged call that Donaldson was safe at 1st; call was upheld - single"2018CLE.EVA.regular.comment.csv",273

"CLE201809190",70,"Mound Visit"2018CLE.EVA.regular.comment.csv",274

"CLE201809190",71,"Mound Visit"2018CLE.EVA.regular.comment.csv",275

"CLE201809190",72,"Mound Visit"2018CLE.EVA.regular.comment.csv",276

"CLE201809190",73,"Mound Visit"2018CLE.EVA.regular.comment.csv",277

"CLE201809200",10,"Mound Visit"2018CLE.EVA.regular.comment.csv",278

"CLE201809200",24,"Mound Visit"2018CLE.EVA.regular.comment.csv",279

"CLE201809200",31,"Mound Visit"2018CLE.EVA.regular.comment.csv",280

"CLE201809200",41,"Mound Visit"2018CLE.EVA.regular.comment.csv",281

"CLE201809200",48,"Mound Visit"2018CLE.EVA.regular.comment.csv",282

"CLE201809200",67,"Mound Visit"2018CLE.EVA.regular.comment.csv",283

"CLE201809200",70,"Mound Visit"2018CLE.EVA.regular.comment.csv",284

"CLE201809200",71,"Mound Visit"2018CLE.EVA.regular.comment.csv",285

"CLE201809200",72,"Mound Visit"2018CLE.EVA.regular.comment.csv",286

"CLE201809200",73,"Mound Visit"2018CLE.EVA.regular.comment.csv",287

"CLE201809200",87,"Injury Delay"2018CLE.EVA.regular.comment.csv",288

"CLE201809200",95,"$White Sox challenged call that ball hit by Smith on 2nd pitch was foul; call was upheld - foul ball"2018CLE.EVA.regular.comment.csv",289

"CLE201809210",10,"Mound Visit"2018CLE.EVA.regular.comment.csv",290

"CLE201809210",30,"Mound Visit"2018CLE.EVA.regular.comment.csv",291

"CLE201809210",35,"Mound Visit"2018CLE.EVA.regular.comment.csv",292

"CLE201809210",48,"$Red Sox challenged call that Davis was safe at 2nd; call was overturned - out on caught stealing"2018CLE.EVA.regular.comment.csv",293

"CLE201809210",55,"Mound Visit"2018CLE.EVA.regular.comment.csv",294

"CLE201809210",58,"Mound Visit"2018CLE.EVA.regular.comment.csv",295

"CLE201809210",60,"Mound Visit"2018CLE.EVA.regular.comment.csv",296

"CLE201809210",65,"$Originally scored as double with RBI and earned run; changed to E7 on 10-01-2018, removing RBI and making run unearned"2018CLE.EVA.regular.comment.csv",297

"CLE201809210",66,"Mound Visit"2018CLE.EVA.regular.comment.csv",298

"CLE201809210",73,"Mound Visit"2018CLE.EVA.regular.comment.csv",299

"CLE201809210",73,"Mound Visit"2018CLE.EVA.regular.comment.csv",300

"CLE201809210",79,"$Originally scored as E5, changed to single on 09-22-2018"2018CLE.EVA.regular.comment.csv",301

"CLE201809220",11,"Mound Visit"2018CLE.EVA.regular.comment.csv",302

