"SLN200504100",45,"Phillies center fielder Kenny Lofton left the game due to an injured leg","FILENAME_TX","LINE_NUMBER_CT"
"SLN200506230",40,"umpchange,5,umphome,barrt901 umpchange,5,ump2b,(None) $HP umpire Rick Reed left the game with a headache after being struck by a foul ball. 10-minute delay","2005SLN.EVN.regular.comment.csv",26
"SLN200506260",34,"$Yadier Molina's hit near the wall and Abraham Nunez thought it was caught; he started back to 1B and passed Molina as Yadier was frantically waving him toward 2B; Molina out for passing Nunez, who then stopped in his tracks, very confused, and was tagged for the third out","2005SLN.EVN.regular.comment.csv",27
"SLN200507020",9,"umpchange,1,ump1b,diazl901 umpchange,1,ump2b,(None) $1B umpire Joyce slipped on bat while covering the plate on double by Walker, spraing right knee;he had to be helped off the field; 2B umpire Diaz moved to 1st and game finished with 3 umpires","2005SLN.EVN.regular.comment.csv",28
"SLN200507030",48,"$Pitcher Jennings dropped relay throw that would have completed GDP. Walker tapped Jennings in back as he ran to first which apparently distracted him and caused the drop","2005SLN.EVN.regular.comment.csv",29
"SLN200507150",2,"$collision between Edmonds and Sanders, who made great catch, but left with bruised ribs. X-rays show no break. Edmonds hurt (woozy), but stayed in game","2005SLN.EVN.regular.comment.csv",30
"SLN200507180",5,"Debut game for John Rodriguez","2005SLN.EVN.regular.comment.csv",31
"SLN200507200",50,"fan interference","2005SLN.EVN.regular.comment.csv",32
"SLN200507230",26,"John Rodriguez left the game due to an injured foot/ankle","2005SLN.EVN.regular.comment.csv",33
"SLN200508020",65,"$Chris Carpenter called for interference","2005SLN.EVN.regular.comment.csv",34
"SLN200508210",39,"ej,edmoj001,P,younl901,Call at 2B Cardinals center fielder Jim Edmonds ejected by 2B umpire Larry Young","2005SLN.EVN.regular.comment.csv",35
"SLN200509060",58,"Debut game for Tyler Johnson","2005SLN.EVN.regular.comment.csv",36
"SLN200509100",55,"Mets left fielder Cliff Floyd left the game due to an injured leg","2005SLN.EVN.regular.comment.csv",37
"SLN200509100",59,"Piazza hit in head by pitch","2005SLN.EVN.regular.comment.csv",38
"SLN200509100",68,"Debut game for Chris Duncan","2005SLN.EVN.regular.comment.csv",39
"SLN200509110",71,"Debut game for Adam Wainwright","2005SLN.EVN.regular.comment.csv",40
"SLN200509130",13,"Debut game for J.J. Furmaniak","2005SLN.EVN.regular.comment.csv",41
"SLN200509140",18,"ej,pereo002,P,coope901,Intentional HBP Pirates pitcher Oliver Perez ejected by HP umpire Eric Cooper","2005SLN.EVN.regular.comment.csv",42
"SLN200509300",60,"ej,kingr001,P,reint901,Balls and strikes Cardinals pitcher Ray King ejected by HP umpire Travis Reininger","2005SLN.EVN.regular.comment.csv",43
