"OAK201704050",44,"Angels pitcher Garrett Richards left the game due to an injured arm"FILENAME_TX","LINE_NUMBER_CT"
"OAK201706040",78,"replay,9,vogts001,OAK,emmep901,OAK01,,Y,U,,C $when Stephen Vogt was called out at 1B, crew chief Paul Emmel requested a review; the call was overturned by replay"2017OAK.EVA.regular.comment.csv",24

"OAK201706060",25,"replay,4,smoaj001,TOR,davig901,OAK01,,Y,M,TOR,C $when Justin Smoak was called out at 1B, Blue Jays manager John Gibbons challenged the ruling; the call was overturned by replay"2017OAK.EVA.regular.comment.csv",25

"OAK201706150",95,"$originally scored as defensive indifference, changed to stolen base on 06-16-2017"2017OAK.EVA.regular.comment.csv",26

"OAK201706160",15,"replay,2,chapm001,OAK,barrt901,OAK01,,Y,M,NYA,C $when Matt Chapman was called safe at 1B, Yankees manager Joe Girardi challenged the ruling; the call was overturned by replay; it would have been Chapman's first career hit"2017OAK.EVA.regular.comment.csv",27

"OAK201706160",37,"replay,5,willm007,NYA,barrt901,OAK01,,N,M,OAK,A $when Mason Williams was called safe at 2B, Athletics manager Bob Melvin challenged the ruling; the call; was upheld by replay"2017OAK.EVA.regular.comment.csv",28

"OAK201706160",75,"replay,8,davir003,OAK,barrt901,OAK01,,Y,M,NYA,C $when Rajai Davis was called safe at 1B, Yankees manager Joe Girardi challenged the ruling; the call was overturned by replay"2017OAK.EVA.regular.comment.csv",29

"OAK201706180",29,"replay,4,gregd001,NYA,barrt901,OAK01,F,N,U,,H $Didi Gregorious' fly to RF was ruled a fair ball; crew chief Ted Barrett requested a review, which upheld the call"2017OAK.EVA.regular.comment.csv",30

"OAK201706180",37,"replay,4,phegj001,OAK,barrt901,OAK01,,N,M,OAK,A $when Jaycob Brugman was called out at 2B, Athletics manager Bob Melvin challenged the ruling; the call was upheld by replay"2017OAK.EVA.regular.comment.csv",31

"OAK201706190",1,"replay,1,sprig001,HOU,everm901,OAK01,,Y,M,HOU,D $when Khris Davis was ruled to have caught the line drive, Astros manager A.J. Hinch challenged the ruling; the call was overturned by replay"2017OAK.EVA.regular.comment.csv",32

"OAK201706220",1,"Astros right fielder George Springer left the game due to an injured hand"2017OAK.EVA.regular.comment.csv",33

"OAK201707010",41,"$A's challenged call that Barreto was out at first; call overturned - single"2017OAK.EVA.regular.comment.csv",34

"OAK201707010",59,"$Braves challenged that first pitch hit batter; call upheld - ball"2017OAK.EVA.regular.comment.csv",35

"OAK201707020",11,"$Braves challenged call that Santana was caught stealing; call overturned - stolen base"2017OAK.EVA.regular.comment.csv",36

"OAK201707020",20,"$Ryon Healy left with injured back"2017OAK.EVA.regular.comment.csv",37

"OAK201707020",38,"$Braves challenged call that Phillips was out at 2nd; call was upheld - out"2017OAK.EVA.regular.comment.csv",38

"OAK201707030",68,"$originally scored as single, changed to error on 07-09-2017, making run later this inning unearned"2017OAK.EVA.regular.comment.csv",39

"OAK201707050",70,"$originally scored as WP, changed to PB on 07-05-2017"2017OAK.EVA.regular.comment.csv",40

"OAK201707150",15,"$Athletics challenged call that Naquin was safe on steal attempt; call was overturned - caught stealing"2017OAK.EVA.regular.comment.csv",41

"OAK201707150",66,"$Indians challenged call that Gomes was out at first; call was upheld - ground out"2017OAK.EVA.regular.comment.csv",42

"OAK201707170",28,"ej,beckt001,P,barrl901,Arguing called third strike $Beckham ejected for arguing on called 3rd strike"2017OAK.EVA.regular.comment.csv",43

"OAK201707180",37,"$Rays challenged pickoff attempt; call was overturned;  - out on pickoff"2017OAK.EVA.regular.comment.csv",44

"OAK201707180",39,"ej,cashk001,M,welkb901,Arguing Balls and Strikes $Tampa Bay manager ejected for arguing called third strike"2017OAK.EVA.regular.comment.csv",45

"OAK201707190",4,"$Steven Souza left with injured hip"2017OAK.EVA.regular.comment.csv",46

"OAK201707190",10,"$Rays challenged call that Miller was out at 1st; call was overturned - single"2017OAK.EVA.regular.comment.csv",47

"OAK201707290",15,"$Athletics challenged call on field that Dozier was safe at 1st; call was upheld - forceout, no DP"2017OAK.EVA.regular.comment.csv",48

"OAK201707290",52,"$Twins challenged call that Granite was out attempting to steal; call was upheld - caught stealing"2017OAK.EVA.regular.comment.csv",49

"OAK201707300",97,"ej,sanom001,P,cuzzp901,Arguing call third strike $Miguel Sano ejected by plate umpire Cuzzi for arguing called third strike"2017OAK.EVA.regular.comment.csv",50

"OAK201708140",13,"$error added by LB on 08-17-2017, making run unearned"2017OAK.EVA.regular.comment.csv",51

"OAK201708150",49,"$Athletics challenged call that Chapman was out on steal atempt of third; call upheld - caught stealing"2017OAK.EVA.regular.comment.csv",52

"OAK201708160",93,"$Royals challenged call that Healy was safe at first; call was upheld - single"2017OAK.EVA.regular.comment.csv",53

"OAK201708260",75,"$originally scored as out trying to advance, changed to caught stealing on 08-31-2017"2017OAK.EVA.regular.comment.csv",54

"OAK201708270",48,"$Jed Lowrie left the game due to an injured leg"2017OAK.EVA.regular.comment.csv",55

"OAK201709040",57,"ej,bushd801,C,bakej902,Called third strike $Oakland coach Bush ejected by HP umpire Baker for arguing called third strike"2017OAK.EVA.regular.comment.csv",56

"OAK201709040",82,"$Angles challenged call that Young was picked off after first pitch; call was overturned - pickoff attempt, no out"2017OAK.EVA.regular.comment.csv",57

"OAK201709060",33,"ej,chapm001,P,everm901,Argument about sign stealing $Chapman claimed that Angels catcher Graterol accused the Oakland players of stealing signs; they argued and plate umpire Everitt ejected Chapman"2017OAK.EVA.regular.comment.csv",58

"OAK201709060",45,"$originally scored as E7, changed to double on 09-07-2017"2017OAK.EVA.regular.comment.csv",59

"OAK201709080",42,"$Collin McHugh left with injured hand"2017OAK.EVA.regular.comment.csv",60

"OAK201709091",20,"$Centeno hit in head by Lowrie's backswing on 2nd pitch, left game and was placed on concussion protocol"2017OAK.EVA.regular.comment.csv",61

"OAK201709092",11,"$Athletics challened call that Correa was safe at 2nd; call was overturned - caught stealing to complete double play"2017OAK.EVA.regular.comment.csv",62

"OAK201709092",44,"$Astros challenged call that Pinder was safe at 1st; call was overturned - ground out"2017OAK.EVA.regular.comment.csv",63

"OAK201709100",35,"ej,marij002,P,dejer901,Called third strike $Marisnick ejected by HP umpire De Jesus for arguing called third strike"2017OAK.EVA.regular.comment.csv",64

"OAK201709260",56,"$Mariners challenged call that Nunez was safe at 2nd; call was overturned - out at 2nd to complete double play"2017OAK.EVA.regular.comment.csv",65

"OAK201709270",71,"$Mariners challenged call that Marjama wsa out at 3rd; call was upheld - out on fielder's choice"2017OAK.EVA.regular.comment.csv",66

