"BOS200904070",5,"$reigning MVP Pedroia's first at bat of the season","FILENAME_TX","LINE_NUMBER_CT"
"BOS200906100",20,"Originally scored as ground rule double, changed to E9 on 6-18. Swisher had play near line, but missed ball which bounced into stands","2009BOS.EVA.regular.comment.csv",27
"BOS200906110",5,"$both sides were warned after a series of hit batters in the season series between the two clubs","2009BOS.EVA.regular.comment.csv",28
"BOS200906110",17,"$the third homer by Ortiz in five games","2009BOS.EVA.regular.comment.csv",29
"BOS200906110",76,"$the eighth consecutive win for the Red Sox over the Yankees in 2009","2009BOS.EVA.regular.comment.csv",30
"BOS200906160",16,"$Ellsbury scored from 2B on an infield single","2009BOS.EVA.regular.comment.csv",31
"BOS200906180",41,"Game called for rain after 2:26 delay","2009BOS.EVA.regular.comment.csv",32
"BOS200906190",15,"fan interference","2009BOS.EVA.regular.comment.csv",33
"BOS200906210",3,"Chipper Jones objected to the called third strike","2009BOS.EVA.regular.comment.csv",34
"BOS200906210",57,"$the third pitch to J.D. Drew was called a ball and the Braves were not happy","2009BOS.EVA.regular.comment.csv",35
"BOS200906210",58,"ej,cox-b103,M,hohnb901,Balls and strikes ej,jonec004,P,hohnb901,Balls and strikes ej,oflae001,P,hohnb901,Balls and strikes Braves pitcher Eric O'Flaherty ejected by HP umpire Bill Hohn; Braves third baseman Chipper Jones came in towards the plate and was gesturing to Hohn; Jones was still upset about a called third strike in the first inning; Jones was ejected by Hohn; Braves manager Bobby Cox was ejected by Hohn","2009BOS.EVA.regular.comment.csv",36
"BOS200907050",25,"Mariners designated hitter Mike Sweeney left the game due to an injured back","2009BOS.EVA.regular.comment.csv",37
"BOS200907050",31,"$J.D. Drew made a sliding attempt to catch the ball about 10 feet in front of the RF pole; the ball rolled into the corner","2009BOS.EVA.regular.comment.csv",38
"BOS200907060",22,"Debut game for Aaron Bates","2009BOS.EVA.regular.comment.csv",39
"BOS200907090",9,"$the 300th career homer for David Ortiz","2009BOS.EVA.regular.comment.csv",40
"BOS200907100",40,"ej,ellsj001,P,cousd901,Throwing helmet after call at home $Mark Kotsay started for second on a steal attempt and got in a rundown; Ellsbury ran to the plate and was tagged out; he threw his helmet down and it bounced and rolled away; HP umpire Derryl Cousins ejected Ellsbury for throwing the helmet; Red Sox manager Terry Francona came out and yelled at Cousins for a bit, made some gestures and went back to the dugout","2009BOS.EVA.regular.comment.csv",41
"BOS200907110",38,"Royals pitcher Gil Meche left the game due to an injured back","2009BOS.EVA.regular.comment.csv",42
"BOS200907110",72,"$catcher Miguel Olivo's return throw to first went past Billy Butler; the Royals complained that Jason Varitek was in fair territory and should be called out for interference","2009BOS.EVA.regular.comment.csv",43
"BOS200907110",76,"ej,hillt801,M,ticht901,Interference non-call $after the end of the seventh inning, Royals manager Trey Hillman went on the field to disscuss the non-call on the interference with HP umpire Todd Tichenor, who eventually ejected Hillman","2009BOS.EVA.regular.comment.csv",44
"BOS200907280",12,"Debut game for Tommy Everidge","2009BOS.EVA.regular.comment.csv",45
"BOS200907280",31,"ej,gereb001,M,johna901,Balls and strikes Athletics Manager Bob Geren ejected by HP umpire Adrian Johnson after the first pitch to J.D. Drew","2009BOS.EVA.regular.comment.csv",46
"BOS200908110",4,"$Cabrera was hit on the back of the left hand","2009BOS.EVA.regular.comment.csv",47
"BOS200908110",11,"$a pitch to Victor Martinez was high and inside; he yelled at pitcher Rick Porcello","2009BOS.EVA.regular.comment.csv",48
"BOS200908110",15,"$Cabrera's hand hurt from being hit in the previous inning; he had trouble swinging the bat and was removed from the game","2009BOS.EVA.regular.comment.csv",49
"BOS200908110",17,"ej,youkk001,P,onorb901,Brawl after intentional HBP ej,porcr001,P,onorb901,Brawl after intentional HBP $Rick Porcello's pitch hit high on the back of Kevin Youkilis; Youk charged the mound, throwing his helmet at Porcello, who ran towards 1B; Youk tackled Porcello and they wrestled each other to the ground; both benches and bullpens emptied; Youk and Porcello were ejected by HP umpire Brian O'Nora","2009BOS.EVA.regular.comment.csv",50
"BOS200908110",21,"ej,frant001,M,barrs901,Call at 2B on steal attempt Red Sox Manager Terry Francona ejected by 2B umpire Scott Barry for arguing the call on J.D. Drew's steal attempt; Francona was already upset by a call in the first and the beanball war from the last two days","2009BOS.EVA.regular.comment.csv",51
"BOS200908210",1,"$Johnny Damon fouled a pitch off his leg","2009BOS.EVA.regular.comment.csv",52
"BOS200908210",7,"Yankees left fielder Johnny Damon left the game due to an injured knee","2009BOS.EVA.regular.comment.csv",53
"BOS200908210",30,"$Pedroia's fly off the wall down the left field line bounced past left fielder Eric Hinske and was fielded by Derek Jeter","2009BOS.EVA.regular.comment.csv",54
"BOS200908220",10,"$Yankees left fielder Eric Hinske misplayed a ball off the wall for the second consecutive day; SS Derek Jeter ran out to field the ball and his throw home was late","2009BOS.EVA.regular.comment.csv",55
"BOS200908220",14,"$Cano tried to slide around the tag of Pedroia, who was hit on the nose by Cano's helmet","2009BOS.EVA.regular.comment.csv",56
"BOS200908240",35,"$over the seats down the LF line onto Lansdowne Street","2009BOS.EVA.regular.comment.csv",57
"BOS200908250",51,"$the third strike to Alexei Ramirez was in the dirt, possibly striking the edge of home plate; it bounced off Jason Varitek's shin guard and went all the way to the backstop","2009BOS.EVA.regular.comment.csv",58
"BOS200908250",62,"$Quentin's popup was right behind the mound and not high enough for an infielder to catch; Okajima tried to catch it facing towards second base but dropped it","2009BOS.EVA.regular.comment.csv",59
"BOS200908250",63,"$the return throw from catcher Victor Martinez to pitcher Hideki Okajima was wild and went into center field, allowing Carlos Quentin to advance","2009BOS.EVA.regular.comment.csv",60
"BOS200908260",71,"$the 10th career game-ending homer for Ortiz and the 9th with Boston to set new Red Sox record, topping Jimmie Foxx","2009BOS.EVA.regular.comment.csv",61
"BOS200908270",50,"Red Sox center fielder Jacoby Ellsbury left the game due to an injured foot/ankle","2009BOS.EVA.regular.comment.csv",62
"BOS200908280",32,"$Scutaro was hit on the side of the helmet by a fastball; he suffered a head contusion and left the game for precautionary reasons","2009BOS.EVA.regular.comment.csv",63
"BOS200908280",69,"$Red Sox catcher Jason Varitek blocked the plate to prevent the run; 49 minute rain delay","2009BOS.EVA.regular.comment.csv",64
"BOS200909080",5,"$off the top of a billboard behind the Monster Seats and out of the park","2009BOS.EVA.regular.comment.csv",65
"BOS200909080",7,"$over the billboards behind the Monster Seats and out of the park","2009BOS.EVA.regular.comment.csv",66
"BOS200909080",25,"$the Red Sox hit five home runs in the first three innings; this is the first time the club has performed this feat","2009BOS.EVA.regular.comment.csv",67
"BOS200909080",48,"$the fly ball by Alex Gonzalez hit near the top of the LF wall; it was touched by a fan who leaned over from the first row of Monster Seats and declared fan interference","2009BOS.EVA.regular.comment.csv",68
"BOS200909080",54,"Debut game for Justin Turner","2009BOS.EVA.regular.comment.csv",69
"BOS200909090",21,"$Pedroia rounded first and ran 2/3 of the way to second and then stopped; he signalled Ellsbury to run to the plate; Pedroia started back towards first while Ellsbury hesitated; no one was covering first, so a run-down with Pedroia was impossible; when Ellsbury broke for the plate, Roberts threw home","2009BOS.EVA.regular.comment.csv",70
"BOS200909120",0,"$Two hour rain delay at start of game","2009BOS.EVA.regular.comment.csv",71
"BOS200909120",51,"$Game called for rain at 11:55 PM","2009BOS.EVA.regular.comment.csv",72
"BOS200909132",61,"ej,burrp001,P,barkl901,Balls and strikes (check swing) Rays pinch hitter Pat Burrell ejected by HP umpire Lance Barksdale for arguing the check swing call on strike three; the first words out of his mouth got him tossed","2009BOS.EVA.regular.comment.csv",73
"BOS200909160",70,"Angels designated hitter Vladimir Guerrero left the game due to an injured chest","2009BOS.EVA.regular.comment.csv",74
"BOS200909160",94,"$the Angels yelled about a check swing call on ball three to Nick Green and then were really upset at the call on ball four to tie the game","2009BOS.EVA.regular.comment.csv",75
"BOS200909280",48,"Debut game for Dustin Richardson","2009BOS.EVA.regular.comment.csv",76
"BOS200909280",66,"Game stopped early for rain","2009BOS.EVA.regular.comment.csv",77
"BOS200910010",32,"$the line drive struck Indians pitcher Carlos Carrasco on the leg; he suffered a left quadiceps bruise","2009BOS.EVA.regular.comment.csv",78
"BOS200910020",32,"Red Sox right fielder Rocco Baldelli left the game due to an injured leg","2009BOS.EVA.regular.comment.csv",79
"BOS200910040",43,"$Dustin Pedroia homered in his first and last at bats of the 2009 season","2009BOS.EVA.regular.comment.csv",80
"BOS200910040",62,"Indians left fielder Matt LaPorta left the game due to an injured foot/ankle","2009BOS.EVA.regular.comment.csv",81
