"NYA196804100",0,"$start of game delayed due to Martin Luther King's funeral","FILENAME_TX","LINE_NUMBER_CT"
"NYA196808272",37,"Lights on","1968NYA.EVA.regular.comment.csv",44
"NYA196809071",46,"Debut game for Jim Miles","1968NYA.EVA.regular.comment.csv",45
"NYA196809072",45,"Hit LF pole","1968NYA.EVA.regular.comment.csv",46
"NYA196809072",68,"$Fritz Peterson: 94 pitches","1968NYA.EVA.regular.comment.csv",47
"NYA196809080",72,"$Stan Bahnsen: 91 pitches","1968NYA.EVA.regular.comment.csv",48
"NYA196809102",28,"Debut game for Fred Rath","1968NYA.EVA.regular.comment.csv",49
"NYA196809102",70,"Drizzle","1968NYA.EVA.regular.comment.csv",50
"NYA196809110",78,"$Fritz Peterson: 117 pitches","1968NYA.EVA.regular.comment.csv",51
"NYA196809200",0,"$Umpire Cal Drummond ill","1968NYA.EVA.regular.comment.csv",52
"NYA196809220",45,"attempted squeeze","1968NYA.EVA.regular.comment.csv",53
"NYA196809241",0,"$Mel Stottlemyre: 87 pitches","1968NYA.EVA.regular.comment.csv",54
