"NYA198304130",43,"ej,winfd001,P,fordd901,Charging mound after brushback $a pitch was over Dave Winfield's head; he charged the mound and swung at Dave Rozema; Winfield ejected by HP umpire Dale Ford","FILENAME_TX","LINE_NUMBER_CT"
"NYA198306020",49,"Angels have S8","1983NYA.EVA.regular.comment.csv",20
"NYA198306020",74,"$five consecutive pinch-hitters for the Yankees","1983NYA.EVA.regular.comment.csv",21
"NYA198306190",1,"ej,molip001,P,johnm901,Called third strike (Threw bat) Paul Molitor ejected by HP umpire Mark Johnson for flipping his bat","1983NYA.EVA.regular.comment.csv",22
"NYA198306190",12,"Mark Brouhard injured","1983NYA.EVA.regular.comment.csv",23
"NYA198306290",34,"ej,bumba001,P,mckej901,Bench jockeying $Orioles Bumbry, not in game, ejected by HP umpire McKean for bench jockeying about balls and strikes","1983NYA.EVA.regular.comment.csv",24
"NYA198306300",1,"Debut game for Ray Fontenot","1983NYA.EVA.regular.comment.csv",25
"NYA198306300",91,"Debut game for Bob Meacham","1983NYA.EVA.regular.comment.csv",26
"NYA198307030",23,"SB may be later","1983NYA.EVA.regular.comment.csv",27
"NYA198307030",36,"SB may be later","1983NYA.EVA.regular.comment.csv",28
"NYA198307030",74,"SB may be with Armas or Evans at bat","1983NYA.EVA.regular.comment.csv",29
"NYA198307040",6,"SB may be with Winfield at bat","1983NYA.EVA.regular.comment.csv",30
"NYA198307040",31,"POCS2 may be with Newman at bat","1983NYA.EVA.regular.comment.csv",31
"NYA198307150",33,"Lou Piniella called for interference running down the line","1983NYA.EVA.regular.comment.csv",32
"NYA198307160",51,"SB may be with O'Brien at plate","1983NYA.EVA.regular.comment.csv",33
"NYA198307170",80,"Rangers sheet has D9","1983NYA.EVA.regular.comment.csv",34
"NYA198307240",0,"Suspend=19830818,,5,4,50 Protest=X","1983NYA.EVA.regular.comment.csv",35
"NYA198307240",22,"Willie Wilson injured shoulder diving for pop fly; left in sixth","1983NYA.EVA.regular.comment.csv",36
"NYA198307240",72,"ej,bretg001,P,mcclt901,Pine Tar call ej,colar101,C,mcclt901,Pine Tar call ej,howsd101,M,mcclt901,Pine Tar call ej,perrg101,P,mcclt901,Pine tar call suspended,19830818,NYC16,protest $this is George Brett's Pine Tar Home Run; when the Yankees objected to the amount of pine tar on the barrel of the bat, the umpires huddled and HP umpire Tim McClelland measured the bat against the front of HP; he pointed to the Royals bench and ruled Brett out; Brett charged out at McClelland and was restrained; Gaylord Perry tried to take the bat to the Royals clubhouse but was stopped by crew chief Joe Brinkman; the ruling that Brett was out for an illegal bat ended the game; Brett, Perry, Royals manager Dick Howser and Royals coach Rocky Colavito ejected by McClelland; the Royals protested the game and on 7/28 the ruling was reversed by AL President Lee McPhail, who ordered that the game resume from this point; the game was completed on 8/18 (an off-day for both teams), beginning at 6:05 PM; note Don Mattingly at 2B and Ron Guidry in CF upon resumption of the game","1983NYA.EVA.regular.comment.csv",37
"NYA198307240",72,"umpchange,9,umphome,malog901 umpchange,9,ump1b,welkt901 umpchange,9,ump2b,phild901 umpchange,9,ump3b,reedr901 $Yankees pitcher George Frazier appealed at 1B and 2B that George Brett had missed the bag; Yankees manager Billy Martin came out to argue that Brett had missed a base but crew chief Dave Phillips produced a notarized letter stating that both runners had touched all the bases and both runs counted","1983NYA.EVA.regular.comment.csv",38
"NYA198308050",62,"PB may be with Mattingly at bat","1983NYA.EVA.regular.comment.csv",39
"NYA198308060",32,"SB may be later in inning","1983NYA.EVA.regular.comment.csv",40
"NYA198308070",2,"CS may be later","1983NYA.EVA.regular.comment.csv",41
"NYA198308070",36,"SB may be later","1983NYA.EVA.regular.comment.csv",42
"NYA198308160",49,"Floyd Bannister suffered a broken blood vessel on left thumb from toss from Tom Paciorek earlier","1983NYA.EVA.regular.comment.csv",43
"NYA198308160",54,"ej,zimmd101,C,welkt901,Demanding balk call Yankees coach Don Zimmer ejected by 3B umpire Tim Welke demanding a balk; Yankees manager Billy Martin coaches","1983NYA.EVA.regular.comment.csv",44
"NYA198308200",6,"Angels sheet has 9","1983NYA.EVA.regular.comment.csv",45
"NYA198308200",46,"Angels sheet has 3/G","1983NYA.EVA.regular.comment.csv",46
"NYA198308200",57,"Angels sheet has 7","1983NYA.EVA.regular.comment.csv",47
"NYA198308210",52,"Angels sheet has S6","1983NYA.EVA.regular.comment.csv",48
"NYA198308210",63,"Angels sheet has T8","1983NYA.EVA.regular.comment.csv",49
"NYA198308220",28,"A's sheet has S9","1983NYA.EVA.regular.comment.csv",50
"NYA198308220",51,"A's sheet has S4","1983NYA.EVA.regular.comment.csv",51
"NYA198308220",87,"A's sheet has 3/G","1983NYA.EVA.regular.comment.csv",52
"NYA198308220",89,"SB may be with Almon at bat","1983NYA.EVA.regular.comment.csv",53
"NYA198308220",97,"A's sheet has S8","1983NYA.EVA.regular.comment.csv",54
"NYA198308230",2,"SB may be with Heath at bat","1983NYA.EVA.regular.comment.csv",55
"NYA198308230",17,"A's sheet has S5","1983NYA.EVA.regular.comment.csv",56
"NYA198308230",37,"SB may be with Heath at bat","1983NYA.EVA.regular.comment.csv",57
"NYA198308230",42,"A's sheet has T8","1983NYA.EVA.regular.comment.csv",58
"NYA198308230",52,"A's sheet has S9","1983NYA.EVA.regular.comment.csv",59
"NYA198308230",62,"DWS: this POE2 may not be correct","1983NYA.EVA.regular.comment.csv",60
"NYA198308230",75,"SB3 may be with Heath at bat","1983NYA.EVA.regular.comment.csv",61
"NYA198309090",42,"$Rich Dauer's throw went out of play behind HP","1983NYA.EVA.regular.comment.csv",62
"NYA198309090",68,"Debut game for Otis Nixon","1983NYA.EVA.regular.comment.csv",63
"NYA198309101",31,"$HP umpire Kunkel injured shoulder callin strike 3 on Murray and left at end of inning; 1B umpire Shulock went behind plate and 2B umpire Reed moved to 1st","1983NYA.EVA.regular.comment.csv",64
"NYA198309101",46,"umpchange,6,ump2b,mccol901 umpchange,6,ump3b,kunkb101 $Umpire Kunkel returned to game at 3rd and 3B umpire McCoy moved to 2nd","1983NYA.EVA.regular.comment.csv",65
"NYA198309102",21,"SB may be with Dwyer at bat","1983NYA.EVA.regular.comment.csv",66
"NYA198309110",63,"Debut game for Brian Dayett","1983NYA.EVA.regular.comment.csv",67
"NYA198309120",38,"PB may be with Moreno or Randolph at bat","1983NYA.EVA.regular.comment.csv",68
"NYA198309120",63,"SB may be with Baylor or Mattingly at bat","1983NYA.EVA.regular.comment.csv",69
"NYA198309130",56,"WP may be with Yount at bat","1983NYA.EVA.regular.comment.csv",70
"NYA198309140",49,"WP may be with Smalley or Moreno at bat","1983NYA.EVA.regular.comment.csv",71
"NYA198309230",1,"Julio Franco broke hamate bone, out rest of year","1983NYA.EVA.regular.comment.csv",72
"NYA198309240",11,"CS may be later","1983NYA.EVA.regular.comment.csv",73
"NYA198309250",15,"There is definitely an FLE5 somewhere in this inning","1983NYA.EVA.regular.comment.csv",74
"NYA198309250",41,"SB may be with Baylor at bat","1983NYA.EVA.regular.comment.csv",75
"NYA198309250",45,"ej,corrp102,M,neudj901,Balls and strikes $Indians manager Corrales ejected by HP umpire Neudecker for arguing balls and strikes during mound visit","1983NYA.EVA.regular.comment.csv",76
"NYA198309260",31,"WP may be with Harrah at bat","1983NYA.EVA.regular.comment.csv",77
"NYA198309270",46,"ej,houkr101,M,kaisk901,Call at 3B Red Sox manager Ralph Houk ejected by 3B umpire Ken Kaiser","1983NYA.EVA.regular.comment.csv",78
"NYA198309270",51,"SB may be Moreno at bat","1983NYA.EVA.regular.comment.csv",79
"NYA198309290",57,"SB may be with Moreno at bat","1983NYA.EVA.regular.comment.csv",80
