"PIT201904010",10,"Mound Visit"FILENAME_TX","LINE_NUMBER_CT"
"PIT201905030",40,"$Pirates challenged call that Phegley was safe at home; call was overturned - out trying to score"2019PIT.EVN.regular.comment.csv",96

"PIT201905030",46,"Injury Delay"2019PIT.EVN.regular.comment.csv",97

"PIT201905030",60,"Mound Visit"2019PIT.EVN.regular.comment.csv",98

"PIT201905030",83,"Mound Visit"2019PIT.EVN.regular.comment.csv",99

"PIT201905040",5,"Mound Visit"2019PIT.EVN.regular.comment.csv",100

"PIT201905040",7,"Mound Visit"2019PIT.EVN.regular.comment.csv",101

"PIT201905040",30,"Mound Visit"2019PIT.EVN.regular.comment.csv",102

"PIT201905040",43,"$Athletics challenged call that Marte was safe at 1st; call was overturned - ground out"2019PIT.EVN.regular.comment.csv",103

"PIT201905040",51,"Mound Visit"2019PIT.EVN.regular.comment.csv",104

"PIT201905040",55,"Mound Visit"2019PIT.EVN.regular.comment.csv",105

"PIT201905040",55,"On-field Delay $Kela left with injured shoulder"2019PIT.EVN.regular.comment.csv",106

"PIT201905040",65,"Mound Visit"2019PIT.EVN.regular.comment.csv",107

"PIT201905040",73,"$Athletics challenged call that Polanco was safe at 1st; call was upheld - single"2019PIT.EVN.regular.comment.csv",108

"PIT201905050",12,"$Davis left with an injured hip"2019PIT.EVN.regular.comment.csv",109

"PIT201905050",32,"Injury Delay"2019PIT.EVN.regular.comment.csv",110

"PIT201905050",33,"Mound Visit"2019PIT.EVN.regular.comment.csv",111

"PIT201905050",37,"Mound Visit"2019PIT.EVN.regular.comment.csv",112

"PIT201905050",45,"Mound Visit"2019PIT.EVN.regular.comment.csv",113

"PIT201905050",50,"Mound Visit"2019PIT.EVN.regular.comment.csv",114

"PIT201905050",51,"Mound Visit"2019PIT.EVN.regular.comment.csv",115

"PIT201905050",93,"Mound Visit"2019PIT.EVN.regular.comment.csv",116

"PIT201905050",102,"Mound Visit"2019PIT.EVN.regular.comment.csv",117

"PIT201905070",7,"$Rangers challenged call that Polanco was safe at 2nd; call was overturned - caught stealing"2019PIT.EVN.regular.comment.csv",118

"PIT201905070",28,"Mound Visit"2019PIT.EVN.regular.comment.csv",119

"PIT201905070",35,"Mound Visit"2019PIT.EVN.regular.comment.csv",120

"PIT201905070",48,"Mound Visit"2019PIT.EVN.regular.comment.csv",121

"PIT201905070",51,"Mound Visit"2019PIT.EVN.regular.comment.csv",122

"PIT201905070",57,"Mound Visit"2019PIT.EVN.regular.comment.csv",123

"PIT201905070",60,"Mound Visit"2019PIT.EVN.regular.comment.csv",124

"PIT201905070",60,"Injury Delay"2019PIT.EVN.regular.comment.csv",125

"PIT201905080",6,"Mound Visit"2019PIT.EVN.regular.comment.csv",126

"PIT201905080",34,"Mound Visit"2019PIT.EVN.regular.comment.csv",127

"PIT201905080",36,"Mound Visit"2019PIT.EVN.regular.comment.csv",128

"PIT201905080",37,"Mound Visit"2019PIT.EVN.regular.comment.csv",129

"PIT201905080",71,"Mound Visit"2019PIT.EVN.regular.comment.csv",130

"PIT201905080",74,"Mound Visit"2019PIT.EVN.regular.comment.csv",131

"PIT201905210",27,"Mound Visit"2019PIT.EVN.regular.comment.csv",132

"PIT201905210",33,"Injury Delay"2019PIT.EVN.regular.comment.csv",133

"PIT201905210",41,"Mound Visit"2019PIT.EVN.regular.comment.csv",134

"PIT201905210",42,"$Cervelli left with chest injury, hurt on foul ball in top of 5th"2019PIT.EVN.regular.comment.csv",135

"PIT201905210",64,"Injury Delay"2019PIT.EVN.regular.comment.csv",136

"PIT201905210",65,"ej,hurdc001,M,ticht901,Arguing review $Pirates challenged call that Elmore was out at 1st; call was upheld - ground out, even though replay showed pitcher grabbed Elmore's shirt with his bare hand, but did not tag him with the which was in his gloved hand; Pittsburgh manager Hurdle ejected by HP umpire Tichenor for arguing a review, which is not allowed"2019PIT.EVN.regular.comment.csv",137

"PIT201905220",6,"Mound Visit"2019PIT.EVN.regular.comment.csv",138

"PIT201905220",27,"Mound Visit"2019PIT.EVN.regular.comment.csv",139

"PIT201905220",34,"$Pirates challenged call that Story was safe at 2nd; call was overturned - caught stealing"2019PIT.EVN.regular.comment.csv",140

"PIT201905220",43,"Mound Visit"2019PIT.EVN.regular.comment.csv",141

"PIT201905220",59,"$Pirates challenged call that Reynolds was out at 1st to complete DP; call was overturned - force out, safe at 1st"2019PIT.EVN.regular.comment.csv",142

"PIT201905230",12,"Mound Visit"2019PIT.EVN.regular.comment.csv",143

"PIT201905230",30,"Mound Visit"2019PIT.EVN.regular.comment.csv",144

"PIT201905230",35,"$Rockies challenged call that Marte was safe at 2nd; call was upheld - double"2019PIT.EVN.regular.comment.csv",145

"PIT201905230",37,"Mound Visit"2019PIT.EVN.regular.comment.csv",146

"PIT201905230",50,"Mound Visit"2019PIT.EVN.regular.comment.csv",147

"PIT201905230",53,"Mound Visit"2019PIT.EVN.regular.comment.csv",148

"PIT201905230",69,"Mound Visit"2019PIT.EVN.regular.comment.csv",149

"PIT201905230",72,"Mound Visit"2019PIT.EVN.regular.comment.csv",150

"PIT201905240",3,"Mound Visit"2019PIT.EVN.regular.comment.csv",151

"PIT201905240",7,"Mound Visit"2019PIT.EVN.regular.comment.csv",152

"PIT201905240",25,"Mound Visit"2019PIT.EVN.regular.comment.csv",153

"PIT201905240",54,"Injury Delay"2019PIT.EVN.regular.comment.csv",154

"PIT201905240",63,"Mound Visit"2019PIT.EVN.regular.comment.csv",155

"PIT201905250",32,"Mound Visit Injury Delay"2019PIT.EVN.regular.comment.csv",156

"PIT201905250",33,"$On third pitch Pedersen broke his bat and the barrel hit Cervelli in the head; he left in next inning and was placed on the 7-day concussion IL"2019PIT.EVN.regular.comment.csv",157

"PIT201905250",34,"Mound Visit"2019PIT.EVN.regular.comment.csv",158

"PIT201905250",41,"Mound Visit"2019PIT.EVN.regular.comment.csv",159

"PIT201905260",38,"Mound Visit"2019PIT.EVN.regular.comment.csv",160

"PIT201905260",42,"Mound Visit"2019PIT.EVN.regular.comment.csv",161

"PIT201905260",53,"Mound Visit"2019PIT.EVN.regular.comment.csv",162

"PIT201905260",54,"Mound Visit $Run originally scored as unearned, changed to earned on 05-28-2019"2019PIT.EVN.regular.comment.csv",163

"PIT201905260",57,"Injury Delay"2019PIT.EVN.regular.comment.csv",164

"PIT201905260",58,"$Barnes left with injured groin"2019PIT.EVN.regular.comment.csv",165

"PIT201905260",61,"Mound Visit"2019PIT.EVN.regular.comment.csv",166

"PIT201905260",63,"Mound Visit"2019PIT.EVN.regular.comment.csv",167

"PIT201905260",64,"$Dodgers challenged call that Newman was safe at 1st; call was overturned - ground out"2019PIT.EVN.regular.comment.csv",168

"PIT201905260",69,"Mound Visit"2019PIT.EVN.regular.comment.csv",169

"PIT201905300",6,"Mound Visit"2019PIT.EVN.regular.comment.csv",170

"PIT201905300",20,"Mound Visit"2019PIT.EVN.regular.comment.csv",171

"PIT201905300",48,"Mound Visit"2019PIT.EVN.regular.comment.csv",172

"PIT201905300",65,"$Pirates challenged call that Tucker was out at 2nd; call was upheld - force out"2019PIT.EVN.regular.comment.csv",173

"PIT201905300",72,"$Umpire review call that Moustakas was safe at 2nd; call was upheld - single and safe advancing on throw On-field Delay"2019PIT.EVN.regular.comment.csv",174

"PIT201905300",73,"Mound Visit"2019PIT.EVN.regular.comment.csv",175

"PIT201905300",77,"Mound Visit"2019PIT.EVN.regular.comment.csv",176

"PIT201905300",79,"Mound Visit"2019PIT.EVN.regular.comment.csv",177

"PIT201905300",80,"Mound Visit"2019PIT.EVN.regular.comment.csv",178

"PIT201905300",87,"Mound Visit"2019PIT.EVN.regular.comment.csv",179

"PIT201905310",11,"Injury Delay"2019PIT.EVN.regular.comment.csv",180

"PIT201905310",25,"Mound Visit"2019PIT.EVN.regular.comment.csv",181

"PIT201905310",29,"Mound Visit"2019PIT.EVN.regular.comment.csv",182

"PIT201905310",37,"Mound Visit"2019PIT.EVN.regular.comment.csv",183

"PIT201905310",53,"Mound Visit"2019PIT.EVN.regular.comment.csv",184

"PIT201905310",60,"Mound Visit"2019PIT.EVN.regular.comment.csv",185

"PIT201906010",32,"Mound Visit"2019PIT.EVN.regular.comment.csv",186

"PIT201906010",34,"Mound Visit"2019PIT.EVN.regular.comment.csv",187

"PIT201906010",49,"Mound Visit"2019PIT.EVN.regular.comment.csv",188

"PIT201906010",50,"Mound Visit"2019PIT.EVN.regular.comment.csv",189

"PIT201906010",51,"Mound Visit"2019PIT.EVN.regular.comment.csv",190

"PIT201906010",52,"$Pirates challenged call that Diaz was out at 2nd; call was upheld - out advancing"2019PIT.EVN.regular.comment.csv",191

"PIT201906010",57,"Mound Visit"2019PIT.EVN.regular.comment.csv",192

"PIT201906010",58,"$Umpire review of ball hit by Yelich; call upheld - homer"2019PIT.EVN.regular.comment.csv",193

"PIT201906010",67,"Mound Visit"2019PIT.EVN.regular.comment.csv",194

"PIT201906010",68,"Mound Visit"2019PIT.EVN.regular.comment.csv",195

"PIT201906010",77,"Mound Visit"2019PIT.EVN.regular.comment.csv",196

"PIT201906010",85,"Mound Visit"2019PIT.EVN.regular.comment.csv",197

"PIT201906010",87,"$Moutakas left with an injured hand"2019PIT.EVN.regular.comment.csv",198

"PIT201906010",90,"Injury Delay"2019PIT.EVN.regular.comment.csv",199

"PIT201906010",93,"Injury Delay"2019PIT.EVN.regular.comment.csv",200

"PIT201906010",97,"Mound Visit"2019PIT.EVN.regular.comment.csv",201

"PIT201906010",110,"Mound Visit"2019PIT.EVN.regular.comment.csv",202

"PIT201906010",117,"Mound Visit"2019PIT.EVN.regular.comment.csv",203

"PIT201906010",129,"$Brewers challenged call that Diaz was safe at 1st; call was overturned -out to complete DP and end game"2019PIT.EVN.regular.comment.csv",204

"PIT201906020",10,"Mound Visit"2019PIT.EVN.regular.comment.csv",205

"PIT201906020",57,"Mound Visit"2019PIT.EVN.regular.comment.csv",206

"PIT201906020",70,"Mound Visit"2019PIT.EVN.regular.comment.csv",207

"PIT201906020",72,"Mound Visit"2019PIT.EVN.regular.comment.csv",208

"PIT201906040",12,"Mound Visit"2019PIT.EVN.regular.comment.csv",209

"PIT201906040",19,"Mound Visit"2019PIT.EVN.regular.comment.csv",210

"PIT201906040",29,"Mound Visit"2019PIT.EVN.regular.comment.csv",211

"PIT201906040",44,"Injury Delay"2019PIT.EVN.regular.comment.csv",212

"PIT201906040",61,"Mound Visit"2019PIT.EVN.regular.comment.csv",213

"PIT201906040",68,"Mound Visit"2019PIT.EVN.regular.comment.csv",214

"PIT201906040",74,"Mound Visit"2019PIT.EVN.regular.comment.csv",215

"PIT201906040",85,"Mound Visit"2019PIT.EVN.regular.comment.csv",216

"PIT201906050",20,"Mound Visit"2019PIT.EVN.regular.comment.csv",217

"PIT201906050",28,"Mound Visit"2019PIT.EVN.regular.comment.csv",218

"PIT201906050",45,"$Pirates challenged call that Polanco was out at 2nd; call was overturned - stolen base"2019PIT.EVN.regular.comment.csv",219

"PIT201906050",57,"Mound Visit"2019PIT.EVN.regular.comment.csv",220

"PIT201906050",63,"Mound Visit"2019PIT.EVN.regular.comment.csv",221

"PIT201906050",70,"Mound Visit"2019PIT.EVN.regular.comment.csv",222

"PIT201906060",15,"Mound Visit"2019PIT.EVN.regular.comment.csv",223

"PIT201906060",48,"Mound Visit"2019PIT.EVN.regular.comment.csv",224

"PIT201906060",49,"Mound Visit"2019PIT.EVN.regular.comment.csv",225

"PIT201906060",50,"$Pirates challenged call that McCann was safe at 3rd; call was upheld - safe"2019PIT.EVN.regular.comment.csv",226

"PIT201906060",57,"Mound Visit"2019PIT.EVN.regular.comment.csv",227

"PIT201906060",60,"Mound Visit"2019PIT.EVN.regular.comment.csv",228

"PIT201906060",62,"$originally scored as single, changed to error on 06-21-2019, making all runs in inning unearned"2019PIT.EVN.regular.comment.csv",229

"PIT201906060",63,"Mound Visit"2019PIT.EVN.regular.comment.csv",230

"PIT201906060",69,"Mound Visit"2019PIT.EVN.regular.comment.csv",231

"PIT201906180",21,"Mound Visit"2019PIT.EVN.regular.comment.csv",232

"PIT201906180",41,"Mound Visit"2019PIT.EVN.regular.comment.csv",233

"PIT201906180",51,"Mound Visit"2019PIT.EVN.regular.comment.csv",234

"PIT201906180",55,"Mound Visit"2019PIT.EVN.regular.comment.csv",235

"PIT201906180",56,"Mound Visit"2019PIT.EVN.regular.comment.csv",236

"PIT201906180",59,"Mound Visit"2019PIT.EVN.regular.comment.csv",237

"PIT201906180",71,"Mound Visit"2019PIT.EVN.regular.comment.csv",238

"PIT201906180",72,"$Pirates challenged call that Dickerson was out at 1st; call Was upheld - ground out"2019PIT.EVN.regular.comment.csv",239

"PIT201906190",25,"Mound Visit"2019PIT.EVN.regular.comment.csv",240

"PIT201906190",57,"Mound Visit"2019PIT.EVN.regular.comment.csv",241

"PIT201906190",58,"Mound Visit"2019PIT.EVN.regular.comment.csv",242

"PIT201906210",52,"Mound Visit"2019PIT.EVN.regular.comment.csv",243

"PIT201906210",58,"Mound Visit"2019PIT.EVN.regular.comment.csv",244

"PIT201906220",29,"Mound Visit"2019PIT.EVN.regular.comment.csv",245

"PIT201906220",30,"Mound Visit"2019PIT.EVN.regular.comment.csv",246

"PIT201906220",37,"Mound Visit"2019PIT.EVN.regular.comment.csv",247

"PIT201906220",52,"Mound Visit"2019PIT.EVN.regular.comment.csv",248

"PIT201906220",69,"Mound Visit"2019PIT.EVN.regular.comment.csv",249

"PIT201906220",77,"Mound Visit"2019PIT.EVN.regular.comment.csv",250

"PIT201906230",4,"$Umpire review play at home; call was overturned - safe; play was originally scored as SF, but per rule 9.08(d) SF remvoed on 06-25-2019"2019PIT.EVN.regular.comment.csv",251

"PIT201906230",6,"Mound Visit"2019PIT.EVN.regular.comment.csv",252

"PIT201906230",11,"$Pirates challenged call that Margot was safe at 1st; call was overturned - ground out"2019PIT.EVN.regular.comment.csv",253

"PIT201906230",23,"$Padres challenged call that Osuna was safe at 2nd; call was upheld - double"2019PIT.EVN.regular.comment.csv",254

"PIT201906230",26,"Mound Visit"2019PIT.EVN.regular.comment.csv",255

"PIT201906230",34,"Mound Visit"2019PIT.EVN.regular.comment.csv",256

"PIT201906230",42,"Mound Visit"2019PIT.EVN.regular.comment.csv",257

"PIT201906230",54,"Mound Visit"2019PIT.EVN.regular.comment.csv",258

"PIT201906230",66,"Mound Visit"2019PIT.EVN.regular.comment.csv",259

"PIT201906230",71,"Mound Visit"2019PIT.EVN.regular.comment.csv",260

"PIT201906230",85,"Mound Visit"2019PIT.EVN.regular.comment.csv",261

"PIT201906230",89,"Mound Visit"2019PIT.EVN.regular.comment.csv",262

"PIT201906230",104,"Mound Visit"2019PIT.EVN.regular.comment.csv",263

"PIT201906230",107,"Mound Visit"2019PIT.EVN.regular.comment.csv",264

"PIT201906230",110,"Mound Visit"2019PIT.EVN.regular.comment.csv",265

"PIT201906230",111,"$Pirates challenged call that ball hit by Stallings was in play, claiming it was a home rune; call was upheld - single"2019PIT.EVN.regular.comment.csv",266

"PIT201907010",5,"Mound Visit"2019PIT.EVN.regular.comment.csv",267

"PIT201907010",23,"Mound Visit"2019PIT.EVN.regular.comment.csv",268

"PIT201907010",32,"Mound Visit Mound Visit"2019PIT.EVN.regular.comment.csv",269

"PIT201907010",36,"Mound Visit"2019PIT.EVN.regular.comment.csv",270

"PIT201907010",40,"Mound Visit Mound Visit $Pirates challenged call that Caratini was out at home; call was upheld - out"2019PIT.EVN.regular.comment.csv",271

"PIT201907010",64,"Mound Visit"2019PIT.EVN.regular.comment.csv",272

"PIT201907020",31,"Mound Visit"2019PIT.EVN.regular.comment.csv",273

"PIT201907020",57,"Mound Visit"2019PIT.EVN.regular.comment.csv",274

"PIT201907020",66,"Mound Visit"2019PIT.EVN.regular.comment.csv",275

"PIT201907030",18,"Mound Visit"2019PIT.EVN.regular.comment.csv",276

"PIT201907030",23,"Mound Visit Mound Visit"2019PIT.EVN.regular.comment.csv",277

"PIT201907030",27,"Mound Visit"2019PIT.EVN.regular.comment.csv",278

"PIT201907030",40,"Mound Visit"2019PIT.EVN.regular.comment.csv",279

"PIT201907030",52,"Mound Visit"2019PIT.EVN.regular.comment.csv",280

"PIT201907030",55,"Mound Visit"2019PIT.EVN.regular.comment.csv",281

"PIT201907030",61,"Mound Visit"2019PIT.EVN.regular.comment.csv",282

"PIT201907030",62,"Mound Visit"2019PIT.EVN.regular.comment.csv",283

"PIT201907030",68,"$Cubs challenged call that Marte was safe at 1st; call was overturned - out on pickoff"2019PIT.EVN.regular.comment.csv",284

"PIT201907030",78,"Mound Visit"2019PIT.EVN.regular.comment.csv",285

"PIT201907040",25,"Mound Visit"2019PIT.EVN.regular.comment.csv",286

"PIT201907040",29,"Mound Visit"2019PIT.EVN.regular.comment.csv",287

"PIT201907040",35,"Injury Delay On-field Delay Injury Delay"2019PIT.EVN.regular.comment.csv",288

"PIT201907040",35,"ej,maddj801,M,westj901,Arguing pitches were intentionally high and inside $Chicago manager Maddon ejected by HP umpire West for coming onto field to challenge Pittsburgh manager Hurdle for the inside pitches that the Pirates were thrown; Baez had foul ball when he ducked a pitch which hit the knob of the bat"2019PIT.EVN.regular.comment.csv",289

"PIT201907040",42,"Mound Visit"2019PIT.EVN.regular.comment.csv",290

"PIT201907040",43,"Mound Visit"2019PIT.EVN.regular.comment.csv",291

"PIT201907040",45,"Injury Delay $Bote hit on helmet, game delayed for several minutes, but he remained and there were no ejections"2019PIT.EVN.regular.comment.csv",292

"PIT201907040",46,"$Pirates challenged call that Garcia was safe at home; call was overturned - force out at home"2019PIT.EVN.regular.comment.csv",293

"PIT201907040",48,"Mound Visit"2019PIT.EVN.regular.comment.csv",294

"PIT201907050",32,"$Umpire review of ball hit by Moran; call upheld - foul, not homer"2019PIT.EVN.regular.comment.csv",295

"PIT201907050",36,"Injury Delay"2019PIT.EVN.regular.comment.csv",296

"PIT201907050",36,"$Brault left with an injured shoulder"2019PIT.EVN.regular.comment.csv",297

"PIT201907050",51,"Mound Visit"2019PIT.EVN.regular.comment.csv",298

"PIT201907050",61,"Mound Visit"2019PIT.EVN.regular.comment.csv",299

"PIT201907050",62,"Mound Visit"2019PIT.EVN.regular.comment.csv",300

"PIT201907050",63,"On-field Delay Injury Delay"2019PIT.EVN.regular.comment.csv",301

"PIT201907050",71,"Mound Visit"2019PIT.EVN.regular.comment.csv",302

"PIT201907050",74,"Mound Visit"2019PIT.EVN.regular.comment.csv",303

"PIT201907050",84,"Mound Visit"2019PIT.EVN.regular.comment.csv",304

