"BOS200704100",11,"fan interference","FILENAME_TX","LINE_NUMBER_CT"
"BOS200706300",17,"Debut game for Jacoby Ellsbury","2007BOS.EVA.regular.comment.csv",28
"BOS200707020",21,"fan interference","2007BOS.EVA.regular.comment.csv",29
"BOS200707050",64,"$Devil Rays catcher Dioner Navarro collided with Josh Beckett behind 1B; he had to be helped off the field and was taken to the hospital for x-rays he left the game due to an injured head","2007BOS.EVA.regular.comment.csv",30
"BOS200707120",66,"ej,gibbj001,M,hirsj901,Call at 1B Blue Jays Manager John Gibbons ejected by 1B umpire John Hirschbeck for arguing the call at first; replays showed that Overbay tagged Lugo","2007BOS.EVA.regular.comment.csv",31
"BOS200707120",74,"the foul that Ortiz hit for strike 2 was directly onto his already damaged right knee (torn meniscus since 2006)","2007BOS.EVA.regular.comment.csv",32
"BOS200707130",34,"Red Sox right fielder J. D. Drew left the game due to an injured leg","2007BOS.EVA.regular.comment.csv",33
"BOS200707190",0,"$1:56 rain delay before start","2007BOS.EVA.regular.comment.csv",34
"BOS200707200",10,"ej,frant001,M,mcclt901,Non home run call over LF wall $the ball hit above the wall but was ruled in play; the apparent 3-run homer turned into 1 run and an out at the plate; Red Sox Manager Terry Francona ejected by 3B umpire Tim McClelland while arguing the call","2007BOS.EVA.regular.comment.csv",35
"BOS200707200",42,"$Ortiz strained his left shoulder on the slide","2007BOS.EVA.regular.comment.csv",36
"BOS200707200",56,"Red Sox designated hitter David Ortiz left the game due to a left shoulder strain","2007BOS.EVA.regular.comment.csv",37
"BOS200707200",67,"Debut game for Ehren Wassermann","2007BOS.EVA.regular.comment.csv",38
"BOS200708171",1,"Debut game for Clay Buchholz","2007BOS.EVA.regular.comment.csv",39
"BOS200708171",15,"Red Sox catcher Doug Mirabelli left the game due to a strained right calf","2007BOS.EVA.regular.comment.csv",40
"BOS200708172",77,"ej,youkk001,P,rungb901,Checked swing ej,frant001,M,wegnm901,Checked swing $Kevin Youkilis tipped the third pitch on a check swing and was called out on appeal by 1B umpire Mark Wegner; Youkilis ejected by HP umpire Brian Runge; Red Sox Manager Terry Francona ejected by 1B umpire Wegner for arguing","2007BOS.EVA.regular.comment.csv",41
"BOS200708190",43,"Angels second baseman Erick Aybar left the game due to an injured leg","2007BOS.EVA.regular.comment.csv",42
"BOS200708310",11,"$J. D. Drew fouled a ball off his foot","2007BOS.EVA.regular.comment.csv",43
"BOS200708310",16,"Red Sox right fielder J. D. Drew left the game due to an injured foot","2007BOS.EVA.regular.comment.csv",44
"BOS200708310",32,"ej,tremd801,M,westj901,Obstruction non-call Orioles Manager Dave Trembley ejected by 1B umpire Joe West; he came out to ask 3B umpire Ed Hickox whether catcher Kevin Cash obstructed a runner; West came over and ejected Trembley","2007BOS.EVA.regular.comment.csv",45
"BOS200709010",0,"$Clay Buchholz threw a no hitter in his second major league start","2007BOS.EVA.regular.comment.csv",46
"BOS200709150",40,"Youkilis was hit on the right wrist and left with a bruised wrist","2007BOS.EVA.regular.comment.csv",47
"BOS200709150",76,"Debut game for Bronson Sardinha","2007BOS.EVA.regular.comment.csv",48
"BOS200709270",40,"Red Sox center fielder Jacoby Ellsbury left the game due to an injured leg","2007BOS.EVA.regular.comment.csv",49
"BOS200709290",13,"$Twins messed up rundown; Ellsbury out on grounder that was fielded in baseline, but Youkilis got back to first without a throw","2007BOS.EVA.regular.comment.csv",50
