"ANA201204160",36,"originally scored as single and error, changed to double on 4-18"FILENAME_TX","LINE_NUMBER_CT"
"ANA201208300",66,"$Erick Aybar called for interference for running into his own bunt"2012ANA.EVA.regular.comment.csv",23

"ANA201209080",16,"umpchange,2,umphome,timmt901 umpchange,2,ump1b,carav901 umpchange,2,ump2b,(None) $Torii Hunter fouled off the second pitch and the ball struck HP umpire Jeff Kellogg on the mask; Kellogg went down to one knee and was treated by the Angels trainer; crew chief Kellogg left the game; 1B umpire Tim Timmons moved to HP and 2B umpire Vic Carapazza moved to 1B"2012ANA.EVA.regular.comment.csv",24

"ANA201209080",27,"$Tigers third baseman Miguel Cabrera was not happy with the called second strike and spoke to HP umpire Tim Timmons about it; when Timmons pointed at Cabrera, Prince Fielder walked out and Tigers manager Jim Leyland came out from the bench to make sure Cabrera did not get ejected"2012ANA.EVA.regular.comment.csv",25

"ANA201209080",29,"ej,cabrm001,P,timmt901,Balls and strikes ej,lamog101,C,timmt901,Balls and strikes Tigers third baseman Miguel Cabrera ejected by HP umpire Tim Timmons as he returned to the field; Tigers Third Base Coach Gene Lamont ejected while talking to the umpires by Timmons"2012ANA.EVA.regular.comment.csv",26

"ANA201209080",29,"Angels third baseman Maicer Izturis left the game due to an injured chest"2012ANA.EVA.regular.comment.csv",27

"ANA201209080",68,"$Mike Trout caught the ball over the wall, taking a home run away from Prince Fielder"2012ANA.EVA.regular.comment.csv",28

"ANA201209100",29,"$originally scored as E6, changed to single on 9-12-2012"2012ANA.EVA.regular.comment.csv",29

"ANA201209130",31,"Athletics center fielder Yoenis Cespedes left the game due to an injured wrist"2012ANA.EVA.regular.comment.csv",30

"ANA201209180",38,"Rangers pitcher Tanner Scheppers left the game due to an injured knee"2012ANA.EVA.regular.comment.csv",31

"ANA201209220",35,"ej,ventr001,M,hicke901,Balk call $White Sox 1B Paul Konerko was well off the bag and not holding the runner on when Jose Quintana made a pickoff throw; the throw was to Konerko not the bag, which is a balk in the rule book; 1B umpire Ed Hickox immediately called the balk; White Sox Manager Robin Ventura ejected by Hickox"2012ANA.EVA.regular.comment.csv",32

"ANA201209230",35,"fan interference"2012ANA.EVA.regular.comment.csv",33

"ANA201209250",29,"replay,4,smoaj001,SEA,cedeg901,ANA01,O,N,I,,H $Justin Smoak's fly ball hit the padding on top of the scoreboard in RF and caromed back onto the field; it was ruled a home run; crew chief Gary Cederstrom watched the replay and upheld the call"2012ANA.EVA.regular.comment.csv",34

"ANA201209270",47,"Mariners center fielder Franklin Gutierrez left the game due to an injured wrist"2012ANA.EVA.regular.comment.csv",35

