"ATL201803290",13,"$Tyler Flowers left the game with an injured side","FILENAME_TX","LINE_NUMBER_CT"
"ATL201806170",18,"$Kurt Suzuki left with an injured head when he was hit by bat on strike 3 to Lopez in top of second","2018ATL.EVN.regular.comment.csv",34
"ATL201806220",68,"$Fan interference","2018ATL.EVN.regular.comment.csv",35
"ATL201806220",113,"$Braves challenged call that Albies was out at first; call was upheld - ground out","2018ATL.EVN.regular.comment.csv",36
"ATL201806230",7,"$Umpire reviewed ball hit on 5th pitch; call was upheld - foul","2018ATL.EVN.regular.comment.csv",37
"ATL201806260",39,"$Anibal Sanchez left with an injured leg","2018ATL.EVN.regular.comment.csv",38
"ATL201806260",66,"$Amir Garrett left with an injured leg","2018ATL.EVN.regular.comment.csv",39
"ATL201806270",3,"ej,vottj001,P,torrc901,Arguing called third strike $Joey Votto ejected by HP umpire Carlos Torres for arguing called third strike","2018ATL.EVN.regular.comment.csv",40
"ATL201806270",43,"$Reds challenged call that Santana was hit by pitch; call was upheld - hit by pitch","2018ATL.EVN.regular.comment.csv",41
"ATL201807100",47,"Mound Visit","2018ATL.EVN.regular.comment.csv",42
"ATL201807100",51,"Mound Visit","2018ATL.EVN.regular.comment.csv",43
"ATL201807100",63,"Mound Visit","2018ATL.EVN.regular.comment.csv",44
"ATL201807100",70,"Mound Visit","2018ATL.EVN.regular.comment.csv",45
"ATL201807110",4,"Injury Delay","2018ATL.EVN.regular.comment.csv",46
"ATL201807110",18,"Mound Visit","2018ATL.EVN.regular.comment.csv",47
"ATL201807110",22,"Mound Visit","2018ATL.EVN.regular.comment.csv",48
"ATL201807110",45,"$Blue Jays challenged call that Santana was safe at first; call was overturned - ground out","2018ATL.EVN.regular.comment.csv",49
"ATL201807110",58,"Mound Visit","2018ATL.EVN.regular.comment.csv",50
"ATL201807110",60,"Mound Visit","2018ATL.EVN.regular.comment.csv",51
"ATL201807110",74,"Mound Visit","2018ATL.EVN.regular.comment.csv",52
"ATL201807130",11,"$Braves challenged call that Souza was safe at second on pickoff attempt; call was overturned - out on pickoff","2018ATL.EVN.regular.comment.csv",53
"ATL201807130",50,"Mound Visit","2018ATL.EVN.regular.comment.csv",54
"ATL201807130",52,"On-field Delay","2018ATL.EVN.regular.comment.csv",55
"ATL201807130",60,"Mound Visit","2018ATL.EVN.regular.comment.csv",56
"ATL201807140",4,"Mound Visit","2018ATL.EVN.regular.comment.csv",57
"ATL201807140",41,"Mound Visit","2018ATL.EVN.regular.comment.csv",58
"ATL201807140",52,"Mound Visit","2018ATL.EVN.regular.comment.csv",59
"ATL201807140",60,"Mound Visit","2018ATL.EVN.regular.comment.csv",60
"ATL201807140",61,"Mound Visit","2018ATL.EVN.regular.comment.csv",61
"ATL201807150",22,"Mound Visit","2018ATL.EVN.regular.comment.csv",62
"ATL201807150",32,"On-field Delay","2018ATL.EVN.regular.comment.csv",63
"ATL201807150",50,"Mound Visit","2018ATL.EVN.regular.comment.csv",64
"ATL201807150",62,"Mound Visit","2018ATL.EVN.regular.comment.csv",65
"ATL201807260",41,"$Dodgers challenged call that Kemp was out at first to complete double play; call was overturned - force out, no DP","2018ATL.EVN.regular.comment.csv",66
"ATL201807260",50,"Mound Visit","2018ATL.EVN.regular.comment.csv",67
"ATL201807260",54,"Mound Visit","2018ATL.EVN.regular.comment.csv",68
"ATL201807260",63,"Mound Visit $Originally scored as single with RBI scoring first run, changed on 08-01-2018 to fielder's choice, but RBI remains","2018ATL.EVN.regular.comment.csv",69
"ATL201807260",78,"$Dodgers challenged call that Tucker was safe at second; call was upheld - double","2018ATL.EVN.regular.comment.csv",70
"ATL201807270",27,"Mound Visit","2018ATL.EVN.regular.comment.csv",71
"ATL201807270",45,"Mound Visit","2018ATL.EVN.regular.comment.csv",72
"ATL201807270",66,"Mound Visit","2018ATL.EVN.regular.comment.csv",73
"ATL201807280",9,"Injury Delay","2018ATL.EVN.regular.comment.csv",74
"ATL201807280",24,"Injury Delay","2018ATL.EVN.regular.comment.csv",75
"ATL201807280",36,"Mound Visit","2018ATL.EVN.regular.comment.csv",76
"ATL201807280",50,"Mound Visit","2018ATL.EVN.regular.comment.csv",77
"ATL201807280",67,"$Dodgers challenged call that Markakis was safe at first; call was overturned - out to complete double play","2018ATL.EVN.regular.comment.csv",78
"ATL201807280",69,"Mound Visit","2018ATL.EVN.regular.comment.csv",79
"ATL201807280",71,"Mound Visit","2018ATL.EVN.regular.comment.csv",80
"ATL201807290",15,"On-field Delay","2018ATL.EVN.regular.comment.csv",81
"ATL201807290",64,"Mound Visit","2018ATL.EVN.regular.comment.csv",82
"ATL201807300",6,"$Marlins challenged call that Castro was out at second; call was overturned - stolen base","2018ATL.EVN.regular.comment.csv",83
"ATL201807300",41,"Mound Visit","2018ATL.EVN.regular.comment.csv",84
"ATL201807300",49,"$Batter out for interference","2018ATL.EVN.regular.comment.csv",85
"ATL201807300",52,"Mound Visit","2018ATL.EVN.regular.comment.csv",86
"ATL201807300",54,"Mound Visit","2018ATL.EVN.regular.comment.csv",87
"ATL201807310",22,"Mound Visit","2018ATL.EVN.regular.comment.csv",88
"ATL201807310",30,"$Marlins challenged call that Dietrich was out at second; call was overturned - safe on error","2018ATL.EVN.regular.comment.csv",89
"ATL201807310",35,"$Braves challenged call that ball hit by Inciarte was foul, call was overturned - double","2018ATL.EVN.regular.comment.csv",90
"ATL201807310",37,"Mound Visit","2018ATL.EVN.regular.comment.csv",91
"ATL201807310",39,"Mound Visit","2018ATL.EVN.regular.comment.csv",92
"ATL201807310",42,"Mound Visit","2018ATL.EVN.regular.comment.csv",93
"ATL201807310",55,"Mound Visit","2018ATL.EVN.regular.comment.csv",94
"ATL201807310",56,"Mound Visit","2018ATL.EVN.regular.comment.csv",95
"ATL201807310",58,"Mound Visit","2018ATL.EVN.regular.comment.csv",96
"ATL201808100",37,"Mound Visit","2018ATL.EVN.regular.comment.csv",97
"ATL201808100",56,"Mound Visit","2018ATL.EVN.regular.comment.csv",98
"ATL201808100",66,"Mound Visit","2018ATL.EVN.regular.comment.csv",99
"ATL201808110",56,"Mound Visit","2018ATL.EVN.regular.comment.csv",100
"ATL201808110",60,"Mound Visit","2018ATL.EVN.regular.comment.csv",101
"ATL201808110",62,"Mound Visit","2018ATL.EVN.regular.comment.csv",102
"ATL201808120",16,"Mound Visit","2018ATL.EVN.regular.comment.csv",103
"ATL201808120",36,"Mound Visit","2018ATL.EVN.regular.comment.csv",104
"ATL201808120",48,"$Brewers challenged call that Cain was out at second; call was upheld - out on caught stealing","2018ATL.EVN.regular.comment.csv",105
"ATL201808120",53,"Injury Delay","2018ATL.EVN.regular.comment.csv",106
"ATL201808120",80,"Mound Visit","2018ATL.EVN.regular.comment.csv",107
"ATL201808120",87,"Mound Visit","2018ATL.EVN.regular.comment.csv",108
"ATL201808131",18,"$Martin Prado left with an injured leg","2018ATL.EVN.regular.comment.csv",109
"ATL201808131",48,"Mound Visit","2018ATL.EVN.regular.comment.csv",110
"ATL201808131",49,"Mound Visit","2018ATL.EVN.regular.comment.csv",111
"ATL201808131",55,"Mound Visit","2018ATL.EVN.regular.comment.csv",112
"ATL201808131",66,"Mound Visit","2018ATL.EVN.regular.comment.csv",113
"ATL201808131",67,"Mound Visit","2018ATL.EVN.regular.comment.csv",114
"ATL201808131",74,"Mound Visit","2018ATL.EVN.regular.comment.csv",115
"ATL201808132",9,"Mound Visit","2018ATL.EVN.regular.comment.csv",116
"ATL201808132",14,"$Miguel Rojas left with an injured ankle","2018ATL.EVN.regular.comment.csv",117
"ATL201808132",38,"Mound Visit","2018ATL.EVN.regular.comment.csv",118
"ATL201808132",39,"Mound Visit","2018ATL.EVN.regular.comment.csv",119
"ATL201808132",47,"Mound Visit","2018ATL.EVN.regular.comment.csv",120
"ATL201808140",9,"Mound Visit","2018ATL.EVN.regular.comment.csv",121
"ATL201808140",34,"Mound Visit","2018ATL.EVN.regular.comment.csv",122
"ATL201808140",40,"Mound Visit","2018ATL.EVN.regular.comment.csv",123
"ATL201808140",53,"Mound Visit","2018ATL.EVN.regular.comment.csv",124
"ATL201808140",54,"Mound Visit","2018ATL.EVN.regular.comment.csv",125
"ATL201808140",60,"Mound Visit","2018ATL.EVN.regular.comment.csv",126
"ATL201808140",71,"Mound Visit","2018ATL.EVN.regular.comment.csv",127
"ATL201808150",6,"On-field Delay","2018ATL.EVN.regular.comment.csv",128
"ATL201808150",6,"ej,urenj001,P,fairc901,Intentional HBP ej,snitb801,M,nauep901,Arguing pitcher ejection $Pitcher Urena ejected by HP umpire Fairchild for intentional HBP and Braves manager Snitker ejected by 3B umpire Nauert for arguing pitcher ejection; benches cleared; on August 17, Urena suspended 6 games","2018ATL.EVN.regular.comment.csv",129
"ATL201808150",10,"Injury Delay","2018ATL.EVN.regular.comment.csv",130
"ATL201808150",10,"$Acuna took field, but could not continue, left with injured elbow","2018ATL.EVN.regular.comment.csv",131
"ATL201808160",6,"Mound Visit","2018ATL.EVN.regular.comment.csv",132
"ATL201808160",10,"Mound Visit","2018ATL.EVN.regular.comment.csv",133
"ATL201808160",37,"Mound Visit","2018ATL.EVN.regular.comment.csv",134
"ATL201808160",38,"Mound Visit","2018ATL.EVN.regular.comment.csv",135
"ATL201808160",57,"Mound Visit","2018ATL.EVN.regular.comment.csv",136
"ATL201808160",65,"Mound Visit","2018ATL.EVN.regular.comment.csv",137
"ATL201808160",68,"Mound Visit","2018ATL.EVN.regular.comment.csv",138
"ATL201808170",4,"$Rockies challenged call that Acuna was safe on pickoff attempt before first pitch; call was upheld - safe on pickoff attempt","2018ATL.EVN.regular.comment.csv",139
"ATL201808170",11,"Injury Delay","2018ATL.EVN.regular.comment.csv",140
"ATL201808170",22,"Mound Visit","2018ATL.EVN.regular.comment.csv",141
"ATL201808170",48,"Mound Visit","2018ATL.EVN.regular.comment.csv",142
"ATL201808170",49,"Mound Visit","2018ATL.EVN.regular.comment.csv",143
"ATL201808170",55,"Mound Visit","2018ATL.EVN.regular.comment.csv",144
"ATL201808170",64,"On-field Delay","2018ATL.EVN.regular.comment.csv",145
"ATL201808170",74,"Mound Visit","2018ATL.EVN.regular.comment.csv",146
"ATL201808170",77,"Mound Visit","2018ATL.EVN.regular.comment.csv",147
"ATL201808180",20,"$Batter interference when LeMahieu ran into his batted ball","2018ATL.EVN.regular.comment.csv",148
"ATL201808180",24,"Mound Visit","2018ATL.EVN.regular.comment.csv",149
"ATL201808180",25,"Mound Visit","2018ATL.EVN.regular.comment.csv",150
"ATL201808180",30,"Injury Delay","2018ATL.EVN.regular.comment.csv",151
"ATL201808180",31,"Mound Visit","2018ATL.EVN.regular.comment.csv",152
"ATL201808180",58,"Mound Visit","2018ATL.EVN.regular.comment.csv",153
"ATL201808180",65,"Injury Delay","2018ATL.EVN.regular.comment.csv",154
"ATL201808180",69,"Mound Visit","2018ATL.EVN.regular.comment.csv",155
"ATL201808180",70,"Mound Visit","2018ATL.EVN.regular.comment.csv",156
"ATL201808180",79,"Mound Visit","2018ATL.EVN.regular.comment.csv",157
"ATL201808190",53,"Mound Visit","2018ATL.EVN.regular.comment.csv",158
"ATL201808190",57,"Mound Visit","2018ATL.EVN.regular.comment.csv",159
"ATL201808190",75,"Mound Visit","2018ATL.EVN.regular.comment.csv",160
"ATL201808280",27,"Mound Visit","2018ATL.EVN.regular.comment.csv",161
"ATL201808280",54,"Mound Visit","2018ATL.EVN.regular.comment.csv",162
"ATL201808280",58,"Injury Delay","2018ATL.EVN.regular.comment.csv",163
"ATL201808280",59,"Mound Visit","2018ATL.EVN.regular.comment.csv",164
"ATL201808280",70,"Mound Visit","2018ATL.EVN.regular.comment.csv",165
"ATL201808280",73,"Mound Visit","2018ATL.EVN.regular.comment.csv",166
"ATL201808280",74,"$Rays challenged call that Duvall was safe at home; Albies went to 3rd, but Duvall was still on the base; Duvall then broke for and was called safe; call was upheld - safe at home","2018ATL.EVN.regular.comment.csv",167
"ATL201808280",75,"Mound Visit","2018ATL.EVN.regular.comment.csv",168
"ATL201808280",83,"Mound Visit","2018ATL.EVN.regular.comment.csv",169
"ATL201808280",84,"Mound Visit","2018ATL.EVN.regular.comment.csv",170
"ATL201808290",0,"$Start of game delayed 41 minutes for rain","2018ATL.EVN.regular.comment.csv",171
"ATL201808290",24,"Mound Visit","2018ATL.EVN.regular.comment.csv",172
"ATL201808290",34,"Mound Visit","2018ATL.EVN.regular.comment.csv",173
"ATL201808290",40,"Mound Visit","2018ATL.EVN.regular.comment.csv",174
"ATL201808290",42,"Injury Delay","2018ATL.EVN.regular.comment.csv",175
"ATL201808290",44,"$Braves challenged call that Swanson was out at 2nd; call was upheld - force out","2018ATL.EVN.regular.comment.csv",176
"ATL201808290",59,"$65 minute rain delay","2018ATL.EVN.regular.comment.csv",177
"ATL201808290",77,"Mound Visit","2018ATL.EVN.regular.comment.csv",178
"ATL201808290",78,"Mound Visit","2018ATL.EVN.regular.comment.csv",179
"ATL201808300",13,"Mound Visit","2018ATL.EVN.regular.comment.csv",180
"ATL201808300",30,"Mound Visit","2018ATL.EVN.regular.comment.csv",181
"ATL201808300",37,"Mound Visit","2018ATL.EVN.regular.comment.csv",182
"ATL201808300",46,"Injury Delay","2018ATL.EVN.regular.comment.csv",183
"ATL201808300",46,"Injury Delay $Jason Heyward left with an injured leg","2018ATL.EVN.regular.comment.csv",184
"ATL201808300",47,"Mound Visit","2018ATL.EVN.regular.comment.csv",185
"ATL201808300",62,"Mound Visit","2018ATL.EVN.regular.comment.csv",186
"ATL201808300",66,"Mound Visit","2018ATL.EVN.regular.comment.csv",187
"ATL201808310",2,"On-field Delay","2018ATL.EVN.regular.comment.csv",188
"ATL201808310",26,"Injury Delay","2018ATL.EVN.regular.comment.csv",189
"ATL201808310",39,"$Braves challenged call that Marte was safe at 2nd; call was upheld - safe on error","2018ATL.EVN.regular.comment.csv",190
"ATL201808310",41,"Mound Visit","2018ATL.EVN.regular.comment.csv",191
"ATL201808310",47,"Injury Delay","2018ATL.EVN.regular.comment.csv",192
"ATL201808310",50,"$Elias Diaz left with an injured leg","2018ATL.EVN.regular.comment.csv",193
"ATL201808310",52,"Injury Delay","2018ATL.EVN.regular.comment.csv",194
"ATL201808310",61,"Mound Visit","2018ATL.EVN.regular.comment.csv",195
"ATL201808310",71,"Mound Visit","2018ATL.EVN.regular.comment.csv",196
"ATL201809010",33,"Mound Visit","2018ATL.EVN.regular.comment.csv",197
"ATL201809010",49,"Mound Visit","2018ATL.EVN.regular.comment.csv",198
"ATL201809010",55,"Mound Visit","2018ATL.EVN.regular.comment.csv",199
"ATL201809010",60,"Mound Visit","2018ATL.EVN.regular.comment.csv",200
"ATL201809010",62,"Mound Visit","2018ATL.EVN.regular.comment.csv",201
"ATL201809010",63,"Mound Visit","2018ATL.EVN.regular.comment.csv",202
"ATL201809010",65,"$Pirates challenged the call that Freeman was safe at home; call was upheld - safe at home","2018ATL.EVN.regular.comment.csv",203
"ATL201809020",36,"$Pirates challenged call that Flowers was safe at 1st; call was overturned - ground out","2018ATL.EVN.regular.comment.csv",204
"ATL201809020",52,"Mound Visit","2018ATL.EVN.regular.comment.csv",205
"ATL201809020",56,"Mound Visit","2018ATL.EVN.regular.comment.csv",206
"ATL201809020",57,"Mound Visit","2018ATL.EVN.regular.comment.csv",207
"ATL201809020",60,"Mound Visit","2018ATL.EVN.regular.comment.csv",208
"ATL201809020",62,"Mound Visit","2018ATL.EVN.regular.comment.csv",209
"ATL201809020",64,"Mound Visit","2018ATL.EVN.regular.comment.csv",210
"ATL201809030",7,"Mound Visit","2018ATL.EVN.regular.comment.csv",211
"ATL201809030",8,"Mound Visit","2018ATL.EVN.regular.comment.csv",212
"ATL201809030",24,"On-field Delay","2018ATL.EVN.regular.comment.csv",213
"ATL201809030",29,"Mound Visit","2018ATL.EVN.regular.comment.csv",214
"ATL201809030",31,"Mound Visit","2018ATL.EVN.regular.comment.csv",215
"ATL201809030",36,"Mound Visit","2018ATL.EVN.regular.comment.csv",216
"ATL201809030",38,"Mound Visit","2018ATL.EVN.regular.comment.csv",217
"ATL201809030",47,"Mound Visit","2018ATL.EVN.regular.comment.csv",218
"ATL201809030",60,"Mound Visit","2018ATL.EVN.regular.comment.csv",219
"ATL201809030",61,"Mound Visit","2018ATL.EVN.regular.comment.csv",220
"ATL201809030",68,"Mound Visit","2018ATL.EVN.regular.comment.csv",221
"ATL201809030",78,"Mound Visit","2018ATL.EVN.regular.comment.csv",222
"ATL201809040",15,"Injury Delay","2018ATL.EVN.regular.comment.csv",223
"ATL201809040",15,"Mound Visit","2018ATL.EVN.regular.comment.csv",224
"ATL201809040",28,"Mound Visit","2018ATL.EVN.regular.comment.csv",225
"ATL201809040",29,"Mound Visit","2018ATL.EVN.regular.comment.csv",226
"ATL201809040",40,"Mound Visit","2018ATL.EVN.regular.comment.csv",227
"ATL201809040",53,"Mound Visit","2018ATL.EVN.regular.comment.csv",228
"ATL201809050",7,"Mound Visit","2018ATL.EVN.regular.comment.csv",229
"ATL201809050",12,"Mound Visit","2018ATL.EVN.regular.comment.csv",230
"ATL201809050",40,"Mound Visit","2018ATL.EVN.regular.comment.csv",231
"ATL201809050",54,"Mound Visit","2018ATL.EVN.regular.comment.csv",232
"ATL201809050",63,"Mound Visit","2018ATL.EVN.regular.comment.csv",233
"ATL201809050",64,"Mound Visit","2018ATL.EVN.regular.comment.csv",234
"ATL201809050",65,"Mound Visit","2018ATL.EVN.regular.comment.csv",235
"ATL201809050",68,"Mound Visit","2018ATL.EVN.regular.comment.csv",236
"ATL201809050",71,"Mound Visit","2018ATL.EVN.regular.comment.csv",237
"ATL201809050",72,"Mound Visit","2018ATL.EVN.regular.comment.csv",238
"ATL201809050",85,"Mound Visit","2018ATL.EVN.regular.comment.csv",239
"ATL201809140",10,"$Nationals challenged call that Soto was out at 3rd; call was overturned - double, runner safe at 3rd","2018ATL.EVN.regular.comment.csv",240
"ATL201809140",18,"Mound Visit","2018ATL.EVN.regular.comment.csv",241
"ATL201809140",51,"Mound Visit","2018ATL.EVN.regular.comment.csv",242
"ATL201809140",52,"Mound Visit","2018ATL.EVN.regular.comment.csv",243
"ATL201809140",57,"Mound Visit","2018ATL.EVN.regular.comment.csv",244
"ATL201809140",63,"Mound Visit","2018ATL.EVN.regular.comment.csv",245
"ATL201809140",63,"On-field Delay","2018ATL.EVN.regular.comment.csv",246
"ATL201809140",65,"Mound Visit","2018ATL.EVN.regular.comment.csv",247
"ATL201809140",74,"Mound Visit","2018ATL.EVN.regular.comment.csv",248
"ATL201809140",77,"Mound Visit","2018ATL.EVN.regular.comment.csv",249
"ATL201809140",81,"Mound Visit","2018ATL.EVN.regular.comment.csv",250
"ATL201809150",3,"$Nationals challenged call that Turner was out at 2nd; call was upheld - out on caught stealing","2018ATL.EVN.regular.comment.csv",251
"ATL201809150",5,"Mound Visit","2018ATL.EVN.regular.comment.csv",252
"ATL201809150",17,"Injury Delay","2018ATL.EVN.regular.comment.csv",253
"ATL201809150",34,"Mound Visit Injury Delay","2018ATL.EVN.regular.comment.csv",254
"ATL201809150",43,"Mound Visit","2018ATL.EVN.regular.comment.csv",255
"ATL201809150",53,"Mound Visit","2018ATL.EVN.regular.comment.csv",256
"ATL201809150",54,"Mound Visit","2018ATL.EVN.regular.comment.csv",257
"ATL201809150",80,"Mound Visit","2018ATL.EVN.regular.comment.csv",258
"ATL201809160",4,"Mound Visit","2018ATL.EVN.regular.comment.csv",259
"ATL201809160",7,"Mound Visit","2018ATL.EVN.regular.comment.csv",260
"ATL201809160",33,"Mound Visit","2018ATL.EVN.regular.comment.csv",261
"ATL201809160",35,"ej,halec001,C,cuzzp901,Arguing balls and strikes $Washington bench coach Hale ejected by plate umpire Cuzzi for arguing called strike call to Rendon in top of inning","2018ATL.EVN.regular.comment.csv",262
"ATL201809160",44,"$Braves challenged call that Tucker was out at 1st; call was upheld - ground out","2018ATL.EVN.regular.comment.csv",263
"ATL201809160",52,"Mound Visit","2018ATL.EVN.regular.comment.csv",264
"ATL201809160",53,"Mound Visit","2018ATL.EVN.regular.comment.csv",265
"ATL201809160",67,"Mound Visit","2018ATL.EVN.regular.comment.csv",266
"ATL201809170",5,"Mound Visit","2018ATL.EVN.regular.comment.csv",267
"ATL201809170",6,"Mound Visit","2018ATL.EVN.regular.comment.csv",268
"ATL201809170",52,"Mound Visit","2018ATL.EVN.regular.comment.csv",269
"ATL201809170",64,"Mound Visit","2018ATL.EVN.regular.comment.csv",270
"ATL201809170",76,"Mound Visit","2018ATL.EVN.regular.comment.csv",271
"ATL201809170",77,"Mound Visit","2018ATL.EVN.regular.comment.csv",272
"ATL201809180",25,"Mound Visit","2018ATL.EVN.regular.comment.csv",273
"ATL201809180",39,"$Cardinals challenged call that Wong was out at homel call was upheld - fielder's choice, out at home","2018ATL.EVN.regular.comment.csv",274
"ATL201809180",59,"Mound Visit","2018ATL.EVN.regular.comment.csv",275
"ATL201809180",60,"Mound Visit","2018ATL.EVN.regular.comment.csv",276
"ATL201809180",61,"Mound Visit","2018ATL.EVN.regular.comment.csv",277
"ATL201809180",63,"Mound Visit","2018ATL.EVN.regular.comment.csv",278
"ATL201809180",66,"Mound Visit","2018ATL.EVN.regular.comment.csv",279
"ATL201809180",81,"Mound Visit","2018ATL.EVN.regular.comment.csv",280
"ATL201809190",15,"Injury Delay","2018ATL.EVN.regular.comment.csv",281
"ATL201809190",39,"Mound Visit","2018ATL.EVN.regular.comment.csv",282
"ATL201809190",41,"Mound Visit","2018ATL.EVN.regular.comment.csv",283
"ATL201809190",42,"Mound Visit","2018ATL.EVN.regular.comment.csv",284
"ATL201809190",43,"$Braves challenged call that Freeman was caught stealing 2nd; call was overturned - double steal","2018ATL.EVN.regular.comment.csv",285
"ATL201809190",48,"Mound Visit","2018ATL.EVN.regular.comment.csv",286
"ATL201809190",49,"Mound Visit","2018ATL.EVN.regular.comment.csv",287
"ATL201809190",53,"Mound Visit","2018ATL.EVN.regular.comment.csv",288
"ATL201809190",61,"Mound Visit","2018ATL.EVN.regular.comment.csv",289
"ATL201809190",66,"Mound Visit","2018ATL.EVN.regular.comment.csv",290
"ATL201809190",77,"Mound Visit","2018ATL.EVN.regular.comment.csv",291
"ATL201809190",78,"Mound Visit","2018ATL.EVN.regular.comment.csv",292
"ATL201809200",22,"Mound Visit","2018ATL.EVN.regular.comment.csv",293
"ATL201809200",29,"Mound Visit","2018ATL.EVN.regular.comment.csv",294
"ATL201809200",42,"Mound Visit","2018ATL.EVN.regular.comment.csv",295
"ATL201809200",48,"Mound Visit","2018ATL.EVN.regular.comment.csv",296
"ATL201809200",60,"Mound Visit","2018ATL.EVN.regular.comment.csv",297
"ATL201809200",70,"Mound Visit","2018ATL.EVN.regular.comment.csv",298
"ATL201809200",71,"Mound Visit","2018ATL.EVN.regular.comment.csv",299
"ATL201809210",20,"$Braves challenged call that Quinn was out at 3rd; call was overturned - out on caught stealing","2018ATL.EVN.regular.comment.csv",300
"ATL201809210",27,"Mound Visit","2018ATL.EVN.regular.comment.csv",301
