"WAS200803300",0,"$First game at Nationals Park; ceremonial pitch by President George Bush","FILENAME_TX","LINE_NUMBER_CT"
"WAS200805240",75,"$3B Bill Hall cut in front of SS J.J. Hardy, who had en easy play on the ball; the ball bounced off the top of Hll's glove","2008WAS.EVN.regular.comment.csv",37
"WAS200805250",3,"$infield shifted to right for Fielder","2008WAS.EVN.regular.comment.csv",38
"WAS200805250",25,"$infield shifted to right for Fielder","2008WAS.EVN.regular.comment.csv",39
"WAS200805250",47,"$infield shifted to right for Fielder","2008WAS.EVN.regular.comment.csv",40
"WAS200805250",56,"$infield shifted to right for Fielder","2008WAS.EVN.regular.comment.csv",41
"WAS200805260",5,"$the ball struck the facing of the upper deck (section 242)","2008WAS.EVN.regular.comment.csv",42
"WAS200805260",67,"$the ball struck just above the wall on the concrete barrier which is out of play; it was was initially ruled in play and Young made it to third; Nationals manager Manny Acta questioned the call, the umpires huddled, and the call was changed to a home run","2008WAS.EVN.regular.comment.csv",43
"WAS200806030",3,"$Perez fielded the come-backer and threw late to 2B; the ball was dropped by Lopez as he attempted to make the transfer to throw to 1B","2008WAS.EVN.regular.comment.csv",44
"WAS200806030",4,"$the ball hit the wet grass in front of Langerhans and skipped by him to the wall","2008WAS.EVN.regular.comment.csv",45
"WAS200806030",15,"$1B umpire Lance Barksdale ran into the outfield for any play on the fly ball; HP umpire Dana DeMuth ran towards 1B for a play there; Nationals pitcher Odalis Perez ran into DeMuth about 15 feet from the bag and DeMuth, while trying to avoid a collision, tumbled to the ground and did a barrel roll; his hat came off as he came up; he caught the hat and then made the call on Izturis for the double play","2008WAS.EVN.regular.comment.csv",46
"WAS200806030",29,"1:51 rain delay","2008WAS.EVN.regular.comment.csv",47
"WAS200806030",32,"Cardinals first baseman Albert Pujols left with a tight left calf","2008WAS.EVN.regular.comment.csv",48
"WAS200806030",39,"49 minute rain delay","2008WAS.EVN.regular.comment.csv",49
"WAS200806030",74,"Debut game for Mark Worrell","2008WAS.EVN.regular.comment.csv",50
"WAS200806030",77,"$the game ended at 12:19 after two rain delays totaling 2:40","2008WAS.EVN.regular.comment.csv",51
"WAS200806052",37,"$Glaus homered in both games of the double header","2008WAS.EVN.regular.comment.csv",52
"WAS200806052",59,"$Worrell homered on his first major league at bat","2008WAS.EVN.regular.comment.csv",53
"WAS200806060",54,"Giants center fielder Aaron Rowand left the game due to an injured leg","2008WAS.EVN.regular.comment.csv",54
"WAS200806080",1,"Debut game for Garrett Mock","2008WAS.EVN.regular.comment.csv",55
"WAS200806200",12,"$Young took the throw from RF on the edge of the infield dirt turned and saw Byrd halfway down the line; Young ran at Byrd, who never moved","2008WAS.EVN.regular.comment.csv",56
"WAS200806200",15,"$Dukes seemed to have trouble tracking the ball, which hit low on the out of town scoreboard and was catchable","2008WAS.EVN.regular.comment.csv",57
"WAS200806200",31,"Young rounded the bag too far and was not able to return","2008WAS.EVN.regular.comment.csv",58
"WAS200806200",33,"Rangers catcher Gerald Laird left the game due to a strained right hamstring","2008WAS.EVN.regular.comment.csv",59
"WAS200806210",1,"$the ball tipped off Wily Mo Pena's glove into the bullpen but appeared to be over the fence anyway","2008WAS.EVN.regular.comment.csv",60
"WAS200806220",10,"Debut game for Max Ramirez","2008WAS.EVN.regular.comment.csv",61
"WAS200806220",35,"$Birthday homer for Kinsler","2008WAS.EVN.regular.comment.csv",62
"WAS200806220",40,"$Birthday homer for Harris","2008WAS.EVN.regular.comment.csv",63
"WAS200806220",67,"Debut game for Steven Shell","2008WAS.EVN.regular.comment.csv",64
"WAS200806230",0,"$1:10 rain delay before start of game","2008WAS.EVN.regular.comment.csv",65
"WAS200806280",20,"$Milledge caught his foot under the padding on the outfield wall as he tried to field the ball; onto DL","2008WAS.EVN.regular.comment.csv",66
"WAS200806290",6,"Debut game for Roger Bernadina","2008WAS.EVN.regular.comment.csv",67
"WAS200807080",21,"ej,pereo001,P,herna901,Balk call $both balks were called by HP umpire Angel Hernandez; Odalis Perez stormed off the mound towards the plate and was ejected by Hernandez; after the game, Perez claimed that Hernandez has something against Perez","2008WAS.EVN.regular.comment.csv",68
"WAS200807090",4,"$Nationals first baseman Dmitri Young ran under the popup in foul territory and Diamondbacks batter/runner Conor Jackson ran around Young into fair territory; as Jackson passed, Young lunged into fair territory to catch the ball, running into Jackson; the ball struck Young's glove and both he and the ball hit the ground; Jackson was called out for interfering with Young","2008WAS.EVN.regular.comment.csv",69
"WAS200807110",13,"Astros pitcher Roy Oswalt left the game due to an injured leg","2008WAS.EVN.regular.comment.csv",70
"WAS200807110",25,"Nationals first baseman Dmitri Young left the game due to an injured back","2008WAS.EVN.regular.comment.csv",71
"WAS200807120",38,"Nationals first baseman Paul Lo Duca took the grounder and stepped on 1B; he looked towards 3B to keep Lance Berkman from scoring but never looked behind him, where Carlos Lee was standing with nowhere to go; Lee snuck back in while Lo Duca stood there, thus missing an easy double play","2008WAS.EVN.regular.comment.csv",72
"WAS200807120",56,"$the throw bounced about three feet in front of Lo Duca, who was unable to catch or block it; the ball went into the camera well at the end of the dugout","2008WAS.EVN.regular.comment.csv",73
"WAS200807290",9,"$Ronnie Belliard never had control of the throw from Felipe Lopez","2008WAS.EVN.regular.comment.csv",74
"WAS200807290",52,"$Very hard one-hopper that bounced off Eric Bruntlett towards Jimmy Rollins; Bruntlett picked it up and threw to Chase Utley, who tagged Ryan Zimmerman, who had rounded the bag too far","2008WAS.EVN.regular.comment.csv",75
"WAS200807300",37,"$Lo Duca misplayed the throw in from centerfield and it ended up at the Nationals dugout","2008WAS.EVN.regular.comment.csv",76
"WAS200807300",44,"Jenkins misplayed the ball in foul territory near the wall","2008WAS.EVN.regular.comment.csv",77
"WAS200807310",16,"$the hard grounder bounced off Zimmerman's glove; he picked it up and threw the ball into the runner","2008WAS.EVN.regular.comment.csv",78
"WAS200807310",31,"$Zimmerman was hit on the right hand","2008WAS.EVN.regular.comment.csv",79
"WAS200807310",34,"Nationals third baseman Ryan Zimmerman left the game due to an injured hand/wrist","2008WAS.EVN.regular.comment.csv",80
"WAS200807310",75,"$both sides warned by HP umpire Fieldin Culbreth","2008WAS.EVN.regular.comment.csv",81
"WAS200808020",78,"Nationals left fielder Elijah Dukes left the game with a leg cramp after hitting himself with the bat on his follow through","2008WAS.EVN.regular.comment.csv",82
"WAS200808030",9,"$the ball bounced past Adam Dunn","2008WAS.EVN.regular.comment.csv",83
"WAS200808130",3,"$the Nationals shifted the infield to the right each time Delgado batted","2008WAS.EVN.regular.comment.csv",84
"WAS200808130",26,"$the runner at second, Brian Schneider, blocked the view of SS Cristian Guzman and the hard grounder got past Guzman","2008WAS.EVN.regular.comment.csv",85
"WAS200808130",52,"Nationals center fielder Ryan Langerhans left the game due to an injured back","2008WAS.EVN.regular.comment.csv",86
"WAS200808140",6,"$the Nationals shifted the infield for each Delgado at bat","2008WAS.EVN.regular.comment.csv",87
"WAS200808140",35,"$fan interference","2008WAS.EVN.regular.comment.csv",88
"WAS200808140",76,"$Bonifacio was playing in shallow right field and threw the ball to the infield side of the bag for the error","2008WAS.EVN.regular.comment.csv",89
"WAS200808160",19,"$Rockies pitcher Livan Hernandez made a good block of the hard hit ball with his glove but could not make a play at any base once he retrieved the ball, which had bounced about 15 feet away","2008WAS.EVN.regular.comment.csv",90
"WAS200808160",35,"Rockies shortstop Troy Tulowitzki went to his left and the ball went past him on the right","2008WAS.EVN.regular.comment.csv",91
"WAS200808170",9,"$Aaron Cook's hard throw to second was wide to the right side and went past SS Troy Tulowitzki; second baseman Clint Barmes backed up the play, caught the throw and threw the ball the first to get Milledge","2008WAS.EVN.regular.comment.csv",92
"WAS200808170",46,"$the ball bounced on the track and into the visitor's bullpen","2008WAS.EVN.regular.comment.csv",93
"WAS200808260",35,"$3bman Zimmerman fielded ball at bag, stepped on 3rd for force out and threw home; throw was off line and catcher Flores fumbled it, but he recovered and tagged the plate, thinking the force was still on; Garciaparra was not tagged but was called out by HP umpire Wegner; LA manager Torre came out to object but 3b ump Holbrook immediately informed Wegner that Garciaparra was not forced; Call was reversed and Garciaparra scored","2008WAS.EVN.regular.comment.csv",94
"WAS200808270",8,"$off the facing of the second deck","2008WAS.EVN.regular.comment.csv",95
"WAS200808270",28,"$Greg Maddux turned and fired the ball to 2B but the ball sailed wide; however, second baseman Jeff Kent was backing up the play, caught the ball and threw to first too late to get batter Lastings Milledge; Maddux would have had an easy play at first or home on the play but opted to attempt the double play to get out of the inning","2008WAS.EVN.regular.comment.csv",96
"WAS200808270",45,"$the ball caromed off pitcher Tim Redding to the right of first baseman Ronnie Belliard","2008WAS.EVN.regular.comment.csv",97
"WAS200808270",47,"$Lastings Milledge was running on the pitch and sailed into third; Greg Maddux ran to cover third but arrived a little late, catching the ball and diving towards Milledge as he slid in","2008WAS.EVN.regular.comment.csv",98
"WAS200808270",48,"$a soft grounder down the third base line fielded by Greg Maddux, who faked a throw to first, turned and caught Lastings Milledge off the bag; Milledge seemed to be heading home as Maddux was going to throw to first","2008WAS.EVN.regular.comment.csv",99
"WAS200808280",73,"$Cristian Guzman hit for the cycle; the first cycle at Nationals Park and the second by a Washington National player (Brad Wilkerson 4/6/2005)","2008WAS.EVN.regular.comment.csv",100
"WAS200808290",62,"$Nationals pitcher Odalis Perez failed to cover first on the grounder behind the bag","2008WAS.EVN.regular.comment.csv",101
"WAS200808300",101,"$Belliard's liner would have been a hit if the outfield had been at normal depth","2008WAS.EVN.regular.comment.csv",102
"WAS200809020",21,"$Chase Utley crashed into catcher Jesus Flores, who left the game with a sprained ankle","2008WAS.EVN.regular.comment.csv",103
"WAS200809020",53,"Debut game for Mike Hinckley","2008WAS.EVN.regular.comment.csv",104
"WAS200809030",67,"Debut game for Greg Golson","2008WAS.EVN.regular.comment.csv",105
"WAS200809150",67,"Debut game for Bobby Parnell","2008WAS.EVN.regular.comment.csv",106
"WAS200809160",35,"$Tatis dove for Perez's double and separated right shoulder, out for rest of season","2008WAS.EVN.regular.comment.csv",107
"WAS200809190",32,"fan interference","2008WAS.EVN.regular.comment.csv",108
"WAS200809200",37,"$into the visitors bullpen in LF","2008WAS.EVN.regular.comment.csv",109
"WAS200809200",51,"$Young's first career homer; into the visitors bullpen in LF","2008WAS.EVN.regular.comment.csv",110
"WAS200809240",57,"Marlins center fielder Cameron Maybin left the game due to a stiff left hip","2008WAS.EVN.regular.comment.csv",111
