"ARI200904060",40,"$Lopez homered from both sides of the plate","FILENAME_TX","LINE_NUMBER_CT"
"ARI200908100",70,"Debut game for Rusty Ryal","2009ARI.EVN.regular.comment.csv",25
"ARI200908110",7,"$originally scored E6, changed to single next day","2009ARI.EVN.regular.comment.csv",26
"ARI200908120",79,"ej,raucj001,P,everm901,Balls and strikes ej,hinca001,M,everm901,Balls and strikes (after Rauch ejection $Diamondbacks pitcher Jon Rauch talked to HP umpire Mike Everitt after the inning ended, arguing a call on a close pitch; Rauch was ejected by Everitt; DBacks manager A.J. Hinch was also ejected by Everitt","2009ARI.EVN.regular.comment.csv",27
"ARI200908150",46,"$Rusty Ryals' line drive struck Dodgers pitcher Hiroki Kuroda on the side of the head, bounced on the warning track behind the Diamondbacks on deck circle and hopped into the stands; Kuroda fell to the ground holding his head; he was carried off the field with his neck immobilized and taken to the hospital with an apparent concussion but no more serious injuries","2009ARI.EVN.regular.comment.csv",28
"ARI200908280",29,"Debut game for Wilton Lopez","2009ARI.EVN.regular.comment.csv",29
"ARI200908280",63,"Debut game for John Hester","2009ARI.EVN.regular.comment.csv",30
"ARI200908300",75,"$Diamondbacks pitcher Chad Qualls twisted in an attempt to catch the comebacker; he fell to the ground with a dislocated left kneecap, which was popped back in by the trainer","2009ARI.EVN.regular.comment.csv",31
"ARI200909070",22,"ej,ramim002,P,eddid901,Balls and strikes $Dodgers left fielder Manny Ramirez objected to the first called strike after swinging at strike three; he threw his bat toward the Dodgers dugout and then threw his helmet in the same direction; he was ejected by HP umpire Doug Eddings","2009ARI.EVN.regular.comment.csv",32
"ARI200909210",12,"Giants second baseman Freddy Sanchez left the game due to an injured knee","2009ARI.EVN.regular.comment.csv",33
"ARI200909220",31,"replay,3,parrg001,ARI,bellw901,PHO01,O,Y,I,,H $the fly ball by Gerardo Parra struck the chain link portion of the fence in the deepest part of right center field; 1B umpire Marty Foster called the ball a home run but the umpires immediately gathered in the infield; acting crew chief Wally Bell watched the replay and overturned the call to a ball in play; he awarded Parra a double and allowed the runner from first, Miguel Montero, to score","2009ARI.EVN.regular.comment.csv",34
"ARI200909230",49,"replay,6,ryalr001,ARI,bellw901,PHO01,O,N,I,,H $the fly ball by Rusty Ryal struck the chain link portion of the fence in the deepest part of right center field - in the same spot as the previous night's hit by Gerardo Parra; the hit was called in play but the umpires huddled and then acting crew chief Wally Bell watched the replay and upheld the call","2009ARI.EVN.regular.comment.csv",35
"ARI200909260",78,"Debut game for Ernesto Frieri","2009ARI.EVN.regular.comment.csv",36
"ARI200909270",46,"replay,6,tracc001,ARI,reedr901,PHO01,I,N,I,,H $Padres center fielder Tony Gwynn leaped for the ball but a fan touched it, preventing Gwynn from attempting the catch; since the fan did not lean out over the field, it was ruled a home run, even though Gwynn might have been able to catch the ball over the wall; crew chief Rick Reed watched the replay and upheld the call","2009ARI.EVN.regular.comment.csv",37
