"BAL201904040",2,"On-field Delay","FILENAME_TX","LINE_NUMBER_CT"
"BAL201904230",16,"Mound Visit","2019BAL.EVA.regular.comment.csv",77
"BAL201904230",35,"Mound Visit","2019BAL.EVA.regular.comment.csv",78
"BAL201904230",44,"Injury Delay","2019BAL.EVA.regular.comment.csv",79
"BAL201904230",47,"Mound Visit","2019BAL.EVA.regular.comment.csv",80
"BAL201904230",53,"Injury Delay","2019BAL.EVA.regular.comment.csv",81
"BAL201904230",60,"Mound Visit","2019BAL.EVA.regular.comment.csv",82
"BAL201904230",71,"Injury Delay","2019BAL.EVA.regular.comment.csv",83
"BAL201904240",30,"$White Sox challenged call that Wilkerson was hit by pitch; clal was overturned - ball","2019BAL.EVA.regular.comment.csv",84
"BAL201904240",36,"Mound Visit","2019BAL.EVA.regular.comment.csv",85
"BAL201904240",40,"Mound Visit","2019BAL.EVA.regular.comment.csv",86
"BAL201904240",46,"Mound Visit","2019BAL.EVA.regular.comment.csv",87
"BAL201904240",47,"Mound Visit","2019BAL.EVA.regular.comment.csv",88
"BAL201904240",55,"Mound Visit","2019BAL.EVA.regular.comment.csv",89
"BAL201904240",73,"Mound Visit","2019BAL.EVA.regular.comment.csv",90
"BAL201905030",38,"Mound Visit","2019BAL.EVA.regular.comment.csv",91
"BAL201905030",44,"Mound Visit","2019BAL.EVA.regular.comment.csv",92
"BAL201905040",20,"Mound Visit","2019BAL.EVA.regular.comment.csv",93
"BAL201905040",34,"Mound Visit","2019BAL.EVA.regular.comment.csv",94
"BAL201905040",50,"Mound Visit","2019BAL.EVA.regular.comment.csv",95
"BAL201905040",55,"$Adames out on batter interference","2019BAL.EVA.regular.comment.csv",96
"BAL201905040",57,"Mound Visit","2019BAL.EVA.regular.comment.csv",97
"BAL201905060",4,"On-field Delay $Umpire review of ball hit by Villar; call was overturned - out on fan interference","2019BAL.EVA.regular.comment.csv",98
"BAL201905060",13,"Mound Visit","2019BAL.EVA.regular.comment.csv",99
"BAL201905060",31,"Mound Visit","2019BAL.EVA.regular.comment.csv",100
"BAL201905060",35,"$Orioles challenged call that Vazquez did not leave 2nd too soon; call was upheld - safe at 3rd","2019BAL.EVA.regular.comment.csv",101
"BAL201905060",52,"Mound Visit","2019BAL.EVA.regular.comment.csv",102
"BAL201905060",56,"Mound Visit","2019BAL.EVA.regular.comment.csv",103
"BAL201905060",61,"Mound Visit","2019BAL.EVA.regular.comment.csv",104
"BAL201905070",18,"Mound Visit","2019BAL.EVA.regular.comment.csv",105
"BAL201905070",22,"Mound Visit","2019BAL.EVA.regular.comment.csv",106
"BAL201905070",29,"Mound Visit","2019BAL.EVA.regular.comment.csv",107
"BAL201905070",52,"Mound Visit","2019BAL.EVA.regular.comment.csv",108
"BAL201905070",66,"Mound Visit","2019BAL.EVA.regular.comment.csv",109
"BAL201905070",67,"Mound Visit","2019BAL.EVA.regular.comment.csv",110
"BAL201905070",70,"Mound Visit","2019BAL.EVA.regular.comment.csv",111
"BAL201905070",72,"Mound Visit","2019BAL.EVA.regular.comment.csv",112
"BAL201905080",21,"On-field Delay","2019BAL.EVA.regular.comment.csv",113
"BAL201905080",61,"Mound Visit","2019BAL.EVA.regular.comment.csv",114
"BAL201905080",65,"Mound Visit","2019BAL.EVA.regular.comment.csv",115
"BAL201905080",68,"Mound Visit","2019BAL.EVA.regular.comment.csv",116
"BAL201905080",70,"Mound Visit","2019BAL.EVA.regular.comment.csv",117
"BAL201905080",81,"Mound Visit","2019BAL.EVA.regular.comment.csv",118
"BAL201905080",93,"Mound Visit","2019BAL.EVA.regular.comment.csv",119
"BAL201905100",36,"Injury Delay","2019BAL.EVA.regular.comment.csv",120
"BAL201905100",37,"Mound Visit","2019BAL.EVA.regular.comment.csv",121
"BAL201905110",6,"On-field Delay","2019BAL.EVA.regular.comment.csv",122
"BAL201905110",17,"$Orioles challenged call that Martin was out at 1st to complete double play; call was overturned - force out, no DP","2019BAL.EVA.regular.comment.csv",123
"BAL201905110",26,"Mound Visit","2019BAL.EVA.regular.comment.csv",124
"BAL201905110",27,"Mound Visit","2019BAL.EVA.regular.comment.csv",125
"BAL201905110",39,"Mound Visit","2019BAL.EVA.regular.comment.csv",126
"BAL201905110",40,"Mound Visit","2019BAL.EVA.regular.comment.csv",127
"BAL201905110",53,"Mound Visit","2019BAL.EVA.regular.comment.csv",128
"BAL201905110",54,"$Orioles challenged call that Calhoun was safe at 2nd; call was upheld - safe on fielder's choice","2019BAL.EVA.regular.comment.csv",129
"BAL201905110",55,"Mound Visit","2019BAL.EVA.regular.comment.csv",130
"BAL201905110",60,"Mound Visit","2019BAL.EVA.regular.comment.csv",131
"BAL201905110",72,"$Batter interference","2019BAL.EVA.regular.comment.csv",132
"BAL201905120",13,"On-field Delay","2019BAL.EVA.regular.comment.csv",133
"BAL201905120",26,"Mound Visit","2019BAL.EVA.regular.comment.csv",134
"BAL201905120",27,"Mound Visit","2019BAL.EVA.regular.comment.csv",135
"BAL201905120",47,"Mound Visit","2019BAL.EVA.regular.comment.csv",136
"BAL201905120",48,"Mound Visit","2019BAL.EVA.regular.comment.csv",137
"BAL201905120",52,"Mound Visit","2019BAL.EVA.regular.comment.csv",138
"BAL201905120",68,"Mound Visit","2019BAL.EVA.regular.comment.csv",139
"BAL201905200",36,"Mound Visit","2019BAL.EVA.regular.comment.csv",140
"BAL201905200",40,"Mound Visit","2019BAL.EVA.regular.comment.csv",141
"BAL201905200",42,"Injury Delay","2019BAL.EVA.regular.comment.csv",142
"BAL201905200",45,"Mound Visit","2019BAL.EVA.regular.comment.csv",143
"BAL201905200",49,"Mound Visit","2019BAL.EVA.regular.comment.csv",144
"BAL201905200",61,"Mound Visit","2019BAL.EVA.regular.comment.csv",145
"BAL201905200",63,"Mound Visit","2019BAL.EVA.regular.comment.csv",146
"BAL201905200",68,"Mound Visit","2019BAL.EVA.regular.comment.csv",147
"BAL201905200",71,"Mound Visit","2019BAL.EVA.regular.comment.csv",148
"BAL201905200",72,"$Umpire review of ball hit by Torres; call upheld - homer","2019BAL.EVA.regular.comment.csv",149
"BAL201905200",80,"Mound Visit","2019BAL.EVA.regular.comment.csv",150
"BAL201905210",40,"Mound Visit","2019BAL.EVA.regular.comment.csv",151
"BAL201905220",14,"Mound Visit","2019BAL.EVA.regular.comment.csv",152
"BAL201905220",35,"Injury Delay","2019BAL.EVA.regular.comment.csv",153
"BAL201905220",51,"$Orioles challenged call at plate, claiming Sanchez had illegally blocked; call was upheld - no block and out","2019BAL.EVA.regular.comment.csv",154
"BAL201905220",60,"Mound Visit","2019BAL.EVA.regular.comment.csv",155
"BAL201905220",61,"Mound Visit","2019BAL.EVA.regular.comment.csv",156
"BAL201905220",70,"Mound Visit","2019BAL.EVA.regular.comment.csv",157
"BAL201905220",74,"Mound Visit","2019BAL.EVA.regular.comment.csv",158
"BAL201905230",14,"Injury Delay","2019BAL.EVA.regular.comment.csv",159
"BAL201905230",23,"$Yankees challenged call that Mancini was safe at 1st; call was overturned - ground out","2019BAL.EVA.regular.comment.csv",160
"BAL201905230",43,"Mound Visit","2019BAL.EVA.regular.comment.csv",161
"BAL201905230",45,"Mound Visit","2019BAL.EVA.regular.comment.csv",162
"BAL201905230",53,"Mound Visit","2019BAL.EVA.regular.comment.csv",163
"BAL201905230",62,"Mound Visit","2019BAL.EVA.regular.comment.csv",164
"BAL201905230",64,"Mound Visit","2019BAL.EVA.regular.comment.csv",165
"BAL201905230",70,"Mound Visit","2019BAL.EVA.regular.comment.csv",166
"BAL201905230",71,"Mound Visit","2019BAL.EVA.regular.comment.csv",167
"BAL201905230",73,"Mound Visit","2019BAL.EVA.regular.comment.csv",168
"BAL201905270",34,"Mound Visit","2019BAL.EVA.regular.comment.csv",169
"BAL201905270",50,"Mound Visit","2019BAL.EVA.regular.comment.csv",170
"BAL201905270",55,"Mound Visit","2019BAL.EVA.regular.comment.csv",171
"BAL201905270",70,"Mound Visit","2019BAL.EVA.regular.comment.csv",172
"BAL201905270",73,"Mound Visit","2019BAL.EVA.regular.comment.csv",173
"BAL201905270",74,"Injury Delay $Originally scored as defensive indifference; changed to double steal on 05-28-2019","2019BAL.EVA.regular.comment.csv",174
"BAL201905280",13,"On-field Delay","2019BAL.EVA.regular.comment.csv",175
"BAL201905280",52,"Mound Visit","2019BAL.EVA.regular.comment.csv",176
"BAL201905280",56,"Mound Visit","2019BAL.EVA.regular.comment.csv",177
"BAL201905280",58,"Mound Visit","2019BAL.EVA.regular.comment.csv",178
"BAL201905280",67,"Mound Visit","2019BAL.EVA.regular.comment.csv",179
"BAL201905280",73,"Mound Visit","2019BAL.EVA.regular.comment.csv",180
"BAL201905290",30,"Injury Delay","2019BAL.EVA.regular.comment.csv",181
"BAL201905290",39,"Injury Delay","2019BAL.EVA.regular.comment.csv",182
"BAL201905290",44,"Mound Visit","2019BAL.EVA.regular.comment.csv",183
"BAL201905290",55,"Mound Visit","2019BAL.EVA.regular.comment.csv",184
"BAL201905290",57,"Mound Visit","2019BAL.EVA.regular.comment.csv",185
"BAL201905290",70,"Mound Visit","2019BAL.EVA.regular.comment.csv",186
"BAL201905310",6,"Mound Visit","2019BAL.EVA.regular.comment.csv",187
"BAL201905310",17,"Mound Visit","2019BAL.EVA.regular.comment.csv",188
"BAL201905310",29,"Mound Visit","2019BAL.EVA.regular.comment.csv",189
"BAL201905310",52,"Mound Visit","2019BAL.EVA.regular.comment.csv",190
"BAL201905310",64,"Mound Visit","2019BAL.EVA.regular.comment.csv",191
"BAL201905310",71,"Mound Visit","2019BAL.EVA.regular.comment.csv",192
"BAL201905310",72,"Mound Visit","2019BAL.EVA.regular.comment.csv",193
"BAL201906010",19,"Mound Visit","2019BAL.EVA.regular.comment.csv",194
"BAL201906010",34,"Mound Visit","2019BAL.EVA.regular.comment.csv",195
"BAL201906010",35,"Mound Visit","2019BAL.EVA.regular.comment.csv",196
"BAL201906010",40,"Mound Visit","2019BAL.EVA.regular.comment.csv",197
"BAL201906020",7,"Mound Visit Injury Delay","2019BAL.EVA.regular.comment.csv",198
"BAL201906020",25,"Mound Visit","2019BAL.EVA.regular.comment.csv",199
"BAL201906020",34,"Mound Visit","2019BAL.EVA.regular.comment.csv",200
"BAL201906020",55,"$Orioles challenged call that Longoria was sagfe at 3rd; call was overturned - force out","2019BAL.EVA.regular.comment.csv",201
"BAL201906020",60,"Mound Visit","2019BAL.EVA.regular.comment.csv",202
"BAL201906110",18,"Mound Visit","2019BAL.EVA.regular.comment.csv",203
"BAL201906110",28,"Mound Visit","2019BAL.EVA.regular.comment.csv",204
"BAL201906110",42,"Mound Visit","2019BAL.EVA.regular.comment.csv",205
"BAL201906110",53,"Mound Visit","2019BAL.EVA.regular.comment.csv",206
"BAL201906110",54,"Mound Visit","2019BAL.EVA.regular.comment.csv",207
"BAL201906110",60,"Mound Visit","2019BAL.EVA.regular.comment.csv",208
"BAL201906110",65,"Mound Visit","2019BAL.EVA.regular.comment.csv",209
"BAL201906120",21,"Mound Visit","2019BAL.EVA.regular.comment.csv",210
"BAL201906120",35,"$Originally scored as single, changed to error on 07-05-2019, making 3 runs in inning unearned and 2 team unearned","2019BAL.EVA.regular.comment.csv",211
"BAL201906120",39,"Mound Visit","2019BAL.EVA.regular.comment.csv",212
"BAL201906120",41,"Mound Visit","2019BAL.EVA.regular.comment.csv",213
"BAL201906120",43,"Mound Visit","2019BAL.EVA.regular.comment.csv",214
"BAL201906120",47,"Mound Visit","2019BAL.EVA.regular.comment.csv",215
"BAL201906120",73,"Mound Visit On-field Delay","2019BAL.EVA.regular.comment.csv",216
"BAL201906120",74,"Mound Visit","2019BAL.EVA.regular.comment.csv",217
"BAL201906120",76,"Mound Visit","2019BAL.EVA.regular.comment.csv",218
"BAL201906120",77,"Mound Visit","2019BAL.EVA.regular.comment.csv",219
"BAL201906120",78,"Mound Visit","2019BAL.EVA.regular.comment.csv",220
"BAL201906120",79,"Mound Visit","2019BAL.EVA.regular.comment.csv",221
"BAL201906120",81,"Mound Visit","2019BAL.EVA.regular.comment.csv",222
"BAL201906120",88,"Mound Visit On-field Delay","2019BAL.EVA.regular.comment.csv",223
"BAL201906130",2,"Mound Visit","2019BAL.EVA.regular.comment.csv",224
"BAL201906130",39,"Mound Visit","2019BAL.EVA.regular.comment.csv",225
"BAL201906130",45,"Mound Visit","2019BAL.EVA.regular.comment.csv",226
"BAL201906130",48,"Mound Visit","2019BAL.EVA.regular.comment.csv",227
"BAL201906130",51,"Mound Visit","2019BAL.EVA.regular.comment.csv",228
"BAL201906130",64,"Mound Visit","2019BAL.EVA.regular.comment.csv",229
"BAL201906130",66,"Injury Delay","2019BAL.EVA.regular.comment.csv",230
"BAL201906130",77,"Mound Visit","2019BAL.EVA.regular.comment.csv",231
"BAL201906140",24,"Mound Visit","2019BAL.EVA.regular.comment.csv",232
"BAL201906140",31,"Mound Visit","2019BAL.EVA.regular.comment.csv",233
"BAL201906140",46,"Mound Visit","2019BAL.EVA.regular.comment.csv",234
"BAL201906140",56,"Mound Visit","2019BAL.EVA.regular.comment.csv",235
"BAL201906140",63,"Injury Delay","2019BAL.EVA.regular.comment.csv",236
"BAL201906150",26,"$Red Sox challenged call that Bogaerts was out at 2nd on fielder's choice; call was overturned - single","2019BAL.EVA.regular.comment.csv",237
"BAL201906150",42,"Mound Visit","2019BAL.EVA.regular.comment.csv",238
"BAL201906150",43,"Mound Visit","2019BAL.EVA.regular.comment.csv",239
"BAL201906150",48,"Mound Visit","2019BAL.EVA.regular.comment.csv",240
"BAL201906150",51,"Mound Visit","2019BAL.EVA.regular.comment.csv",241
"BAL201906150",56,"Mound Visit","2019BAL.EVA.regular.comment.csv",242
"BAL201906150",63,"Mound Visit","2019BAL.EVA.regular.comment.csv",243
"BAL201906150",71,"Mound Visit","2019BAL.EVA.regular.comment.csv",244
"BAL201906150",75,"Mound Visit","2019BAL.EVA.regular.comment.csv",245
"BAL201906160",25,"Mound Visit","2019BAL.EVA.regular.comment.csv",246
"BAL201906160",31,"Injury Delay","2019BAL.EVA.regular.comment.csv",247
"BAL201906160",34,"Mound Visit","2019BAL.EVA.regular.comment.csv",248
"BAL201906160",36,"On-field Delay ej,hydeb801,M,gibsh902,Arguing interference call $Baltimore manager Hyde ejected by HP umpire Gibson for arguing interference call when Broxton ran inside line","2019BAL.EVA.regular.comment.csv",249
"BAL201906160",43,"Mound Visit","2019BAL.EVA.regular.comment.csv",250
"BAL201906160",48,"Mound Visit","2019BAL.EVA.regular.comment.csv",251
"BAL201906160",49,"Mound Visit","2019BAL.EVA.regular.comment.csv",252
"BAL201906160",52,"Mound Visit","2019BAL.EVA.regular.comment.csv",253
"BAL201906160",59,"Mound Visit","2019BAL.EVA.regular.comment.csv",254
"BAL201906160",70,"Mound Visit","2019BAL.EVA.regular.comment.csv",255
"BAL201906160",76,"Mound Visit","2019BAL.EVA.regular.comment.csv",256
"BAL201906160",83,"Mound Visit","2019BAL.EVA.regular.comment.csv",257
"BAL201906160",91,"Mound Visit","2019BAL.EVA.regular.comment.csv",258
"BAL201906160",95,"$Orioles challenged play, claiming Holt missed 2nd; call was upheld - no missed base, runner to 3rd","2019BAL.EVA.regular.comment.csv",259
"BAL201906160",100,"$Umpire review of play at 1st; call overturned - Ruiz safe at 1st on force out, no double play","2019BAL.EVA.regular.comment.csv",260
"BAL201906250",1,"Mound Visit","2019BAL.EVA.regular.comment.csv",261
"BAL201906250",9,"Mound Visit","2019BAL.EVA.regular.comment.csv",262
"BAL201906250",25,"Mound Visit","2019BAL.EVA.regular.comment.csv",263
"BAL201906260",25,"Mound Visit","2019BAL.EVA.regular.comment.csv",264
"BAL201906260",38,"Mound Visit","2019BAL.EVA.regular.comment.csv",265
"BAL201906260",64,"$Padres challenged call that Alberto was safe at 1st; call was upheld - safe on error","2019BAL.EVA.regular.comment.csv",266
"BAL201906260",68,"$Umpire review play at 1st; call overturned - single","2019BAL.EVA.regular.comment.csv",267
"BAL201906260",69,"$Umpire review play at 2nd; call overturned - stolen base","2019BAL.EVA.regular.comment.csv",268
"BAL201906260",76,"Mound Visit","2019BAL.EVA.regular.comment.csv",269
"BAL201906260",77,"Mound Visit","2019BAL.EVA.regular.comment.csv",270
"BAL201906280",11,"Mound Visit","2019BAL.EVA.regular.comment.csv",271
"BAL201906280",23,"Mound Visit","2019BAL.EVA.regular.comment.csv",272
"BAL201906280",34,"Injury Delay","2019BAL.EVA.regular.comment.csv",273
"BAL201906280",71,"Mound Visit","2019BAL.EVA.regular.comment.csv",274
"BAL201906280",73,"Mound Visit","2019BAL.EVA.regular.comment.csv",275
"BAL201906290",21,"Injury Delay","2019BAL.EVA.regular.comment.csv",276
"BAL201906290",23,"Mound Visit","2019BAL.EVA.regular.comment.csv",277
"BAL201906290",33,"Mound Visit","2019BAL.EVA.regular.comment.csv",278
"BAL201906290",36,"Mound Visit","2019BAL.EVA.regular.comment.csv",279
"BAL201906290",45,"Mound Visit","2019BAL.EVA.regular.comment.csv",280
"BAL201906290",46,"Mound Visit","2019BAL.EVA.regular.comment.csv",281
"BAL201906290",54,"Mound Visit","2019BAL.EVA.regular.comment.csv",282
"BAL201906290",55,"Mound Visit","2019BAL.EVA.regular.comment.csv",283
"BAL201906300",7,"$Indians challenged call that Smith was safe at 1st; call was overturned - out on pickoff","2019BAL.EVA.regular.comment.csv",284
"BAL201906300",22,"On-field Delay","2019BAL.EVA.regular.comment.csv",285
"BAL201906300",38,"Injury Delay","2019BAL.EVA.regular.comment.csv",286
"BAL201906300",41,"Mound Visit","2019BAL.EVA.regular.comment.csv",287
"BAL201906300",49,"Mound Visit","2019BAL.EVA.regular.comment.csv",288
"BAL201906300",51,"Mound Visit","2019BAL.EVA.regular.comment.csv",289
"BAL201906300",60,"Mound Visit","2019BAL.EVA.regular.comment.csv",290
"BAL201906300",67,"$Indians challenged call that Mercado was out at 1st; call was overturnes - single","2019BAL.EVA.regular.comment.csv",291
"BAL201906300",71,"Mound Visit","2019BAL.EVA.regular.comment.csv",292
"BAL201906300",73,"Mound Visit","2019BAL.EVA.regular.comment.csv",293
"BAL201907120",5,"Mound Visit","2019BAL.EVA.regular.comment.csv",294
"BAL201907120",53,"$Originallu scored as single and advance on throw, changed to double on 07-14-2019","2019BAL.EVA.regular.comment.csv",295
"BAL201907120",63,"Mound Visit","2019BAL.EVA.regular.comment.csv",296
"BAL201907120",65,"Mound Visit","2019BAL.EVA.regular.comment.csv",297
"BAL201907120",85,"Mound Visit","2019BAL.EVA.regular.comment.csv",298
"BAL201907120",86,"Mound Visit","2019BAL.EVA.regular.comment.csv",299
"BAL201907131",15,"Mound Visit","2019BAL.EVA.regular.comment.csv",300
"BAL201907131",18,"Mound Visit","2019BAL.EVA.regular.comment.csv",301
"BAL201907131",34,"Mound Visit","2019BAL.EVA.regular.comment.csv",302
"BAL201907131",46,"Mound Visit","2019BAL.EVA.regular.comment.csv",303
"BAL201907131",50,"Mound Visit","2019BAL.EVA.regular.comment.csv",304
"BAL201907131",52,"Mound Visit","2019BAL.EVA.regular.comment.csv",305
"BAL201907131",59,"Mound Visit","2019BAL.EVA.regular.comment.csv",306
"BAL201907131",60,"$Rays challenged call that Heredia was out at 2nd; call was upheld - out to complete double play","2019BAL.EVA.regular.comment.csv",307
"BAL201907132",39,"Mound Visit","2019BAL.EVA.regular.comment.csv",308
"BAL201907132",46,"Mound Visit","2019BAL.EVA.regular.comment.csv",309
"BAL201907132",60,"$Umpire review of ball hit by Alberto; call overturned - homer","2019BAL.EVA.regular.comment.csv",310
"BAL201907132",69,"Mound Visit","2019BAL.EVA.regular.comment.csv",311
"BAL201907140",11,"Mound Visit","2019BAL.EVA.regular.comment.csv",312
"BAL201907140",38,"Mound Visit","2019BAL.EVA.regular.comment.csv",313
"BAL201907140",47,"Injury Delay","2019BAL.EVA.regular.comment.csv",314
"BAL201907140",51,"Mound Visit","2019BAL.EVA.regular.comment.csv",315
"BAL201907140",61,"Mound Visit","2019BAL.EVA.regular.comment.csv",316
"BAL201907140",62,"Mound Visit","2019BAL.EVA.regular.comment.csv",317
"BAL201907140",64,"Mound Visit","2019BAL.EVA.regular.comment.csv",318
"BAL201907160",8,"Mound Visit","2019BAL.EVA.regular.comment.csv",319
"BAL201907160",21,"Mound Visit","2019BAL.EVA.regular.comment.csv",320
"BAL201907160",42,"Injury Delay","2019BAL.EVA.regular.comment.csv",321
"BAL201907160",44,"Mound Visit","2019BAL.EVA.regular.comment.csv",322
"BAL201907160",60,"Mound Visit","2019BAL.EVA.regular.comment.csv",323
"BAL201907160",62,"Mound Visit","2019BAL.EVA.regular.comment.csv",324
"BAL201907160",76,"Mound Visit","2019BAL.EVA.regular.comment.csv",325
"BAL201907170",16,"Mound Visit","2019BAL.EVA.regular.comment.csv",326
"BAL201907170",20,"Mound Visit","2019BAL.EVA.regular.comment.csv",327
"BAL201907170",37,"Mound Visit","2019BAL.EVA.regular.comment.csv",328
"BAL201907170",52,"Mound Visit","2019BAL.EVA.regular.comment.csv",329
"BAL201907170",55,"Mound Visit","2019BAL.EVA.regular.comment.csv",330
"BAL201907170",57,"Mound Visit","2019BAL.EVA.regular.comment.csv",331
"BAL201907170",62,"Mound Visit","2019BAL.EVA.regular.comment.csv",332
"BAL201907170",62,"Mound Visit","2019BAL.EVA.regular.comment.csv",333
"BAL201907170",64,"$Nationals challenged call that Villar was safe at 1st; call was upheld - safe; originally scored as error, changed to single on 08-01-2019, makes two runs now earned","2019BAL.EVA.regular.comment.csv",334
"BAL201907170",65,"On-field Delay $Umpire review of ball hit by Mancini; call was upheld - home run","2019BAL.EVA.regular.comment.csv",335
"BAL201907170",67,"Mound Visit","2019BAL.EVA.regular.comment.csv",336
