"TEX201403310",68,"originally scored as DI, changed to SB on 4-08-2014"FILENAME_TX","LINE_NUMBER_CT"
"TEX201407260",48,"Rangers pitcher Nick Tepesch left the game due to an injured knee"2014TEX.EVA.regular.comment.csv",38

"TEX201407270",42,"replay,5,lowrj001,OAK,onorb901,ARL02,,Y,M,TEX,C $when Jed Lowrie was called safe at 1B, Rangers manager Ron Washington challenged the ruling that the throw pulled J.P. Arencibia off the bag; the call was overturned by replay"2014TEX.EVA.regular.comment.csv",39

"TEX201407290",36,"originally scored E4, changed to single on 08-08-2014"2014TEX.EVA.regular.comment.csv",40

"TEX201407290",48,"replay,6,jeted001,NYA,kulpr901,ARL02,,Y,M,NYA,C $when Derek Jeter was called out at 1B, Yankees manager Joe Girardi challenged the ruling; the call was overturned by replay"2014TEX.EVA.regular.comment.csv",41

"TEX201407300",38,"Rangers right fielder Alex Rios left the game due to an injured leg"2014TEX.EVA.regular.comment.csv",42

"TEX201408110",13,"replay,2,jennd002,TBA,westj901,ARL02,,N,U,,P $when Yunel Escobar was called out at HP, crew chief Joe West requested a review; the call was upheld by replay saying the catcher did not block HP without the ball and the runner was out"2014TEX.EVA.regular.comment.csv",43

"TEX201408110",53,"Rays right fielder Kevin Kiermaier left the game due to an injured back"2014TEX.EVA.regular.comment.csv",44

"TEX201408120",37,"replay,5,sotog001,TEX,westj901,ARL02,,Y,M,TBA,C $when Leonys Martin was called safe at 2B, Rays manager Joe Maddon challenged the ruling; the call was overturned by replay"2014TEX.EVA.regular.comment.csv",45

"TEX201408120",58,"replay,7,andre001,TEX,westj901,ARL02,,N,U,,K $after the fourth pitch to Elvis Andrus, crew chief Joe West requested a review to check the count; it was confirmed as 2-2"2014TEX.EVA.regular.comment.csv",46

"TEX201408120",77,"replay,10,zobrb001,TBA,westj901,ARL02,,N,M,TBA,C $when Ben Zobrist was called out at 1B, Rays manager Joe Maddon challenged the ruling; the call was upheld by replay"2014TEX.EVA.regular.comment.csv",47

"TEX201408120",80,"replay,10,belta001,TEX,westj901,ARL02,,N,M,TEX,C $when Adam Rosales was called out at 1B, Rangers manager Ron Washington challenged the ruling; the call was upheld by replay"2014TEX.EVA.regular.comment.csv",48

"TEX201408130",13,"replay,2,casac001,TBA,westj901,ARL02,O,N,U,,H $Curt Casali's fly to LF struck the padding at the top of the scoreboard; the ball was ruled in play and Casali reached 2B; crew chief Joe West requested a review, which upheld the call"2014TEX.EVA.regular.comment.csv",49

"TEX201408150",73,"replay,9,calhk001,ANA,hallt901,ARL02,,N,M,TEX,I $when Kole Calhoun was hit by pitch, Rangers manager Ron Washington challenged the ruling; the call was upheld by replay"2014TEX.EVA.regular.comment.csv",50

"TEX201408170",41,"replay,5,odorr001,TEX,hallt901,ARL02,,N,M,TEX,A $when Rougned Odor was called out at 2B, Rangers manager Ron Washington challenged the ruling; the call was upheld by replay"2014TEX.EVA.regular.comment.csv",51

"TEX201408230",47,"replay,6,riosa002,TEX,wendh902,ARL02,,N,M,KCA,A $when Elvis Andrus was called safe at 2B, Royals manager Ned Yost challenged the ruling; the call was upheld by replay"2014TEX.EVA.regular.comment.csv",52

"TEX201408230",52,"replay,7,dysoj001,KCA,wendh902,ARL02,,N,M,TEX,A $when Lorenzo Cain was called safe at HP, Rangers manager Ron Washington challenged the ruling; the call was upheld by replay"2014TEX.EVA.regular.comment.csv",53

"TEX201408240",63,"replay,7,rosaa001,TEX,wendh902,ARL02,,Y,M,KCA,C $when Adam Rosales was called safe at 1B, Royals manager Ned Yost challenged the ruling; the call was overturned by replay"2014TEX.EVA.regular.comment.csv",54

"TEX201409050",21,"replay,3,martl004,SEA,vanol901,ARL02,,Y,M,SEA,C $when Leonys Martin was called safe at 1B, Mariners manager Lloyd McClendon challenged the ruling; the call was overturned by replay"2014TEX.EVA.regular.comment.csv",55

"TEX201409050",34,"Mariners right fielder Endy Chavez left the game due to an injured head"2014TEX.EVA.regular.comment.csv",56

"TEX201409050",72,"replay,8,choim001,TEX,vanol901,ARL02,,N,M,TEX,C $when Michael Choice was called out at 1B, Rangers manager Tim Bogar challenged the ruling; the call Was upheld by replay"2014TEX.EVA.regular.comment.csv",57

