"CIN193604140",0,"Debut for umpire Larry Goetz $overflow crowd on the field on Opening Day","FILENAME_TX","LINE_NUMBER_CT"
"CIN193607121",0,"$the umpires worked without coats in the heat","1936CIN.EVN.regular.comment.csv",24
"CIN193607122",0,"$the umpires worked without coats in the heat","1936CIN.EVN.regular.comment.csv",25
"CIN193607122",57,"$Euel Moore out on appeal for missing 2B on his way back to 1B","1936CIN.EVN.regular.comment.csv",26
"CIN193607150",14,"$Jim Bucher ducked when the ball came his way and was replaced","1936CIN.EVN.regular.comment.csv",27
"CIN193607150",23,"ej,stenc101,M,goetl901,Call at 1B (Reversed) $1B umpire Larry Goetz called out Kiki Cuyler and reversed his call; Dodgers Manager Casey Stengel tossed a towel in the air and was ejected by Goetz","1936CIN.EVN.regular.comment.csv",28
"CIN193607150",62,"$Jimmy Jordan called for interference for running into his own bunt","1936CIN.EVN.regular.comment.csv",29
"CIN193607150",70,"$missed bunt","1936CIN.EVN.regular.comment.csv",30
"CIN193607180",36,"$Ott was forced to leave the game with a Charlie horse in his right leg.","1936CIN.EVN.regular.comment.csv",31
"CIN193608050",25,"$Arky Vaughan called for obstruction but no error charged","1936CIN.EVN.regular.comment.csv",32
"CIN193608150",12,"ej,dresc101,M,barrg901,Call at 3B Reds Manager Chuck Dressen ejected by HP umpire George Barr","1936CIN.EVN.regular.comment.csv",33
"CIN193608150",13,"ej,chapc101,P,barrg901,Call at 3B Calvin Chapman ejected by HP umpire George Barr","1936CIN.EVN.regular.comment.csv",34
"CIN193608150",24,"ej,derrp101,P,barrg901,Call at 3B Paul Derringer ejected by HP umpire George Barr","1936CIN.EVN.regular.comment.csv",35
"CIN193608161",19,"$Kiki Cuyler lost the ball in the sun and Tommy Thevenow dropped the relay throw","1936CIN.EVN.regular.comment.csv",36
"CIN193608180",55,"$Moore had to leave the game after hurting himself colliding with Thevenow.","1936CIN.EVN.regular.comment.csv",37
"CIN193608250",42,"$Al Smith left with injured leg","1936CIN.EVN.regular.comment.csv",38
"CIN193608250",69,"$Frank Gabler called for interference for running into his own batted ball","1936CIN.EVN.regular.comment.csv",39
"CIN193608301",21,"$Kamporis dropped the ball during the transfer","1936CIN.EVN.regular.comment.csv",40
"CIN193609010",35,"ej,kampa101,P,pfirc901,Called third strike Alex Kampouris ejected by HP umpire Cy Pfirman","1936CIN.EVN.regular.comment.csv",41
"CIN193609031",14,"Kampouris' pop to second was dropped by Cuccinello but was ruled an infield fly.  Riggs was also out when after reaching second, he wandered off the base thinking he had been forced out.  Warstler tagged him for the double play.","1936CIN.EVN.regular.comment.csv",42
"CIN193609031",42,"$Off Schott's hand.  Schott tried to throw to first underhand with his injured hand but the ball went several feet over Scarsella's head.  Schott's injured hand force him to leave the game.","1936CIN.EVN.regular.comment.csv",43
"CIN193609072",3,"$Allen fell trying to get back to 2B","1936CIN.EVN.regular.comment.csv",44
"CIN193609072",18,"ej,jurgb101,P,searz901,Fighting ej,campg101,P,searz901,Fighting $Jurges and catcher Campbell ejected by HP umpire Sears for fighting as Jurges stepped in to lead off 3rd","1936CIN.EVN.regular.comment.csv",45
"CIN193609270",0,"$catcher Dee Moore pitching for the Reds","1936CIN.EVN.regular.comment.csv",46
