"WAS201808072",52,"Mound Visit","2018WAS.EVN.regular.comment.csv",148
"WAS201808072",62,"Mound Visit","2018WAS.EVN.regular.comment.csv",149
"WAS201808072",64,"Injury Delay","2018WAS.EVN.regular.comment.csv",150
"WAS201808072",70,"Mound Visit","2018WAS.EVN.regular.comment.csv",151
"WAS201808080",6,"Mound Visit","2018WAS.EVN.regular.comment.csv",152
"WAS201808080",49,"Mound Visit","2018WAS.EVN.regular.comment.csv",153
"WAS201808080",51,"On-field Delay","2018WAS.EVN.regular.comment.csv",154
"WAS201808080",51,"ej,sotoj001,P,gibsg901,Arguing previous at bat ej,longk801,C,gibsg901,Arguing previous at bat $Soto ejected by plate umpire Gibson before the first pitch for commenting on called strike three in his previous at bat; players are not allowed to view replays and then argue a call; Washington hitting coach Kevin Long argued from dugout and was also ejected by Gibson","2018WAS.EVN.regular.comment.csv",155
"WAS201808080",54,"Mound Visit","2018WAS.EVN.regular.comment.csv",156
"WAS201808080",56,"Mound Visit","2018WAS.EVN.regular.comment.csv",157
"WAS201808080",66,"Injury Delay Mound Visit","2018WAS.EVN.regular.comment.csv",158
"WAS201808090",16,"$Sanchez injured leg when hit by Taylor's ball, left game","2018WAS.EVN.regular.comment.csv",159
"WAS201808090",23,"Injury Delay","2018WAS.EVN.regular.comment.csv",160
"WAS201808090",25,"Mound Visit","2018WAS.EVN.regular.comment.csv",161
"WAS201808090",71,"Mound Visit","2018WAS.EVN.regular.comment.csv",162
"WAS201808170",27,"ej,mattd001,M,may-b901,Arguing balls and strikes $Miami manager Mattingly ejected by plate umpire May for arguing balls and strikes","2018WAS.EVN.regular.comment.csv",163
"WAS201808170",32,"Mound Visit","2018WAS.EVN.regular.comment.csv",164
"WAS201808170",53,"Mound Visit","2018WAS.EVN.regular.comment.csv",165
"WAS201808170",55,"Mound Visit","2018WAS.EVN.regular.comment.csv",166
"WAS201808170",58,"Mound Visit","2018WAS.EVN.regular.comment.csv",167
"WAS201808170",60,"Mound Visit","2018WAS.EVN.regular.comment.csv",168
"WAS201808180",25,"$Nationals challenged call that Anderson was safe at first; call was overturned - out on pickoff","2018WAS.EVN.regular.comment.csv",169
"WAS201808180",42,"Mound Visit","2018WAS.EVN.regular.comment.csv",170
"WAS201808180",43,"Mound Visit","2018WAS.EVN.regular.comment.csv",171
"WAS201808180",45,"Mound Visit","2018WAS.EVN.regular.comment.csv",172
"WAS201808180",50,"Mound Visit","2018WAS.EVN.regular.comment.csv",173
"WAS201808180",58,"$Nationals challenged call that third pitch to Wieters was a ball, claiming he was hit; call was overturned - hit by pitch","2018WAS.EVN.regular.comment.csv",174
"WAS201808180",59,"Mound Visit","2018WAS.EVN.regular.comment.csv",175
"WAS201808180",61,"Mound Visit","2018WAS.EVN.regular.comment.csv",176
"WAS201808180",63,"Mound Visit","2018WAS.EVN.regular.comment.csv",177
"WAS201808190",28,"Mound Visit","2018WAS.EVN.regular.comment.csv",178
"WAS201808190",29,"$Fan interference","2018WAS.EVN.regular.comment.csv",179
"WAS201808190",32,"Mound Visit","2018WAS.EVN.regular.comment.csv",180
"WAS201808190",44,"Mound Visit","2018WAS.EVN.regular.comment.csv",181
"WAS201808190",61,"Mound Visit","2018WAS.EVN.regular.comment.csv",182
"WAS201808210",23,"On-field Delay","2018WAS.EVN.regular.comment.csv",183
"WAS201808210",37,"Mound Visit","2018WAS.EVN.regular.comment.csv",184
"WAS201808210",42,"Mound Visit","2018WAS.EVN.regular.comment.csv",185
"WAS201808210",43,"Mound Visit","2018WAS.EVN.regular.comment.csv",186
"WAS201808210",52,"Mound Visit","2018WAS.EVN.regular.comment.csv",187
"WAS201808210",59,"Mound Visit","2018WAS.EVN.regular.comment.csv",188
"WAS201808210",68,"Mound Visit","2018WAS.EVN.regular.comment.csv",189
"WAS201808210",69,"Mound Visit","2018WAS.EVN.regular.comment.csv",190
"WAS201808210",71,"Mound Visit","2018WAS.EVN.regular.comment.csv",191
"WAS201808210",72,"Mound Visit","2018WAS.EVN.regular.comment.csv",192
"WAS201808210",79,"Mound Visit","2018WAS.EVN.regular.comment.csv",193
"WAS201808220",6,"Mound Visit","2018WAS.EVN.regular.comment.csv",194
"WAS201808220",29,"Mound Visit","2018WAS.EVN.regular.comment.csv",195
"WAS201808220",43,"Mound Visit","2018WAS.EVN.regular.comment.csv",196
"WAS201808220",54,"Mound Visit","2018WAS.EVN.regular.comment.csv",197
"WAS201808220",64,"Mound Visit","2018WAS.EVN.regular.comment.csv",198
"WAS201808220",77,"Mound Visit","2018WAS.EVN.regular.comment.csv",199
"WAS201808220",79,"Mound Visit","2018WAS.EVN.regular.comment.csv",200
"WAS201808220",80,"Mound Visit","2018WAS.EVN.regular.comment.csv",201
"WAS201808220",85,"$Umpire review of ball hit by Zimmerman; call was overturned - home run, not double","2018WAS.EVN.regular.comment.csv",202
"WAS201808230",45,"Mound Visit","2018WAS.EVN.regular.comment.csv",203
"WAS201808230",51,"Mound Visit","2018WAS.EVN.regular.comment.csv",204
"WAS201808230",60,"Mound Visit Mound Visit","2018WAS.EVN.regular.comment.csv",205
"WAS201808310",10,"Mound Visit","2018WAS.EVN.regular.comment.csv",206
"WAS201808310",52,"On-field Delay","2018WAS.EVN.regular.comment.csv",207
"WAS201808310",53,"ej,wietm001,P,whitc901,Arguing balls and strikes $Wieters ejected by plate umpire Whitson during Difo's at for arguing called strike in his at bat","2018WAS.EVN.regular.comment.csv",208
"WAS201808310",57,"Mound Visit","2018WAS.EVN.regular.comment.csv",209
"WAS201808310",66,"Mound Visit","2018WAS.EVN.regular.comment.csv",210
"WAS201808310",74,"Mound Visit","2018WAS.EVN.regular.comment.csv",211
"WAS201809010",19,"Mound Visit","2018WAS.EVN.regular.comment.csv",212
"WAS201809010",50,"Mound Visit","2018WAS.EVN.regular.comment.csv",213
"WAS201809010",59,"Injury Delay","2018WAS.EVN.regular.comment.csv",214
"WAS201809010",60,"Mound Visit","2018WAS.EVN.regular.comment.csv",215
"WAS201809010",69,"Mound Visit","2018WAS.EVN.regular.comment.csv",216
"WAS201809010",70,"Mound Visit","2018WAS.EVN.regular.comment.csv",217
"WAS201809020",5,"Mound Visit","2018WAS.EVN.regular.comment.csv",218
"WAS201809020",22,"Mound Visit","2018WAS.EVN.regular.comment.csv",219
"WAS201809020",30,"Mound Visit","2018WAS.EVN.regular.comment.csv",220
"WAS201809020",47,"Mound Visit","2018WAS.EVN.regular.comment.csv",221
"WAS201809030",13,"Mound Visit","2018WAS.EVN.regular.comment.csv",222
"WAS201809030",43,"Mound Visit","2018WAS.EVN.regular.comment.csv",223
"WAS201809030",57,"Mound Visit","2018WAS.EVN.regular.comment.csv",224
"WAS201809030",62,"Mound Visit","2018WAS.EVN.regular.comment.csv",225
"WAS201809030",64,"Mound Visit","2018WAS.EVN.regular.comment.csv",226
"WAS201809030",77,"$Nationals challenged call that Rendon was out, claiming ball was trapped; call was upheld - fly out","2018WAS.EVN.regular.comment.csv",227
"WAS201809030",78,"Mound Visit","2018WAS.EVN.regular.comment.csv",228
"WAS201809030",79,"Mound Visit","2018WAS.EVN.regular.comment.csv",229
"WAS201809030",83,"Mound Visit","2018WAS.EVN.regular.comment.csv",230
"WAS201809040",6,"$Cardinals challenged call that Turner was safe at 2nd; Turner broke for 2nd on 3-2 pitch, which was ball four; $Molina threw to 2nd and Turner slid off base and was tagged; call was overturned - out advancing","2018WAS.EVN.regular.comment.csv",231
"WAS201809040",14,"Mound Visit","2018WAS.EVN.regular.comment.csv",232
"WAS201809040",37,"On-field Delay","2018WAS.EVN.regular.comment.csv",233
"WAS201809040",39,"Mound Visit","2018WAS.EVN.regular.comment.csv",234
"WAS201809040",40,"Mound Visit","2018WAS.EVN.regular.comment.csv",235
"WAS201809040",45,"Mound Visit","2018WAS.EVN.regular.comment.csv",236
"WAS201809040",52,"Mound Visit","2018WAS.EVN.regular.comment.csv",237
"WAS201809040",54,"Mound Visit","2018WAS.EVN.regular.comment.csv",238
"WAS201809040",65,"$Nationals challenged call that Rendon was out at 1st to complete double play; call was upheld - double play","2018WAS.EVN.regular.comment.csv",239
"WAS201809040",67,"Injury Delay","2018WAS.EVN.regular.comment.csv",240
"WAS201809040",75,"Mound Visit","2018WAS.EVN.regular.comment.csv",241
"WAS201809040",78,"Mound Visit","2018WAS.EVN.regular.comment.csv",242
"WAS201809040",82,"Mound Visit","2018WAS.EVN.regular.comment.csv",243
"WAS201809040",84,"Mound Visit","2018WAS.EVN.regular.comment.csv",244
"WAS201809040",87,"Mound Visit","2018WAS.EVN.regular.comment.csv",245
"WAS201809050",14,"Mound Visit","2018WAS.EVN.regular.comment.csv",246
"WAS201809050",29,"Injury Delay","2018WAS.EVN.regular.comment.csv",247
"WAS201809050",43,"$Nationals challenged call that Robles was out a home; call was overturned - safe at home","2018WAS.EVN.regular.comment.csv",248
"WAS201809050",54,"Mound Visit","2018WAS.EVN.regular.comment.csv",249
"WAS201809050",63,"Mound Visit","2018WAS.EVN.regular.comment.csv",250
"WAS201809050",64,"Mound Visit","2018WAS.EVN.regular.comment.csv",251
"WAS201809050",66,"$Cardinals challenged call that Zimmerman was safe at home; call was upheld - safe at home","2018WAS.EVN.regular.comment.csv",252
"WAS201809050",70,"Mound Visit","2018WAS.EVN.regular.comment.csv",253
"WAS201809050",72,"$Umpire review of pickoff play at 1st; call was upheld - Bader out on pickoff","2018WAS.EVN.regular.comment.csv",254
"WAS201809050",73,"$Yadier Molina left with an injured leg","2018WAS.EVN.regular.comment.csv",255
"WAS201809050",81,"Mound Visit","2018WAS.EVN.regular.comment.csv",256
"WAS201809050",85,"Mound Visit","2018WAS.EVN.regular.comment.csv",257
"WAS201809050",87,"Mound Visit","2018WAS.EVN.regular.comment.csv",258
"WAS201809060",4,"$Cubs challenged call that Zobrist was out at 1st; call was overturned - single","2018WAS.EVN.regular.comment.csv",259
"WAS201809060",37,"Mound Visit","2018WAS.EVN.regular.comment.csv",260
"WAS201809060",47,"Injury Delay","2018WAS.EVN.regular.comment.csv",261
"WAS201809060",48,"Mound Visit","2018WAS.EVN.regular.comment.csv",262
"WAS201809060",60,"Mound Visit","2018WAS.EVN.regular.comment.csv",263
"WAS201809060",64,"Mound Visit","2018WAS.EVN.regular.comment.csv",264
"WAS201809060",67,"Mound Visit","2018WAS.EVN.regular.comment.csv",265
"WAS201809060",71,"Mound Visit","2018WAS.EVN.regular.comment.csv",266
"WAS201809060",72,"Mound Visit","2018WAS.EVN.regular.comment.csv",267
"WAS201809060",89,"Mound Visit","2018WAS.EVN.regular.comment.csv",268
"WAS201809081",11,"Mound Visit","2018WAS.EVN.regular.comment.csv",269
"WAS201809081",40,"Mound Visit","2018WAS.EVN.regular.comment.csv",270
"WAS201809081",47,"Mound Visit","2018WAS.EVN.regular.comment.csv",271
