"MIN196308180",26,"360 feet"1963MIN.EVA.regular.comment.csv",106

"MIN196308180",57,"426 feet"1963MIN.EVA.regular.comment.csv",107

"MIN196308180",73,"357 feet"1963MIN.EVA.regular.comment.csv",108

"MIN196308300",3,"$Frank Robinson called for interference"1963MIN.EVA.regular.comment.csv",109

"MIN196308300",12,"397 feet"1963MIN.EVA.regular.comment.csv",110

"MIN196308300",70,"407 feet"1963MIN.EVA.regular.comment.csv",111

"MIN196308300",71,"390 feet"1963MIN.EVA.regular.comment.csv",112

"MIN196308310",57,"386 feet"1963MIN.EVA.regular.comment.csv",113

"MIN196308310",58,"352 feet"1963MIN.EVA.regular.comment.csv",114

"MIN196309010",54,"375 feet"1963MIN.EVA.regular.comment.csv",115

"MIN196309010",70,"384 feet"1963MIN.EVA.regular.comment.csv",116

"MIN196309021",30,"407 feet"1963MIN.EVA.regular.comment.csv",117

"MIN196309021",36,"ej,dykej101,C,valeb901,Balk non-call $Athletics coach Dykes ejected by 3B umpire Valentine for arguing that pitcher had balked"1963MIN.EVA.regular.comment.csv",118

"MIN196309021",69,"448 feet"1963MIN.EVA.regular.comment.csv",119

"MIN196309022",9,"422 feet"1963MIN.EVA.regular.comment.csv",120

"MIN196309030",52,"371 feet"1963MIN.EVA.regular.comment.csv",121

"MIN196309050",9,"378 feet"1963MIN.EVA.regular.comment.csv",122

"MIN196309050",47,"373 feet"1963MIN.EVA.regular.comment.csv",123

"MIN196309050",61,"360 feet"1963MIN.EVA.regular.comment.csv",124

"MIN196309090",12,"ej,frant101,P,dimul901,Called third strike Tito Francona ejected by HP umpire Lou DiMuro"1963MIN.EVA.regular.comment.csv",125

"MIN196309090",64,"ej,tebbb101,M,dimul901,Balls and strikes Indians Manager Birdie Tebbetts ejected by HP umpire Lou DiMuro"1963MIN.EVA.regular.comment.csv",126

"MIN196309110",24,"418 feet"1963MIN.EVA.regular.comment.csv",127

"MIN196309110",31,"390 feet"1963MIN.EVA.regular.comment.csv",128

"MIN196309110",74,"391 feet"1963MIN.EVA.regular.comment.csv",129

"MIN196309120",59,"337 feet"1963MIN.EVA.regular.comment.csv",130

"MIN196309120",64,"384 feet"1963MIN.EVA.regular.comment.csv",131

"MIN196309120",65,"401 feet"1963MIN.EVA.regular.comment.csv",132

"MIN196309130",40,"ej,blanj101,P,salea901,Called third strike Johnny Blanchard ejected by HP umpire Al Salerno"1963MIN.EVA.regular.comment.csv",133

"MIN196309130",69,"$Clete Boyer fell into the dugout for pennant winning catch"1963MIN.EVA.regular.comment.csv",134

"MIN196309141",72,"400 feet"1963MIN.EVA.regular.comment.csv",135

"MIN196309142",42,"362 feet"1963MIN.EVA.regular.comment.csv",136

"MIN196309170",43,"413 feet"1963MIN.EVA.regular.comment.csv",137

"MIN196309170",62,"424 feet"1963MIN.EVA.regular.comment.csv",138

"MIN196309180",0,"ej,swifb102,C,honoj901,Bench jockeying Tigers Coach Bob Swift ejected by HP umpire Jim Honochick sometime in game"1963MIN.EVA.regular.comment.csv",139

"MIN196309180",4,"401 feet"1963MIN.EVA.regular.comment.csv",140

"MIN196309180",38,"417 feet"1963MIN.EVA.regular.comment.csv",141

"MIN196309180",48,"Debut game for Larry Foster"1963MIN.EVA.regular.comment.csv",142

"MIN196309190",36,"420 feet"1963MIN.EVA.regular.comment.csv",143

"MIN196309190",39,"407 feet"1963MIN.EVA.regular.comment.csv",144

"MIN196309190",40,"355 feet"1963MIN.EVA.regular.comment.csv",145

"MIN196309190",58,"376 feet"1963MIN.EVA.regular.comment.csv",146

"MIN196309190",91,"387 feet"1963MIN.EVA.regular.comment.csv",147

