"BAL198904030",6,"Debut game for Steve Finley","FILENAME_TX","LINE_NUMBER_CT"
"BAL198908170",37,"$Manuel Lee threw into dugout trying to complete double play","1989BAL.EVA.regular.comment.csv",41
"BAL198908180",63,"$Craig Worthington stopped at 3B causing rundown","1989BAL.EVA.regular.comment.csv",42
"BAL198908180",67,"5 minute rain delay from 10:45-10:50","1989BAL.EVA.regular.comment.csv",43
"BAL198908180",70,"ej,orsuj001,P,hirsj901,Balls and strikes Joe Orsulak ejected by HP umpire John Hirschbeck; rain resumes, harder than before, but play continues","1989BAL.EVA.regular.comment.csv",44
"BAL198908180",72,"$both George Bell and Mookie Wilson fell on wet field on this play","1989BAL.EVA.regular.comment.csv",45
"BAL198909040",5,"ej,edwad102,M,joycj901,Ripped up first base and threw helmet Indians manager Doc Edwards ejected by HP umpire Jim Joyce; Edwards ripped up first base and threw it","1989BAL.EVA.regular.comment.csv",46
"BAL198909060",21,"Debut game for Ben McDonald","1989BAL.EVA.regular.comment.csv",47
"BAL198909060",62,"Debut game for Juan Bell","1989BAL.EVA.regular.comment.csv",48
"BAL198909110",60,"$Ron Karkovice bumped Billy Ripken; big argument, no call","1989BAL.EVA.regular.comment.csv",49
"BAL198909110",77,"Debut game for Wayne Edwards","1989BAL.EVA.regular.comment.csv",50
"BAL198909120",10,"Debut game for Robin Ventura","1989BAL.EVA.regular.comment.csv",51
"BAL198909130",0,"Protest=H","1989BAL.EVA.regular.comment.csv",52
"BAL198909130",33,"1:22 rain delay","1989BAL.EVA.regular.comment.csv",53
"BAL198909130",34,"ej,robif103,M,garcr901,Protesting field condition after delay Orioles manager Frank Robinson ejected by HP umpire Richie Garcia arguing the poor field condition after the rain delay; the Orioles protest the game because of field conditions","1989BAL.EVA.regular.comment.csv",54
"BAL198909150",71,"ej,schab801,C,cobld901,Called third strike Royals coach Bob Schaefer ejected by HP umpire Coble for arguing called third strike","1989BAL.EVA.regular.comment.csv",55
"BAL198909160",0,"90 minute rain delay at start of game","1989BAL.EVA.regular.comment.csv",56
"BAL198909240",9,"$Stan Jefferson lost Randy Velarde's ball in the sun","1989BAL.EVA.regular.comment.csv",57
