"KCA201504060",52,"Royals pitcher Yordano Ventura left the game due to an injured hand","FILENAME_TX","LINE_NUMBER_CT"
"KCA201506190",30,"replay,4,holtb002,BOS,hallt901,KAN06,,N,M,BOS,A $when Blake Swihart was called out at 2B, Red Sox manager John Farrell challenged the ruling; the call was upheld by replay","2015KCA.EVA.regular.comment.csv",22
"KCA201506200",50,"Red Sox third baseman Pablo Sandoval left the game due to an injured ankle","2015KCA.EVA.regular.comment.csv",23
"KCA201506200",56,"Red Sox catcher Blake Swihart left the game due to an injured foot","2015KCA.EVA.regular.comment.csv",24
"KCA201506200",68,"ej,ortid001,P,drecb901,Balls and strikes $David Ortiz objected to the strikes zone; when he hit the ball, he flipped the bat into fair territory in front of HP; when he reached 1B, Ortiz and HP umpire Bruce Dreckman continued their conversation and Ortiz was ejected by Dreckman","2015KCA.EVA.regular.comment.csv",25
"KCA201506210",33,"replay,4,infao001,KCA,hallt901,KAN06,,Y,M,KCA,C $when Omar Infante was called out at 1B, Royals manager Ned Yost challenged the ruling; the call was overturned by replay","2015KCA.EVA.regular.comment.csv",26
"KCA201507030",51,"replay,7,escoe001,MIN,cedeg901,KAN06,,Y,M,KCA,C $when Eduardo Escobar was called safe at 1B, Royals manager Ned Yost challenged the ruling; the call was overturned by replay","2015KCA.EVA.regular.comment.csv",27
"KCA201507030",80,"replay,10,dysoj001,KCA,cedeg901,KAN06,,N,M,MIN,A $when Lorenzo Cain was called safe at HP, Twins manager Paul Molitor challenged the ruling; the call was upheld by replay, thus ending the game","2015KCA.EVA.regular.comment.csv",28
"KCA201507040",60,"Twins pitcher Ryan Pressly left the game due to an injured shoulder","2015KCA.EVA.regular.comment.csv",29
"KCA201507071",56,"replay,7,kierk001,TBA,welkt901,KAN06,,N,M,KCA,C $when Kevin Kiermaier was called safe at 1B, Royals manager Ned Yost challenged the ruling; the call was upheld by replay","2015KCA.EVA.regular.comment.csv",30
"KCA201507071",75,"replay,9,kierk001,TBA,welkt901,KAN06,,N,U,,A $when Kevin Kiermaier was called safe at 3B, crew chief Tim Welke requested a review; the call was upheld by replay","2015KCA.EVA.regular.comment.csv",31
"KCA201507080",29,"Royals left fielder Alex Gordon left the game due to an injured groin","2015KCA.EVA.regular.comment.csv",32
"KCA201507090",65,"ej,cainl001,P,segac901,Balls and strikes $Cain ejected by HP umpire Segal after his fly out for arguing balls and strikes","2015KCA.EVA.regular.comment.csv",33
"KCA201507100",53,"replay,6,dysoj001,KCA,mealj901,KAN06,,N,M,TOR,C $when Jarrod Dyson was called safe at 1B, Blue Jays manager John Gibbons challenged the ruling; the call was overturned by replay","2015KCA.EVA.regular.comment.csv",34
"KCA201507120",20,"replay,2,carre001,TOR,mealj901,KAN06,,N,M,TOR,A $when Kevin Pillar was called out at 3B, Blue Jays manager John Gibbons challenged the ruling; the call was upheld by replay","2015KCA.EVA.regular.comment.csv",35
"KCA201507120",68,"next two plays the same play","2015KCA.EVA.regular.comment.csv",36
"KCA201507120",70,"replay,7,valed001,TOR,mealj901,KAN06,,N,U,,A $Russell Martin rounded 3B too far on the wild pitch; Salvador Perez made a snap throw to 3B; when Martin was called out at 3B, crew chief Jerry Meals requested a review; the call was upheld by replay","2015KCA.EVA.regular.comment.csv",37
"KCA201507120",78,"ej,bautj002,P,mealj901,Balk non-call Blue Jays designated hitter Jose Bautista ejected by HP umpire Jerry Meals arguing that Wade Davis was not stopping his motion","2015KCA.EVA.regular.comment.csv",38
"KCA201507200",14,"replay,2,ishit001,PIT,davig901,KAN06,O,N,U,,H $Travis Ishikawa's fly to LF struck near the top of the wall; crew chief Gerry Davis requested a review, which upheld the call of ball in play","2015KCA.EVA.regular.comment.csv",39
"KCA201507200",70,"Pirates catcher Francisco Cervelli left the game due to an injured wrist","2015KCA.EVA.regular.comment.csv",40
"KCA201507210",7,"replay,2,marts002,PIT,davig901,KAN06,O,Y,U,,H $Starling Marte's fly to LF struck on the top of the wall and caromed off the railing into the bullpen; it was ruled a home run; crew chief Jerry Davis requested a review, which overturned the call to a double","2015KCA.EVA.regular.comment.csv",41
"KCA201507210",10,"Royals pitcher Jason Vargas left the game due to an injured elbow","2015KCA.EVA.regular.comment.csv",42
"KCA201507210",34,"replay,5,rodrs002,PIT,davig901,KAN06,,Y,M,PIT,C $when Sean Rodriguez was called out at 1B, Pirates manager Clint Hurdle challenged the ruling; the call was overturned by replay","2015KCA.EVA.regular.comment.csv",43
"KCA201507220",54,"replay,7,dysoj001,KCA,davig901,KAN06,,N,M,PIT,A $when Omar Infante was called safe at HP, Pirates manager Clint Hurdle challenged the ruling; the call was upheld by replay","2015KCA.EVA.regular.comment.csv",44
"KCA201507240",48,"replay,6,altuj001,HOU,carlm901,KAN06,,Y,M,KCA,A $when Jake Marisnick was called safe at 1B, Royals manager Ned Yost challenged the ruling; the call was overturned by replay","2015KCA.EVA.regular.comment.csv",45
"KCA201507240",71,"$Originally no error on advance; added on 07-28-2015","2015KCA.EVA.regular.comment.csv",46
"KCA201507250",66,"replay,10,cartc002,HOU,carlm901,KAN06,,N,M,HOU,C $when Preston Tucker was called out at 1B, Astros manager A.J. Hinch challenged the ruling; the call was upheld by replay","2015KCA.EVA.regular.comment.csv",47
"KCA201508070",25,"White Sox center fielder Adam Eaton left the game due to an injured shoulder","2015KCA.EVA.regular.comment.csv",48
"KCA201508070",54,"replay,7,escoa003,KCA,marqa901,KAN06,,Y,M,KCA,C $when Alcides Escobar was called out at 1B, Royals manager Ned Yost challenged the ruling; the call was overturned by replay","2015KCA.EVA.regular.comment.csv",49
"KCA201508110",53,"replay,7,martj007,DET,westj901,KAN06,,N,M,KCA,A $when Jefry Marte was called safe at 2B, Royals manager Ned Yost challenged the ruling; the call was upheld by replay","2015KCA.EVA.regular.comment.csv",50
"KCA201508110",65,"replay,8,cainl001,KCA,westj901,KAN06,,Y,M,DET,A $when Lorenzo Cain was called safe at 2B, Tigers manager Brad Ausmus challenged the ruling; the call was overturned by replay","2015KCA.EVA.regular.comment.csv",51
"KCA201508130",76,"$originally scored as single, changed to E3 plus SH on 08-21-2015, making his run unearned","2015KCA.EVA.regular.comment.csv",52
"KCA201508140",26,"replay,3,zobrb001,KCA,cedeg901,KAN06,,Y,M,KCA,A $when Alcides Escobar was called out at 2B, Royals manager Ned Yost challenged the ruling; the call was overturned by replay","2015KCA.EVA.regular.comment.csv",53
"KCA201508140",58,"replay,7,murpd005,ANA,cedeg901,KAN06,,Y,M,KCA,A $when Taylor Featherston was called safe at 2B, Royals manager Ned Yost challenged the ruling; the call was overturned by replay","2015KCA.EVA.regular.comment.csv",54
"KCA201508150",3,"replay,1,troum001,ANA,cedeg901,KAN06,,Y,M,KCA,A $when Johnny Giavotella was called safe at 1B on a pickoff attempt, Royals manager Ned Yost challenged the ruling; the call was overturned by replay","2015KCA.EVA.regular.comment.csv",55
"KCA201508150",33,"replay,3,escoa003,KCA,cedeg901,KAN06,,N,M,ANA,U $when Jarrod Dyson was called safe at 2B, Angels manager Mike Scioscia challenged the ruling; the call was upheld by replay","2015KCA.EVA.regular.comment.csv",56
"KCA201508160",54,"ej,peres002,P,wolcq901,Balls and strikes Royals catcher Salvador Perez ejected by HP umpire Quinn Wolcott","2015KCA.EVA.regular.comment.csv",57
"KCA201508240",1,"replay,1,machm001,BAL,hirsj901,KAN06,,Y,M,BAL,D $Manny Machado's fly to CF caromed off Lorenzo Cain's glove and struck the wall; Cain fell to the ground with the ball in his glove and held it up to show he caught it; the play was ruled a catch but Orioles manager Buck Showalter challenged the ruling; the call was overturned by replay","2015KCA.EVA.regular.comment.csv",58
"KCA201508260",18,"$As Adam Jones caught the fly ball at the wall, Omar Infante rounded 2B; Paulo Orlando was returnint to the bag; Infante touched Orlando and then passed him for an automatic out","2015KCA.EVA.regular.comment.csv",59
"KCA201509020",28,"ej,cabrm001,P,cedeg901,Balls and strikes Miguel Cabrera ejected by 3B umpire Gary Cederstrom for continuing to argue the called third strike and other pitches in the same at bat","2015KCA.EVA.regular.comment.csv",60
"KCA201509030",34,"Tigers shortstop Jose Iglesias left the game due to an injured hand","2015KCA.EVA.regular.comment.csv",61
"KCA201509030",62,"replay,6,martj006,DET,cedeg901,KAN06,,N,M,DET,C $when J.D. Martinez was called out at 1B, Tigers manager Brad Ausmus challenged the ruling; the call was upheld by replay","2015KCA.EVA.regular.comment.csv",62
"KCA201509060",53,"replay,6,gorda001,KCA,vanol901,KAN06,,Y,M,CHA,C $when Alex Gordon was called safe at 1B, White Sox manager Robin Ventura challenged the ruling; the call was overturned by replay; the bat broke and the barrel struck pitcher Erik Johnson on the arm","2015KCA.EVA.regular.comment.csv",63
"KCA201509080",62,"replay,9,mauej001,MIN,joycj901,KAN06,,N,M,MIN,C $when Joe Mauer was called out at 1B, Twins manager Paul Molitor challenged the ruling; the call was upheld by replay","2015KCA.EVA.regular.comment.csv",64
"KCA201509090",82,"replay,10,cainl001,KCA,joycj901,KAN06,,N,M,KCA,P $when Jarrod Dyson was called out at HP, Royals manager Ned Yost challenged the ruling; the call was upheld by replay; catcher Kurt Suzuki left with a leg injury from the collision with Dyson","2015KCA.EVA.regular.comment.csv",65
"KCA201509230",61,"Royals catcher Salvador Perez left the game due to an injured knee","2015KCA.EVA.regular.comment.csv",66
"KCA201509240",19,"Mariners pitcher James Paxton left the game due to an injured hand","2015KCA.EVA.regular.comment.csv",67
"KCA201509260",0,"$umpire Dana Demuth's 4000th game in the majors; only 22 other umpires have reached that milestone","2015KCA.EVA.regular.comment.csv",68
"KCA201509260",22,"Indians right fielder Lonnie Chisenhall left the game due to an injured leg","2015KCA.EVA.regular.comment.csv",69
"KCA201509270",25,"replay,4,santc002,CLE,demud901,KAN06,,Y,M,CLE,A $when Michael Brantley was called out at 2B, Indians manager Terry Francona challenged the ruling; the call was overturned by replay","2015KCA.EVA.regular.comment.csv",70
"KCA201509270",50,"replay,7,chisl001,CLE,demud901,KAN06,,N,M,KCA,A replay,7,chisl001,CLE,demud901,KAN06,,Y,U,,Q $when Michael Brantley was ruled safe at 1B and Francisco Lindor was ruled safe at HP, the Royals appealed at 3B that Lindor did not tag up; Lindor was ruled safe on the appeal; Royals manager Ned Yost challenged the call at 1B; the call was upheld by replay; Yost then asked about the tag up at 3B; crew chief Dana DeMuth requested a rules check, which determined that Yost could not challenge the call on Lindor; the umpires talked and ruled Lindor out for not tagging up","2015KCA.EVA.regular.comment.csv",71
