"CLE200104060",42,"fog delay for 8 minutes in 6th","FILENAME_TX","LINE_NUMBER_CT"
"CLE200108150",32,"ej,molip001,C,diazl901,Balls and strikes (Threw batting tee) $Twins coach Molitor ejected by 1B umpire Diaz at end of Cleveland 3rd inning, implying that the Minnesota pitcher had to put the ball on a tee to get a strike","2001CLE.EVA.regular.comment.csv",33
"CLE200108280",0,"$Cle Mgr Manuel has abdominal surgery to remove scar tissue from colon; bench coach Grady Little running club","2001CLE.EVA.regular.comment.csv",34
"CLE200108300",29,"ej,coned001,P,randt901,Bench jockeying David Cone ejected from bench by HP umpire Tony Randazzo","2001CLE.EVA.regular.comment.csv",35
"CLE200109100",15,"$Ordonez hurt left wrist on check swing strikeout in 1st","2001CLE.EVA.regular.comment.csv",36
"CLE200109180",11,"Debut game for Kevin Harvey","2001CLE.EVA.regular.comment.csv",37
"CLE200109180",67,"Debut game for Angel M. Berroa","2001CLE.EVA.regular.comment.csv",38
"CLE200109190",17,"45 minute rain delay in 3rd","2001CLE.EVA.regular.comment.csv",39
"CLE200109250",0,"$Cle Mgr Manuel hospitalized with stomach inflammation; Grady Little running club","2001CLE.EVA.regular.comment.csv",40
"CLE200109250",69,"attempted 262 play with bad throw; terrible scoring decision.","2001CLE.EVA.regular.comment.csv",41
"CLE200109290",65,"ej,molip001,C,hirsm901,Balls and strikes Twins coach Paul Molitor ejected by HP umpire Mark Hirschbeck in 8th","2001CLE.EVA.regular.comment.csv",42
"CLE200109300",53,"ej,molip001,C,kulpr901,Balls and strikes $Twins coach Molitor ejected by HP umpire Kulpa for arguing balls and strikes sometime in 6th inning","2001CLE.EVA.regular.comment.csv",43
