"BAL201704080",38,"Yankees catcher Gary Sanchez left the game due to an injured arm","FILENAME_TX","LINE_NUMBER_CT"
"BAL201706180",47,"Orioles shortstop J.J. Hardy left the game due to an injured wrist","2017BAL.EVA.regular.comment.csv",33
"BAL201706220",6,"replay,1,schoj001,BAL,millb901,BAL12,,N,M,CLE,A $when Manny Machado was called safe at 1B, Indians manager Terry Francona challenged the ruling; the call was upheld by replay","2017BAL.EVA.regular.comment.csv",34
"BAL201707190",55,"$ER responsibility changed on 07-20-2017 to give Perez one more and Bush one fewer","2017BAL.EVA.regular.comment.csv",35
"BAL201707220",44,"$umpires reviewed call of double for Gurriel; call was overturned - home run","2017BAL.EVA.regular.comment.csv",36
"BAL201707220",48,"$Moran fouled first pitch off left cheek and was down for several minutes, finally leaving on medical cart; admitted to local hospital with facial fracture which may need surgery; placed on DL next morning","2017BAL.EVA.regular.comment.csv",37
"BAL201707310",39,"$Gentry out for batter's interference with catcher","2017BAL.EVA.regular.comment.csv",38
"BAL201708020",68,"ej,mousm001,P,tumpj901,Arguing called third strike ej,yoste001,M,tumpj901,Arguing called third strike $Mike Moustakas ejected by plate umpire Tumpane for arguing called third strike; KC manager Yost also argued and was ejected","2017BAL.EVA.regular.comment.csv",39
"BAL201708040",3,"$Fan interference for double","2017BAL.EVA.regular.comment.csv",40
"BAL201708040",69,"$Orioles challenged call that Beckham was out at 3rd; call was upheld - out trying to advance","2017BAL.EVA.regular.comment.csv",41
"BAL201708180",55,"$Angels challenged call that Revere was out at second; call was overturned - safe at 2nd on missed catch error","2017BAL.EVA.regular.comment.csv",42
"BAL201708180",73,"$Orioles challenged call that Trout was safe at 2nd on stolen base attempt; call was overturned - caught stealing","2017BAL.EVA.regular.comment.csv",43
"BAL201708190",14,"umpchange,2,umphome,carav901 umpchange,2,ump2b,(None) $Plate umpire Hallion hit in mask by Maldonando foul on 5th pitch; he left game and 2b ump Carapazza moved from 2nd to plate; game was finished with 3 umpires","2017BAL.EVA.regular.comment.csv",44
"BAL201708190",20,"$Angels challenged call that Santander was safe at 1st; call was overturned - ground out","2017BAL.EVA.regular.comment.csv",45
"BAL201708190",55,"$JC Ramirez left with injured arm","2017BAL.EVA.regular.comment.csv",46
"BAL201708210",64,"$Athletics challenged call that Olson was out at 2nd; call was upheld - out trying to stretch","2017BAL.EVA.regular.comment.csv",47
"BAL201708300",71,"$Orioles challenged call that Joseph was out at 2nd to complete double play; call was overturned - line out, no DP","2017BAL.EVA.regular.comment.csv",48
"BAL201709010",9,"ej,jonea003,P,hobep901,Arguing balls and strikes $Adam Jones objected to called strike 2 and continued to complain from dugout after striking out; plate umpire Hoberg ejected him","2017BAL.EVA.regular.comment.csv",49
"BAL201709010",28,"$Craig Gentry left with injured hand","2017BAL.EVA.regular.comment.csv",50
"BAL201709010",67,"$Blue Jays challenged call that Pillar was out at home; call was upheld - out on fielder's choice","2017BAL.EVA.regular.comment.csv",51
"BAL201709010",76,"$umpires reviewed call that Donaldson was out at 1st; call was upheld - ground out","2017BAL.EVA.regular.comment.csv",52
"BAL201709020",15,"$Marcus Stroman left with injured elbow","2017BAL.EVA.regular.comment.csv",53
"BAL201709020",36,"$originally scored as E1, changed to single on 09-03-2017","2017BAL.EVA.regular.comment.csv",54
"BAL201709180",28,"$Dustin Pedroia left with injured head","2017BAL.EVA.regular.comment.csv",55
"BAL201709190",75,"$Red Sox challenged call that Bogaerts was out at 1st; call was upheld - ground out","2017BAL.EVA.regular.comment.csv",56
"BAL201709200",27,"$originally scored as E3, changed to single 09-27-2017","2017BAL.EVA.regular.comment.csv",57
"BAL201709210",21,"$originally scored as bunt ground out, changed to sacrifice on 9-23-2017","2017BAL.EVA.regular.comment.csv",58
"BAL201709220",67,"$umpires reviewed call that Ramos had homered; call was overturned - double","2017BAL.EVA.regular.comment.csv",59
"BAL201709220",73,"$Orioles challenged call that Kiermaier was hit by pitch; call was upheld - hit by pitch","2017BAL.EVA.regular.comment.csv",60
"BAL201709240",30,"$Adam Jones left with injured leg","2017BAL.EVA.regular.comment.csv",61
"BAL201709240",41,"$Orioles challenged call that Kiermaier was safe at 1st; call was overturned - ground out","2017BAL.EVA.regular.comment.csv",62
