"SLN192506050",2,"Great diving 1-handed stop","1925SLN.EVN.regular.comment.csv",140
"SLN192506050",5,"High bounder","1925SLN.EVN.regular.comment.csv",141
"SLN192506050",14,"Remarkable running 1-handed catch","1925SLN.EVN.regular.comment.csv",142
"SLN192506050",21,"Almost to the flagpole","1925SLN.EVN.regular.comment.csv",143
"SLN192506050",26,"Infielders waited too long for it to fall; Jackson muffed it when he did go after it.","1925SLN.EVN.regular.comment.csv",144
"SLN192506050",28,"Low throw to 1B","1925SLN.EVN.regular.comment.csv",145
"SLN192506050",29,"Youngs' return throw went past Groh a little way; Jackson recovered and threw wild past Snyder.","1925SLN.EVN.regular.comment.csv",146
"SLN192506050",44,"Into RF bleachers","1925SLN.EVN.regular.comment.csv",147
"SLN192506050",51,"NYEW coverage ended here","1925SLN.EVN.regular.comment.csv",148
"SLN192506050",53,"Off Rhem's right leg; he had to be carried from the field","1925SLN.EVN.regular.comment.csv",149
"SLN192506050",53,"Mails has rejoined Giants from Rochester, NY where he has been under the care of a physician for his injured arm.","1925SLN.EVN.regular.comment.csv",150
"SLN192506050",54,"Great 1-handed grab","1925SLN.EVN.regular.comment.csv",151
"SLN192506050",67,"Mails argued it was a foul tip","1925SLN.EVN.regular.comment.csv",152
"SLN192506050",72,"Fine stop","1925SLN.EVN.regular.comment.csv",153
"SLN192506050",76,"Into RF bleachers","1925SLN.EVN.regular.comment.csv",154
"SLN192506060",3,"Nice running catch","1925SLN.EVN.regular.comment.csv",155
"SLN192506060",22,"Past Jackson","1925SLN.EVN.regular.comment.csv",156
"SLN192506060",26,"Nearly to the flagpole","1925SLN.EVN.regular.comment.csv",157
"SLN192506060",30,"Long running catch","1925SLN.EVN.regular.comment.csv",158
"SLN192506060",33,"Hit on the arm","1925SLN.EVN.regular.comment.csv",159
"SLN192506060",35,"Through Hornsby's legs; tough chance","1925SLN.EVN.regular.comment.csv",160
"SLN192506060",37,"Haines threw past Toporcer; Hornsby backed up the play but his perfect throw was dropped by Bell.","1925SLN.EVN.regular.comment.csv",161
"SLN192506060",39,"Tried to advance on a short passed ball","1925SLN.EVN.regular.comment.csv",162
"SLN192506060",42,"Wonderful stop","1925SLN.EVN.regular.comment.csv",163
"SLN192506060",49,"High and far into RF bleachers","1925SLN.EVN.regular.comment.csv",164
"SLN192506060",52,"NYTEM coverage ended here","1925SLN.EVN.regular.comment.csv",165
"SLN192506060",64,"Into RF seats","1925SLN.EVN.regular.comment.csv",166
"SLN192506060",74,"Haines overthrew Bottomley","1925SLN.EVN.regular.comment.csv",167
"SLN192506080",13,"There was a scramble in the infield as both Loftus and Stock were close to 2B, but they reached their bases safely.","1925SLN.EVN.regular.comment.csv",168
"SLN192506080",14,"Smith fumbled","1925SLN.EVN.regular.comment.csv",169
"SLN192506080",15,"Stock beat Hornsby's throw home","1925SLN.EVN.regular.comment.csv",170
"SLN192506080",27,"Taylor was hit on instep by a Hornsby foul tip","1925SLN.EVN.regular.comment.csv",171
"SLN192506080",28,"Dickerman deflected it (but source 354 did not so indicate)","1925SLN.EVN.regular.comment.csv",172
"SLN192506080",29,"Dickerman jumped high for the bounder","1925SLN.EVN.regular.comment.csv",173
"SLN192506080",32,"Wonderful diving catch","1925SLN.EVN.regular.comment.csv",174
"SLN192506080",41,"3 straight walks on 13 pitches","1925SLN.EVN.regular.comment.csv",175
"SLN192506080",44,"Stock dodged the inside pitch but it hit his bat; he was retired at 1B while sitting on the ground.","1925SLN.EVN.regular.comment.csv",176
"SLN192506080",50,"NYEW coverage ended here","1925SLN.EVN.regular.comment.csv",177
"SLN192506080",56,"Fine running catch","1925SLN.EVN.regular.comment.csv",178
"SLN192506080",59,"Unconscious stop","1925SLN.EVN.regular.comment.csv",179
"SLN192506080",62,"Great sprinting by Douthhit","1925SLN.EVN.regular.comment.csv",180
"SLN192506080",72,"Into RF seats","1925SLN.EVN.regular.comment.csv",181
"SLN192506080",78,"Too hot for Mitchell","1925SLN.EVN.regular.comment.csv",182
"SLN192506090",5,"Fine stop","1925SLN.EVN.regular.comment.csv",183
"SLN192506090",13,"Vance had 2 strikes on 6 of the 7 batters in the first","1925SLN.EVN.regular.comment.csv",184
"SLN192506090",28,"Bottomley overran 3B","1925SLN.EVN.regular.comment.csv",185
"SLN192506090",31,"Good running catch","1925SLN.EVN.regular.comment.csv",186
"SLN192506090",40,"Wide throw","1925SLN.EVN.regular.comment.csv",187
"SLN192506090",45,"Wheat failed to make a shoestring catch","1925SLN.EVN.regular.comment.csv",188
"SLN192506090",53,"NYEW coverage ended here","1925SLN.EVN.regular.comment.csv",189
"SLN192506090",64,"Through Bottomley","1925SLN.EVN.regular.comment.csv",190
"SLN192506090",72,"Good catch","1925SLN.EVN.regular.comment.csv",191
"SLN192506100",3,"Good catch","1925SLN.EVN.regular.comment.csv",192
"SLN192506100",17,"Fine running catch","1925SLN.EVN.regular.comment.csv",193
"SLN192506100",20,"Hit the bag","1925SLN.EVN.regular.comment.csv",194
"SLN192506100",22,"Into RF bleachers; Rhem's 1st ML HR","1925SLN.EVN.regular.comment.csv",195
"SLN192506100",26,"Loftus turned around, fell, rolled over, got up, and still had time to snare it.","1925SLN.EVN.regular.comment.csv",196
"SLN192506100",37,"NYEW coverage ended here","1925SLN.EVN.regular.comment.csv",197
"SLN192506100",39,"Good catch","1925SLN.EVN.regular.comment.csv",198
"SLN192506100",40,"NYTEM coverage ended here","1925SLN.EVN.regular.comment.csv",199
"SLN192506100",41,"Threw into Dodgers' dugout","1925SLN.EVN.regular.comment.csv",200
"SLN192506100",44,"Over Wheat; O'Farrell just beat Ford's fine relay home","1925SLN.EVN.regular.comment.csv",201
"SLN192506100",46,"Off Ehrhardt's leg caroming to short LF","1925SLN.EVN.regular.comment.csv",202
"SLN192506100",49,"Hubbell finally ran it down himself","1925SLN.EVN.regular.comment.csv",203
"SLN192506100",52,"Into RF seats, far among the customers on the Grand Ave side","1925SLN.EVN.regular.comment.csv",204
"SLN192506100",56,"Smith and Flack collided","1925SLN.EVN.regular.comment.csv",205
"SLN192506100",63,"Off Johnston's kneecap","1925SLN.EVN.regular.comment.csv",206
"SLN192506110",5,"Fast return throw by Shinners held Wheat","1925SLN.EVN.regular.comment.csv",207
"SLN192506110",6,"Off Toporcer's shins","1925SLN.EVN.regular.comment.csv",208
"SLN192506110",11,"NYEW coverage ended here","1925SLN.EVN.regular.comment.csv",209
"SLN192506110",21,"Great stop, then sprinted to the bag","1925SLN.EVN.regular.comment.csv",210
"SLN192506110",24,"Attempted double steal; Johnston was caught off 3B","1925SLN.EVN.regular.comment.csv",211
"SLN192506110",34,"NYTEM coverage ended here","1925SLN.EVN.regular.comment.csv",212
"SLN192506110",36,"Haines threw late to 2B","1925SLN.EVN.regular.comment.csv",213
"SLN192506110",38,"Haines ran over and tagged Taylor between 3B & home","1925SLN.EVN.regular.comment.csv",214
"SLN192506110",40,"Near the flagpole","1925SLN.EVN.regular.comment.csv",215
"SLN192506110",59,"Into RF bleachers","1925SLN.EVN.regular.comment.csv",216
"SLN192506110",65,"Snap throw","1925SLN.EVN.regular.comment.csv",217
"SLN192506110",66,"Blades just missed the catch as he crashed into the fence","1925SLN.EVN.regular.comment.csv",218
"SLN192506120",4,"Snap throw","1925SLN.EVN.regular.comment.csv",219
"SLN192506120",9,"Wonderful catch; perfect throw","1925SLN.EVN.regular.comment.csv",220
"SLN192506120",11,"Through Kimmick","1925SLN.EVN.regular.comment.csv",221
"SLN192506120",12,"Bounced off Hawks' glove into RF","1925SLN.EVN.regular.comment.csv",222
"SLN192506120",18,"Fancy stop","1925SLN.EVN.regular.comment.csv",223
"SLN192506120",20,"Over Hornsby","1925SLN.EVN.regular.comment.csv",224
"SLN192506120",31,"Great running catch","1925SLN.EVN.regular.comment.csv",225
"SLN192506120",47,"Past Hawks","1925SLN.EVN.regular.comment.csv",226
"SLN192506120",52,"Knocked down hot one","1925SLN.EVN.regular.comment.csv",227
"SLN192506120",66,"Fine stop","1925SLN.EVN.regular.comment.csv",228
"SLN192506130",7,"Into RF seats","1925SLN.EVN.regular.comment.csv",229
"SLN192506130",8,"Into RCF seats Knight had thrown only 6 pitches to this point","1925SLN.EVN.regular.comment.csv",230
"SLN192506130",10,"Great stop","1925SLN.EVN.regular.comment.csv",231
"SLN192506130",13,"Into LF bleachers","1925SLN.EVN.regular.comment.csv",232
"SLN192506130",18,"Marvelous stop behind 2B; great throw","1925SLN.EVN.regular.comment.csv",233
"SLN192506130",28,"Off Fonseca's glove","1925SLN.EVN.regular.comment.csv",234
"SLN192506130",32,"Great running 1-handed catch","1925SLN.EVN.regular.comment.csv",235
"SLN192506130",36,"Smith misjudged the liner","1925SLN.EVN.regular.comment.csv",236
"SLN192506130",53,"Over Blades","1925SLN.EVN.regular.comment.csv",237
"SLN192506130",54,"Fine catch and throw","1925SLN.EVN.regular.comment.csv",238
"SLN192506130",59,"Snap throw","1925SLN.EVN.regular.comment.csv",239
"SLN192506130",64,"Bottomley beat the throw to 2B","1925SLN.EVN.regular.comment.csv",240
"SLN192506130",68,"Good catch","1925SLN.EVN.regular.comment.csv",241
"SLN192506130",69,"Fine catch","1925SLN.EVN.regular.comment.csv",242
"SLN192506130",85,"Toporcer ran over to 3B and stepped on the bag","1925SLN.EVN.regular.comment.csv",243
"SLN192506130",100,"Low throw on a bound to 1B","1925SLN.EVN.regular.comment.csv",244
"SLN192506150",21,"Off Mitchell's glove","1925SLN.EVN.regular.comment.csv",245
"SLN192506150",29,"Threw into CF","1925SLN.EVN.regular.comment.csv",246
"SLN192506150",41,"Into RF seats","1925SLN.EVN.regular.comment.csv",247
"SLN192506150",46,"Out onto Grand Boulevard","1925SLN.EVN.regular.comment.csv",248
"SLN192506150",63,"Wonderful catch","1925SLN.EVN.regular.comment.csv",249
"SLN192506150",67,"Past Hornsby","1925SLN.EVN.regular.comment.csv",250
"SLN192506150",71,"To the flagpole","1925SLN.EVN.regular.comment.csv",251
"SLN192506150",73,"Fonseca tagged Toporcer","1925SLN.EVN.regular.comment.csv",252
"SLN192506160",0,"ej,henlb101,P,pfirc901,Demanding time for P to change shirt ej,schuj101,P,pfirc901,Demanding time for P to change shirt Butch Henline and Joe Schultz ejected by HP umpire Cy Pfirman sometime in game","1925SLN.EVN.regular.comment.csv",253
"SLN192506160",6,"Through Fonseca","1925SLN.EVN.regular.comment.csv",254
"SLN192506160",9,"Beautiful running 1-handed catch near the flagpole","1925SLN.EVN.regular.comment.csv",255
"SLN192506160",10,"Into RF seats","1925SLN.EVN.regular.comment.csv",256
"SLN192506160",18,"ej,ofarb101,P,pfirc901,Balls and strikes O'Farrell ejected by Ump Pfirman for arguing balls & strikes","1925SLN.EVN.regular.comment.csv",257
"SLN192506160",53,"ej,wilsj105,P,pfirc901,Balls and strikes ej,fleta101,M,pfirc901,Fighting ej,hornr101,M,pfirc901,Fighting Wilson ejected by Ump Pfirman for arguing balls & strikes. A fight started between Hornsby and Fletcher (the managers). Hornsby struck Fletcher twice before the players and police separated them.  Both Hornsby and Fletcher were ejected.","1925SLN.EVN.regular.comment.csv",258
"SLN192506160",64,"Into RF seats","1925SLN.EVN.regular.comment.csv",259
"SLN192506160",66,"Williams let it go through him","1925SLN.EVN.regular.comment.csv",260
"SLN192506160",70,"Haines deflected it","1925SLN.EVN.regular.comment.csv",261
"SLN192506180",0,"Golden Jubilee of the National League Jubilee celebration headed by Landis, Heydler and Breadon. Boy scouts and old-time ballplayers paraded and a flag was raised in commemoration; old-timers introduced","1925SLN.EVN.regular.comment.csv",262
"SLN192506180",7,"Fanned on a slow ball","1925SLN.EVN.regular.comment.csv",263
"SLN192506180",8,"Great stop","1925SLN.EVN.regular.comment.csv",264
"SLN192506180",11,"Grounder took a freak hop over Kibbie","1925SLN.EVN.regular.comment.csv",265
"SLN192506180",15,"Fine stop","1925SLN.EVN.regular.comment.csv",266
"SLN192506180",18,"High hopper","1925SLN.EVN.regular.comment.csv",267
"SLN192506180",22,"Through SS","1925SLN.EVN.regular.comment.csv",268
"SLN192506180",28,"Attempted double steal","1925SLN.EVN.regular.comment.csv",269
"SLN192506180",50,"Hit a slow pitch","1925SLN.EVN.regular.comment.csv",270
"SLN192506180",55,"Kibbie overthrew Burrus","1925SLN.EVN.regular.comment.csv",271
"SLN192506180",58,"Came in fast","1925SLN.EVN.regular.comment.csv",272
"SLN192506180",62,"Tremendous HR into LCF bleachers","1925SLN.EVN.regular.comment.csv",273
"SLN192506180",63,"Into RF sun seats","1925SLN.EVN.regular.comment.csv",274
"SLN192506180",64,"Great leaping catch robbed Hornsby of a double","1925SLN.EVN.regular.comment.csv",275
"SLN192506180",66,"Brilliant stop","1925SLN.EVN.regular.comment.csv",276
"SLN192506180",73,"Robbed of double","1925SLN.EVN.regular.comment.csv",277
"SLN192506190",11,"Off Dickerman's glove","1925SLN.EVN.regular.comment.csv",278
"SLN192506190",13,"Almost knocked Dickerman over","1925SLN.EVN.regular.comment.csv",279
"SLN192506190",37,"Tagged out","1925SLN.EVN.regular.comment.csv",280
"SLN192506190",38,"Wonderful stop","1925SLN.EVN.regular.comment.csv",281
"SLN192506190",40,"Too hot for Burrus","1925SLN.EVN.regular.comment.csv",282
"SLN192506190",42,"Marriott muffed Felix's return throw","1925SLN.EVN.regular.comment.csv",283
"SLN192506190",52,"Off Dickerman's glove","1925SLN.EVN.regular.comment.csv",284
"SLN192506190",55,"Went far to his left","1925SLN.EVN.regular.comment.csv",285
"SLN192506190",68,"Brilliant stop","1925SLN.EVN.regular.comment.csv",286
"SLN192506200",8,"Ball bounced over Kibbie","1925SLN.EVN.regular.comment.csv",287
"SLN192506200",9,"Into RF seats","1925SLN.EVN.regular.comment.csv",288
"SLN192506200",17,"High throw","1925SLN.EVN.regular.comment.csv",289
"SLN192506200",23,"Infield hit past Sothoron","1925SLN.EVN.regular.comment.csv",290
"SLN192506200",24,"Knocked down hard smash","1925SLN.EVN.regular.comment.csv",291
"SLN192506200",35,"Toporcer deflected to Bell","1925SLN.EVN.regular.comment.csv",292
"SLN192506200",50,"Marvelous stop","1925SLN.EVN.regular.comment.csv",293
"SLN192506200",53,"Off Cooney's shins","1925SLN.EVN.regular.comment.csv",294
"SLN192506200",79,"Bottomley deflected the wicked wallop to Hornsby","1925SLN.EVN.regular.comment.csv",295
"SLN192506200",80,"Off Cooney's glove to Marriott","1925SLN.EVN.regular.comment.csv",296
"SLN192506220",3,"Over LF fence","1925SLN.EVN.regular.comment.csv",297
"SLN192506220",7,"Into RF bleachers","1925SLN.EVN.regular.comment.csv",298
"SLN192506220",11,"Moore had hit the pitch and flied deep to Blades but Sweeney called a balk and the play was nullified.","1925SLN.EVN.regular.comment.csv",299
"SLN192506220",12,"After balk, Blades missed a 1-handed catch of Moore's foul","1925SLN.EVN.regular.comment.csv",300
"SLN192506220",15,"Into RF stands","1925SLN.EVN.regular.comment.csv",301
"SLN192506220",18,"Barnhart didn't get a good jump","1925SLN.EVN.regular.comment.csv",302
"SLN192506220",27,"Over Carey","1925SLN.EVN.regular.comment.csv",303
