"NY1192904230",1,"Hogan: caught close to Giants dugout after a brisk run","FILENAME_TX","LINE_NUMBER_CT"
"NY1192904270",71,"Terry: running catch","1929NY1.EVN.regular.comment.csv",53
"NY1192904270",75,"Off Smith's glove; close play at 1B","1929NY1.EVN.regular.comment.csv",54
"NY1192904280",0,"Scheduled second game of DH postponed due to rain.","1929NY1.EVN.regular.comment.csv",55
"NY1192904280",59,"A light rain began to fall.","1929NY1.EVN.regular.comment.csv",56
"NY1192905040",9,"Hafey fumbled; Terry credited with RBI","1929NY1.EVN.regular.comment.csv",57
"NY1192905040",18,"Lindstrom: close and difficult play, taking the ball as it skipped across the 3B bag.","1929NY1.EVN.regular.comment.csv",58
"NY1192905040",20,"Into lower tier of RF stands","1929NY1.EVN.regular.comment.csv",59
"NY1192905040",34,"Sharply hit","1929NY1.EVN.regular.comment.csv",60
"NY1192905040",37,"Welsh: running catch","1929NY1.EVN.regular.comment.csv",61
"NY1192905040",39,"Into lower tier of RF stands","1929NY1.EVN.regular.comment.csv",62
"NY1192905040",44,"Haines bruised his hand trying to block the ball but continued to pitch.","1929NY1.EVN.regular.comment.csv",63
"NY1192905040",55,"Lindstrom: brilliant diving pick-up of smash","1929NY1.EVN.regular.comment.csv",64
"NY1192905040",59,"Close to Giant bullpen in RCF","1929NY1.EVN.regular.comment.csv",65
"NY1192905040",61,"Into upper tier of LF stands","1929NY1.EVN.regular.comment.csv",66
"NY1192905040",64,"Glanced off Terry's shoulder to Reese","1929NY1.EVN.regular.comment.csv",67
"NY1192905040",74,"Ott: fine fielding; played it perfectly off concrete wall","1929NY1.EVN.regular.comment.csv",68
"NY1192905040",80,"Deep into upper tier of RF stands","1929NY1.EVN.regular.comment.csv",69
"NY1192905040",81,"$Apparent triple to CF, but Bottomley claimed Terry did not tag 1B  and when he got the ball and touched 1B, Ump Magerkurth called Terry out.","1929NY1.EVN.regular.comment.csv",70
"NY1192905040",86,"Henry deflected it to Jackson","1929NY1.EVN.regular.comment.csv",71
"NY1192905050",45,"Into upper LF gallery","1929NY1.EVN.regular.comment.csv",72
"NY1192905050",79,"High bounder","1929NY1.EVN.regular.comment.csv",73
"NY1192905060",7,"Terry: spectacular backhand catch of low line drive","1929NY1.EVN.regular.comment.csv",74
"NY1192905060",26,"Slow roller","1929NY1.EVN.regular.comment.csv",75
"NY1192905060",33,"Into upper tier of RF stands","1929NY1.EVN.regular.comment.csv",76
"NY1192905060",38,"Low throw","1929NY1.EVN.regular.comment.csv",77
"NY1192905060",40,"Mitchell was trapped off 2B but Walker made a wide/low throw to Cohen.","1929NY1.EVN.regular.comment.csv",78
"NY1192905060",41,"Welsh leaped, struck the ball with his glove, then caught it in a second grab for it.  Mitchell had left 2B believing the ball had got away from Welsh and was doubled up.","1929NY1.EVN.regular.comment.csv",79
"NY1192905060",56,"Low throw to Terry","1929NY1.EVN.regular.comment.csv",80
"NY1192905060",62,"Wilson: 1-hand catch close to Giant dugout","1929NY1.EVN.regular.comment.csv",81
"NY1192905060",65,"Past Cohen","1929NY1.EVN.regular.comment.csv",82
"NY1192905060",66,"Welsh: running catch","1929NY1.EVN.regular.comment.csv",83
"NY1192905060",70,"Into lower tier of RF stands","1929NY1.EVN.regular.comment.csv",84
"NY1192905060",75,"Into lower tier of LF stands","1929NY1.EVN.regular.comment.csv",85
"NY1192905060",78,"Torrid smash off Walker's glove","1929NY1.EVN.regular.comment.csv",86
"NY1192905070",0,"French's 1st ML start","1929NY1.EVN.regular.comment.csv",87
"NY1192905070",2,"Near LF wall","1929NY1.EVN.regular.comment.csv",88
"NY1192905070",5,"Into lower tier of RF stands","1929NY1.EVN.regular.comment.csv",89
"NY1192905070",11,"Slow roller","1929NY1.EVN.regular.comment.csv",90
"NY1192905070",15,"Into upper tier of LF stands","1929NY1.EVN.regular.comment.csv",91
"NY1192905070",17,"Remarkable pickup and throw.","1929NY1.EVN.regular.comment.csv",92
"NY1192905070",24,"High bounder","1929NY1.EVN.regular.comment.csv",93
"NY1192905070",58,"Got away from Kaufmann UR?  No, if assume L.Waner would've made 3B on single to RCF and then scored on the SF to CF.","1929NY1.EVN.regular.comment.csv",94
"NY1192905070",62,"Against RF signs","1929NY1.EVN.regular.comment.csv",95
"NY1192905070",72,"Nice pickup by French of the wicked bounding drive","1929NY1.EVN.regular.comment.csv",96
"NY1192905070",78,"Over Jackson's head","1929NY1.EVN.regular.comment.csv",97
"NY1192905080",1,"Low throw","1929NY1.EVN.regular.comment.csv",98
"NY1192905080",4,"Nice pickup of smash","1929NY1.EVN.regular.comment.csv",99
"NY1192905080",7,"Low throw after a fine 1-hand stop","1929NY1.EVN.regular.comment.csv",100
"NY1192905080",8,"IPHR, over a leaping P.Waner's head","1929NY1.EVN.regular.comment.csv",101
"NY1192905080",9,"Spectacular catch off the sign board, crashing into LF wall","1929NY1.EVN.regular.comment.csv",102
"NY1192905080",12,"Splendid play","1929NY1.EVN.regular.comment.csv",103
"NY1192905080",14,"Into upper tier of LF stands, just inside foul line","1929NY1.EVN.regular.comment.csv",104
"NY1192905080",15,"Over P.Waner's head","1929NY1.EVN.regular.comment.csv",105
"NY1192905080",22,"Into upper LF balcony","1929NY1.EVN.regular.comment.csv",106
"NY1192905080",25,"Close to RF wall","1929NY1.EVN.regular.comment.csv",107
"NY1192905080",34,"Through Adams","1929NY1.EVN.regular.comment.csv",108
"NY1192905080",45,"Fine play","1929NY1.EVN.regular.comment.csv",109
"NY1192905080",52,"Into upper tier of RF stands","1929NY1.EVN.regular.comment.csv",110
"NY1192905080",66,"Running muff of looping line drive","1929NY1.EVN.regular.comment.csv",111
"NY1192905080",69,"$No-Hitter for Carl Hubbell!  Hubbell's only shutout in '29.","1929NY1.EVN.regular.comment.csv",112
"NY1192905090",10,"Sharply hit","1929NY1.EVN.regular.comment.csv",113
"NY1192905090",19,"Against RF wall/signs","1929NY1.EVN.regular.comment.csv",114
"NY1192905090",20,"Fitzsimmons ran Adams down unassisted","1929NY1.EVN.regular.comment.csv",115
"NY1192905090",21,"Leaping catch of high bounder by Fitzsimmons","1929NY1.EVN.regular.comment.csv",116
"NY1192905090",28,"Smothered the ball in a diving stop, but couldn't make a play","1929NY1.EVN.regular.comment.csv",117
"NY1192905090",31,"IPHR, over Grantham's head to deep LCF. Bartell's relay throw home sailed clear over Hargreaves' head but no error was charged.","1929NY1.EVN.regular.comment.csv",118
"NY1192905090",42,"Ott made a perfect throw to 3B which held P.Waner.","1929NY1.EVN.regular.comment.csv",119
"NY1192905090",57,"P.Waner slid into 1B ahead of Jackson's return throw","1929NY1.EVN.regular.comment.csv",120
"NY1192905090",58,"Slow roller","1929NY1.EVN.regular.comment.csv",121
"NY1192905090",59,"Ump Quigley's mask was broken and the game was held up while he borrowed one from the Pirates' dugout.","1929NY1.EVN.regular.comment.csv",122
"NY1192905090",60,"Hit the upper tier of RF wing of the grandstand","1929NY1.EVN.regular.comment.csv",123
"NY1192905090",74,"Close to LF wall","1929NY1.EVN.regular.comment.csv",124
"NY1192905090",75,"During AB, a foul ball hit Leach in the forehead but did not injure him.","1929NY1.EVN.regular.comment.csv",125
"NY1192905100",11,"Ott's throw to 3B hopped over Lindstrom's head. Grimm injured his left hand sliding head first into 2B; time was called for him but he remained in the game.","1929NY1.EVN.regular.comment.csv",126
"NY1192905100",19,"Fine pickup","1929NY1.EVN.regular.comment.csv",127
"NY1192905100",20,"Close play was disputed","1929NY1.EVN.regular.comment.csv",128
"NY1192905100",22,"Hot grounder bounced off Grimm's shoe to Hornsby","1929NY1.EVN.regular.comment.csv",129
"NY1192905100",26,"High bounder off Genewich's glove","1929NY1.EVN.regular.comment.csv",130
"NY1192905100",31,"Nice play","1929NY1.EVN.regular.comment.csv",131
"NY1192905100",38,"Slow roller","1929NY1.EVN.regular.comment.csv",132
"NY1192905100",41,"Assuming 2-3","1929NY1.EVN.regular.comment.csv",133
"NY1192905100",42,"Speculated the fielders","1929NY1.EVN.regular.comment.csv",134
"NY1192905100",48,"Into lower LF stand","1929NY1.EVN.regular.comment.csv",135
"NY1192905100",53,"Great running catch in deep CF","1929NY1.EVN.regular.comment.csv",136
"NY1192905100",54,"Wilson tried for a diving catch. Lindstrom stayed at 1B believing Wilson had made the catch. PO credit uncertain.","1929NY1.EVN.regular.comment.csv",137
"NY1192905100",55,"Infield hit","1929NY1.EVN.regular.comment.csv",138
"NY1192905100",62,"Bad throw to 1B trying for DP; Assist?","1929NY1.EVN.regular.comment.csv",139
"NY1192905100",66,"Grace failed to catch high pop fly","1929NY1.EVN.regular.comment.csv",140
"NY1192905110",4,"Past English","1929NY1.EVN.regular.comment.csv",141
"NY1192905110",8,"DWS: invented play, but matches box score","1929NY1.EVN.regular.comment.csv",142
"NY1192905110",12,"Wilson protested vigorously at Ump Quigley's decision and hurled his bat angrily as he turned to the dugout.","1929NY1.EVN.regular.comment.csv",143
"NY1192905110",19,"Close play","1929NY1.EVN.regular.comment.csv",144
"NY1192905110",32,"Caught the wind-blown fly close to RF stands","1929NY1.EVN.regular.comment.csv",145
"NY1192905110",36,"Caromed off Benton's glove to Cohen; close play.","1929NY1.EVN.regular.comment.csv",146
"NY1192905110",42,"Looping fly","1929NY1.EVN.regular.comment.csv",147
"NY1192905110",46,"Spectacular 1-hand catch of blasting line drive","1929NY1.EVN.regular.comment.csv",148
"NY1192905110",49,"High bounder","1929NY1.EVN.regular.comment.csv",149
"NY1192905110",51,"Benton stopped the hot smash with his foot","1929NY1.EVN.regular.comment.csv",150
"NY1192905110",56,"Smart pickup","1929NY1.EVN.regular.comment.csv",151
"NY1192905110",59,"Running catch close to grandstand","1929NY1.EVN.regular.comment.csv",152
"NY1192905110",64,"Into upper LF stand","1929NY1.EVN.regular.comment.csv",153
"NY1192905120",25,"Into lower LF stands","1929NY1.EVN.regular.comment.csv",154
"NY1192905120",46,"Into RF stands","1929NY1.EVN.regular.comment.csv",155
"NY1192905120",53,"Golfed high into LF stands","1929NY1.EVN.regular.comment.csv",156
"NY1192905120",60,"Through McMillan","1929NY1.EVN.regular.comment.csv",157
"NY1192905120",97,"Game called for rain and thunderstorms","1929NY1.EVN.regular.comment.csv",158
"NY1192905130",1,"Slow roller","1929NY1.EVN.regular.comment.csv",159
"NY1192905130",12,"Ford tried to stretch the hit into a double but he pulled up when Welsh threw to 2B, and was nailed before he could get back to 1B.","1929NY1.EVN.regular.comment.csv",160
"NY1192905130",15,"Into lower tier of RF stand","1929NY1.EVN.regular.comment.csv",161
"NY1192905130",30,"Fine pickup by Ford :)","1929NY1.EVN.regular.comment.csv",162
"NY1192905130",47,"Into upper tier of LF stands Luque's 5th (and final) career HR","1929NY1.EVN.regular.comment.csv",163
"NY1192905130",48,"Fine pickup on smash","1929NY1.EVN.regular.comment.csv",164
"NY1192905130",53,"Close to LF wall","1929NY1.EVN.regular.comment.csv",165
"NY1192905130",54,"1-hand pickup","1929NY1.EVN.regular.comment.csv",166
"NY1192905150",1,"Into lower tier of RF stands","1929NY1.EVN.regular.comment.csv",167
"NY1192905150",13,"Off Fitzsimmons' glove","1929NY1.EVN.regular.comment.csv",168
"NY1192905150",23,"Fine play","1929NY1.EVN.regular.comment.csv",169
"NY1192905150",29,"Hit the facade of the LF stand","1929NY1.EVN.regular.comment.csv",170
"NY1192905150",33,"Close play","1929NY1.EVN.regular.comment.csv",171
"NY1192905150",63,"Into upper tier of LF stand","1929NY1.EVN.regular.comment.csv",172
"NY1192905150",77,"Sharply hit ball hopped over Lindstrom's head","1929NY1.EVN.regular.comment.csv",173
"NY1192905230",64,"Slow roller","1929NY1.EVN.regular.comment.csv",174
"NY1192905240",7,"$A blazing smash that struck Cantwell's right knee and cut his legs from under him.  He recovered in time to get the out but had to be assisted to the dugout by Johnny Evers and the Braves' trainer.","1929NY1.EVN.regular.comment.csv",175
"NY1192905240",11,"Close play","1929NY1.EVN.regular.comment.csv",176
"NY1192905240",18,"Running catch","1929NY1.EVN.regular.comment.csv",177
"NY1192905240",31,"Into upper deck of RF stands","1929NY1.EVN.regular.comment.csv",178
"NY1192905240",33,"Hit on right hand","1929NY1.EVN.regular.comment.csv",179
"NY1192905240",33,"Rain began to fall","1929NY1.EVN.regular.comment.csv",180
"NY1192905240",34,"Into upper tier of RF stands","1929NY1.EVN.regular.comment.csv",181
"NY1192905240",44,"Got away from Ott","1929NY1.EVN.regular.comment.csv",182
"NY1192905240",51,"Running catch","1929NY1.EVN.regular.comment.csv",183
"NY1192905240",52,"Long single to LF","1929NY1.EVN.regular.comment.csv",184
"NY1192905240",56,"Threw to 2B too late","1929NY1.EVN.regular.comment.csv",185
"NY1192905240",66,"Against LF wall, not HR by inches","1929NY1.EVN.regular.comment.csv",186
"NY1192905250",4,"IPHR; over Mueller's head","1929NY1.EVN.regular.comment.csv",187
"NY1192905250",5,"Low throw past Sisler","1929NY1.EVN.regular.comment.csv",188
"NY1192905250",7,"Over Maguire's head","1929NY1.EVN.regular.comment.csv",189
"NY1192905250",10,"Into lower tier of RF stand","1929NY1.EVN.regular.comment.csv",190
"NY1192905250",15,"Mueller protested vigorously against Ump Pfirman's judgment","1929NY1.EVN.regular.comment.csv",191
"NY1192905250",26,"Lobbed a single over Maranville's head","1929NY1.EVN.regular.comment.csv",192
"NY1192905250",27,"Attempted double steal","1929NY1.EVN.regular.comment.csv",193
"NY1192905250",31,"Into lower deck of RF stands","1929NY1.EVN.regular.comment.csv",194
"NY1192905250",42,"Dugan tagged Welsh. As the inning closed Taylor and Ump Pfirman got into a heated discussion evidently arising from Taylor's criticism of Pfirman's judgment of balls and strikes.  Evers and Maranville dragged the irate player away from the equally irate umpire and steered him into the Braves' dugout.","1929NY1.EVN.regular.comment.csv",195
"NY1192905250",46,"Fine pickup of sharp smash","1929NY1.EVN.regular.comment.csv",196
"NY1192905250",57,"Harper lost the ball in the sun","1929NY1.EVN.regular.comment.csv",197
"NY1192905250",58,"Slow roller","1929NY1.EVN.regular.comment.csv",198
"NY1192905250",59,"Fine catch","1929NY1.EVN.regular.comment.csv",199
"NY1192905250",63,"Into upper tier of LF stands","1929NY1.EVN.regular.comment.csv",200
"NY1192905250",68,"Spectacular 1-hand tumbling catch","1929NY1.EVN.regular.comment.csv",201
"NY1192905250",71,"Fine play","1929NY1.EVN.regular.comment.csv",202
"NY1192905250",72,"Into upper tier of RF stands","1929NY1.EVN.regular.comment.csv",203
"NY1192905250",77,"Lindstrom smothered the smash but could not make a play on Dugan.","1929NY1.EVN.regular.comment.csv",204
"NY1192905260",32,"Spohrer: running catch near Giant dugout","1929NY1.EVN.regular.comment.csv",205
"NY1192905260",33,"Maranville: trick catch of vicious liner","1929NY1.EVN.regular.comment.csv",206
"NY1192905260",50,"Sisler: long running catch","1929NY1.EVN.regular.comment.csv",207
"NY1192905260",59,"Into upper RF stands","1929NY1.EVN.regular.comment.csv",208
"NY1192905260",67,"Harper misjudged it","1929NY1.EVN.regular.comment.csv",209
"NY1192905260",75,"Into LF stands","1929NY1.EVN.regular.comment.csv",210
"NY1192905260",81,"High bounder","1929NY1.EVN.regular.comment.csv",211
"NY1192905260",90,"Maranville: great play","1929NY1.EVN.regular.comment.csv",212
"NY1192905280",0,"Protest=H","1929NY1.EVN.regular.comment.csv",213
"NY1192905280",2,"Fine pickup","1929NY1.EVN.regular.comment.csv",214
"NY1192905280",9,"Slow roller","1929NY1.EVN.regular.comment.csv",215
"NY1192905280",14,"On a sacrifice bunt try, Lindstrom ran into Hendrick and in the judgment of Ump Pfirman, knocked the ball out of Hendrick's hand as he was tagged.  Because it was ruled to be interference by Lindstrom, Terry was ordered back to 1B.","1929NY1.EVN.regular.comment.csv",216
"NY1192905280",16,"Mgr McGraw notified the umpires that because of Pfirman's decision sending Terry back to 1B, the Giants would play the balance of the game under protest.","1929NY1.EVN.regular.comment.csv",217
"NY1192905280",28,"Into upper deck in deep CF","1929NY1.EVN.regular.comment.csv",218
"NY1192905280",32,"Nice running catch","1929NY1.EVN.regular.comment.csv",219
"NY1192905280",38,"Off Clark's glove","1929NY1.EVN.regular.comment.csv",220
"NY1192905280",45,"Fine pickup","1929NY1.EVN.regular.comment.csv",221
"NY1192905280",46,"Infield hit off Clark's glove","1929NY1.EVN.regular.comment.csv",222
"NY1192905280",48,"Into upper deck of RF stands","1929NY1.EVN.regular.comment.csv",223
"NY1192905280",50,"Into upper tier of LF stands","1929NY1.EVN.regular.comment.csv",224
"NY1192905280",55,"Along 3B line","1929NY1.EVN.regular.comment.csv",225
"NY1192905280",58,"Into lower deck of RF stands","1929NY1.EVN.regular.comment.csv",226
"NY1192905280",59,"Running catch","1929NY1.EVN.regular.comment.csv",227
"NY1192905280",63,"Into upper tier of LF stands","1929NY1.EVN.regular.comment.csv",228
"NY1192905290",8,"Against LF wall; fast play by Welsh","1929NY1.EVN.regular.comment.csv",229
"NY1192905290",17,"Near RF foul line","1929NY1.EVN.regular.comment.csv",230
"NY1192905290",23,"Leaping 1-hand catch against RF wall","1929NY1.EVN.regular.comment.csv",231
"NY1192905290",27,"Ott fumbled","1929NY1.EVN.regular.comment.csv",232
"NY1192905290",35,"Hit over Roush's head; runners held up to see if it would be caught.","1929NY1.EVN.regular.comment.csv",233
"NY1192905290",36,"Roush let it get away from him","1929NY1.EVN.regular.comment.csv",234
"NY1192905290",42,"Into upper tier of LF stands","1929NY1.EVN.regular.comment.csv",235
"NY1192905290",48,"Past Moore","1929NY1.EVN.regular.comment.csv",236
"NY1192905290",57,"Blocked the smash","1929NY1.EVN.regular.comment.csv",237
"NY1192905290",65,"Close play","1929NY1.EVN.regular.comment.csv",238
"NY1192905301",74,"Carey fell rounding first and hurt leg.","1929NY1.EVN.regular.comment.csv",239
"NY1192906240",10,"Into RF stands, just inside foul line","1929NY1.EVN.regular.comment.csv",240
"NY1192906240",16,"Just out of Leach's reach","1929NY1.EVN.regular.comment.csv",241
"NY1192906240",22,"$Apparent RBI single turned into force when Hubbell was out on appeal for missing 2B","1929NY1.EVN.regular.comment.csv",242
"NY1192906240",23,"Past Lindstrom","1929NY1.EVN.regular.comment.csv",243
"NY1192906240",28,"Running catch","1929NY1.EVN.regular.comment.csv",244
"NY1192906240",46,"Cohen got a glove on it but it got away from him. He then made a wild throw to 2B.","1929NY1.EVN.regular.comment.csv",245
"NY1192906240",50,"Sharp bounder off Terry's knee to Hubbell","1929NY1.EVN.regular.comment.csv",246
"NY1192906240",51,"Great 1-hand pickup of smash but Ott beat the toss to Clark with a diving, tumbling play.","1929NY1.EVN.regular.comment.csv",247
"NY1192906240",68,"1-hand catch close to LF wall","1929NY1.EVN.regular.comment.csv",248
"NY1192906240",71,"Hendrick and Frederick collided in short RCF, the ball falling between them.","1929NY1.EVN.regular.comment.csv",249
"NY1192906250",3,"Wide throw to 2B","1929NY1.EVN.regular.comment.csv",250
"NY1192906250",25,"Into lower tier of RF stands","1929NY1.EVN.regular.comment.csv",251
"NY1192906250",27,"Running catch","1929NY1.EVN.regular.comment.csv",252
"NY1192906250",54,"Roush's fast fielding held it to a double.","1929NY1.EVN.regular.comment.csv",253
"NY1192906250",56,"Fine pickup","1929NY1.EVN.regular.comment.csv",254
"NY1192906250",64,"Attempted double steal","1929NY1.EVN.regular.comment.csv",255
"NY1192906250",67,"Fine catch against the screen of the press box","1929NY1.EVN.regular.comment.csv",256
"NY1192906250",89,"Into upper tier of LF stands","1929NY1.EVN.regular.comment.csv",257
"NY1192906250",99,"Hendrick rounded 3B too far","1929NY1.EVN.regular.comment.csv",258
"NY1192906260",4,"Past SS","1929NY1.EVN.regular.comment.csv",259
"NY1192906260",8,"Bounced over Vance's head","1929NY1.EVN.regular.comment.csv",260
"NY1192906260",9,"Close to Giant dugout","1929NY1.EVN.regular.comment.csv",261
"NY1192906260",15,"Cohen slipped on the grass while making a wide turn around 3B.  He fell, scrambled up, fell down again, and was out before he could get back to 3B.","1929NY1.EVN.regular.comment.csv",262
"NY1192906260",20,"Close play","1929NY1.EVN.regular.comment.csv",263
"NY1192906260",28,"Close play","1929NY1.EVN.regular.comment.csv",264
"NY1192906260",32,"ej,maysc101,P,hartb901,Call at HP $Pitcher Mays ejected by HP umpire Hart for arguing that Hendrick was out at home","1929NY1.EVN.regular.comment.csv",265
"NY1192906260",34,"Bancroft was doubled off 1B","1929NY1.EVN.regular.comment.csv",266
"NY1192906260",50,"Fine catch against RF wall","1929NY1.EVN.regular.comment.csv",267
"NY1192906260",53,"Scratch double when Leach failed to hold long fly","1929NY1.EVN.regular.comment.csv",268
"NY1192906260",54,"Bancroft held 3B but scored after the error","1929NY1.EVN.regular.comment.csv",269
"NY1192906260",78,"Frederick was doubled off 2B","1929NY1.EVN.regular.comment.csv",270
"NY1192906260",79,"Vance smothered the smash","1929NY1.EVN.regular.comment.csv",271
"NY1192906260",88,"Long single to CF","1929NY1.EVN.regular.comment.csv",272
"NY1192906270",5,"Roy blocked the smash","1929NY1.EVN.regular.comment.csv",273
"NY1192906270",18,"Great backhand stop","1929NY1.EVN.regular.comment.csv",274
"NY1192906270",26,"Ott tried a shoestring catch","1929NY1.EVN.regular.comment.csv",275
"NY1192906270",41,"Into upper tier of LF stands","1929NY1.EVN.regular.comment.csv",276
"NY1192906270",42,"Close to RF stands","1929NY1.EVN.regular.comment.csv",277
"NY1192906270",44,"Leach fumbled","1929NY1.EVN.regular.comment.csv",278
"NY1192906270",49,"Diving stop","1929NY1.EVN.regular.comment.csv",279
"NY1192906270",53,"Muffed looping fly","1929NY1.EVN.regular.comment.csv",280
"NY1192906270",59,"Into lower tier of RF stands","1929NY1.EVN.regular.comment.csv",281
"NY1192906270",69,"Over O'Doul's head, hit the fence in deep LCF on the fly, the longest inside shot ever seen at the Polo Grounds.","1929NY1.EVN.regular.comment.csv",282
"NY1192906270",77,"Fine pickup","1929NY1.EVN.regular.comment.csv",283
"NY1192906270",79,"Diving catch","1929NY1.EVN.regular.comment.csv",284
"NY1192906291",3,"Started stealing 3B while Genewich still held the ball","1929NY1.EVN.regular.comment.csv",285
"NY1192906291",8,"IPHR; Ott overran the drive and it rolled all the way to the Giants' bullpen.","1929NY1.EVN.regular.comment.csv",286
"NY1192906291",18,"Hit on right shoulder. It was a painful injury and the game was delayed a few minutes.  But Cohen got up and trotted to 1B.","1929NY1.EVN.regular.comment.csv",287
"NY1192906291",20,"Fine pickup back of 2B","1929NY1.EVN.regular.comment.csv",288
"NY1192906291",31,"Fine play","1929NY1.EVN.regular.comment.csv",289
"NY1192906291",40,"Close to LF stands","1929NY1.EVN.regular.comment.csv",290
"NY1192906291",48,"Crawford, not meaning to hit the ball, failed to pull his bat back quickly enough and tapped to McGraw.","1929NY1.EVN.regular.comment.csv",291
"NY1192906291",61,"Terry's throw to 2B hit Sothern in the back","1929NY1.EVN.regular.comment.csv",292
"NY1192906291",62,"Roush fumbled","1929NY1.EVN.regular.comment.csv",293
