"LAN201803300",27,"$Giants challenged call that Pence was out at 1st; call was overturned - safe on error","FILENAME_TX","LINE_NUMBER_CT"
"LAN201806130",25,"ej,kempm001,P,barbs901,Fighting ej,chirr001,P,barbs901,Fighting $After collision at home, Kemp and Chirinos began pushing each other and both were ejected by plate umpire Barber for fighting","2018LAN.EVN.regular.comment.csv",23
"LAN201806130",28,"$Dodgers challenged call that Beltre was safe at home; call was upheld - safe","2018LAN.EVN.regular.comment.csv",24
"LAN201806130",37,"$Umpire review on ball hit by Choo; call was upheld - double, not home run","2018LAN.EVN.regular.comment.csv",25
"LAN201806130",76,"$Infield was playing in and ground ball went to second baseman; Forsythe started to second, but retreated and second baseman pursued him and tagged him out, then continued to touch first and complete unusual GDP","2018LAN.EVN.regular.comment.csv",26
"LAN201806130",93,"$Rangers challenged call that Hernandez was safe at home; call was upheld - safe","2018LAN.EVN.regular.comment.csv",27
"LAN201806170",0,"$Hunter Strickland originally credited with save, but he did not enter in a save situation, removed on 06-18-2018","2018LAN.EVN.regular.comment.csv",28
"LAN201806260",15,"$Bellinger was out in rundown and Puig had started for second; Baez threw behind him to complete double play","2018LAN.EVN.regular.comment.csv",29
"LAN201806270",45,"$originally scored as RBI, changed to error on 06-28-2018","2018LAN.EVN.regular.comment.csv",30
"LAN201806290",56,"$Dodgers challenged call that Story was safe at second for stolen base; call was overturned - out on caught stealing","2018LAN.EVN.regular.comment.csv",31
"LAN201807010",10,"$Originally scored as single and advance to 2nd on throw; changed to double on 07-09-2018","2018LAN.EVN.regular.comment.csv",32
"LAN201807010",32,"$Chad Bettis left with an injured hand","2018LAN.EVN.regular.comment.csv",33
"LAN201807010",73,"$Grandal broke for second and was caught in rundown; Pederson broke for home and was tagged out","2018LAN.EVN.regular.comment.csv",34
"LAN201807020",9,"Mound Visit","2018LAN.EVN.regular.comment.csv",35
"LAN201807020",28,"Mound Visit","2018LAN.EVN.regular.comment.csv",36
"LAN201807020",29,"Mound Visit","2018LAN.EVN.regular.comment.csv",37
"LAN201807020",37,"Mound Visit","2018LAN.EVN.regular.comment.csv",38
"LAN201807020",41,"Mound Visit","2018LAN.EVN.regular.comment.csv",39
"LAN201807020",55,"Mound Visit","2018LAN.EVN.regular.comment.csv",40
"LAN201807020",82,"$Dodgers challenged call that Bell was out at 2nd; call was upheld - out advancing","2018LAN.EVN.regular.comment.csv",41
"LAN201807030",27,"Mound Visit","2018LAN.EVN.regular.comment.csv",42
"LAN201807030",30,"$Umpire review ball hit by Grandal; call was upheld - triple","2018LAN.EVN.regular.comment.csv",43
"LAN201807030",43,"$Dodgers challenged call that Harrison was safe at 1st; call was overturned - ground out","2018LAN.EVN.regular.comment.csv",44
"LAN201807030",46,"Mound Visit","2018LAN.EVN.regular.comment.csv",45
"LAN201807030",58,"Mound Visit","2018LAN.EVN.regular.comment.csv",46
"LAN201807040",5,"Mound Visit","2018LAN.EVN.regular.comment.csv",47
"LAN201807040",8,"Mound Visit","2018LAN.EVN.regular.comment.csv",48
"LAN201807040",26,"Mound Visit","2018LAN.EVN.regular.comment.csv",49
"LAN201807040",28,"Mound Visit","2018LAN.EVN.regular.comment.csv",50
"LAN201807040",38,"$Rich Hill hurt neck sliding into plate, leaving after next inning","2018LAN.EVN.regular.comment.csv",51
"LAN201807040",39,"Injury Delay","2018LAN.EVN.regular.comment.csv",52
"LAN201807040",42,"$Dodgers challenged call that Moroff was safe at 2nd, claiming he was out to complete double play; call was upheld - no DP","2018LAN.EVN.regular.comment.csv",53
"LAN201807040",44,"Injury Delay","2018LAN.EVN.regular.comment.csv",54
"LAN201807040",47,"Mound Visit","2018LAN.EVN.regular.comment.csv",55
"LAN201807040",48,"Mound Visit","2018LAN.EVN.regular.comment.csv",56
"LAN201807040",53,"On-field Delay","2018LAN.EVN.regular.comment.csv",57
"LAN201807040",53,"ej,hudsd001,P,nelsj901,Arguing about showing ball to runner $Daniel Hudson ejected by 1b umpire Nelson for not showing ball to baserunner","2018LAN.EVN.regular.comment.csv",58
"LAN201807040",68,"Mound Visit","2018LAN.EVN.regular.comment.csv",59
"LAN201807040",78,"Mound Visit","2018LAN.EVN.regular.comment.csv",60
"LAN201807130",10,"Mound Visit","2018LAN.EVN.regular.comment.csv",61
"LAN201807130",42,"Mound Visit","2018LAN.EVN.regular.comment.csv",62
"LAN201807130",60,"Mound Visit","2018LAN.EVN.regular.comment.csv",63
"LAN201807130",61,"Mound Visit","2018LAN.EVN.regular.comment.csv",64
"LAN201807130",74,"Mound Visit","2018LAN.EVN.regular.comment.csv",65
"LAN201807130",75,"Mound Visit","2018LAN.EVN.regular.comment.csv",66
"LAN201807140",14,"Mound Visit","2018LAN.EVN.regular.comment.csv",67
"LAN201807140",15,"Mound Visit","2018LAN.EVN.regular.comment.csv",68
"LAN201807140",23,"Mound Visit","2018LAN.EVN.regular.comment.csv",69
"LAN201807140",24,"Mound Visit","2018LAN.EVN.regular.comment.csv",70
"LAN201807140",59,"Mound Visit","2018LAN.EVN.regular.comment.csv",71
"LAN201807140",65,"Mound Visit","2018LAN.EVN.regular.comment.csv",72
"LAN201807140",68,"Mound Visit","2018LAN.EVN.regular.comment.csv",73
"LAN201807140",69,"Mound Visit","2018LAN.EVN.regular.comment.csv",74
"LAN201807140",70,"Mound Visit","2018LAN.EVN.regular.comment.csv",75
"LAN201807140",73,"Injury Delay","2018LAN.EVN.regular.comment.csv",76
"LAN201807140",77,"Mound Visit","2018LAN.EVN.regular.comment.csv",77
"LAN201807140",78,"Mound Visit","2018LAN.EVN.regular.comment.csv",78
"LAN201807140",80,"Mound Visit","2018LAN.EVN.regular.comment.csv",79
"LAN201807140",88,"Injury Delay","2018LAN.EVN.regular.comment.csv",80
"LAN201807150",15,"$Dodgers challenged call that Toles was out at first; call was overturned - single","2018LAN.EVN.regular.comment.csv",81
"LAN201807150",15,"$Angels challenged call that Toles was safe on pickoff attempt after first pitch; call was upheld - safe","2018LAN.EVN.regular.comment.csv",82
"LAN201807150",19,"Mound Visit","2018LAN.EVN.regular.comment.csv",83
"LAN201807150",49,"Mound Visit","2018LAN.EVN.regular.comment.csv",84
"LAN201807150",55,"Mound Visit","2018LAN.EVN.regular.comment.csv",85
"LAN201807150",56,"Mound Visit","2018LAN.EVN.regular.comment.csv",86
"LAN201807150",70,"Mound Visit","2018LAN.EVN.regular.comment.csv",87
"LAN201807300",11,"On-field Delay","2018LAN.EVN.regular.comment.csv",88
"LAN201807300",29,"Mound Visit","2018LAN.EVN.regular.comment.csv",89
"LAN201807300",30,"Mound Visit","2018LAN.EVN.regular.comment.csv",90
"LAN201807300",43,"Mound Visit","2018LAN.EVN.regular.comment.csv",91
"LAN201807300",44,"Mound Visit","2018LAN.EVN.regular.comment.csv",92
"LAN201807300",58,"$Dodgers challenged call that Cain was safe on error; call was overturned - ground out","2018LAN.EVN.regular.comment.csv",93
"LAN201807300",63,"Mound Visit","2018LAN.EVN.regular.comment.csv",94
"LAN201807300",75,"Injury Delay","2018LAN.EVN.regular.comment.csv",95
"LAN201808010",16,"Mound Visit","2018LAN.EVN.regular.comment.csv",96
"LAN201808010",37,"Mound Visit","2018LAN.EVN.regular.comment.csv",97
"LAN201808010",55,"Mound Visit","2018LAN.EVN.regular.comment.csv",98
"LAN201808010",56,"Mound Visit","2018LAN.EVN.regular.comment.csv",99
"LAN201808010",60,"Mound Visit","2018LAN.EVN.regular.comment.csv",100
"LAN201808010",70,"Mound Visit","2018LAN.EVN.regular.comment.csv",101
"LAN201808010",78,"Mound Visit","2018LAN.EVN.regular.comment.csv",102
"LAN201808020",2,"Mound Visit","2018LAN.EVN.regular.comment.csv",103
"LAN201808020",21,"Injury Delay","2018LAN.EVN.regular.comment.csv",104
"LAN201808020",27,"Mound Visit","2018LAN.EVN.regular.comment.csv",105
"LAN201808020",28,"Mound Visit","2018LAN.EVN.regular.comment.csv",106
"LAN201808020",47,"Mound Visit","2018LAN.EVN.regular.comment.csv",107
"LAN201808020",54,"$Brewers challenged call that Kratz was out, claiming his fly had been trapped; call was upheld - fly out","2018LAN.EVN.regular.comment.csv",108
"LAN201808020",57,"Mound Visit","2018LAN.EVN.regular.comment.csv",109
"LAN201808020",70,"Mound Visit","2018LAN.EVN.regular.comment.csv",110
"LAN201808030",10,"On-field Delay","2018LAN.EVN.regular.comment.csv",111
"LAN201808030",26,"Mound Visit","2018LAN.EVN.regular.comment.csv",112
"LAN201808030",60,"Mound Visit Mound Visit","2018LAN.EVN.regular.comment.csv",113
"LAN201808030",61,"Mound Visit","2018LAN.EVN.regular.comment.csv",114
"LAN201808030",62,"Mound Visit","2018LAN.EVN.regular.comment.csv",115
"LAN201808040",21,"Mound Visit","2018LAN.EVN.regular.comment.csv",116
"LAN201808040",29,"Mound Visit","2018LAN.EVN.regular.comment.csv",117
"LAN201808040",33,"Injury Delay","2018LAN.EVN.regular.comment.csv",118
"LAN201808040",33,"$Lance McCullers left with an injured elbow","2018LAN.EVN.regular.comment.csv",119
"LAN201808040",39,"Mound Visit","2018LAN.EVN.regular.comment.csv",120
"LAN201808040",40,"Mound Visit","2018LAN.EVN.regular.comment.csv",121
"LAN201808040",42,"Mound Visit","2018LAN.EVN.regular.comment.csv",122
"LAN201808040",55,"Mound Visit","2018LAN.EVN.regular.comment.csv",123
"LAN201808040",56,"Mound Visit","2018LAN.EVN.regular.comment.csv",124
"LAN201808040",60,"Mound Visit","2018LAN.EVN.regular.comment.csv",125
"LAN201808040",61,"Mound Visit","2018LAN.EVN.regular.comment.csv",126
"LAN201808040",62,"Injury Delay","2018LAN.EVN.regular.comment.csv",127
"LAN201808040",64,"Mound Visit","2018LAN.EVN.regular.comment.csv",128
"LAN201808040",72,"Mound Visit","2018LAN.EVN.regular.comment.csv",129
"LAN201808050",16,"Mound Visit","2018LAN.EVN.regular.comment.csv",130
"LAN201808050",21,"$George Springer left with an injured hand, hurt when he was caught stealing in top of inning","2018LAN.EVN.regular.comment.csv",131
"LAN201808050",28,"Injury Delay","2018LAN.EVN.regular.comment.csv",132
"LAN201808050",45,"Mound Visit","2018LAN.EVN.regular.comment.csv",133
"LAN201808050",46,"Mound Visit","2018LAN.EVN.regular.comment.csv",134
"LAN201808050",62,"Mound Visit","2018LAN.EVN.regular.comment.csv",135
"LAN201808050",67,"Mound Visit","2018LAN.EVN.regular.comment.csv",136
"LAN201808130",53,"Mound Visit","2018LAN.EVN.regular.comment.csv",137
"LAN201808130",60,"Mound Visit","2018LAN.EVN.regular.comment.csv",138
"LAN201808130",67,"Mound Visit","2018LAN.EVN.regular.comment.csv",139
"LAN201808130",69,"Mound Visit","2018LAN.EVN.regular.comment.csv",140
"LAN201808140",8,"Mound Visit","2018LAN.EVN.regular.comment.csv",141
"LAN201808140",13,"Mound Visit","2018LAN.EVN.regular.comment.csv",142
"LAN201808140",48,"Mound Visit","2018LAN.EVN.regular.comment.csv",143
"LAN201808140",52,"On-field Delay","2018LAN.EVN.regular.comment.csv",144
"LAN201808140",53,"ej,puigy001,P,coope901,Fighting ej,hundn001,P,coope901,Fighting $After Puig fouled off the third pitch, he was upset and walked around outside the box; Giants catcher Hundley told him to get in and hit and Puig shoved him; both benches cleared and Hundley and Puig were ejected by plate umpire Cooper; Barnes batted for for Puig and completed the strikeout, charged to Puig","2018LAN.EVN.regular.comment.csv",145
"LAN201808140",60,"Mound Visit","2018LAN.EVN.regular.comment.csv",146
"LAN201808140",62,"Mound Visit","2018LAN.EVN.regular.comment.csv",147
"LAN201808140",72,"Mound Visit","2018LAN.EVN.regular.comment.csv",148
"LAN201808150",41,"$Giants challenged call that Dozier was safe at home; call was overturned - out at home","2018LAN.EVN.regular.comment.csv",149
"LAN201808150",42,"Mound Visit","2018LAN.EVN.regular.comment.csv",150
"LAN201808150",54,"Mound Visit","2018LAN.EVN.regular.comment.csv",151
"LAN201808150",56,"Mound Visit","2018LAN.EVN.regular.comment.csv",152
"LAN201808150",62,"Mound Visit","2018LAN.EVN.regular.comment.csv",153
"LAN201808150",64,"Mound Visit","2018LAN.EVN.regular.comment.csv",154
"LAN201808150",65,"Mound Visit","2018LAN.EVN.regular.comment.csv",155
"LAN201808150",70,"Mound Visit","2018LAN.EVN.regular.comment.csv",156
"LAN201808150",77,"Mound Visit","2018LAN.EVN.regular.comment.csv",157
"LAN201808150",89,"Mound Visit Mound Visit","2018LAN.EVN.regular.comment.csv",158
"LAN201808150",92,"Injury Delay","2018LAN.EVN.regular.comment.csv",159
"LAN201808150",102,"Mound Visit","2018LAN.EVN.regular.comment.csv",160
"LAN201808200",34,"Mound Visit","2018LAN.EVN.regular.comment.csv",161
"LAN201808200",38,"Injury Delay","2018LAN.EVN.regular.comment.csv",162
"LAN201808200",41,"Mound Visit","2018LAN.EVN.regular.comment.csv",163
"LAN201808200",42,"Injury Delay","2018LAN.EVN.regular.comment.csv",164
"LAN201808200",42,"Mound Visit $JT Chargois left with an injured neck","2018LAN.EVN.regular.comment.csv",165
"LAN201808200",49,"Mound Visit","2018LAN.EVN.regular.comment.csv",166
"LAN201808200",51,"Mound Visit","2018LAN.EVN.regular.comment.csv",167
"LAN201808200",66,"Mound Visit","2018LAN.EVN.regular.comment.csv",168
"LAN201808200",66,"Mound Visit","2018LAN.EVN.regular.comment.csv",169
"LAN201808200",69,"Mound Visit","2018LAN.EVN.regular.comment.csv",170
"LAN201808200",76,"Mound Visit","2018LAN.EVN.regular.comment.csv",171
"LAN201808200",77,"Mound Visit","2018LAN.EVN.regular.comment.csv",172
"LAN201808200",79,"$Originally scored as Defensive Indifference, changed to stolen base on 0821-2018","2018LAN.EVN.regular.comment.csv",173
"LAN201808210",14,"Mound Visit","2018LAN.EVN.regular.comment.csv",174
"LAN201808210",15,"Mound Visit","2018LAN.EVN.regular.comment.csv",175
"LAN201808210",22,"Mound Visit","2018LAN.EVN.regular.comment.csv",176
"LAN201808210",35,"On-field Delay","2018LAN.EVN.regular.comment.csv",177
"LAN201808210",54,"Mound Visit","2018LAN.EVN.regular.comment.csv",178
"LAN201808210",62,"Mound Visit","2018LAN.EVN.regular.comment.csv",179
"LAN201808210",64,"Mound Visit","2018LAN.EVN.regular.comment.csv",180
"LAN201808210",67,"Mound Visit","2018LAN.EVN.regular.comment.csv",181
"LAN201808210",73,"$Carlos Martinez hit in chest by 110 mph line drive and left game; ball was deflected to first baseman who threw to 2nd to retire Hernandez who had rounded the base too far","2018LAN.EVN.regular.comment.csv",182
"LAN201808210",77,"$Dodgers challenged call that Turner was out at first; call was upheld - ground out","2018LAN.EVN.regular.comment.csv",183
"LAN201808220",56,"Mound Visit","2018LAN.EVN.regular.comment.csv",184
"LAN201808220",57,"Mound Visit","2018LAN.EVN.regular.comment.csv",185
"LAN201808220",58,"Mound Visit","2018LAN.EVN.regular.comment.csv",186
"LAN201808220",65,"Mound Visit","2018LAN.EVN.regular.comment.csv",187
"LAN201808240",17,"Mound Visit","2018LAN.EVN.regular.comment.csv",188
"LAN201808240",33,"Mound Visit","2018LAN.EVN.regular.comment.csv",189
"LAN201808240",42,"Mound Visit","2018LAN.EVN.regular.comment.csv",190
"LAN201808250",5,"Mound Visit","2018LAN.EVN.regular.comment.csv",191
"LAN201808250",36,"Mound Visit","2018LAN.EVN.regular.comment.csv",192
"LAN201808250",37,"Mound Visit","2018LAN.EVN.regular.comment.csv",193
"LAN201808250",59,"$Padres challenged call that Machado was out at 2nd; call was overturned - out on caught stealing","2018LAN.EVN.regular.comment.csv",194
"LAN201808250",62,"Mound Visit","2018LAN.EVN.regular.comment.csv",195
"LAN201808250",96,"$19 minute delay for power failure","2018LAN.EVN.regular.comment.csv",196
"LAN201808260",19,"$Originally scored as triple, changed to double and error on 08-27-2018, making his run unearned","2018LAN.EVN.regular.comment.csv",197
"LAN201808260",38,"Mound Visit","2018LAN.EVN.regular.comment.csv",198
"LAN201808260",46,"Mound Visit","2018LAN.EVN.regular.comment.csv",199
"LAN201808260",47,"Mound Visit","2018LAN.EVN.regular.comment.csv",200
"LAN201808260",53,"Mound Visit","2018LAN.EVN.regular.comment.csv",201
"LAN201808260",56,"Mound Visit","2018LAN.EVN.regular.comment.csv",202
"LAN201808260",66,"Mound Visit","2018LAN.EVN.regular.comment.csv",203
"LAN201808260",73,"Mound Visit","2018LAN.EVN.regular.comment.csv",204
"LAN201808300",16,"$1bman through ball past first, but catcher backed it up and got Puig who had taken two steps toward second","2018LAN.EVN.regular.comment.csv",205
"LAN201808300",37,"Mound Visit","2018LAN.EVN.regular.comment.csv",206
"LAN201808300",48,"Mound Visit","2018LAN.EVN.regular.comment.csv",207
"LAN201808300",57,"Mound Visit","2018LAN.EVN.regular.comment.csv",208
"LAN201808300",61,"Mound Visit","2018LAN.EVN.regular.comment.csv",209
"LAN201808300",63,"Mound Visit","2018LAN.EVN.regular.comment.csv",210
"LAN201808300",67,"Mound Visit","2018LAN.EVN.regular.comment.csv",211
"LAN201808300",72,"Mound Visit","2018LAN.EVN.regular.comment.csv",212
"LAN201808310",24,"Mound Visit On-field Delay","2018LAN.EVN.regular.comment.csv",213
"LAN201808310",50,"Mound Visit","2018LAN.EVN.regular.comment.csv",214
"LAN201808310",54,"$Originally scored as E1, changed to single on 09-06-2018","2018LAN.EVN.regular.comment.csv",215
"LAN201808310",60,"Mound Visit","2018LAN.EVN.regular.comment.csv",216
"LAN201808310",64,"Mound Visit","2018LAN.EVN.regular.comment.csv",217
"LAN201809010",43,"Injury Delay","2018LAN.EVN.regular.comment.csv",218
"LAN201809010",50,"Mound Visit","2018LAN.EVN.regular.comment.csv",219
"LAN201809010",53,"Mound Visit","2018LAN.EVN.regular.comment.csv",220
"LAN201809010",59,"Mound Visit","2018LAN.EVN.regular.comment.csv",221
"LAN201809010",60,"Mound Visit","2018LAN.EVN.regular.comment.csv",222
"LAN201809010",61,"Mound Visit","2018LAN.EVN.regular.comment.csv",223
"LAN201809010",67,"Mound Visit","2018LAN.EVN.regular.comment.csv",224
"LAN201809020",11,"Injury Delay","2018LAN.EVN.regular.comment.csv",225
"LAN201809020",23,"Mound Visit","2018LAN.EVN.regular.comment.csv",226
"LAN201809020",43,"Mound Visit","2018LAN.EVN.regular.comment.csv",227
"LAN201809020",49,"Mound Visit","2018LAN.EVN.regular.comment.csv",228
"LAN201809020",50,"Mound Visit","2018LAN.EVN.regular.comment.csv",229
"LAN201809020",52,"$Diamondbacks challenged call that Goldschmidt was out at home to complete double play; call was overturned - safe at home","2018LAN.EVN.regular.comment.csv",230
"LAN201809020",54,"Mound Visit","2018LAN.EVN.regular.comment.csv",231
"LAN201809020",55,"Mound Visit","2018LAN.EVN.regular.comment.csv",232
"LAN201809020",61,"Mound Visit","2018LAN.EVN.regular.comment.csv",233
"LAN201809020",63,"Mound Visit","2018LAN.EVN.regular.comment.csv",234
"LAN201809020",66,"Mound Visit","2018LAN.EVN.regular.comment.csv",235
"LAN201809020",69,"Mound Visit","2018LAN.EVN.regular.comment.csv",236
"LAN201809020",70,"Mound Visit","2018LAN.EVN.regular.comment.csv",237
"LAN201809020",72,"Mound Visit","2018LAN.EVN.regular.comment.csv",238
"LAN201809020",73,"Mound Visit","2018LAN.EVN.regular.comment.csv",239
"LAN201809030",22,"$Dodgers challenged call that Puig was out at 2nd; call was overturned - stolen base","2018LAN.EVN.regular.comment.csv",240
"LAN201809030",24,"Mound Visit","2018LAN.EVN.regular.comment.csv",241
"LAN201809030",33,"Mound Visit Injury Delay","2018LAN.EVN.regular.comment.csv",242
"LAN201809030",35,"Mound Visit","2018LAN.EVN.regular.comment.csv",243
"LAN201809030",42,"Mound Visit","2018LAN.EVN.regular.comment.csv",244
"LAN201809030",43,"Mound Visit","2018LAN.EVN.regular.comment.csv",245
"LAN201809030",51,"Mound Visit","2018LAN.EVN.regular.comment.csv",246
"LAN201809030",52,"Mound Visit","2018LAN.EVN.regular.comment.csv",247
"LAN201809030",70,"Mound Visit","2018LAN.EVN.regular.comment.csv",248
"LAN201809030",76,"$Dodgers challenged call that Bellinger's hit was foul; call overturned - fair ball for single","2018LAN.EVN.regular.comment.csv",249
"LAN201809030",77,"Mound Visit","2018LAN.EVN.regular.comment.csv",250
"LAN201809040",20,"Mound Visit","2018LAN.EVN.regular.comment.csv",251
"LAN201809040",28,"Mound Visit","2018LAN.EVN.regular.comment.csv",252
"LAN201809040",38,"Mound Visit","2018LAN.EVN.regular.comment.csv",253
"LAN201809040",53,"Mound Visit","2018LAN.EVN.regular.comment.csv",254
"LAN201809040",54,"Mound Visit","2018LAN.EVN.regular.comment.csv",255
"LAN201809040",57,"$Mets challenged call that Roasrio's ball was foul; call was overturned - double","2018LAN.EVN.regular.comment.csv",256
"LAN201809040",65,"Mound Visit","2018LAN.EVN.regular.comment.csv",257
"LAN201809040",66,"Mound Visit","2018LAN.EVN.regular.comment.csv",258
"LAN201809040",80,"Mound Visit","2018LAN.EVN.regular.comment.csv",259
"LAN201809040",81,"Mound Visit","2018LAN.EVN.regular.comment.csv",260
"LAN201809050",1,"$Dodgers challenged call that Rosario was safe at 1st; call was overturned - ground out","2018LAN.EVN.regular.comment.csv",261
"LAN201809050",27,"Injury Delay","2018LAN.EVN.regular.comment.csv",262
"LAN201809050",31,"Mound Visit","2018LAN.EVN.regular.comment.csv",263
"LAN201809050",33,"$Originally scored as single, changed to E9 on 09-06-2018, making two runs unearned","2018LAN.EVN.regular.comment.csv",264
"LAN201809050",61,"Injury Delay","2018LAN.EVN.regular.comment.csv",265
"LAN201809050",62,"$Mets challenged call that Nimmo was out at 1st to complete double play; call was overturned - force out, not DP","2018LAN.EVN.regular.comment.csv",266
"LAN201809170",9,"Mound Visit","2018LAN.EVN.regular.comment.csv",267
"LAN201809170",22,"Mound Visit","2018LAN.EVN.regular.comment.csv",268
"LAN201809170",25,"Mound Visit","2018LAN.EVN.regular.comment.csv",269
"LAN201809170",29,"Injury Delay","2018LAN.EVN.regular.comment.csv",270
"LAN201809170",29,"Mound Visit","2018LAN.EVN.regular.comment.csv",271
"LAN201809170",33,"Mound Visit","2018LAN.EVN.regular.comment.csv",272
"LAN201809170",40,"Mound Visit","2018LAN.EVN.regular.comment.csv",273
"LAN201809170",60,"Mound Visit","2018LAN.EVN.regular.comment.csv",274
"LAN201809170",63,"Mound Visit","2018LAN.EVN.regular.comment.csv",275
"LAN201809170",69,"Mound Visit","2018LAN.EVN.regular.comment.csv",276
"LAN201809170",73,"Mound Visit","2018LAN.EVN.regular.comment.csv",277
"LAN201809180",8,"$Dodgers challenged call that Kemp was out returning to 1st; call was upheld - out rounding 1st too far","2018LAN.EVN.regular.comment.csv",278
"LAN201809180",25,"Mound Visit","2018LAN.EVN.regular.comment.csv",279
"LAN201809180",39,"Mound Visit","2018LAN.EVN.regular.comment.csv",280
"LAN201809180",45,"Injury Delay","2018LAN.EVN.regular.comment.csv",281
"LAN201809180",49,"$Rockies challenged call that Desmond was out at 2nd; call was upheld - out on pickoff and caught stealing","2018LAN.EVN.regular.comment.csv",282
"LAN201809180",55,"Mound Visit","2018LAN.EVN.regular.comment.csv",283
"LAN201809180",56,"Mound Visit","2018LAN.EVN.regular.comment.csv",284
"LAN201809180",60,"Mound Visit","2018LAN.EVN.regular.comment.csv",285
"LAN201809180",71,"Mound Visit","2018LAN.EVN.regular.comment.csv",286
"LAN201809180",72,"Mound Visit","2018LAN.EVN.regular.comment.csv",287
"LAN201809180",77,"Mound Visit","2018LAN.EVN.regular.comment.csv",288
"LAN201809190",3,"Mound Visit","2018LAN.EVN.regular.comment.csv",289
"LAN201809190",40,"Mound Visit","2018LAN.EVN.regular.comment.csv",290
"LAN201809190",43,"Injury Delay","2018LAN.EVN.regular.comment.csv",291
"LAN201809190",49,"Mound Visit","2018LAN.EVN.regular.comment.csv",292
"LAN201809190",53,"Mound Visit","2018LAN.EVN.regular.comment.csv",293
"LAN201809190",55,"Mound Visit","2018LAN.EVN.regular.comment.csv",294
"LAN201809190",60,"Mound Visit","2018LAN.EVN.regular.comment.csv",295
"LAN201809190",63,"Mound Visit","2018LAN.EVN.regular.comment.csv",296
"LAN201809190",65,"$Rockies challenged call that Desmond was out at 1st; call was upheld - ground out","2018LAN.EVN.regular.comment.csv",297
"LAN201809210",27,"Mound Visit","2018LAN.EVN.regular.comment.csv",298
"LAN201809210",28,"Mound Visit","2018LAN.EVN.regular.comment.csv",299
"LAN201809210",33,"Mound Visit","2018LAN.EVN.regular.comment.csv",300
"LAN201809210",37,"Mound Visit","2018LAN.EVN.regular.comment.csv",301
"LAN201809210",42,"Mound Visit Mound Visit","2018LAN.EVN.regular.comment.csv",302
"LAN201809210",51,"Mound Visit","2018LAN.EVN.regular.comment.csv",303
"LAN201809210",57,"Mound Visit","2018LAN.EVN.regular.comment.csv",304
"LAN201809210",63,"Mound Visit","2018LAN.EVN.regular.comment.csv",305
