"ATL201407240",48,"replay,6,heywj001,ATL,westj901,ATL02,,Y,M,MIA,C $when Justin Upton was called safe at 1B, Marlins manager Mike Redmond challenged the ruling; the call was overturned by replay","2014ATL.EVN.regular.comment.csv",46
"ATL201407250",39,"replay,5,franj004,SDN,vanol901,ATL02,,N,M,SDN,C $when Tommy Medica was called out at 2B, Padres manager Bud Black challenged the ruling; the call was upheld by replay","2014ATL.EVN.regular.comment.csv",47
"ATL201407260",37,"replay,4,freef001,ATL,vanol901,ATL02,,N,M,ATL,O $Freddie Freeman hit a line drive down the LF line that was ruled foul; Braves manager Fredi Gonzalez challenged the ruling; the call was upheld by replay","2014ATL.EVN.regular.comment.csv",48
"ATL201407280",0,"$Jason Lane's first start as a pitcher in the majors; he was an outfielder from 2002 through 2007","2014ATL.EVN.regular.comment.csv",49
"ATL201407280",24,"Braves right fielder Jason Heyward left the game due to an injured back","2014ATL.EVN.regular.comment.csv",50
"ATL201408090",0,"3:41 rain delay before start of game","2014ATL.EVN.regular.comment.csv",51
"ATL201408090",87,"replay,11,frank001,WAS,davig901,ATL02,,Y,M,ATL,A $when Wilson Ramos was called safe at HP, Braves manager Fredi Gonzalez challenged the ruling; the call was overturned by replay","2014ATL.EVN.regular.comment.csv",52
"ATL201408110",8,"Braves second baseman Tommy La Stella left the game due to an injured leg","2014ATL.EVN.regular.comment.csv",53
"ATL201408130",55,"Dodgers pitcher Hyun-Jin Ryu left the game due to an injured leg","2014ATL.EVN.regular.comment.csv",54
"ATL201408130",68,"replay,8,uribj002,LAN,cedeg901,ATL02,,Y,M,ATL,C $when Juan Uribe was called safe at 1B, Braves manager Fredi Gonzalez challenged the ruling; the call was overturned by replay","2014ATL.EVN.regular.comment.csv",55
"ATL201408140",72,"Braves left fielder Justin Upton left the game due to an injured leg","2014ATL.EVN.regular.comment.csv",56
"ATL201408140",79,"replay,9,gonza003,LAN,cedeg901,ATL02,,N,U,,P $when Yasiel Puig was called out at HP, crew chief Gary Cederstrom requested a review; the call was upheld by replay saying the catcher did not block HP without the ball and the runner was out","2014ATL.EVN.regular.comment.csv",57
"ATL201408150",4,"replay,1,norrd001,OAK,barrt901,ATL02,,Y,M,ATL,A $when Johnny Gomes was called safe at 2B on an attempted pickoff, Braves manager Fredi Gonzalez challenged the ruling; the call was overturned by replay","2014ATL.EVN.regular.comment.csv",58
"ATL201408170",31,"originally scored as single, changed to error on 09-02-2014","2014ATL.EVN.regular.comment.csv",59
"ATL201408290",41,"originally scored as E3, changed to single on 09-03-2014","2014ATL.EVN.regular.comment.csv",60
"ATL201408310",65,"replay,9,solad001,MIA,hallt901,ATL02,,N,M,MIA,C $when Donovan Solano was called out at 1B, Marlins manager Mike Redmond challenged the ruling; the call was upheld by replay","2014ATL.EVN.regular.comment.csv",61
"ATL201409020",37,"Braves left fielder Justin Upton left the game due to an injured arm","2014ATL.EVN.regular.comment.csv",62
