"SDN201804120",43,"$Giants challenged call that Pence was out at first; call overturned - safe for single","FILENAME_TX","LINE_NUMBER_CT"
"SDN201807290",30,"Mound Visit","2018SDN.EVN.regular.comment.csv",96
"SDN201807290",33,"Injury Delay","2018SDN.EVN.regular.comment.csv",97
"SDN201807290",40,"Mound Visit","2018SDN.EVN.regular.comment.csv",98
"SDN201807290",42,"On-field Delay","2018SDN.EVN.regular.comment.csv",99
"SDN201807290",50,"$David Peralta left with an injured shoulder","2018SDN.EVN.regular.comment.csv",100
"SDN201807290",53,"Injury Delay Mound Visit","2018SDN.EVN.regular.comment.csv",101
"SDN201807290",56,"Mound Visit","2018SDN.EVN.regular.comment.csv",102
"SDN201807290",70,"$Diamondbacks challenged call that Hosmer was safe at second; call was overturned - force out","2018SDN.EVN.regular.comment.csv",103
"SDN201807290",71,"Mound Visit $Umpire review ball hit by Galvis; call was upheld - double, not HR","2018SDN.EVN.regular.comment.csv",104
"SDN201807300",4,"$Padres challenged call that Longoria was safe on pickoff attempt; call was overturned - out on pickoff","2018SDN.EVN.regular.comment.csv",105
"SDN201807300",49,"$Padres challenged call that d'Arnaud was safe at 2nd on error; call was overturned - force out","2018SDN.EVN.regular.comment.csv",106
"SDN201807300",51,"Mound Visit","2018SDN.EVN.regular.comment.csv",107
"SDN201807300",57,"$Batter out for interference","2018SDN.EVN.regular.comment.csv",108
"SDN201807300",80,"Mound Visit","2018SDN.EVN.regular.comment.csv",109
"SDN201807300",83,"Mound Visit","2018SDN.EVN.regular.comment.csv",110
"SDN201807300",91,"Mound Visit","2018SDN.EVN.regular.comment.csv",111
"SDN201807300",92,"Mound Visit","2018SDN.EVN.regular.comment.csv",112
"SDN201807310",28,"$Giants challenged call that Crawford was out at second; call was overturned - single","2018SDN.EVN.regular.comment.csv",113
"SDN201807310",40,"Mound Visit","2018SDN.EVN.regular.comment.csv",114
"SDN201807310",58,"Mound Visit","2018SDN.EVN.regular.comment.csv",115
"SDN201807310",62,"Mound Visit","2018SDN.EVN.regular.comment.csv",116
"SDN201807310",64,"$Padres challenged call that Margot was out at first to complet double play; call was overturned - force out, no DP","2018SDN.EVN.regular.comment.csv",117
"SDN201807310",79,"Mound Visit","2018SDN.EVN.regular.comment.csv",118
"SDN201808100",5,"Mound Visit","2018SDN.EVN.regular.comment.csv",119
"SDN201808100",48,"Mound Visit","2018SDN.EVN.regular.comment.csv",120
"SDN201808100",60,"Mound Visit","2018SDN.EVN.regular.comment.csv",121
"SDN201808100",66,"Mound Visit","2018SDN.EVN.regular.comment.csv",122
"SDN201808110",5,"Mound Visit","2018SDN.EVN.regular.comment.csv",123
"SDN201808110",18,"Mound Visit","2018SDN.EVN.regular.comment.csv",124
"SDN201808110",38,"Mound Visit","2018SDN.EVN.regular.comment.csv",125
"SDN201808110",57,"Mound Visit","2018SDN.EVN.regular.comment.csv",126
"SDN201808110",74,"$Padres challenged call that Jankowski was out at first; call was upheld - ground out","2018SDN.EVN.regular.comment.csv",127
"SDN201808120",8,"On-field Delay","2018SDN.EVN.regular.comment.csv",128
"SDN201808120",11,"Mound Visit","2018SDN.EVN.regular.comment.csv",129
"SDN201808120",18,"Injury Delay","2018SDN.EVN.regular.comment.csv",130
"SDN201808120",26,"Mound Visit","2018SDN.EVN.regular.comment.csv",131
"SDN201808120",66,"Mound Visit","2018SDN.EVN.regular.comment.csv",132
"SDN201808120",69,"Mound Visit Mound Visit","2018SDN.EVN.regular.comment.csv",133
"SDN201808120",73,"Mound Visit Mound Visit","2018SDN.EVN.regular.comment.csv",134
"SDN201808120",75,"Mound Visit","2018SDN.EVN.regular.comment.csv",135
"SDN201808130",56,"Mound Visit","2018SDN.EVN.regular.comment.csv",136
"SDN201808130",57,"Mound Visit","2018SDN.EVN.regular.comment.csv",137
"SDN201808130",63,"Mound Visit","2018SDN.EVN.regular.comment.csv",138
"SDN201808130",68,"Mound Visit","2018SDN.EVN.regular.comment.csv",139
"SDN201808130",71,"$Angels challenged call tht Briceno was out at 3rd; call was upheld - out on fielder's choice","2018SDN.EVN.regular.comment.csv",140
"SDN201808140",10,"Mound Visit","2018SDN.EVN.regular.comment.csv",141
"SDN201808140",29,"Mound Visit","2018SDN.EVN.regular.comment.csv",142
"SDN201808140",35,"Mound Visit","2018SDN.EVN.regular.comment.csv",143
"SDN201808140",53,"Mound Visit","2018SDN.EVN.regular.comment.csv",144
"SDN201808140",68,"$Padres challenged call that Spangenberg was out at first to complete double play; call was upheld - double play","2018SDN.EVN.regular.comment.csv",145
"SDN201808140",70,"Mound Visit","2018SDN.EVN.regular.comment.csv",146
"SDN201808140",72,"Mound Visit","2018SDN.EVN.regular.comment.csv",147
"SDN201808150",64,"Mound Visit","2018SDN.EVN.regular.comment.csv",148
"SDN201808150",69,"Mound Visit","2018SDN.EVN.regular.comment.csv",149
"SDN201808160",2,"Mound Visit","2018SDN.EVN.regular.comment.csv",150
"SDN201808160",4,"Mound Visit","2018SDN.EVN.regular.comment.csv",151
"SDN201808160",5,"Injury Delay","2018SDN.EVN.regular.comment.csv",152
"SDN201808160",10,"Mound Visit","2018SDN.EVN.regular.comment.csv",153
"SDN201808160",46,"Injury Delay","2018SDN.EVN.regular.comment.csv",154
"SDN201808160",62,"Mound Visit","2018SDN.EVN.regular.comment.csv",155
"SDN201808160",64,"Injury Delay","2018SDN.EVN.regular.comment.csv",156
"SDN201808160",67,"Mound Visit","2018SDN.EVN.regular.comment.csv",157
"SDN201808170",7,"Mound Visit","2018SDN.EVN.regular.comment.csv",158
"SDN201808170",13,"Mound Visit","2018SDN.EVN.regular.comment.csv",159
"SDN201808170",23,"Mound Visit","2018SDN.EVN.regular.comment.csv",160
"SDN201808170",24,"On-field Delay ej,ahmen001,P,hoyej901,Arguing called third strike $Ahmed ejected by plate umpire Hoye for arguing called third strike","2018SDN.EVN.regular.comment.csv",161
"SDN201808170",29,"Injury Delay","2018SDN.EVN.regular.comment.csv",162
"SDN201808170",38,"Mound Visit","2018SDN.EVN.regular.comment.csv",163
"SDN201808170",48,"Mound Visit $Umpire review of ball hit by Hosmer; call was upheld - homer","2018SDN.EVN.regular.comment.csv",164
"SDN201808170",55,"Mound Visit","2018SDN.EVN.regular.comment.csv",165
"SDN201808170",69,"Injury Delay","2018SDN.EVN.regular.comment.csv",166
"SDN201808170",73,"Mound Visit","2018SDN.EVN.regular.comment.csv",167
"SDN201808180",33,"Mound Visit","2018SDN.EVN.regular.comment.csv",168
"SDN201808180",48,"Mound Visit","2018SDN.EVN.regular.comment.csv",169
"SDN201808180",68,"Mound Visit","2018SDN.EVN.regular.comment.csv",170
"SDN201808180",81,"Mound Visit","2018SDN.EVN.regular.comment.csv",171
"SDN201808190",4,"Mound Visit","2018SDN.EVN.regular.comment.csv",172
"SDN201808190",37,"On-field Delay","2018SDN.EVN.regular.comment.csv",173
"SDN201808190",38,"Mound Visit","2018SDN.EVN.regular.comment.csv",174
"SDN201808190",49,"Mound Visit","2018SDN.EVN.regular.comment.csv",175
"SDN201808190",55,"Mound Visit","2018SDN.EVN.regular.comment.csv",176
"SDN201808190",68,"Mound Visit","2018SDN.EVN.regular.comment.csv",177
"SDN201808190",69,"Injury Delay Mound Visit","2018SDN.EVN.regular.comment.csv",178
"SDN201808190",74,"Mound Visit","2018SDN.EVN.regular.comment.csv",179
"SDN201808190",78,"Mound Visit","2018SDN.EVN.regular.comment.csv",180
"SDN201808280",51,"Mound Visit","2018SDN.EVN.regular.comment.csv",181
"SDN201808280",64,"Mound Visit","2018SDN.EVN.regular.comment.csv",182
"SDN201808290",22,"Mound Visit","2018SDN.EVN.regular.comment.csv",183
"SDN201808290",24,"$Mariners challenged call that Cruz was out at 1st; call was upheld - double play","2018SDN.EVN.regular.comment.csv",184
"SDN201808290",29,"Mound Visit","2018SDN.EVN.regular.comment.csv",185
"SDN201808290",34,"Injury Delay","2018SDN.EVN.regular.comment.csv",186
"SDN201808290",37,"$Umpire review fly ball hit by Urias on 2nd pitch; call was overturned - foul ball, not home run","2018SDN.EVN.regular.comment.csv",187
"SDN201808290",48,"Injury Delay","2018SDN.EVN.regular.comment.csv",188
"SDN201808290",60,"Mound Visit","2018SDN.EVN.regular.comment.csv",189
"SDN201808290",60,"On-field Delay","2018SDN.EVN.regular.comment.csv",190
"SDN201808290",69,"Mound Visit","2018SDN.EVN.regular.comment.csv",191
"SDN201808290",71,"Mound Visit","2018SDN.EVN.regular.comment.csv",192
"SDN201808290",75,"Mound Visit","2018SDN.EVN.regular.comment.csv",193
"SDN201808300",66,"Mound Visit","2018SDN.EVN.regular.comment.csv",194
"SDN201808300",88,"$Originally scored as E5, changed to single on 09-06-2018","2018SDN.EVN.regular.comment.csv",195
"SDN201808310",3,"$Padres challenged call that Blackmon was safe at 3rd; call was overturned - out on fielder's choice","2018SDN.EVN.regular.comment.csv",196
"SDN201808310",8,"Injury Delay","2018SDN.EVN.regular.comment.csv",197
"SDN201808310",45,"Mound Visit","2018SDN.EVN.regular.comment.csv",198
"SDN201808310",64,"Mound Visit","2018SDN.EVN.regular.comment.csv",199
"SDN201809010",14,"Mound Visit","2018SDN.EVN.regular.comment.csv",200
"SDN201809010",27,"Mound Visit","2018SDN.EVN.regular.comment.csv",201
"SDN201809010",45,"Mound Visit","2018SDN.EVN.regular.comment.csv",202
"SDN201809010",46,"Mound Visit","2018SDN.EVN.regular.comment.csv",203
"SDN201809010",49,"Mound Visit","2018SDN.EVN.regular.comment.csv",204
"SDN201809010",52,"Mound Visit","2018SDN.EVN.regular.comment.csv",205
"SDN201809010",71,"$Padres challenged call that LeMahieu was safe at 1st; call was overturned - ground out","2018SDN.EVN.regular.comment.csv",206
"SDN201809020",6,"Mound Visit","2018SDN.EVN.regular.comment.csv",207
"SDN201809020",34,"Mound Visit","2018SDN.EVN.regular.comment.csv",208
"SDN201809020",44,"Mound Visit","2018SDN.EVN.regular.comment.csv",209
"SDN201809020",52,"Mound Visit","2018SDN.EVN.regular.comment.csv",210
"SDN201809020",53,"Mound Visit","2018SDN.EVN.regular.comment.csv",211
"SDN201809020",74,"Mound Visit","2018SDN.EVN.regular.comment.csv",212
"SDN201809140",38,"Mound Visit","2018SDN.EVN.regular.comment.csv",213
"SDN201809140",39,"Mound Visit $Rangers challenged call that DeShields was out at 3rd; call was upheld - fielder's choice, runner out at 3rd","2018SDN.EVN.regular.comment.csv",214
"SDN201809140",45,"Mound Visit","2018SDN.EVN.regular.comment.csv",215
"SDN201809140",63,"Mound Visit","2018SDN.EVN.regular.comment.csv",216
"SDN201809140",69,"Mound Visit On-field Delay Mound Visit","2018SDN.EVN.regular.comment.csv",217
"SDN201809150",27,"Mound Visit","2018SDN.EVN.regular.comment.csv",218
"SDN201809150",29,"Mound Visit","2018SDN.EVN.regular.comment.csv",219
"SDN201809150",46,"Mound Visit","2018SDN.EVN.regular.comment.csv",220
"SDN201809150",47,"Mound Visit","2018SDN.EVN.regular.comment.csv",221
"SDN201809150",48,"Mound Visit","2018SDN.EVN.regular.comment.csv",222
"SDN201809150",53,"Mound Visit","2018SDN.EVN.regular.comment.csv",223
"SDN201809150",54,"Mound Visit","2018SDN.EVN.regular.comment.csv",224
"SDN201809150",71,"Mound Visit","2018SDN.EVN.regular.comment.csv",225
"SDN201809160",42,"$Padres challenged call that Kiner-Falefa was safe at 2nd; call was overturned - out to complete double play","2018SDN.EVN.regular.comment.csv",226
"SDN201809160",53,"Mound Visit","2018SDN.EVN.regular.comment.csv",227
"SDN201809160",55,"Mound Visit","2018SDN.EVN.regular.comment.csv",228
"SDN201809160",61,"Mound Visit","2018SDN.EVN.regular.comment.csv",229
"SDN201809160",62,"Mound Visit","2018SDN.EVN.regular.comment.csv",230
"SDN201809160",62,"Injury Delay","2018SDN.EVN.regular.comment.csv",231
"SDN201809160",65,"ej,greea001,M,culbf901,Arguing hit by pitch $San Diego manager Green ejected by 3b umpire Culbreth for strange sequence of events; pitch to Chirinos hit the knob of his bat and rolled to the pitcher, who threw him out; plate umpire Blakney called it a dead ball; manager Green argued it to be either a ball in play or a hit by pitch, that there was way it could be a dead ball; the play was not reviewable so Green asked the umpires to huddle and overturn the call; they refused and the Rangers challenged the call, claiming Chirinos was hit by the pitch; the call was overturned to hit by pitch, causing a tirade by Green that led to his ejection","2018SDN.EVN.regular.comment.csv",232
"SDN201809160",66,"Mound Visit","2018SDN.EVN.regular.comment.csv",233
"SDN201809160",67,"Mound Visit","2018SDN.EVN.regular.comment.csv",234
"SDN201809160",67,"Mound Visit","2018SDN.EVN.regular.comment.csv",235
"SDN201809160",72,"Mound Visit","2018SDN.EVN.regular.comment.csv",236
"SDN201809160",75,"Mound Visit","2018SDN.EVN.regular.comment.csv",237
"SDN201809170",39,"Mound Visit","2018SDN.EVN.regular.comment.csv",238
"SDN201809170",56,"Mound Visit","2018SDN.EVN.regular.comment.csv",239
"SDN201809170",65,"Mound Visit","2018SDN.EVN.regular.comment.csv",240
"SDN201809170",67,"Mound Visit","2018SDN.EVN.regular.comment.csv",241
"SDN201809180",30,"Mound Visit","2018SDN.EVN.regular.comment.csv",242
"SDN201809180",41,"Mound Visit","2018SDN.EVN.regular.comment.csv",243
"SDN201809180",46,"$Umpire review of ball hit by Reyes; call was upheld - homer","2018SDN.EVN.regular.comment.csv",244
"SDN201809180",52,"Mound Visit","2018SDN.EVN.regular.comment.csv",245
"SDN201809180",73,"Mound Visit","2018SDN.EVN.regular.comment.csv",246
"SDN201809180",77,"$Giants challenged call that ball hit by Longoria on 1st pitch was foul - call was upheld - foul ball","2018SDN.EVN.regular.comment.csv",247
"SDN201809190",12,"Mound Visit","2018SDN.EVN.regular.comment.csv",248
"SDN201809190",17,"Mound Visit","2018SDN.EVN.regular.comment.csv",249
"SDN201809190",30,"Mound Visit","2018SDN.EVN.regular.comment.csv",250
"SDN201809190",32,"Mound Visit","2018SDN.EVN.regular.comment.csv",251
"SDN201809190",45,"Mound Visit","2018SDN.EVN.regular.comment.csv",252
"SDN201809190",65,"Mound Visit","2018SDN.EVN.regular.comment.csv",253
"SDN201809190",72,"Mound Visit","2018SDN.EVN.regular.comment.csv",254
"SDN201809280",49,"Mound Visit","2018SDN.EVN.regular.comment.csv",255
"SDN201809280",50,"Mound Visit","2018SDN.EVN.regular.comment.csv",256
"SDN201809280",51,"Mound Visit","2018SDN.EVN.regular.comment.csv",257
"SDN201809280",54,"$Diamondbacks challenged call that Goldschmidt was out at 1st; call was upheld - ground out","2018SDN.EVN.regular.comment.csv",258
"SDN201809280",58,"$Padres challenged call that Jankowski was out at 2nd; call was overturned - out on caught stealing","2018SDN.EVN.regular.comment.csv",259
"SDN201809280",62,"Mound Visit","2018SDN.EVN.regular.comment.csv",260
"SDN201809280",71,"Mound Visit","2018SDN.EVN.regular.comment.csv",261
"SDN201809280",82,"$Umpire review of play at 2nd; Pollock safe on stolen base","2018SDN.EVN.regular.comment.csv",262
"SDN201809280",83,"Mound Visit","2018SDN.EVN.regular.comment.csv",263
"SDN201809280",86,"$Umpire review play on Myers; call was overturned - ground out","2018SDN.EVN.regular.comment.csv",264
"SDN201809280",93,"Mound Visit","2018SDN.EVN.regular.comment.csv",265
"SDN201809280",105,"Mound Visit","2018SDN.EVN.regular.comment.csv",266
"SDN201809280",108,"On-field Delay $Umpire review play at 2nd; call was overturned - out on slide interference to complete double play","2018SDN.EVN.regular.comment.csv",267
"SDN201809290",10,"Mound Visit","2018SDN.EVN.regular.comment.csv",268
"SDN201809290",17,"$Diamondbacks challenged call that Ellis was safe on error; call was overturned - ground out","2018SDN.EVN.regular.comment.csv",269
"SDN201809290",38,"Mound Visit","2018SDN.EVN.regular.comment.csv",270
"SDN201809290",49,"Mound Visit","2018SDN.EVN.regular.comment.csv",271
"SDN201809290",52,"Mound Visit","2018SDN.EVN.regular.comment.csv",272
"SDN201809290",69,"Mound Visit","2018SDN.EVN.regular.comment.csv",273
"SDN201809300",23,"Mound Visit","2018SDN.EVN.regular.comment.csv",274
"SDN201809300",39,"Mound Visit","2018SDN.EVN.regular.comment.csv",275
"SDN201809300",49,"$Diamondbacks challenged call that Spangenberg was safe at 1st; call was upheld - single","2018SDN.EVN.regular.comment.csv",276
"SDN201809300",76,"Mound Visit","2018SDN.EVN.regular.comment.csv",277
"SDN201809300",77,"Mound Visit","2018SDN.EVN.regular.comment.csv",278
"SDN201809300",83,"Mound Visit","2018SDN.EVN.regular.comment.csv",279
