"BRO192504140",7,"Over Burns","FILENAME_TX","LINE_NUMBER_CT"
"BRO192505180",50,"Wide throw","1925BRO.EVN.regular.comment.csv",130
"BRO192505180",62,"Low throw","1925BRO.EVN.regular.comment.csv",131
"BRO192505180",67,"Wheat fumbled","1925BRO.EVN.regular.comment.csv",132
"BRO192505180",74,"NYEW coverage ended here","1925BRO.EVN.regular.comment.csv",133
"BRO192505180",85,"Grimes was trapped between 1B & 2B but Moore's throw to Grantham hit Grimes in the back.","1925BRO.EVN.regular.comment.csv",134
"BRO192505190",0,"NL's Golden Jubilee flag was raised before the game; Landis and NL Pres Heydler attended; both teams paraded to the pole for the flag raising headed by Shannon's Band; Dazzy Vance received a medal and $1000 in gold as 1924's MVP; many old-timers in attendance.","1925BRO.EVN.regular.comment.csv",135
"BRO192505190",1,"Good stop","1925BRO.EVN.regular.comment.csv",136
"BRO192505190",11,"Stock made a fine recovery and almost got Grantham","1925BRO.EVN.regular.comment.csv",137
"BRO192505190",14,"Great stop","1925BRO.EVN.regular.comment.csv",138
"BRO192505190",17,"PGT: Hit in the leg.   NYT: Hit in the ribs.","1925BRO.EVN.regular.comment.csv",139
"BRO192505190",21,"Got away from Carey and rolled to the exit gate","1925BRO.EVN.regular.comment.csv",140
"BRO192505190",30,"Pretty catch","1925BRO.EVN.regular.comment.csv",141
"BRO192505190",42,"Near the stands","1925BRO.EVN.regular.comment.csv",142
"BRO192505190",43,"Grantham's relay to the plate was high","1925BRO.EVN.regular.comment.csv",143
"BRO192505190",44,"Good catch","1925BRO.EVN.regular.comment.csv",144
"BRO192505190",45,"Just missed bounding into the seats","1925BRO.EVN.regular.comment.csv",145
"BRO192505190",51,"Carey leaped for the bounding ball but failed to hold it","1925BRO.EVN.regular.comment.csv",146
"BRO192505190",53,"Gem of a catch","1925BRO.EVN.regular.comment.csv",147
"BRO192505190",80,"Low throw","1925BRO.EVN.regular.comment.csv",148
"BRO192505190",81,"Fine stop and throw","1925BRO.EVN.regular.comment.csv",149
"BRO192505200",3,"Hot drive bounded poorly for Brown","1925BRO.EVN.regular.comment.csv",150
"BRO192505200",4,"Stock lost it in the sun","1925BRO.EVN.regular.comment.csv",151
"BRO192505200",6,"Great baserunning by Traynor; Wheat fumbled momentarily and when he threw to 2B to hold Wright at 1B, Traynor streaked around 3B and beat the throw home.","1925BRO.EVN.regular.comment.csv",152
"BRO192505200",13,"Fast hop past Brown","1925BRO.EVN.regular.comment.csv",153
"BRO192505200",19,"Pretty play","1925BRO.EVN.regular.comment.csv",154
"BRO192505200",24,"Looked at 3rd strike after fouling off a bunt","1925BRO.EVN.regular.comment.csv",155
"BRO192505200",27,"Pretty stop","1925BRO.EVN.regular.comment.csv",156
"BRO192505200",33,"Brilliant stop behind 2B","1925BRO.EVN.regular.comment.csv",157
"BRO192505200",36,"High/wide throw","1925BRO.EVN.regular.comment.csv",158
"BRO192505200",40,"Pretty play","1925BRO.EVN.regular.comment.csv",159
"BRO192505200",43,"Threw high to 1B trying for DP; Moore charged with error though it seemed as if Niehaus should've held onto it.","1925BRO.EVN.regular.comment.csv",160
"BRO192505200",45,"Smith's foul tip hit Taylor on left foot and he left game","1925BRO.EVN.regular.comment.csv",161
"BRO192505200",54,"Good stop, fast play","1925BRO.EVN.regular.comment.csv",162
"BRO192505200",66,"Thrilling stop","1925BRO.EVN.regular.comment.csv",163
"BRO192505200",71,"Thrilling pickup by Traynor NYEW coverage ended here","1925BRO.EVN.regular.comment.csv",164
"BRO192505200",72,"During the AB Barnhart hit a liner just foul down LF line","1925BRO.EVN.regular.comment.csv",165
"BRO192505200",74,"Traynor went to 3B on the hit and scored when Johnston threw past Stock trying to get Wright.","1925BRO.EVN.regular.comment.csv",166
"BRO192505200",75,"Just missed a bounce HR","1925BRO.EVN.regular.comment.csv",167
"BRO192505200",87,"Wide throw to Kremer covering 1B","1925BRO.EVN.regular.comment.csv",168
"BRO192505210",5,"Tremendous applause for Griffith as he stepped to bat","1925BRO.EVN.regular.comment.csv",169
"BRO192505210",30,"Friberg complained loudly","1925BRO.EVN.regular.comment.csv",170
"BRO192505210",31,"ej,grimc101,P,wilsf901,Called third strike Grimm ejected by Ump Wilson for protesting the third strike","1925BRO.EVN.regular.comment.csv",171
"BRO192505210",34,"Wide throw","1925BRO.EVN.regular.comment.csv",172
"BRO192505210",37,"Running catch","1925BRO.EVN.regular.comment.csv",173
"BRO192505210",51,"Over Statz","1925BRO.EVN.regular.comment.csv",174
"BRO192505210",56,"1-handed catch","1925BRO.EVN.regular.comment.csv",175
"BRO192505210",61,"Over RF wall","1925BRO.EVN.regular.comment.csv",176
"BRO192505210",69,"Easy pop fly fell between Stock and Cox","1925BRO.EVN.regular.comment.csv",177
"BRO192505210",74,"Over Brown to the flagpole","1925BRO.EVN.regular.comment.csv",178
"BRO192505210",76,"Terrific swing at strike three","1925BRO.EVN.regular.comment.csv",179
"BRO192505220",1,"To the bleachers","1925BRO.EVN.regular.comment.csv",180
"BRO192505220",6,"Off Adams's glove","1925BRO.EVN.regular.comment.csv",181
"BRO192505220",42,"Dandy catch on low liner","1925BRO.EVN.regular.comment.csv",182
"BRO192505220",48,"Nice 1-handed catch","1925BRO.EVN.regular.comment.csv",183
"BRO192505220",56,"Stock dropped the ball but Ump Moran ruled Heathcote knocked it out of his hands and called him out for interference. Robins argued Adams should've been sent back to 2B.  Stock was charged with error for allowing Adams to go to 3B.","1925BRO.EVN.regular.comment.csv",184
"BRO192505220",59,"ej,fribb101,P,morac102,Call at 1B $When Hartnett threw to 1B to catch Loftus asleep, the runner overran 1B, but Ump Moran ruled he was safe.  Friberg kicked and was ejected by Moran.","1925BRO.EVN.regular.comment.csv",185
"BRO192505220",59,"Grimm hadn't started due to sore left foot","1925BRO.EVN.regular.comment.csv",186
"BRO192505220",62,"Wide/high throw","1925BRO.EVN.regular.comment.csv",187
"BRO192505230",0,"Game started early to allow Cubs to make their train","1925BRO.EVN.regular.comment.csv",188
"BRO192505230",3,"Nice sprinting back-handed catch","1925BRO.EVN.regular.comment.csv",189
"BRO192505230",9,"BOUNCE HR? CDT: Wheat was playing with his back to the barrier, but was too close to the foul line, so while he was galloping across the field the ball came down and bounced over the low fence in front of the LF bleachers.","1925BRO.EVN.regular.comment.csv",190
"BRO192505230",29,"Brown fumbled","1925BRO.EVN.regular.comment.csv",191
"BRO192505230",34,"Good catch","1925BRO.EVN.regular.comment.csv",192
"BRO192505230",39,"Nice shoestring catch","1925BRO.EVN.regular.comment.csv",193
"BRO192505230",47,"Over the pulled-in infield","1925BRO.EVN.regular.comment.csv",194
"BRO192505230",60,"To the fence","1925BRO.EVN.regular.comment.csv",195
"BRO192505230",84,"Threw to CF","1925BRO.EVN.regular.comment.csv",196
"BRO192505230",87,"Infield in; grounder eluded McAuley","1925BRO.EVN.regular.comment.csv",197
"BRO192505240",8,"Mueller let it bound over him","1925BRO.EVN.regular.comment.csv",198
"BRO192505240",10,"High throw home","1925BRO.EVN.regular.comment.csv",199
"BRO192505240",17,"Past Bottomley","1925BRO.EVN.regular.comment.csv",200
