"MIA201604060",52,"$originally scored single plus E7; changed to double with no error on 04-08-2016","FILENAME_TX","LINE_NUMBER_CT"
"MIA201605050",37,"replay,5,realj001,MIA,demud901,MIA02,,N,M,MIA,C $when J.T. Realmuto was called out at 1B, Marlins manager Don Mattingly challenged the ruling; the call was upheld by replay","2016MIA.EVN.regular.comment.csv",12
"MIA201605050",41,"replay,6,goldp001,ARI,demud901,MIA02,,N,M,ARI,S replay,6,goldp001,ARI,demud901,MIA02,,N,M,ARI,C $when Paul Goldschmidt was called out at 1B, D-Backs manager Chip Hale challenged the ruling; the call was upheld by replay; Hale also challenged the out call at 2B; that call was upheld by replay","2016MIA.EVN.regular.comment.csv",13
"MIA201605090",15,"replay,2,realj001,MIA,gormb901,MIA02,,Y,U,,R $J.T. Realmuto's fly to CF just cleared the fence; Marcell Ozuna returned to 1B in case the ball was caught as Realmuto rounded the 1B bag; no call was made on the play and Realmuto continued around the bases behind Ozuna; crew chief Brian Gorman requested a review, which overturned the call to passing a runner; Realmuto was called out and Ozuna scored","2016MIA.EVN.regular.comment.csv",14
"MIA201605090",67,"replay,8,hecha001,MIA,gormb901,MIA02,,Y,M,MIA,S $when Adeiny Hechavarria was called safe at 1B and the ball got past Chris Carter, Marlins manager Don Mattingly challenged the ruling; the call was overturned as the ball went out of play; Hechavarria was awarded an extra base","2016MIA.EVN.regular.comment.csv",15
"MIA201605200",44,"replay,6,murpd006,WAS,everm901,MIA02,,N,M,WAS,A $when Bryce Harper was called out at 3B, Nationals manager Dusty Baker challenged the ruling; the call was upheld by replay","2016MIA.EVN.regular.comment.csv",16
"MIA201605200",54,"replay,7,hecha001,MIA,everm901,MIA02,,N,M,MIA,A $when Adeiny Hechavarria was called out at 2B, Marlins manager Don Mattingly challenged the ruling; the call was upheld by replay","2016MIA.EVN.regular.comment.csv",17
"MIA201605200",67,"replay,9,ramow001,WAS,everm901,MIA02,,N,U,,C replay,9,ramow001,WAS,everm901,MIA02,,N,U,,C replay,9,ramow001,WAS,everm901,MIA02,,N,U,,E $when Wilson Ramos was called safe at 1B, crew chief Mike Everett requested a review; the call was upheld by replay; the umpires also checked the call at 2B and the slide by Anthony Rendon; both those calls were upheld by replay","2016MIA.EVN.regular.comment.csv",18
"MIA201605210",2,"$Chris Heisey called for interference for stepping across HP while catcher J.T. Realmuto tried to throw to 2B on a steal attempt","2016MIA.EVN.regular.comment.csv",19
"MIA201605220",33,"replay,4,suzui001,MIA,everm901,MIA02,,Y,M,WAS,C $when Ichiro Suzuki was called safe at 1B, Nationals manager Dusty Baker challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",20
"MIA201605220",75,"replay,9,zimmr001,WAS,everm901,MIA02,,Y,M,MIA,A $when Michael Taylor was called safe at HP, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",21
"MIA201605230",62,"replay,7,mottt001,TBA,cedeg901,MIA02,,N,M,TBA,A $when Taylor Motter was called out at 3B, Rays manager Kevin Cash challenged the ruling; the call was upheld by replay","2016MIA.EVN.regular.comment.csv",22
"MIA201605240",22,"replay,3,pears001,TBA,cedeg901,MIA02,,N,M,TBA,A $when Brad Miller was called out at 2B, Rays manager Kevin Cash challenged the ruling; the call was upheld by replay","2016MIA.EVN.regular.comment.csv",23
"MIA201605240",77,"replay,9,millb002,TBA,cedeg901,MIA02,,Y,M,MIA,A $when Brandon Guyer was called safe at 3B, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",24
"MIA201605300",25,"replay,4,cervf001,PIT,joycj901,MIA02,,Y,M,MIA,A $when Starling Marte was called safe at 2B, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",25
"MIA201605310",54,"replay,7,ozunm001,MIA,joycj901,MIA02,,N,M,PIT,A $when J.T. Realmuto was called safe at HP, Pirates manager Clint Hurdle challenged the ruling; the call was upheld by replay","2016MIA.EVN.regular.comment.csv",26
"MIA201606020",25,"Pirates catcher Francisco Cervelli left the game due to an injured foot","2016MIA.EVN.regular.comment.csv",27
"MIA201606020",44,"Pirates center fielder Andrew McCutchen left the game due to an injured hand","2016MIA.EVN.regular.comment.csv",28
"MIA201606020",65,"Pirates third baseman David Freese left the game due to an injured hand","2016MIA.EVN.regular.comment.csv",29
"MIA201606020",75,"Pirates shortstop Jordy Mercer left the game due to an injured elbow","2016MIA.EVN.regular.comment.csv",30
"MIA201606040",16,"replay,2,nicoj001,MIA,demud901,MIA02,,N,M,NYN,C $when Justin Bour was called safe at HP, Mets manager Terry Collins challenged the ruling; the call was upheld by replay","2016MIA.EVN.regular.comment.csv",31
"MIA201606170",48,"$originally scored as passed ball, changed to wild pitch on 06-18-2016","2016MIA.EVN.regular.comment.csv",32
"MIA201606170",50,"replay,6,bourj002,MIA,mealj901,MIA02,,Y,M,MIA,C $when Justin Bour was called out at 1B, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",33
"MIA201606180",20,"Rockies pitcher Tyler Chatwood left the game due to an injured back","2016MIA.EVN.regular.comment.csv",34
"MIA201606200",10,"replay,2,stort001,COL,mealj901,MIA02,,N,U,,Q $Trevor Story was ruled to have fouled off the 3-2 pitch and Marlins manager Don Mattingly asked if Story missed the ball and was struck out; crew chief Jerry Meals requested a rules check and the umpires determined the a called foul ball was not reviewable; Story homered on the next pitch","2016MIA.EVN.regular.comment.csv",35
"MIA201606200",53,"replay,7,blacc001,COL,mealj901,MIA02,,Y,M,COL,C $when Charlie Blackmon was called out at 1B, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",36
"MIA201606230",36,"replay,5,johnc003,MIA,hirsj901,MIA02,,Y,M,CHN,C $when Chris Johnson was called safe at 1B, Cubs manager Joe Maddon challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",37
"MIA201606230",48,"replay,6,realj001,MIA,hirsj901,MIA02,,Y,M,MIA,C $when J.T. Realmuto was called out at 1B, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay; Javier Baez had stopped the hard grounder, which bounced in the air; Baez grabbed the ball and threw to 1B while sitting on the ground","2016MIA.EVN.regular.comment.csv",38
"MIA201606250",3,"replay,1,rizza001,CHN,hirsj901,MIA02,,N,M,MIA,A $when Kris Bryant was called safe at 3B, Marlins manager Don Mattingly challenged the ruling; the call was upheld by replay","2016MIA.EVN.regular.comment.csv",39
"MIA201606260",49,"replay,6,dietd001,MIA,hirsj901,MIA02,,Y,M,MIA,I $when Derek Dietrich was ruled not to have been hit by a pitch, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",40
"MIA201606260",50,"replay,6,hecha001,MIA,hirsj901,MIA02,,Y,M,MIA,C replay,6,hecha001,MIA,hirsj901,MIA02,,N,M,CHN,E $when Adeiny Hechavarria was called out at 1B, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay; Cubs manager Joe Maddon challenged the slide at 2B; Derek Dietrich was ruled to have made a legal slide","2016MIA.EVN.regular.comment.csv",41
"MIA201607090",52,"replay,7,cabrr001,CIN,demud901,MIA02,,Y,M,MIA,A $when Brandon Phillips was called safe at 3B, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",42
"MIA201607100",25,"replay,3,yelic001,MIA,demud901,MIA02,,Y,M,MIA,C $when Christian Yelich was called out at 1B, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",43
"MIA201607100",52,"replay,6,rojam002,MIA,demud901,MIA02,,Y,M,MIA,C $when Miguel Rojas was called out at 1B, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",44
"MIA201607220",64,"replay,8,reyej001,NYN,barrt901,MIA02,,Y,M,MIA,A $when Alejandro de Aza was called safe at 2B, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",45
"MIA201607230",66,"$originally scored as single, changed to E4 on 07-28-2016, making run unearned","2016MIA.EVN.regular.comment.csv",46
"MIA201607240",61,"replay,8,cabra002,NYN,barrt901,MIA02,,Y,M,MIA,C $when Yoenis Cespedes was called safe at HP, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",47
"MIA201607260",10,"Phillies right fielder Peter Bourjos left the game due to an injured shoulder","2016MIA.EVN.regular.comment.csv",48
"MIA201607270",31,"ej,bowal001,C,hobep901,Balls and strikes Phillies Bench Coach Larry Bowa ejected by HP umpire Pat Hoberg","2016MIA.EVN.regular.comment.csv",49
"MIA201607300",26,"Marlins pitcher Colin Rea left the game due to an injured elbow","2016MIA.EVN.regular.comment.csv",50
"MIA201607310",3,"Cardinals shortstop Aledmys Diaz left the game due to an injured hand","2016MIA.EVN.regular.comment.csv",51
"MIA201608080",7,"replay,1,yelic001,MIA,nelsj901,MIA02,,Y,M,MIA,A $when Dee Gordon was called safe at 2B, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",52
"MIA201608090",40,"replay,5,pradm001,MIA,nelsj901,MIA02,,Y,M,SFN,A $when Dee Gordon was called safe at 1B on a pickoff attempt, Giants manager Bruce Bochy challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",53
"MIA201608100",52,"ej,bondb001,C,blasc901,Called third strike Marlins Hitting Coach Barry Bonds ejected by HP umpire Cory Blaser","2016MIA.EVN.regular.comment.csv",54
"MIA201608120",16,"replay,2,salat001,CHA,laynj901,MIA02,,N,M,MIA,B $when Adam Eaton was ruled to have touched 2B on his way to 3B after an appeal by the Marlins, Marlins manager Don Mattingly challenged the ruling; the call was upheld by replay","2016MIA.EVN.regular.comment.csv",55
"MIA201608120",49,"replay,5,gordd002,CHA,laynj901,MIA02,,Y,M,CHA,C $when Dee Gordon was called safe at 1B, White Sox manager Robin Ventura challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",56
"MIA201608130",31,"replay,3,dietd001,MIA,laynj901,MIA02,,Y,M,MIA,A $when J.T. Realmuto was called out at 2B, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",57
"MIA201608130",56,"replay,6,eatoa002,CHA,laynj901,MIA02,,Y,M,CHA,C $when Tim Anderson was called out at HP, White Sox manager Robin Ventura challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",58
"MIA201608140",57,"replay,7,hecha001,MIA,laynj901,MIA02,,N,M,CHA,C $when Adeiny Hechavarria was called safe at 1B, White Sox manager Robin Ventura challenged the ruling; the call was upheld by replay","2016MIA.EVN.regular.comment.csv",59
"MIA201608140",59,"replay,7,suzui001,MIA,laynj901,MIA02,,N,U,,I $when Ichiro Suzuki was ruled to have been hit by a pitch, crew chief Jerry Layne requested a review; the call was upheld by replay","2016MIA.EVN.regular.comment.csv",60
"MIA201608140",74,"replay,9,salat001,CHA,laynj901,MIA02,,N,U,,P $when Carlos Sanchez was called out at HP, crew chief Jerry Layne requested a review of the collision; the call was upheld by replay with no violation of the plate blocking rule","2016MIA.EVN.regular.comment.csv",61
"MIA201608230",22,"replay,3,pradm001,MIA,hudsm901,MIA02,,N,M,KCA,A $when Dee Gordon was called safe at 1B on a pickoff attempt, Royals manager Ned Yost challenged the ruling; the call was upheld by replay","2016MIA.EVN.regular.comment.csv",62
"MIA201608230",45,"replay,6,hosme001,KCA,hudsm901,MIA02,,Y,M,MIA,A $when Lorenzo Cain was called safe at 2B, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",63
"MIA201608250",78,"replay,9,dysoj001,KCA,hudsm901,MIA02,,Y,M,KCA,C $when Jarrod Dyson was called out at 1B, Royals manager Ned Yost challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",64
"MIA201608260",74,"replay,8,rojam002,MIA,gormb901,MIA02,,Y,M,MIA,C $when Robert Andino was called out at 2B, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",65
"MIA201608280",55,"replay,7,ozunm001,MIA,gormb901,MIA02,,Y,M,SDN,C replay,7,ozunm001,MIA,gormb901,MIA02,,Y,M,SDN,B $when Marcell Ozuna was called safe at 1B, Padres manager Andy Green challenged the ruling for two reasons; Green challenged the missed tag and the fact that Ozuna did not touch the bag; the call was overturned by replay to an out on the tag","2016MIA.EVN.regular.comment.csv",66
"MIA201609050",64,"Marlins second baseman Miguel Rojas left the game due to an injured groin","2016MIA.EVN.regular.comment.csv",67
"MIA201609070",40,"replay,5,herro001,PHI,nauep901,MIA02,,Y,M,MIA,A $when Aaron Altherr was called safe at 2B, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",68
"MIA201609090",46,"$the pitch struck Ichiro Suzuki on the upper arm and caromed to HP umpire Brian Knight; the ball struck the bottom of Knight's mask at the jaw; Knight left the game and 2B umpire Bill Miller moved to HP umpchange,5,umphome,millb901 umpchange,5,ump2b,(None)","2016MIA.EVN.regular.comment.csv",69
"MIA201609100",15,"replay,3,hillr001,LAN,millb901,MIA02,,Y,M,LAN,C $when Rich Hill was called out at 1B, Dodgers manager Dave Roberts challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",70
"MIA201609110",28,"replay,4,dietd001,MIA,millb901,MIA02,,N,M,LAN,C $when Derek Dietrich was called safe at 1B, Dodgers manager Dave Roberts challenged the ruling; the call was upheld by replay","2016MIA.EVN.regular.comment.csv",71
"MIA201609230",23,"ej,kempm001,P,hamaa901,Balls and strikes ej,snitb801,M,hamaa901,Balls and strikes $Braves left fielder Matt Kemp and Interim Manager Brian Snitker ejected by HP umpire Adam Hamari agruing balls and strikes","2016MIA.EVN.regular.comment.csv",72
"MIA201609230",73,"replay,9,bourj002,MIA,nelsj901,MIA02,,N,M,MIA,A $when Yefri Perez was called out at 2B, Marlins manager Don Mattingly challenged the ruling; the call was upheld by replay","2016MIA.EVN.regular.comment.csv",73
"MIA201609240",73,"replay,7,suzui001,MIA,nelsj901,MIA02,,N,M,ATL,A $when J. T. Realmuto was called safe at 2B, Braves interim manager Brian Snitker challenged the ruling; the call was upheld by replay","2016MIA.EVN.regular.comment.csv",74
"MIA201609260",5,"$Dee Gordon stepped into the right-handed batter's box for the first pitch to honor Jose Fernandez and moved across HP","2016MIA.EVN.regular.comment.csv",75
