"MIN201004120",0,"$First game at Target Field, Minneapolis"FILENAME_TX","LINE_NUMBER_CT"
"MIN201008210",60,"Twins pitcher Ron Mahay left the game due to an injured shoulder"2010MIN.EVA.regular.comment.csv",36

"MIN201008220",62,"Debut game for Jordan Walden"2010MIN.EVA.regular.comment.csv",37

"MIN201009020",13,"replay,2,jacka001,DET,westj901,MIN04,O,N,I,,H $Austin Jackson's fly hit the top of the wall in left center and caromed back onto the field; left fielder Delmon Young played it as if it were a home run and there was no play at third on Jackson; the ball was ruled in play; Tigers manager Jim Leyland asked about the ruling so crew chief Joe West watched the replay and upheld the call"2010MIN.EVA.regular.comment.csv",38

"MIN201009020",21,"Twins pitcher Scott Baker left the game due to an injured elbow"2010MIN.EVA.regular.comment.csv",39

"MIN201009020",47,"second baseman dropped throw at second and runner continued to third"2010MIN.EVA.regular.comment.csv",40

"MIN201009020",54,"Tigers first baseman Miguel Cabrera left the game due to an injured shoulder"2010MIN.EVA.regular.comment.csv",41

"MIN201009020",60,"ej,gardr001,M,westj901,Call at 2B $Twins second baseman Alexi Casilla took the throw and appeared to be pulling the ball out of his glove when he dropped it; 2B umpire Joe West called Austin Jackson safe at second on the play; Twins Manager Ron Gardenhire vehemently argued the ruling and was ejected by West"2010MIN.EVA.regular.comment.csv",42

"MIN201009030",1,"Debut game for Matt Fox"2010MIN.EVA.regular.comment.csv",43

"MIN201009030",58,"Twins third baseman Danny Valencia left the game due to an injured leg"2010MIN.EVA.regular.comment.csv",44

"MIN201009030",67,"Rangers designated hitter Josh Hamilton left the game due to an injured back"2010MIN.EVA.regular.comment.csv",45

"MIN201009040",30,"Rangers shortstop Elvis Andrus left the game due to an injured leg"2010MIN.EVA.regular.comment.csv",46

"MIN201009040",35,"$Jim Thome's 584th career homer to pass Mark McGwire for ninth place"2010MIN.EVA.regular.comment.csv",47

"MIN201009040",75,"Debut game for Rob Delaney"2010MIN.EVA.regular.comment.csv",48

"MIN201009050",77,"$Michael Young rounded 3B on the grounder up the middle; Orlando Hudson threw behind Young at 3B; as Young rounded the bag, he appeared to make contact with 3B coach Dave Anderson's extended arm; Young was called out due to the coach's interference"2010MIN.EVA.regular.comment.csv",49

"MIN201009070",21,"Royals first baseman Billy Butler left the game due to an injured hand"2010MIN.EVA.regular.comment.csv",50

"MIN201009070",59,"$Jim Thome's 586th homer to tie Frank Robinson for eighth place"2010MIN.EVA.regular.comment.csv",51

"MIN201009070",68,"Debut game for Ben Revere"2010MIN.EVA.regular.comment.csv",52

"MIN201009070",78,"Debut game for Jarrod Dyson"2010MIN.EVA.regular.comment.csv",53

"MIN201009180",42,"DWS: last two plays really one, but must be split for now"2010MIN.EVA.regular.comment.csv",54

"MIN201009190",32,"ej,gardr001,M,hirsj901,Call on fly ball $center fielder Rajai Davis caught and dropped the ball; the play was ruled no catch, so Delmon Young ran to second; 2B umpire John Hirschbeck then ruled that it was a catch; since the Athletics tagged Young, he was out as well; Twins Manager Ron Gardenhire argued the decision for a while and was ejected by Hirschbeck"2010MIN.EVA.regular.comment.csv",55

"MIN201009190",53,"Twins catcher Joe Mauer left the game due to an injured knee"2010MIN.EVA.regular.comment.csv",56

"MIN201009200",63,"Indians shortstop Asdrubal Cabrera left the game due to an injured hand"2010MIN.EVA.regular.comment.csv",57

"MIN201010030",13,"Twins Jason Kubel left the game due to an injured foot"2010MIN.EVA.regular.comment.csv",58

