"KCA201204130",41,"Royals pitcher Luke Hochevar left the game due to an injured ankle"FILENAME_TX","LINE_NUMBER_CT"
"KCA201207170",66,"Mariners pitcher Charlie Furbush left the game due to an injured arm"2012KCA.EVA.regular.comment.csv",20

"KCA201207200",64,"Twins right fielder Trevor Plouffe left the game due to an injured hand"2012KCA.EVA.regular.comment.csv",21

"KCA201207220",60,"$Chris Getz and Royals manager Ned Yost argued the call with 2B umpire D.J. Reyburn"2012KCA.EVA.regular.comment.csv",22

"KCA201207220",72,"ej,escoa003,P.reybd901,Call at 2B ej,yoste001,M,reybd901,Call at 2B $Royals shortstop Alcides Escobar made a comment to 2B umpire D.J. Reyburn with teammate Brayan Pena acting as translator; when Escobar pointed at 2B, he was ejected by Reyburn; Royals manager Ned Yost ran onto the field and argued with Reyburn; the animated Yost was ejected by Reyburn and then made a motion as if to eject Reyburn"2012KCA.EVA.regular.comment.csv",23

"KCA201208010",31,"replay,4,santc002,CLE,welkt901,KAN06,O,N,I,,H $Carlos Santana's fly ball hit just behind the top of the padding and caromed back onto the field; it was ruled a home run but Royals manager Ned Yost asked about the call; crew chief Tim Welke watched the replay and upheld the call"2012KCA.EVA.regular.comment.csv",24

"KCA201208050",77,"Rangers shortstop Elvis Andrus left the game due to an injured shoulder"2012KCA.EVA.regular.comment.csv",25

"KCA201208160",38,"replay,6,crisc001,OAK,demud901,KAN06,O,Y,I,,H $Coco Crisp's fly hit behind the green wall and caromed back onto the field; it was ruled in play but the Athletics asked about the call; crew chief Dana DeMuth watched the replay and overturned the call to a home run"2012KCA.EVA.regular.comment.csv",26

"KCA201208170",39,"Royals second baseman Chris Getz left the game due to an injured hand"2012KCA.EVA.regular.comment.csv",27

"KCA201208180",63,"$originally scored as E5, changed to single on 8-22-2012"2012KCA.EVA.regular.comment.csv",28

"KCA201208180",67,"Adam Dunn's 400th home run"2012KCA.EVA.regular.comment.csv",29

"KCA201208190",50,"$originally scored as a single, changed to E6 on 8-22-2012"2012KCA.EVA.regular.comment.csv",30

"KCA201208280",89,"replay,9,yound003,DET,barrt901,KAN06,F,N,I,,H $Delmon Young's fly ball on the first pitch of his at bat went just to the right of the RF pole and was ruled a foul ball; acting crew chief Ted Barrett watched the replay and upheld the call; Young made an out on the next pitch to end the game"2012KCA.EVA.regular.comment.csv",31

"KCA201209220",49,"$originally scored as fielder's choice, changed to error on 9-28-2012, makes three runs unearned"2012KCA.EVA.regular.comment.csv",32

