"SEA198504090",17,"$Don Hill called for interference for running into own batted ball","FILENAME_TX","LINE_NUMBER_CT"
"SEA198506240",71,"$Larry Parrish injured on the play","1985SEA.EVA.regular.comment.csv",31
"SEA198506260",1,"Debut game for Bob Sebra","1985SEA.EVA.regular.comment.csv",32
"SEA198506260",61,"ej,valeb102,M,mcclt901,Balls and strikes $Rangers manager Valentine ejected by HP umpire McClelland while Bradley was at bat","1985SEA.EVA.regular.comment.csv",33
"SEA198506300",23,"$Roy Smith injured when hit by line drive","1985SEA.EVA.regular.comment.csv",34
"SEA198507050",86,"$errant pickoff hit 1B umpire Rocky Roe","1985SEA.EVA.regular.comment.csv",35
"SEA198507060",22,"$Spike Owen hurt ankle on attempted pickoff","1985SEA.EVA.regular.comment.csv",36
"SEA198507070",35,"$Paul Molitor caught off 2B after play at 1B","1985SEA.EVA.regular.comment.csv",37
"SEA198507080",35,"$Tony Fernandez called for interference for running out of baseline","1985SEA.EVA.regular.comment.csv",38
"SEA198507080",44,"ej,cox-b103,M,younl901,Call at 1B Blue Jays manager Bobby Cox ejected by 1B umpire Larry Young","1985SEA.EVA.regular.comment.csv",39
"SEA198507080",56,"ej,cottc101,M,mcclt901,Balls and strikes Mariners manager Chuck Cottier ejected by HP umpire Tim McClelland","1985SEA.EVA.regular.comment.csv",40
"SEA198507090",29,"$Buck Martinez broke ankle on collision at HP with Phil Bradley; Gorman Thomas ran to 3B on throw home; Martinez (on ground) threw into LF; George Bell threw home and Martinez made catch and tag while seated; HP umpire yelled at Martinez to show him the ball before calling out Thomas","1985SEA.EVA.regular.comment.csv",41
"SEA198507110",53,"$Jim Rice missed diving catch","1985SEA.EVA.regular.comment.csv",42
"SEA198507120",26,"$fan interference","1985SEA.EVA.regular.comment.csv",43
"SEA198507130",76,"$Domingo Ramos missed bag on force at 2B","1985SEA.EVA.regular.comment.csv",44
"SEA198507140",47,"$Spike Owen pulled hamstring on steal attempt","1985SEA.EVA.regular.comment.csv",45
"SEA198507310",45,"ej,puckk001,P,cobld901,Called strike 3 $Puckett ejected by HP umpire Coble for arguing called strike 3","1985SEA.EVA.regular.comment.csv",46
"SEA198508122",37,"ej,regap101,C,cousd901,Involved in brawl $Rod Carew, who had been hit by pitcher Ed Vande Berg in April, exchange words with Vande Berg after reaching 1B; Carew started towards the mound but was restrained by Angels 1B coach Bobby Knoop; both benches cleared; after things settled down, Mariners pitcing coach Phil Regan got angry at something said by HP umpire Derryl Cousins and started after Cousins; Regan was restrained by the other umpires; Regan ejected by Cousins","1985SEA.EVA.regular.comment.csv",47
"SEA198508220",28,"ej,ripkc801,C,fordd901,Balls and strikes $Orioles coach Ripken ejected by HP umpire Ford for balls and strikes while Ripken was at bat","1985SEA.EVA.regular.comment.csv",48
"SEA198509140",31,"$Dave Henderson trapped the ball","1985SEA.EVA.regular.comment.csv",49
"SEA198509260",0,"$Dave Valle removed after being hit by a foul ball on the wrist sometime in first","1985SEA.EVA.regular.comment.csv",50
