"TEX200804101",0,"$Debut for umpire Shawn Rakos","FILENAME_TX","LINE_NUMBER_CT"
"TEX200807080",1,"Debut game for Matt Harrison","2008TEX.EVA.regular.comment.csv",31
"TEX200807100",72,"ej,washr001,M,reilm901,Home run non-call $Texas manager Washington ejected by 2B umpire Reilly for arguing that ball hit by Davis was home run","2008TEX.EVA.regular.comment.csv",32
"TEX200807120",33,"White Sox catcher A. J. Pierzynski left the game due to an injured foot/ankle","2008TEX.EVA.regular.comment.csv",33
"TEX200807280",20,"Rangers shortstop Michael Young left the game due to an injured hand/wrist","2008TEX.EVA.regular.comment.csv",34
"TEX200807290",81,"Rangers designated hitter Milton Bradley left the game due to an injured leg","2008TEX.EVA.regular.comment.csv",35
"TEX200807300",69,"ej,rhoda001,P,nauep901,Balls and strikes Mariners pitcher Arthur Rhodes ejected by HP umpire Paul Nauert for yelling about the strike zone as he left the game; Rhodes was upset about a couple of pitches as he walked three consecutive batters","2008TEX.EVA.regular.comment.csv",36
"TEX200808010",1,"Debut game for Tommy Hunter","2008TEX.EVA.regular.comment.csv",37
"TEX200808010",3,"$1bman Davis fielded ball near line and tried to tag batter; pitcher Hunter, covering 1st, got between the two and was called for obstruction; play was scored same as catcher's interference","2008TEX.EVA.regular.comment.csv",38
"TEX200808010",60,"ej,carlj001,P,campa902,Balls and strikes $Pitcher Carlson ejected by HP umpire Campos for arguing balls and strikes after he was removed from game","2008TEX.EVA.regular.comment.csv",39
"TEX200808040",41,"ej,washr001,M,marqa901,Balk call Rangers Manager Ron Washington ejected by 1B umpire Alfonso Marquez","2008TEX.EVA.regular.comment.csv",40
"TEX200808040",48,"New York Yankees pitcher Joba Chamberlain left the game due to an injured shoulder","2008TEX.EVA.regular.comment.csv",41
"TEX200808060",16,"$David Murphy ran into Ivan Rodriguez at the plate and both players went down after their knees hit together","2008TEX.EVA.regular.comment.csv",42
"TEX200808060",17,"$Yankees catcher Ivan Rodriguez left the game due to an injured knee","2008TEX.EVA.regular.comment.csv",43
"TEX200808060",28,"$Rangers David Murphy left the game due to an injured knee; expected to miss two to four weeks with a strained knee ligament","2008TEX.EVA.regular.comment.csv",44
"TEX200808070",67,"$high hopper and Cano went back to first; throw went to first to retire batter, but chance at double play was lost","2008TEX.EVA.regular.comment.csv",45
"TEX200808150",44,"Rangers center fielder Marlon Byrd left the game due to an injured elbow","2008TEX.EVA.regular.comment.csv",46
"TEX200808170",79,"$Bases loaded intentional walk","2008TEX.EVA.regular.comment.csv",47
"TEX200808190",65,"Rangers designated hitter Milton Bradley left the game due to an injured knee","2008TEX.EVA.regular.comment.csv",48
"TEX200809010",39,"Rangers catcher Jarrod Saltalamacchia left the game due to an injured elbow","2008TEX.EVA.regular.comment.csv",49
"TEX200809010",90,"Debut game for Justin Thomas","2008TEX.EVA.regular.comment.csv",50
"TEX200809020",74,"Debut game for Luis Valbuena","2008TEX.EVA.regular.comment.csv",51
"TEX200809150",2,"Rangers pitcher Brandon McCarthy left the game due to an injured hand/wrist","2008TEX.EVA.regular.comment.csv",52
"TEX200809150",52,"ej,leylj801,M,coope901,Arguing HBP call $the pitch was originally called a foul ball; Rangers manager Ron Washington argued the call and HP umpire Eric Cooper consulted with 1B umpire Angel Hernandez then changed the call to hit by pitch; Tigers manager Jim Leyland came out to argue with Cooper and then returned to the dugout; once in the dugout, Leyland was ejected by Cooper; after the game, Leyland said that the umpires got the call right but was upset at how long it took for Cooper to ask Hernandez about it","2008TEX.EVA.regular.comment.csv",53
"TEX200809170",35,"Rangers shortstop Michael Young left the game due to an injured hand/wrist","2008TEX.EVA.regular.comment.csv",54
"TEX200809170",76,"Debut game for Brian Gordon","2008TEX.EVA.regular.comment.csv",55
"TEX200809190",38,"Rangers shortstop Michael Young left the game due to an injured hand/wrist","2008TEX.EVA.regular.comment.csv",56
"TEX200809190",72,"Rangers pitcher Kameron Loe left the game due to an injured arm","2008TEX.EVA.regular.comment.csv",57
"TEX200809200",55,"$Rangers Ramon Vazquez was furious with HP umpire Tom Hallion and had to be dragged away by teammate Milton Bradley","2008TEX.EVA.regular.comment.csv",58
"TEX200809200",66,"ej,washr001,M,hallt901,Balls and strikes ej,vazqr001,P,hallt901,Balls and strikes $Rangers Ramon Vazquez continued to yell at HP umpire Tom Hallion from the bench after German Duran was called out on strikes; Vazquez was ejected by Hallion; Rangers manager Ron Washington went out to protect his player and was also ejected by Hallion after exchanging words","2008TEX.EVA.regular.comment.csv",59
"TEX200809220",65,"ej,byrdm001,P,hohnb901,Balls and strikes $Byrd ejected by HP umpire Hohn after striking out","2008TEX.EVA.regular.comment.csv",60
