"SFN201904050",6,"Mound Visit"FILENAME_TX","LINE_NUMBER_CT"
"SFN201904100",52,"Mound Visit"2019SFN.EVN.regular.comment.csv",39

"SFN201904100",57,"$Padres challenged call that Sandoval was safe at 2nd; call was upheld - double"2019SFN.EVN.regular.comment.csv",40

"SFN201904100",57,"Mound Visit"2019SFN.EVN.regular.comment.csv",41

"SFN201904100",68,"Mound Visit"2019SFN.EVN.regular.comment.csv",42

"SFN201904110",44,"Mound Visit"2019SFN.EVN.regular.comment.csv",43

"SFN201904110",45,"Mound Visit"2019SFN.EVN.regular.comment.csv",44

"SFN201904110",59,"Mound Visit"2019SFN.EVN.regular.comment.csv",45

"SFN201904110",61,"Mound Visit"2019SFN.EVN.regular.comment.csv",46

"SFN201904120",26,"Mound Visit"2019SFN.EVN.regular.comment.csv",47

"SFN201904120",46,"Mound Visit"2019SFN.EVN.regular.comment.csv",48

"SFN201904120",47,"Mound Visit"2019SFN.EVN.regular.comment.csv",49

"SFN201904120",48,"Mound Visit"2019SFN.EVN.regular.comment.csv",50

"SFN201904120",51,"On-field Delay"2019SFN.EVN.regular.comment.csv",51

"SFN201904120",53,"Mound Visit"2019SFN.EVN.regular.comment.csv",52

"SFN201904120",60,"Mound Visit"2019SFN.EVN.regular.comment.csv",53

"SFN201904120",82,"Mound Visit"2019SFN.EVN.regular.comment.csv",54

"SFN201904120",94,"Mound Visit"2019SFN.EVN.regular.comment.csv",55

"SFN201904120",115,"Injury Delay"2019SFN.EVN.regular.comment.csv",56

"SFN201904120",135,"$Rockies challenged call that Belt was safe at home; call was upheld - safe on fielder's choice as catcher's foot was not on the plate"2019SFN.EVN.regular.comment.csv",57

"SFN201904130",31,"Mound Visit"2019SFN.EVN.regular.comment.csv",58

"SFN201904130",64,"Mound Visit"2019SFN.EVN.regular.comment.csv",59

"SFN201904140",33,"Mound Visit"2019SFN.EVN.regular.comment.csv",60

"SFN201904260",4,"Mound Visit"2019SFN.EVN.regular.comment.csv",61

"SFN201904260",12,"Mound Visit"2019SFN.EVN.regular.comment.csv",62

"SFN201904260",47,"Mound Visit"2019SFN.EVN.regular.comment.csv",63

"SFN201904260",53,"Mound Visit"2019SFN.EVN.regular.comment.csv",64

"SFN201904260",63,"Mound Visit Mound Visit"2019SFN.EVN.regular.comment.csv",65

"SFN201904260",64,"Mound Visit"2019SFN.EVN.regular.comment.csv",66

"SFN201904260",74,"Mound Visit"2019SFN.EVN.regular.comment.csv",67

"SFN201904270",23,"Mound Visit"2019SFN.EVN.regular.comment.csv",68

"SFN201904270",27,"Mound Visit"2019SFN.EVN.regular.comment.csv",69

"SFN201904270",36,"Mound Visit"2019SFN.EVN.regular.comment.csv",70

"SFN201904270",60,"Mound Visit"2019SFN.EVN.regular.comment.csv",71

"SFN201904270",72,"Mound Visit"2019SFN.EVN.regular.comment.csv",72

"SFN201904270",74,"Mound Visit"2019SFN.EVN.regular.comment.csv",73

"SFN201904280",4,"Mound Visit"2019SFN.EVN.regular.comment.csv",74

"SFN201904280",14,"Mound Visit"2019SFN.EVN.regular.comment.csv",75

"SFN201904280",23,"Mound Visit"2019SFN.EVN.regular.comment.csv",76

"SFN201904280",25,"$LeMahieu left with an injured knee"2019SFN.EVN.regular.comment.csv",77

"SFN201904280",31,"Mound Visit"2019SFN.EVN.regular.comment.csv",78

"SFN201904280",39,"Injury Delay $Giants challenged call that Urshela was hit by pitch; call was upheld - hit by pitch"2019SFN.EVN.regular.comment.csv",79

"SFN201904280",39,"$Urshela left with an injured hand"2019SFN.EVN.regular.comment.csv",80

"SFN201904280",50,"Mound Visit"2019SFN.EVN.regular.comment.csv",81

"SFN201904280",56,"Mound Visit"2019SFN.EVN.regular.comment.csv",82

"SFN201904280",59,"Mound Visit"2019SFN.EVN.regular.comment.csv",83

"SFN201904290",35,"Mound Visit"2019SFN.EVN.regular.comment.csv",84

"SFN201904290",43,"Mound Visit"2019SFN.EVN.regular.comment.csv",85

"SFN201904290",44,"Mound Visit"2019SFN.EVN.regular.comment.csv",86

"SFN201904290",46,"Mound Visit"2019SFN.EVN.regular.comment.csv",87

"SFN201904290",46,"On-field Delay"2019SFN.EVN.regular.comment.csv",88

"SFN201904290",57,"Mound Visit"2019SFN.EVN.regular.comment.csv",89

"SFN201904290",58,"Mound Visit"2019SFN.EVN.regular.comment.csv",90

"SFN201904290",67,"Mound Visit"2019SFN.EVN.regular.comment.csv",91

"SFN201904290",70,"Mound Visit"2019SFN.EVN.regular.comment.csv",92

"SFN201904300",42,"Mound Visit"2019SFN.EVN.regular.comment.csv",93

"SFN201904300",43,"Mound Visit"2019SFN.EVN.regular.comment.csv",94

"SFN201904300",51,"Mound Visit"2019SFN.EVN.regular.comment.csv",95

"SFN201904300",70,"Mound Visit"2019SFN.EVN.regular.comment.csv",96

"SFN201905010",24,"Mound Visit"2019SFN.EVN.regular.comment.csv",97

"SFN201905010",36,"Mound Visit"2019SFN.EVN.regular.comment.csv",98

"SFN201905010",53,"ej,bochb001,M,timmt901,Arguing called strike 3 $Giants manager Bochy ejected by HP umpire Timmons for arguing called 3rd strike"2019SFN.EVN.regular.comment.csv",99

"SFN201905010",64,"Mound Visit Mound Visit"2019SFN.EVN.regular.comment.csv",100

"SFN201905010",68,"Mound Visit"2019SFN.EVN.regular.comment.csv",101

"SFN201905010",69,"Mound Visit"2019SFN.EVN.regular.comment.csv",102

"SFN201905100",6,"Mound Visit"2019SFN.EVN.regular.comment.csv",103

"SFN201905100",13,"$Reds challenged call that Iglesias was out at 1st to complete double play; call was overturned - safe return to 1st"2019SFN.EVN.regular.comment.csv",104

"SFN201905100",15,"Mound Visit"2019SFN.EVN.regular.comment.csv",105

"SFN201905100",16,"Mound Visit"2019SFN.EVN.regular.comment.csv",106

"SFN201905100",17,"On-field Delay $Fan interference"2019SFN.EVN.regular.comment.csv",107

"SFN201905100",30,"On-field Delay"2019SFN.EVN.regular.comment.csv",108

"SFN201905100",48,"Mound Visit"2019SFN.EVN.regular.comment.csv",109

"SFN201905100",64,"Mound Visit"2019SFN.EVN.regular.comment.csv",110

"SFN201905100",78,"Mound Visit"2019SFN.EVN.regular.comment.csv",111

"SFN201905110",11,"Mound Visit"2019SFN.EVN.regular.comment.csv",112

"SFN201905110",56,"Injury Delay"2019SFN.EVN.regular.comment.csv",113

"SFN201905110",58,"Mound Visit"2019SFN.EVN.regular.comment.csv",114

"SFN201905110",59,"$Giants challenged call that Duggar was out at 3rd; call was upheld - caught stealing"2019SFN.EVN.regular.comment.csv",115

"SFN201905120",7,"$Run scored by Suarez originally unearned, changed to earned on 05-13-2019"2019SFN.EVN.regular.comment.csv",116

"SFN201905120",58,"Mound Visit"2019SFN.EVN.regular.comment.csv",117

"SFN201905120",61,"Injury Delay"2019SFN.EVN.regular.comment.csv",118

"SFN201905120",63,"Mound Visit Mound Visit"2019SFN.EVN.regular.comment.csv",119

"SFN201905120",65,"Mound Visit"2019SFN.EVN.regular.comment.csv",120

"SFN201905140",5,"$Blue Jays challenged call that ball hit by Galvis was foul; call was overturned - double"2019SFN.EVN.regular.comment.csv",121

"SFN201905140",6,"Mound Visit"2019SFN.EVN.regular.comment.csv",122

"SFN201905140",17,"Mound Visit"2019SFN.EVN.regular.comment.csv",123

"SFN201905140",35,"Mound Visit"2019SFN.EVN.regular.comment.csv",124

"SFN201905140",59,"Mound Visit"2019SFN.EVN.regular.comment.csv",125

"SFN201905140",63,"Mound Visit"2019SFN.EVN.regular.comment.csv",126

"SFN201905140",73,"Mound Visit"2019SFN.EVN.regular.comment.csv",127

"SFN201905140",74,"Mound Visit"2019SFN.EVN.regular.comment.csv",128

"SFN201905140",76,"Mound Visit"2019SFN.EVN.regular.comment.csv",129

"SFN201905150",18,"Mound Visit"2019SFN.EVN.regular.comment.csv",130

"SFN201905150",25,"Mound Visit"2019SFN.EVN.regular.comment.csv",131

"SFN201905150",41,"Mound Visit"2019SFN.EVN.regular.comment.csv",132

"SFN201905150",60,"Mound Visit"2019SFN.EVN.regular.comment.csv",133

"SFN201905200",57,"Mound Visit"2019SFN.EVN.regular.comment.csv",134

"SFN201905210",20,"Mound Visit"2019SFN.EVN.regular.comment.csv",135

"SFN201905210",40,"Mound Visit"2019SFN.EVN.regular.comment.csv",136

"SFN201905210",44,"Mound Visit"2019SFN.EVN.regular.comment.csv",137

"SFN201905210",49,"Mound Visit"2019SFN.EVN.regular.comment.csv",138

"SFN201905210",54,"Mound Visit"2019SFN.EVN.regular.comment.csv",139

"SFN201905210",58,"Mound Visit"2019SFN.EVN.regular.comment.csv",140

"SFN201905210",70,"$Giants challenged call that Acuna was safe at 2nd; call was overturned - caught stealing"2019SFN.EVN.regular.comment.csv",141

"SFN201905210",75,"Mound Visit"2019SFN.EVN.regular.comment.csv",142

"SFN201905210",77,"Mound Visit"2019SFN.EVN.regular.comment.csv",143

"SFN201905210",80,"Mound Visit"2019SFN.EVN.regular.comment.csv",144

"SFN201905220",31,"Mound Visit"2019SFN.EVN.regular.comment.csv",145

"SFN201905220",48,"Mound Visit"2019SFN.EVN.regular.comment.csv",146

"SFN201905230",46,"Mound Visit"2019SFN.EVN.regular.comment.csv",147

"SFN201905230",61,"Mound Visit"2019SFN.EVN.regular.comment.csv",148

"SFN201905230",65,"Mound Visit"2019SFN.EVN.regular.comment.csv",149

"SFN201905230",75,"Mound Visit"2019SFN.EVN.regular.comment.csv",150

"SFN201905230",103,"Mound Visit"2019SFN.EVN.regular.comment.csv",151

"SFN201905240",18,"Mound Visit Injury Delay"2019SFN.EVN.regular.comment.csv",152

"SFN201905240",26,"Mound Visit"2019SFN.EVN.regular.comment.csv",153

"SFN201905240",29,"Mound Visit"2019SFN.EVN.regular.comment.csv",154

"SFN201905240",37,"Mound Visit"2019SFN.EVN.regular.comment.csv",155

"SFN201905240",38,"Mound Visit"2019SFN.EVN.regular.comment.csv",156

"SFN201905240",63,"Mound Visit"2019SFN.EVN.regular.comment.csv",157

"SFN201905250",6,"$Diamondbacks challenged call that Pillar caught ball and also challenged call that double play was completed before run scored; call on catch was upheld, but call on run was overturned - double play sacrifice fly scoring run"2019SFN.EVN.regular.comment.csv",158

"SFN201905250",20,"$originally scored as single, changed to error on 06-03-2019, removing RBI and making run unearned"2019SFN.EVN.regular.comment.csv",159

"SFN201905250",23,"Mound Visit"2019SFN.EVN.regular.comment.csv",160

"SFN201905250",33,"Mound Visit"2019SFN.EVN.regular.comment.csv",161

"SFN201905250",35,"Mound Visit"2019SFN.EVN.regular.comment.csv",162

"SFN201905250",44,"Mound Visit"2019SFN.EVN.regular.comment.csv",163

"SFN201905250",45,"Mound Visit"2019SFN.EVN.regular.comment.csv",164

"SFN201905250",64,"Injury Delay"2019SFN.EVN.regular.comment.csv",165

"SFN201905250",65,"Mound Visit"2019SFN.EVN.regular.comment.csv",166

"SFN201905250",65,"Mound Visit"2019SFN.EVN.regular.comment.csv",167

"SFN201905250",67,"Mound Visit"2019SFN.EVN.regular.comment.csv",168

"SFN201905250",86,"Mound Visit"2019SFN.EVN.regular.comment.csv",169

"SFN201905260",10,"Mound Visit"2019SFN.EVN.regular.comment.csv",170

"SFN201905260",18,"Mound Visit"2019SFN.EVN.regular.comment.csv",171

"SFN201905260",36,"Mound Visit"2019SFN.EVN.regular.comment.csv",172

"SFN201905260",39,"Mound Visit"2019SFN.EVN.regular.comment.csv",173

"SFN201905260",51,"Injury Delay"2019SFN.EVN.regular.comment.csv",174

"SFN201905260",51,"$Weaver left with injured arm"2019SFN.EVN.regular.comment.csv",175

"SFN201905260",63,"Mound Visit"2019SFN.EVN.regular.comment.csv",176

"SFN201905260",64,"Mound Visit"2019SFN.EVN.regular.comment.csv",177

"SFN201905260",77,"Mound Visit"2019SFN.EVN.regular.comment.csv",178

"SFN201905260",78,"Mound Visit"2019SFN.EVN.regular.comment.csv",179

"SFN201906070",50,"Injury Delay"2019SFN.EVN.regular.comment.csv",180

"SFN201906080",1,"Injury Delay"2019SFN.EVN.regular.comment.csv",181

"SFN201906080",5,"Mound Visit"2019SFN.EVN.regular.comment.csv",182

"SFN201906080",35,"Mound Visit"2019SFN.EVN.regular.comment.csv",183

"SFN201906080",43,"Mound Visit"2019SFN.EVN.regular.comment.csv",184

"SFN201906080",47,"Mound Visit"2019SFN.EVN.regular.comment.csv",185

"SFN201906080",53,"Mound Visit $Giants challenged call that Pedersen was hit by pitch; call was upheld - hit by pitch"2019SFN.EVN.regular.comment.csv",186

"SFN201906080",54,"Mound Visit"2019SFN.EVN.regular.comment.csv",187

"SFN201906080",68,"Mound Visit"2019SFN.EVN.regular.comment.csv",188

"SFN201906080",74,"Mound Visit Mound Visit"2019SFN.EVN.regular.comment.csv",189

"SFN201906080",75,"Mound Visit"2019SFN.EVN.regular.comment.csv",190

"SFN201906090",2,"On-field Delay"2019SFN.EVN.regular.comment.csv",191

"SFN201906090",51,"Mound Visit"2019SFN.EVN.regular.comment.csv",192

"SFN201906090",54,"$Originally scored as throwing error on 3bman, changed to single on 06-21-2019"2019SFN.EVN.regular.comment.csv",193

"SFN201906090",59,"Mound Visit"2019SFN.EVN.regular.comment.csv",194

"SFN201906110",4,"Mound Visit"2019SFN.EVN.regular.comment.csv",195

"SFN201906110",37,"Mound Visit"2019SFN.EVN.regular.comment.csv",196

"SFN201906110",38,"Mound Visit"2019SFN.EVN.regular.comment.csv",197

"SFN201906110",40,"Mound Visit"2019SFN.EVN.regular.comment.csv",198

"SFN201906110",52,"Mound Visit"2019SFN.EVN.regular.comment.csv",199

"SFN201906110",61,"Mound Visit"2019SFN.EVN.regular.comment.csv",200

"SFN201906110",63,"Mound Visit"2019SFN.EVN.regular.comment.csv",201

"SFN201906120",2,"$Umpire review of ball hit by Naylor; call was upheld - double"2019SFN.EVN.regular.comment.csv",202

"SFN201906120",34,"On-field Delay"2019SFN.EVN.regular.comment.csv",203

"SFN201906120",41,"Mound Visit"2019SFN.EVN.regular.comment.csv",204

"SFN201906120",56,"Mound Visit"2019SFN.EVN.regular.comment.csv",205

"SFN201906120",67,"$originally scored E6, changed to single on 06-13-2019"2019SFN.EVN.regular.comment.csv",206

"SFN201906120",67,"Mound Visit"2019SFN.EVN.regular.comment.csv",207

"SFN201906140",9,"$Brewers challenged call that Moustakas was out at 1st; call was overturned - force out, no double play"2019SFN.EVN.regular.comment.csv",208

"SFN201906140",40,"Mound Visit"2019SFN.EVN.regular.comment.csv",209

"SFN201906140",49,"Mound Visit"2019SFN.EVN.regular.comment.csv",210

"SFN201906140",55,"$Brewers challenged call that Crawford was safe at 1st; call was overturned - out to complete double play"2019SFN.EVN.regular.comment.csv",211

"SFN201906140",57,"Mound Visit"2019SFN.EVN.regular.comment.csv",212

"SFN201906140",60,"Mound Visit"2019SFN.EVN.regular.comment.csv",213

"SFN201906140",62,"On-field Delay $Brewers challenged call that Pillar was safe 2nd; call was upheld - stolen base"2019SFN.EVN.regular.comment.csv",214

"SFN201906140",69,"Mound Visit"2019SFN.EVN.regular.comment.csv",215

"SFN201906140",79,"Mound Visit"2019SFN.EVN.regular.comment.csv",216

"SFN201906150",41,"Mound Visit"2019SFN.EVN.regular.comment.csv",217

"SFN201906150",42,"Mound Visit"2019SFN.EVN.regular.comment.csv",218

"SFN201906150",43,"Mound Visit"2019SFN.EVN.regular.comment.csv",219

"SFN201906150",61,"Mound Visit"2019SFN.EVN.regular.comment.csv",220

"SFN201906150",77,"Mound Visit"2019SFN.EVN.regular.comment.csv",221

"SFN201906160",22,"Mound Visit"2019SFN.EVN.regular.comment.csv",222

"SFN201906160",27,"$Brewers challenged call that Thames was out at 2nd; call was overturned - stolen base"2019SFN.EVN.regular.comment.csv",223

"SFN201906160",47,"Injury Delay Mound Visit Mound Visit"2019SFN.EVN.regular.comment.csv",224

"SFN201906240",42,"Mound Visit"2019SFN.EVN.regular.comment.csv",225

"SFN201906240",58,"$Giants challenged call that Panik was out at home; call was upheld - out"2019SFN.EVN.regular.comment.csv",226

"SFN201906250",20,"Mound Visit"2019SFN.EVN.regular.comment.csv",227

"SFN201906250",32,"Mound Visit"2019SFN.EVN.regular.comment.csv",228

"SFN201906260",9,"Mound Visit"2019SFN.EVN.regular.comment.csv",229

"SFN201906260",23,"Mound Visit"2019SFN.EVN.regular.comment.csv",230

"SFN201906260",48,"Mound Visit"2019SFN.EVN.regular.comment.csv",231

"SFN201906260",62,"Mound Visit"2019SFN.EVN.regular.comment.csv",232

"SFN201906270",40,"Mound Visit"2019SFN.EVN.regular.comment.csv",233

"SFN201906270",44,"Mound Visit"2019SFN.EVN.regular.comment.csv",234

"SFN201906270",53,"Mound Visit"2019SFN.EVN.regular.comment.csv",235

"SFN201906270",64,"Mound Visit"2019SFN.EVN.regular.comment.csv",236

"SFN201906280",22,"$Umpire review of Posey's hit; call was overturned - double, not homer"2019SFN.EVN.regular.comment.csv",237

"SFN201906280",27,"Mound Visit"2019SFN.EVN.regular.comment.csv",238

"SFN201906280",31,"$Giants challenged call that Crawford was out at 1st; call was overturned - single"2019SFN.EVN.regular.comment.csv",239

"SFN201906280",42,"Mound Visit"2019SFN.EVN.regular.comment.csv",240

"SFN201906280",47,"Mound Visit"2019SFN.EVN.regular.comment.csv",241

"SFN201906280",54,"Mound Visit"2019SFN.EVN.regular.comment.csv",242

"SFN201906280",64,"Mound Visit $Giants challenged call that Dickerson was out at 2nd; call was overturned - force out"2019SFN.EVN.regular.comment.csv",243

"SFN201906280",76,"Mound Visit"2019SFN.EVN.regular.comment.csv",244

"SFN201906290",28,"Mound Visit"2019SFN.EVN.regular.comment.csv",245

"SFN201906290",36,"Mound Visit"2019SFN.EVN.regular.comment.csv",246

"SFN201906290",60,"Mound Visit"2019SFN.EVN.regular.comment.csv",247

"SFN201906290",62,"Mound Visit"2019SFN.EVN.regular.comment.csv",248

"SFN201906290",66,"Mound Visit"2019SFN.EVN.regular.comment.csv",249

"SFN201906290",72,"Mound Visit"2019SFN.EVN.regular.comment.csv",250

"SFN201906290",73,"Mound Visit"2019SFN.EVN.regular.comment.csv",251

"SFN201906300",22,"Mound Visit"2019SFN.EVN.regular.comment.csv",252

"SFN201906300",36,"ej,lovut001,M,muchm901,Called third strike $Arizona manager Lovullo ejected by HP umpire Muchlinski for arguing called third strike"2019SFN.EVN.regular.comment.csv",253

"SFN201906300",54,"Mound Visit"2019SFN.EVN.regular.comment.csv",254

"SFN201906300",55,"Mound Visit"2019SFN.EVN.regular.comment.csv",255

"SFN201906300",58,"Mound Visit"2019SFN.EVN.regular.comment.csv",256

"SFN201906300",66,"Mound Visit"2019SFN.EVN.regular.comment.csv",257

"SFN201906300",71,"Mound Visit"2019SFN.EVN.regular.comment.csv",258

"SFN201907050",11,"Mound Visit"2019SFN.EVN.regular.comment.csv",259

"SFN201907050",25,"Mound Visit"2019SFN.EVN.regular.comment.csv",260

"SFN201907050",45,"Mound Visit"2019SFN.EVN.regular.comment.csv",261

"SFN201907050",49,"Mound Visit"2019SFN.EVN.regular.comment.csv",262

"SFN201907050",59,"Mound Visit Mound Visit"2019SFN.EVN.regular.comment.csv",263

"SFN201907050",60,"Mound Visit"2019SFN.EVN.regular.comment.csv",264

"SFN201907050",79,"Mound Visit"2019SFN.EVN.regular.comment.csv",265

"SFN201907060",2,"Injury Delay $Bumgarner hit on left elbow by line drive that was deflected to the 3bman"2019SFN.EVN.regular.comment.csv",266

"SFN201907060",20,"Injury Delay"2019SFN.EVN.regular.comment.csv",267

"SFN201907060",20,"$Bumgarner left with an injured elbow"2019SFN.EVN.regular.comment.csv",268

"SFN201907060",33,"Mound Visit"2019SFN.EVN.regular.comment.csv",269

"SFN201907060",45,"On-field Delay"2019SFN.EVN.regular.comment.csv",270

"SFN201907060",45,"upmchange,6,umphome,barrl901 umpchange,6,ump2b,(None) $HP umpire Everitt hit in jaw by foul ball and left; 2B umpire Barrett went behind plate and game finished with 3 umpires"2019SFN.EVN.regular.comment.csv",271

"SFN201907060",61,"Mound Visit"2019SFN.EVN.regular.comment.csv",272

"SFN201907060",64,"Mound Visit"2019SFN.EVN.regular.comment.csv",273

"SFN201907060",66,"Mound Visit"2019SFN.EVN.regular.comment.csv",274

"SFN201907060",68,"$Wong left with an injured leg"2019SFN.EVN.regular.comment.csv",275

"SFN201907070",4,"$Cardinals challenged call that DeJong was out at 2nd; call was upheld - caught stealing"2019SFN.EVN.regular.comment.csv",276

"SFN201907070",20,"Injury Delay"2019SFN.EVN.regular.comment.csv",277

"SFN201907070",45,"Mound Visit"2019SFN.EVN.regular.comment.csv",278

"SFN201907070",49,"Mound Visit"2019SFN.EVN.regular.comment.csv",279

"SFN201907070",55,"Mound Visit"2019SFN.EVN.regular.comment.csv",280

"SFN201907180",28,"Mound Visit"2019SFN.EVN.regular.comment.csv",281

"SFN201907180",51,"Mound Visit"2019SFN.EVN.regular.comment.csv",282

"SFN201907180",52,"Mound Visit"2019SFN.EVN.regular.comment.csv",283

"SFN201907180",62,"$Mets challenged call tht Alonso was out at 1st; call was overturned - force out, not double play"2019SFN.EVN.regular.comment.csv",284

"SFN201907180",69,"Mound Visit"2019SFN.EVN.regular.comment.csv",285

"SFN201907180",94,"Mound Visit"2019SFN.EVN.regular.comment.csv",286

"SFN201907180",120,"Mound Visit"2019SFN.EVN.regular.comment.csv",287

"SFN201907180",122,"Mound Visit"2019SFN.EVN.regular.comment.csv",288

"SFN201907190",42,"Mound Visit"2019SFN.EVN.regular.comment.csv",289

"SFN201907190",55,"Mound Visit"2019SFN.EVN.regular.comment.csv",290

"SFN201907190",67,"Mound Visit"2019SFN.EVN.regular.comment.csv",291

"SFN201907200",44,"Mound Visit"2019SFN.EVN.regular.comment.csv",292

"SFN201907200",76,"Mound Visit"2019SFN.EVN.regular.comment.csv",293

"SFN201907200",81,"Mound Visit"2019SFN.EVN.regular.comment.csv",294

"SFN201907210",61,"ej,pillk001,P,rippm901,Arguing balls and strikes $Pillar ejected by HP umpire Ripperger for arguing balls and strikes during his at bat"2019SFN.EVN.regular.comment.csv",295

"SFN201907210",79,"Mound Visit"2019SFN.EVN.regular.comment.csv",296

"SFN201907210",80,"Mound Visit"2019SFN.EVN.regular.comment.csv",297

"SFN201907220",27,"Mound Visit"2019SFN.EVN.regular.comment.csv",298

"SFN201907220",40,"Mound Visit"2019SFN.EVN.regular.comment.csv",299

"SFN201907220",41,"Mound Visit"2019SFN.EVN.regular.comment.csv",300

"SFN201907220",47,"Mound Visit"2019SFN.EVN.regular.comment.csv",301

"SFN201907220",55,"Mound Visit"2019SFN.EVN.regular.comment.csv",302

"SFN201907220",64,"Mound Visit"2019SFN.EVN.regular.comment.csv",303

"SFN201907220",68,"Mound Visit"2019SFN.EVN.regular.comment.csv",304

"SFN201907220",73,"Mound Visit"2019SFN.EVN.regular.comment.csv",305

"SFN201907230",34,"Mound Visit"2019SFN.EVN.regular.comment.csv",306

"SFN201907230",50,"Mound Visit"2019SFN.EVN.regular.comment.csv",307

"SFN201907230",59,"Mound Visit Mound Visit"2019SFN.EVN.regular.comment.csv",308

"SFN201907230",61,"Mound Visit"2019SFN.EVN.regular.comment.csv",309

"SFN201907230",64,"Mound Visit"2019SFN.EVN.regular.comment.csv",310

"SFN201907230",77,"Mound Visit"2019SFN.EVN.regular.comment.csv",311

"SFN201907230",80,"Mound Visit"2019SFN.EVN.regular.comment.csv",312

"SFN201907230",93,"Mound Visit"2019SFN.EVN.regular.comment.csv",313

"SFN201907230",99,"$Umpire review of Sandoval's home run; call upheld - homer"2019SFN.EVN.regular.comment.csv",314

"SFN201907240",20,"On-field Delay $Cubs challenged call that ball hit by Baez was not a home run; call was upheld - ground rule double"2019SFN.EVN.regular.comment.csv",315

"SFN201907240",27,"Mound Visit"2019SFN.EVN.regular.comment.csv",316

