"BOS201904090",27,"$Blue Jays challenged call that Grichuk was out at 3rd; call was overturned - passed ball","FILENAME_TX","LINE_NUMBER_CT"
"BOS201904130",16,"Mound Visit","2019BOS.EVA.regular.comment.csv",30
"BOS201904130",39,"Mound Visit","2019BOS.EVA.regular.comment.csv",31
"BOS201904130",41,"$Red Sox challenged call that Alberto was hit by 1st pitch; call was overturned - foul ball","2019BOS.EVA.regular.comment.csv",32
"BOS201904130",48,"Mound Visit","2019BOS.EVA.regular.comment.csv",33
"BOS201904130",51,"Mound Visit","2019BOS.EVA.regular.comment.csv",34
"BOS201904130",56,"Mound Visit","2019BOS.EVA.regular.comment.csv",35
"BOS201904130",63,"On-field Delay","2019BOS.EVA.regular.comment.csv",36
"BOS201904130",64,"$play originally scored as fielder's choice with no error, changed to error on 04-14-2019; both runs in inning now unearned; runner on first rounded 2nd too far and was out","2019BOS.EVA.regular.comment.csv",37
"BOS201904130",69,"Mound Visit","2019BOS.EVA.regular.comment.csv",38
"BOS201904130",70,"Mound Visit","2019BOS.EVA.regular.comment.csv",39
"BOS201904130",79,"Mound Visit","2019BOS.EVA.regular.comment.csv",40
"BOS201904140",19,"Injury Delay","2019BOS.EVA.regular.comment.csv",41
"BOS201904140",21,"$Benitendi left with injured foot","2019BOS.EVA.regular.comment.csv",42
"BOS201904140",29,"Mound Visit","2019BOS.EVA.regular.comment.csv",43
"BOS201904140",43,"On-field Delay","2019BOS.EVA.regular.comment.csv",44
"BOS201904140",44,"ej,brocd001,C,sches901,Check swing $Baltimore pitching coach Brocail ejected by 1B umpire Scheurwater for arguing check swing ball call","2019BOS.EVA.regular.comment.csv",45
"BOS201904140",45,"Mound Visit","2019BOS.EVA.regular.comment.csv",46
"BOS201904140",48,"Mound Visit","2019BOS.EVA.regular.comment.csv",47
"BOS201904140",57,"Mound Visit","2019BOS.EVA.regular.comment.csv",48
"BOS201904140",59,"Mound Visit","2019BOS.EVA.regular.comment.csv",49
"BOS201904140",62,"Mound Visit","2019BOS.EVA.regular.comment.csv",50
"BOS201904150",1,"Injury Delay","2019BOS.EVA.regular.comment.csv",51
"BOS201904150",11,"Mound Visit","2019BOS.EVA.regular.comment.csv",52
"BOS201904150",40,"ej,hydeb801,M,wegnm901,Arguing non-call of slide interference $Orioles challenged call at second, claiming that Devers had committed slide interference; call was upheld - force out, no interference; Baltimore manager Hyde ejected by 1B umpire Wegner for arguing the call","2019BOS.EVA.regular.comment.csv",53
"BOS201904150",54,"Mound Visit","2019BOS.EVA.regular.comment.csv",54
"BOS201904150",55,"Mound Visit","2019BOS.EVA.regular.comment.csv",55
"BOS201904150",63,"Mound Visit","2019BOS.EVA.regular.comment.csv",56
"BOS201904231",7,"Injury Delay","2019BOS.EVA.regular.comment.csv",57
"BOS201904231",37,"Mound Visit","2019BOS.EVA.regular.comment.csv",58
"BOS201904231",47,"Mound Visit","2019BOS.EVA.regular.comment.csv",59
"BOS201904231",61,"Mound Visit Mound Visit","2019BOS.EVA.regular.comment.csv",60
"BOS201904231",66,"Mound Visit","2019BOS.EVA.regular.comment.csv",61
"BOS201904232",21,"Mound Visit","2019BOS.EVA.regular.comment.csv",62
"BOS201904232",23,"Injury Delay","2019BOS.EVA.regular.comment.csv",63
"BOS201904232",28,"Mound Visit","2019BOS.EVA.regular.comment.csv",64
"BOS201904232",40,"Mound Visit","2019BOS.EVA.regular.comment.csv",65
"BOS201904232",46,"Mound Visit","2019BOS.EVA.regular.comment.csv",66
"BOS201904232",55,"Mound Visit","2019BOS.EVA.regular.comment.csv",67
"BOS201904232",56,"Mound Visit","2019BOS.EVA.regular.comment.csv",68
"BOS201904232",63,"Mound Visit","2019BOS.EVA.regular.comment.csv",69
"BOS201904232",67,"$Red Sox challenged call that Dixon was safe at 2nd; call was overturned - single and out stretching","2019BOS.EVA.regular.comment.csv",70
"BOS201904232",70,"Mound Visit","2019BOS.EVA.regular.comment.csv",71
"BOS201904232",71,"Mound Visit","2019BOS.EVA.regular.comment.csv",72
"BOS201904232",74,"Mound Visit","2019BOS.EVA.regular.comment.csv",73
"BOS201904240",35,"Mound Visit","2019BOS.EVA.regular.comment.csv",74
"BOS201904240",40,"Mound Visit","2019BOS.EVA.regular.comment.csv",75
"BOS201904240",45,"Mound Visit","2019BOS.EVA.regular.comment.csv",76
"BOS201904240",61,"Mound Visit","2019BOS.EVA.regular.comment.csv",77
"BOS201904240",67,"Mound Visit","2019BOS.EVA.regular.comment.csv",78
"BOS201904240",75,"Mound Visit","2019BOS.EVA.regular.comment.csv",79
"BOS201904240",77,"Mound Visit","2019BOS.EVA.regular.comment.csv",80
"BOS201904240",78,"Mound Visit","2019BOS.EVA.regular.comment.csv",81
"BOS201904240",79,"Mound Visit","2019BOS.EVA.regular.comment.csv",82
"BOS201904250",30,"Mound Visit","2019BOS.EVA.regular.comment.csv",83
"BOS201904270",29,"Mound Visit","2019BOS.EVA.regular.comment.csv",84
"BOS201904270",47,"Mound Visit","2019BOS.EVA.regular.comment.csv",85
"BOS201904270",54,"Mound Visit","2019BOS.EVA.regular.comment.csv",86
"BOS201904270",58,"Mound Visit","2019BOS.EVA.regular.comment.csv",87
"BOS201904270",61,"Mound Visit","2019BOS.EVA.regular.comment.csv",88
"BOS201904270",62,"Mound Visit","2019BOS.EVA.regular.comment.csv",89
"BOS201904270",65,"Injury Delay","2019BOS.EVA.regular.comment.csv",90
"BOS201904270",66,"Mound Visit","2019BOS.EVA.regular.comment.csv",91
"BOS201904270",67,"Mound Visit","2019BOS.EVA.regular.comment.csv",92
"BOS201904270",72,"On-field Delay","2019BOS.EVA.regular.comment.csv",93
"BOS201904280",26,"On-field Delay","2019BOS.EVA.regular.comment.csv",94
"BOS201904280",34,"Mound Visit","2019BOS.EVA.regular.comment.csv",95
"BOS201904280",44,"Mound Visit","2019BOS.EVA.regular.comment.csv",96
"BOS201904280",53,"Mound Visit","2019BOS.EVA.regular.comment.csv",97
"BOS201904280",63,"Mound Visit","2019BOS.EVA.regular.comment.csv",98
"BOS201904290",12,"Mound Visit","2019BOS.EVA.regular.comment.csv",99
"BOS201904290",27,"$Athletics challenged call that Benitendi was safe at 1st; call was upheld - safe on missed catch error","2019BOS.EVA.regular.comment.csv",100
"BOS201904290",28,"Mound Visit","2019BOS.EVA.regular.comment.csv",101
"BOS201904290",47,"Mound Visit","2019BOS.EVA.regular.comment.csv",102
"BOS201904290",48,"Mound Visit","2019BOS.EVA.regular.comment.csv",103
"BOS201904290",52,"Mound Visit","2019BOS.EVA.regular.comment.csv",104
"BOS201904290",56,"Mound Visit","2019BOS.EVA.regular.comment.csv",105
"BOS201904290",65,"Mound Visit","2019BOS.EVA.regular.comment.csv",106
"BOS201904290",89,"Mound Visit","2019BOS.EVA.regular.comment.csv",107
"BOS201904300",33,"Mound Visit","2019BOS.EVA.regular.comment.csv",108
"BOS201904300",40,"Mound Visit","2019BOS.EVA.regular.comment.csv",109
"BOS201904300",42,"Mound Visit","2019BOS.EVA.regular.comment.csv",110
"BOS201904300",56,"Mound Visit","2019BOS.EVA.regular.comment.csv",111
"BOS201904300",66,"Mound Visit","2019BOS.EVA.regular.comment.csv",112
"BOS201905010",11,"Mound Visit","2019BOS.EVA.regular.comment.csv",113
"BOS201905010",16,"Mound Visit","2019BOS.EVA.regular.comment.csv",114
"BOS201905010",49,"Mound Visit","2019BOS.EVA.regular.comment.csv",115
"BOS201905010",51,"Mound Visit","2019BOS.EVA.regular.comment.csv",116
"BOS201905010",72,"Mound Visit","2019BOS.EVA.regular.comment.csv",117
"BOS201905010",75,"Mound Visit","2019BOS.EVA.regular.comment.csv",118
"BOS201905100",40,"Mound Visit","2019BOS.EVA.regular.comment.csv",119
"BOS201905100",51,"Mound Visit","2019BOS.EVA.regular.comment.csv",120
"BOS201905100",62,"Mound Visit","2019BOS.EVA.regular.comment.csv",121
"BOS201905100",70,"Mound Visit","2019BOS.EVA.regular.comment.csv",122
"BOS201905100",74,"Mound Visit","2019BOS.EVA.regular.comment.csv",123
"BOS201905110",6,"Mound Visit","2019BOS.EVA.regular.comment.csv",124
"BOS201905110",28,"Mound Visit","2019BOS.EVA.regular.comment.csv",125
"BOS201905110",32,"Mound Visit","2019BOS.EVA.regular.comment.csv",126
"BOS201905110",48,"Mound Visit Injury Delay","2019BOS.EVA.regular.comment.csv",127
"BOS201905110",60,"$Red Sox challenged call that Bradley was not hit by pitch; call was upheld - ball and wild pitch","2019BOS.EVA.regular.comment.csv",128
"BOS201905110",64,"Mound Visit","2019BOS.EVA.regular.comment.csv",129
"BOS201905120",10,"Mound Visit","2019BOS.EVA.regular.comment.csv",130
"BOS201905120",35,"Mound Visit","2019BOS.EVA.regular.comment.csv",131
"BOS201905120",40,"Injury Delay","2019BOS.EVA.regular.comment.csv",132
"BOS201905120",44,"Mound Visit","2019BOS.EVA.regular.comment.csv",133
"BOS201905120",57,"Mound Visit","2019BOS.EVA.regular.comment.csv",134
"BOS201905120",61,"Mound Visit","2019BOS.EVA.regular.comment.csv",135
"BOS201905120",74,"$Red Sox challenged call that ball hit by Vogelbach hit screen before catcher caught it; call was upheld - foul ball","2019BOS.EVA.regular.comment.csv",136
"BOS201905140",12,"On-field Delay $Umpire review of ball hit by Chavis; call upheld - home run","2019BOS.EVA.regular.comment.csv",137
"BOS201905140",57,"On-field Delay $Umpire review of ball hit by Iannetta; call upheld - double","2019BOS.EVA.regular.comment.csv",138
"BOS201905140",57,"Mound Visit","2019BOS.EVA.regular.comment.csv",139
"BOS201905140",63,"Mound Visit","2019BOS.EVA.regular.comment.csv",140
"BOS201905140",76,"Mound Visit","2019BOS.EVA.regular.comment.csv",141
"BOS201905140",82,"Mound Visit","2019BOS.EVA.regular.comment.csv",142
"BOS201905150",29,"Mound Visit","2019BOS.EVA.regular.comment.csv",143
"BOS201905150",32,"Mound Visit","2019BOS.EVA.regular.comment.csv",144
"BOS201905150",53,"Mound Visit","2019BOS.EVA.regular.comment.csv",145
"BOS201905150",54,"Mound Visit","2019BOS.EVA.regular.comment.csv",146
"BOS201905150",57,"Mound Visit","2019BOS.EVA.regular.comment.csv",147
"BOS201905150",61,"Mound Visit","2019BOS.EVA.regular.comment.csv",148
"BOS201905150",62,"Mound Visit","2019BOS.EVA.regular.comment.csv",149
"BOS201905150",69,"Mound Visit","2019BOS.EVA.regular.comment.csv",150
"BOS201905150",77,"Mound Visit","2019BOS.EVA.regular.comment.csv",151
"BOS201905150",78,"Injury Delay","2019BOS.EVA.regular.comment.csv",152
"BOS201905150",78,"Mound Visit","2019BOS.EVA.regular.comment.csv",153
"BOS201905150",82,"Mound Visit","2019BOS.EVA.regular.comment.csv",154
"BOS201905150",83,"Mound Visit","2019BOS.EVA.regular.comment.csv",155
"BOS201905150",84,"Mound Visit","2019BOS.EVA.regular.comment.csv",156
"BOS201905170",13,"Mound Visit","2019BOS.EVA.regular.comment.csv",157
"BOS201905170",14,"$Diaz left with an injured leg","2019BOS.EVA.regular.comment.csv",158
"BOS201905170",40,"Injury Delay","2019BOS.EVA.regular.comment.csv",159
"BOS201905170",59,"Mound Visit","2019BOS.EVA.regular.comment.csv",160
"BOS201905170",60,"Injury Delay","2019BOS.EVA.regular.comment.csv",161
"BOS201905170",61,"Mound Visit","2019BOS.EVA.regular.comment.csv",162
"BOS201905170",63,"Mound Visit","2019BOS.EVA.regular.comment.csv",163
"BOS201905170",76,"Mound Visit","2019BOS.EVA.regular.comment.csv",164
"BOS201905180",3,"Mound Visit","2019BOS.EVA.regular.comment.csv",165
"BOS201905180",6,"Mound Visit","2019BOS.EVA.regular.comment.csv",166
"BOS201905180",13,"Mound Visit","2019BOS.EVA.regular.comment.csv",167
"BOS201905180",14,"Mound Visit","2019BOS.EVA.regular.comment.csv",168
"BOS201905180",34,"$Astros challenged call that Bogaerts was safe at 1st; call was overturned - ground out","2019BOS.EVA.regular.comment.csv",169
"BOS201905180",47,"Mound Visit","2019BOS.EVA.regular.comment.csv",170
"BOS201905180",50,"Mound Visit","2019BOS.EVA.regular.comment.csv",171
"BOS201905180",51,"Mound Visit","2019BOS.EVA.regular.comment.csv",172
"BOS201905180",67,"Mound Visit","2019BOS.EVA.regular.comment.csv",173
"BOS201905190",16,"Mound Visit","2019BOS.EVA.regular.comment.csv",174
"BOS201905190",32,"Mound Visit","2019BOS.EVA.regular.comment.csv",175
"BOS201905190",42,"$Springer left with an injured back","2019BOS.EVA.regular.comment.csv",176
"BOS201905190",46,"Mound Visit","2019BOS.EVA.regular.comment.csv",177
"BOS201905190",50,"Mound Visit","2019BOS.EVA.regular.comment.csv",178
"BOS201905190",51,"Mound Visit","2019BOS.EVA.regular.comment.csv",179
"BOS201905190",52,"Mound Visit","2019BOS.EVA.regular.comment.csv",180
"BOS201905190",60,"$Red Sox challenged call that Brantley was safe at 1st; call was overturne - out to complete double play","2019BOS.EVA.regular.comment.csv",181
"BOS201905190",64,"Mound Visit","2019BOS.EVA.regular.comment.csv",182
"BOS201905270",6,"Mound Visit","2019BOS.EVA.regular.comment.csv",183
"BOS201905270",30,"Mound Visit","2019BOS.EVA.regular.comment.csv",184
"BOS201905270",38,"Mound Visit","2019BOS.EVA.regular.comment.csv",185
"BOS201905270",43,"Mound Visit","2019BOS.EVA.regular.comment.csv",186
"BOS201905270",53,"Mound Visit","2019BOS.EVA.regular.comment.csv",187
"BOS201905270",55,"Mound Visit On-field Delay","2019BOS.EVA.regular.comment.csv",188
"BOS201905270",66,"Injury Delay","2019BOS.EVA.regular.comment.csv",189
"BOS201905270",70,"Mound Visit","2019BOS.EVA.regular.comment.csv",190
"BOS201905270",72,"Mound Visit","2019BOS.EVA.regular.comment.csv",191
"BOS201905280",40,"Mound Visit","2019BOS.EVA.regular.comment.csv",192
"BOS201905280",43,"Mound Visit","2019BOS.EVA.regular.comment.csv",193
"BOS201905280",45,"Mound Visit","2019BOS.EVA.regular.comment.csv",194
"BOS201905280",51,"$Red Sox challenged call that Ramirez was safe at 2nd; call was upheld - stolen base","2019BOS.EVA.regular.comment.csv",195
"BOS201905280",61,"Mound Visit","2019BOS.EVA.regular.comment.csv",196
"BOS201905280",62,"Mound Visit","2019BOS.EVA.regular.comment.csv",197
"BOS201905280",64,"Mound Visit","2019BOS.EVA.regular.comment.csv",198
"BOS201905280",66,"$Indians challenged call that Bogaerts was safe at 2nd; call was upheld - double","2019BOS.EVA.regular.comment.csv",199
"BOS201905280",74,"Mound Visit","2019BOS.EVA.regular.comment.csv",200
"BOS201905280",78,"Mound Visit","2019BOS.EVA.regular.comment.csv",201
"BOS201905290",22,"Mound Visit","2019BOS.EVA.regular.comment.csv",202
"BOS201905290",27,"Mound Visit","2019BOS.EVA.regular.comment.csv",203
"BOS201905290",31,"$Red Sox challenged call that Martin was safe at 2nd; call was overturned - caught stealing","2019BOS.EVA.regular.comment.csv",204
"BOS201905290",43,"Mound Visit","2019BOS.EVA.regular.comment.csv",205
"BOS201905290",56,"Injury Delay","2019BOS.EVA.regular.comment.csv",206
"BOS201905290",67,"Mound Visit","2019BOS.EVA.regular.comment.csv",207
"BOS201905290",82,"Mound Visit","2019BOS.EVA.regular.comment.csv",208
"BOS201905290",86,"Mound Visit","2019BOS.EVA.regular.comment.csv",209
"BOS201905290",90,"Mound Visit","2019BOS.EVA.regular.comment.csv",210
"BOS201905290",92,"Mound Visit","2019BOS.EVA.regular.comment.csv",211
"BOS201906070",9,"On-field Delay","2019BOS.EVA.regular.comment.csv",212
"BOS201906070",39,"Mound Visit","2019BOS.EVA.regular.comment.csv",213
"BOS201906070",42,"Mound Visit","2019BOS.EVA.regular.comment.csv",214
"BOS201906070",47,"Mound Visit","2019BOS.EVA.regular.comment.csv",215
"BOS201906070",48,"On-field Delay","2019BOS.EVA.regular.comment.csv",216
"BOS201906070",49,"$Moreland left with an injured leg","2019BOS.EVA.regular.comment.csv",217
"BOS201906070",70,"Mound Visit","2019BOS.EVA.regular.comment.csv",218
"BOS201906081",14,"Mound Visit","2019BOS.EVA.regular.comment.csv",219
"BOS201906081",15,"Injury Delay","2019BOS.EVA.regular.comment.csv",220
"BOS201906081",25,"$Rays challenged call that Diaz was out at 2nd; call was upheld - single and out stretching","2019BOS.EVA.regular.comment.csv",221
"BOS201906081",25,"$Pham left with an injured wrist","2019BOS.EVA.regular.comment.csv",222
"BOS201906081",28,"On-field Delay","2019BOS.EVA.regular.comment.csv",223
"BOS201906081",39,"Mound Visit","2019BOS.EVA.regular.comment.csv",224
"BOS201906081",52,"Mound Visit","2019BOS.EVA.regular.comment.csv",225
"BOS201906081",63,"Mound Visit","2019BOS.EVA.regular.comment.csv",226
"BOS201906082",14,"Mound Visit","2019BOS.EVA.regular.comment.csv",227
"BOS201906082",23,"Mound Visit","2019BOS.EVA.regular.comment.csv",228
"BOS201906082",35,"$Rays challenged call at home, claiming catcher blocked plate without ball; call was upheld -fielder's choice, no interference","2019BOS.EVA.regular.comment.csv",229
"BOS201906082",40,"Mound Visit","2019BOS.EVA.regular.comment.csv",230
"BOS201906082",47,"Mound Visit","2019BOS.EVA.regular.comment.csv",231
"BOS201906082",51,"Mound Visit","2019BOS.EVA.regular.comment.csv",232
"BOS201906082",54,"Mound Visit","2019BOS.EVA.regular.comment.csv",233
"BOS201906090",10,"Mound Visit","2019BOS.EVA.regular.comment.csv",234
"BOS201906090",46,"Mound Visit","2019BOS.EVA.regular.comment.csv",235
"BOS201906090",47,"Mound Visit","2019BOS.EVA.regular.comment.csv",236
"BOS201906090",48,"Mound Visit","2019BOS.EVA.regular.comment.csv",237
"BOS201906090",52,"Mound Visit","2019BOS.EVA.regular.comment.csv",238
"BOS201906090",57,"Mound Visit","2019BOS.EVA.regular.comment.csv",239
"BOS201906090",63,"Mound Visit","2019BOS.EVA.regular.comment.csv",240
"BOS201906090",82,"Mound Visit","2019BOS.EVA.regular.comment.csv",241
"BOS201906100",32,"$originally FLE3, removed on 06-11-2019","2019BOS.EVA.regular.comment.csv",242
"BOS201906100",56,"Mound Visit","2019BOS.EVA.regular.comment.csv",243
"BOS201906100",63,"Mound Visit","2019BOS.EVA.regular.comment.csv",244
"BOS201906100",67,"Mound Visit","2019BOS.EVA.regular.comment.csv",245
"BOS201906100",70,"Mound Visit","2019BOS.EVA.regular.comment.csv",246
"BOS201906100",71,"Mound Visit","2019BOS.EVA.regular.comment.csv",247
"BOS201906100",79,"Mound Visit","2019BOS.EVA.regular.comment.csv",248
"BOS201906110",11,"Mound Visit","2019BOS.EVA.regular.comment.csv",249
"BOS201906110",20,"Mound Visit","2019BOS.EVA.regular.comment.csv",250
"BOS201906110",27,"Mound Visit","2019BOS.EVA.regular.comment.csv",251
"BOS201906110",32,"Mound Visit","2019BOS.EVA.regular.comment.csv",252
"BOS201906110",44,"Mound Visit","2019BOS.EVA.regular.comment.csv",253
"BOS201906110",48,"On-field Delay ej,benia002,P,carav901,Arguing balls and strikes ej,coraa001,M,carav901,Arguing balls and strikes $Benitendi ejected by 1B umpire Carapazza for insulting HP umpire Hernandez after grounding out; Boston manager Cora also ejected","2019BOS.EVA.regular.comment.csv",254
"BOS201906110",55,"On-field Delay ej,woodc001,M,herna901,Claim inadequate time to request challenge $Texas manager Woodward ejected by HP umpire Hernandez, claiming he was not given enough time to challenge call at 2nd","2019BOS.EVA.regular.comment.csv",255
"BOS201906110",77,"Mound Visit","2019BOS.EVA.regular.comment.csv",256
"BOS201906120",12,"$Rangers challenged call that Devers was safe at 2nd; call was overturned - caught stealing","2019BOS.EVA.regular.comment.csv",257
"BOS201906120",17,"Injury Delay","2019BOS.EVA.regular.comment.csv",258
"BOS201906120",44,"Mound Visit","2019BOS.EVA.regular.comment.csv",259
"BOS201906120",51,"Mound Visit","2019BOS.EVA.regular.comment.csv",260
"BOS201906120",60,"Mound Visit","2019BOS.EVA.regular.comment.csv",261
"BOS201906120",67,"Mound Visit","2019BOS.EVA.regular.comment.csv",262
"BOS201906120",77,"Mound Visit","2019BOS.EVA.regular.comment.csv",263
"BOS201906130",3,"Mound Visit","2019BOS.EVA.regular.comment.csv",264
"BOS201906130",4,"$Umpire review of ball hit by Pence; call was upheld - double","2019BOS.EVA.regular.comment.csv",265
"BOS201906130",16,"Mound Visit","2019BOS.EVA.regular.comment.csv",266
"BOS201906130",36,"Mound Visit","2019BOS.EVA.regular.comment.csv",267
"BOS201906130",38,"Mound Visit","2019BOS.EVA.regular.comment.csv",268
"BOS201906130",47,"$Rangers challenged call that Santana was out at 2nd; call was upheld - caught stealing","2019BOS.EVA.regular.comment.csv",269
"BOS201906130",53,"Mound Visit","2019BOS.EVA.regular.comment.csv",270
"BOS201906130",60,"Mound Visit","2019BOS.EVA.regular.comment.csv",271
"BOS201906130",61,"Mound Visit","2019BOS.EVA.regular.comment.csv",272
"BOS201906130",62,"Mound Visit","2019BOS.EVA.regular.comment.csv",273
"BOS201906130",67,"Mound Visit","2019BOS.EVA.regular.comment.csv",274
"BOS201906130",83,"Mound Visit","2019BOS.EVA.regular.comment.csv",275
"BOS201906130",84,"$Red Sox challenged call that Mazara was safe at 2nd; call was upheld - stolen base","2019BOS.EVA.regular.comment.csv",276
"BOS201906130",85,"Mound Visit","2019BOS.EVA.regular.comment.csv",277
"BOS201906210",4,"$Red Sox challenged call that Sogar was safe at 2nd; call was upheld - stolen base","2019BOS.EVA.regular.comment.csv",278
"BOS201906210",7,"Mound Visit","2019BOS.EVA.regular.comment.csv",279
"BOS201906210",32,"Mound Visit","2019BOS.EVA.regular.comment.csv",280
"BOS201906210",54,"Mound Visit","2019BOS.EVA.regular.comment.csv",281
"BOS201906210",60,"Mound Visit","2019BOS.EVA.regular.comment.csv",282
"BOS201906210",63,"Mound Visit","2019BOS.EVA.regular.comment.csv",283
"BOS201906210",64,"Mound Visit","2019BOS.EVA.regular.comment.csv",284
"BOS201906210",67,"Mound Visit","2019BOS.EVA.regular.comment.csv",285
"BOS201906210",70,"Mound Visit","2019BOS.EVA.regular.comment.csv",286
"BOS201906210",72,"Mound Visit","2019BOS.EVA.regular.comment.csv",287
"BOS201906210",75,"Mound Visit","2019BOS.EVA.regular.comment.csv",288
"BOS201906210",88,"Mound Visit $Blue Jays challenged call that Biggio was out at 2nd; call was overturned - stolen base","2019BOS.EVA.regular.comment.csv",289
"BOS201906210",93,"Injury Delay Mound Visit","2019BOS.EVA.regular.comment.csv",290
"BOS201906220",12,"Injury Delay","2019BOS.EVA.regular.comment.csv",291
"BOS201906220",14,"Mound Visit","2019BOS.EVA.regular.comment.csv",292
"BOS201906220",15,"Mound Visit","2019BOS.EVA.regular.comment.csv",293
"BOS201906220",32,"Mound Visit","2019BOS.EVA.regular.comment.csv",294
"BOS201906220",56,"Mound Visit","2019BOS.EVA.regular.comment.csv",295
"BOS201906220",59,"Mound Visit","2019BOS.EVA.regular.comment.csv",296
"BOS201906220",70,"Mound Visit","2019BOS.EVA.regular.comment.csv",297
"BOS201906220",72,"Mound Visit","2019BOS.EVA.regular.comment.csv",298
"BOS201906220",73,"Mound Visit","2019BOS.EVA.regular.comment.csv",299
"BOS201906220",86,"Mound Visit","2019BOS.EVA.regular.comment.csv",300
"BOS201906230",16,"Mound Visit","2019BOS.EVA.regular.comment.csv",301
"BOS201906230",22,"Mound Visit","2019BOS.EVA.regular.comment.csv",302
"BOS201906230",26,"Mound Visit","2019BOS.EVA.regular.comment.csv",303
"BOS201906230",28,"$Holt left with an injured leg","2019BOS.EVA.regular.comment.csv",304
"BOS201906230",42,"Mound Visit","2019BOS.EVA.regular.comment.csv",305
"BOS201906230",46,"Mound Visit","2019BOS.EVA.regular.comment.csv",306
"BOS201906240",9,"Mound Visit","2019BOS.EVA.regular.comment.csv",307
"BOS201906240",47,"Mound Visit","2019BOS.EVA.regular.comment.csv",308
"BOS201906240",49,"Mound Visit","2019BOS.EVA.regular.comment.csv",309
"BOS201906240",49,"Mound Visit","2019BOS.EVA.regular.comment.csv",310
"BOS201906240",53,"Mound Visit","2019BOS.EVA.regular.comment.csv",311
"BOS201906240",54,"Mound Visit","2019BOS.EVA.regular.comment.csv",312
"BOS201906240",55,"Mound Visit","2019BOS.EVA.regular.comment.csv",313
"BOS201906240",58,"Mound Visit","2019BOS.EVA.regular.comment.csv",314
"BOS201906240",66,"Mound Visit","2019BOS.EVA.regular.comment.csv",315
"BOS201906240",66,"$Taylor enters with 3-2 count, completes walk charged to Brewer","2019BOS.EVA.regular.comment.csv",316
"BOS201906240",69,"Mound Visit","2019BOS.EVA.regular.comment.csv",317
"BOS201906240",78,"Mound Visit","2019BOS.EVA.regular.comment.csv",318
"BOS201906240",82,"Mound Visit","2019BOS.EVA.regular.comment.csv",319
"BOS201906240",86,"Mound Visit","2019BOS.EVA.regular.comment.csv",320
"BOS201906250",14,"Mound Visit","2019BOS.EVA.regular.comment.csv",321
"BOS201906250",28,"Injury Delay","2019BOS.EVA.regular.comment.csv",322
"BOS201906250",29,"Mound Visit","2019BOS.EVA.regular.comment.csv",323
"BOS201906250",45,"Injury Delay","2019BOS.EVA.regular.comment.csv",324
"BOS201906250",45,"$Anderson left with injured ankle","2019BOS.EVA.regular.comment.csv",325
"BOS201906250",55,"$Red Sox challenged call that Betts was out at 1st; call was upheld - out to complete double play","2019BOS.EVA.regular.comment.csv",326
"BOS201906250",60,"Mound Visit","2019BOS.EVA.regular.comment.csv",327
