"DET200803310",21,"Royals center fielder David DeJesus left the game due to an injured foot/ankle","FILENAME_TX","LINE_NUMBER_CT"
"DET200806260",47,"ej,polap001,P,schrp901,Called third strike Tigers second baseman Placido Polanco ejected by HP umpire Paul Schrieber","2008DET.EVA.regular.comment.csv",18
"DET200806260",54,"$Brian Barton called for interference","2008DET.EVA.regular.comment.csv",19
"DET200806280",19,"Tigers right fielder Magglio Ordonez left the game due to an injured right oblique muscle","2008DET.EVA.regular.comment.csv",20
"DET200807090",70,"Tigers shortstop Edgar Renteria left the game due to an injured leg","2008DET.EVA.regular.comment.csv",21
"DET200807110",66,"$Denard Span called out for interfering with Ivan Rodriguez","2008DET.EVA.regular.comment.csv",22
"DET200808080",56,"Tigers third baseman Carlos Guillen left the game due to an injured back","2008DET.EVA.regular.comment.csv",23
"DET200808100",69,"$the ball flew over left fielder Emil Brown's head and one- hopped the wall; Bobby Crosby's relay to the plate was wild but was backed up by pitcher Jerry Blevins, who threw wildly to third base, allowing Ryan Raburn to score","2008DET.EVA.regular.comment.csv",24
"DET200808120",70,"Tigers third baseman Carlos Guillen left the game due to an injured back","2008DET.EVA.regular.comment.csv",25
"DET200808130",54,"ej,shefg001,P,culbf901,Called third strike Tigers designated hitter Gary Sheffield ejected by HP umpire Fieldin Culbreth","2008DET.EVA.regular.comment.csv",26
"DET200808130",70,"Blue Jays pitcher Scott Downs left the game due to an injured foot/ankle","2008DET.EVA.regular.comment.csv",27
"DET200808150",13,"$the throw from Ordonez got away from catcher Inge","2008DET.EVA.regular.comment.csv",28
"DET200808150",81,"ej,polap001,P,kulpr901,Interference non-call Tigers second baseman Placido Polanco ejected by 1B umpire Ron Kulpa; the relay throw by Polanco hit the hand of Lou Montanez and Polanco argued that Montanez intentionally blocked the throw","2008DET.EVA.regular.comment.csv",29
"DET200808160",69,"ej,paytj001,P,causk901,Call at 1B $Payton ejected by 1B umpire Causey for arguing he was safe","2008DET.EVA.regular.comment.csv",30
"DET200808250",34,"Tigers third baseman Carlos Guillen left the game due to an injured back","2008DET.EVA.regular.comment.csv",31
"DET200808250",58,"Tigers left fielder Marcus Thames left the game due to an injured leg","2008DET.EVA.regular.comment.csv",32
"DET200808260",1,"Debut game for Chris Lambert","2008DET.EVA.regular.comment.csv",33
"DET200808290",49,"Tigers first baseman Miguel Cabrera left the game due to an injured chest","2008DET.EVA.regular.comment.csv",34
"DET200808310",53,"Royals shortstop Mike Aviles left the game due to an injured hand/wrist","2008DET.EVA.regular.comment.csv",35
"DET200808310",62,"ej,leylj801,M,causk901,Call at 3B Tigers Manager Jim Leyland ejected by 3B umpire Kevin Causey; Leyland argued that shortstop Tony Pena never had control of the ball on the force at third","2008DET.EVA.regular.comment.csv",36
"DET200809010",82,"Debut game for Phil Coke","2008DET.EVA.regular.comment.csv",37
"DET200809020",42,"$no DP, since intervening misplay, although no error","2008DET.EVA.regular.comment.csv",38
"DET200809030",52,"ej,rente001,P,guccc901,Balls and strikes Tigers shortstop Edgar Renteria ejected by HP umpire Chris Guccione","2008DET.EVA.regular.comment.csv",39
"DET200809040",29,"$after four pitches to Sean Rodriguez, the count was 2-2; plate umpire Tim Welke reset the count on the scoreboard to 1-2 after talking with Rodriguez and catcher Brandon Inge; thus Rodriguez actually had taken four balls before he struck out","2008DET.EVA.regular.comment.csv",40
"DET200809040",68,"Debut game for Dusty Ryan","2008DET.EVA.regular.comment.csv",41
"DET200809080",87,"Debut game for Jeff Gray","2008DET.EVA.regular.comment.csv",42
"DET200809090",18,"Debut game for Jeff Baisley","2008DET.EVA.regular.comment.csv",43
"DET200809220",15,"Tigers first baseman Miguel Cabrera left the game due to an injured back","2008DET.EVA.regular.comment.csv",44
"DET200809220",70,"$Placido Polanco called for batter interference","2008DET.EVA.regular.comment.csv",45
"DET200809240",3,"Royals left fielder David DeJesus left the game due to an injured leg","2008DET.EVA.regular.comment.csv",46
"DET200809260",11,"Tigers second baseman Placido Polanco left the game due to an injured foot/ankle","2008DET.EVA.regular.comment.csv",47
"DET200809280",35,"Tigers shortstop Edgar Renteria left the game due to an injured leg","2008DET.EVA.regular.comment.csv",48
