"ATL201904010",28,"Mound Visit"FILENAME_TX","LINE_NUMBER_CT"
"ATL201904130",85,"Mound Visit"2019ATL.EVN.regular.comment.csv",62

"ATL201904140",30,"Mound Visit"2019ATL.EVN.regular.comment.csv",63

"ATL201904140",46,"Mound Visit"2019ATL.EVN.regular.comment.csv",64

"ATL201904140",58,"Mound Visit"2019ATL.EVN.regular.comment.csv",65

"ATL201904140",63,"Mound Visit"2019ATL.EVN.regular.comment.csv",66

"ATL201904140",72,"Mound Visit"2019ATL.EVN.regular.comment.csv",67

"ATL201904140",75,"Mound Visit"2019ATL.EVN.regular.comment.csv",68

"ATL201904160",20,"Injury Delay"2019ATL.EVN.regular.comment.csv",69

"ATL201904160",33,"Mound Visit"2019ATL.EVN.regular.comment.csv",70

"ATL201904160",34,"Mound Visit"2019ATL.EVN.regular.comment.csv",71

"ATL201904160",38,"Injury Delay"2019ATL.EVN.regular.comment.csv",72

"ATL201904160",39,"Mound Visit"2019ATL.EVN.regular.comment.csv",73

"ATL201904160",56,"Mound Visit"2019ATL.EVN.regular.comment.csv",74

"ATL201904160",57,"Mound Visit"2019ATL.EVN.regular.comment.csv",75

"ATL201904160",59,"Mound Visit"2019ATL.EVN.regular.comment.csv",76

"ATL201904160",66,"Mound Visit"2019ATL.EVN.regular.comment.csv",77

"ATL201904160",68,"Mound Visit"2019ATL.EVN.regular.comment.csv",78

"ATL201904160",74,"$Diamondbacks challenged call that Marte was out at 3rd; call Was upheld - out advancing"2019ATL.EVN.regular.comment.csv",79

"ATL201904160",82,"Mound Visit"2019ATL.EVN.regular.comment.csv",80

"ATL201904170",14,"Mound Visit"2019ATL.EVN.regular.comment.csv",81

"ATL201904170",48,"Mound Visit"2019ATL.EVN.regular.comment.csv",82

"ATL201904170",50,"Mound Visit"2019ATL.EVN.regular.comment.csv",83

"ATL201904170",51,"Mound Visit"2019ATL.EVN.regular.comment.csv",84

"ATL201904170",53,"Mound Visit"2019ATL.EVN.regular.comment.csv",85

"ATL201904170",59,"Mound Visit"2019ATL.EVN.regular.comment.csv",86

"ATL201904170",68,"Mound Visit"2019ATL.EVN.regular.comment.csv",87

"ATL201904170",71,"Mound Visit"2019ATL.EVN.regular.comment.csv",88

"ATL201904170",72,"Mound Visit"2019ATL.EVN.regular.comment.csv",89

"ATL201904170",76,"Mound Visit"2019ATL.EVN.regular.comment.csv",90

"ATL201904170",78,"Mound Visit"2019ATL.EVN.regular.comment.csv",91

"ATL201904170",79,"Mound Visit"2019ATL.EVN.regular.comment.csv",92

"ATL201904180",21,"$Braves challenged call on Flores' double, claiming it was foul; call was upheld - double"2019ATL.EVN.regular.comment.csv",93

"ATL201904180",36,"Mound Visit"2019ATL.EVN.regular.comment.csv",94

"ATL201904180",42,"Mound Visit"2019ATL.EVN.regular.comment.csv",95

"ATL201904180",55,"Mound Visit"2019ATL.EVN.regular.comment.csv",96

"ATL201904180",64,"Mound Visit"2019ATL.EVN.regular.comment.csv",97

"ATL201904180",82,"Mound Visit"2019ATL.EVN.regular.comment.csv",98

"ATL201904260",34,"Mound Visit"2019ATL.EVN.regular.comment.csv",99

"ATL201904260",35,"Mound Visit"2019ATL.EVN.regular.comment.csv",100

"ATL201904260",45,"Mound Visit"2019ATL.EVN.regular.comment.csv",101

"ATL201904260",47,"Mound Visit"2019ATL.EVN.regular.comment.csv",102

"ATL201904260",52,"Mound Visit"2019ATL.EVN.regular.comment.csv",103

"ATL201904260",56,"Mound Visit"2019ATL.EVN.regular.comment.csv",104

"ATL201904260",66,"Injury Delay"2019ATL.EVN.regular.comment.csv",105

"ATL201904260",67,"Mound Visit"2019ATL.EVN.regular.comment.csv",106

"ATL201904260",71,"Injury Delay"2019ATL.EVN.regular.comment.csv",107

"ATL201904260",81,"Mound Visit"2019ATL.EVN.regular.comment.csv",108

"ATL201904270",32,"Mound Visit"2019ATL.EVN.regular.comment.csv",109

"ATL201904270",41,"Mound Visit"2019ATL.EVN.regular.comment.csv",110

"ATL201904270",43,"Mound Visit"2019ATL.EVN.regular.comment.csv",111

"ATL201904270",51,"Mound Visit"2019ATL.EVN.regular.comment.csv",112

"ATL201904270",52,"Mound Visit"2019ATL.EVN.regular.comment.csv",113

"ATL201904270",53,"Mound Visit"2019ATL.EVN.regular.comment.csv",114

"ATL201904270",70,"Mound Visit"2019ATL.EVN.regular.comment.csv",115

"ATL201904270",72,"Mound Visit"2019ATL.EVN.regular.comment.csv",116

"ATL201904270",73,"Mound Visit"2019ATL.EVN.regular.comment.csv",117

"ATL201904280",21,"Mound Visit"2019ATL.EVN.regular.comment.csv",118

"ATL201904280",37,"$Rockies challenged call that Flowers was safe at 1st; call was overturned - ground out"2019ATL.EVN.regular.comment.csv",119

"ATL201904280",41,"Mound Visit"2019ATL.EVN.regular.comment.csv",120

"ATL201904280",46,"Mound Visit"2019ATL.EVN.regular.comment.csv",121

"ATL201904280",47,"Mound Visit"2019ATL.EVN.regular.comment.csv",122

"ATL201904280",54,"Mound Visit"2019ATL.EVN.regular.comment.csv",123

"ATL201904280",58,"Mound Visit"2019ATL.EVN.regular.comment.csv",124

"ATL201904280",59,"Injury Delay"2019ATL.EVN.regular.comment.csv",125

"ATL201904280",70,"Mound Visit"2019ATL.EVN.regular.comment.csv",126

"ATL201904280",77,"Mound Visit"2019ATL.EVN.regular.comment.csv",127

"ATL201904280",78,"Mound Visit"2019ATL.EVN.regular.comment.csv",128

"ATL201904280",80,"Mound Visit"2019ATL.EVN.regular.comment.csv",129

"ATL201904280",82,"Mound Visit"2019ATL.EVN.regular.comment.csv",130

"ATL201904280",83,"Mound Visit"2019ATL.EVN.regular.comment.csv",131

"ATL201904290",19,"Injury Delay"2019ATL.EVN.regular.comment.csv",132

"ATL201904290",19,"$Inciarte left with an injured leg"2019ATL.EVN.regular.comment.csv",133

"ATL201904290",20,"$originally an E8 in addition to E3, the E8 was removed on 04-30-2019"2019ATL.EVN.regular.comment.csv",134

"ATL201904290",47,"Mound Visit"2019ATL.EVN.regular.comment.csv",135

"ATL201904290",48,"Mound Visit"2019ATL.EVN.regular.comment.csv",136

"ATL201904290",60,"Mound Visit"2019ATL.EVN.regular.comment.csv",137

"ATL201904290",66,"Mound Visit"2019ATL.EVN.regular.comment.csv",138

"ATL201904290",68,"Mound Visit"2019ATL.EVN.regular.comment.csv",139

"ATL201904300",0,"$Umpire Jerry Layne scratched shortly before game time so game was worked with three umpires"2019ATL.EVN.regular.comment.csv",140

"ATL201904300",15,"Mound Visit"2019ATL.EVN.regular.comment.csv",141

"ATL201904300",21,"Mound Visit"2019ATL.EVN.regular.comment.csv",142

"ATL201904300",54,"Mound Visit"2019ATL.EVN.regular.comment.csv",143

"ATL201904300",69,"Mound Visit"2019ATL.EVN.regular.comment.csv",144

"ATL201905010",7,"Mound Visit"2019ATL.EVN.regular.comment.csv",145

"ATL201905010",24,"Mound Visit"2019ATL.EVN.regular.comment.csv",146

"ATL201905010",46,"Mound Visit"2019ATL.EVN.regular.comment.csv",147

"ATL201905010",52,"Mound Visit"2019ATL.EVN.regular.comment.csv",148

"ATL201905010",53,"$originally scored as single, changed to fieler's choice on 05-02-2019"2019ATL.EVN.regular.comment.csv",149

"ATL201905010",58,"Mound Visit Mound Visit"2019ATL.EVN.regular.comment.csv",150

"ATL201905010",59,"Mound Visit"2019ATL.EVN.regular.comment.csv",151

"ATL201905020",26,"Mound Visit"2019ATL.EVN.regular.comment.csv",152

"ATL201905020",34,"Mound Visit"2019ATL.EVN.regular.comment.csv",153

"ATL201905020",37,"Mound Visit"2019ATL.EVN.regular.comment.csv",154

"ATL201905020",38,"Mound Visit"2019ATL.EVN.regular.comment.csv",155

"ATL201905020",57,"Mound Visit"2019ATL.EVN.regular.comment.csv",156

"ATL201905020",59,"Mound Visit"2019ATL.EVN.regular.comment.csv",157

"ATL201905140",6,"Mound Visit"2019ATL.EVN.regular.comment.csv",158

"ATL201905140",25,"$Inciarte left with an injured back"2019ATL.EVN.regular.comment.csv",159

"ATL201905140",34,"Mound Visit"2019ATL.EVN.regular.comment.csv",160

"ATL201905140",37,"Mound Visit"2019ATL.EVN.regular.comment.csv",161

"ATL201905140",43,"Mound Visit"2019ATL.EVN.regular.comment.csv",162

"ATL201905140",48,"Mound Visit"2019ATL.EVN.regular.comment.csv",163

"ATL201905150",16,"Mound Visit"2019ATL.EVN.regular.comment.csv",164

"ATL201905150",19,"Mound Visit"2019ATL.EVN.regular.comment.csv",165

"ATL201905150",54,"Mound Visit"2019ATL.EVN.regular.comment.csv",166

"ATL201905150",59,"Mound Visit On-field Delay"2019ATL.EVN.regular.comment.csv",167

"ATL201905150",60,"Mound Visit"2019ATL.EVN.regular.comment.csv",168

"ATL201905150",69,"On-field Delay"2019ATL.EVN.regular.comment.csv",169

"ATL201905160",4,"$Cardinals challenged call that Ozuna was out at 1st; call was upheld - double play"2019ATL.EVN.regular.comment.csv",170

"ATL201905160",14,"$Umpire review of ball hit by Riley; call was upheld - double"2019ATL.EVN.regular.comment.csv",171

"ATL201905160",16,"Mound Visit"2019ATL.EVN.regular.comment.csv",172

"ATL201905160",32,"On-field Delay"2019ATL.EVN.regular.comment.csv",173

"ATL201905160",35,"On-field Delay umpchange,5,umphome.wolfj901 umpchange,5,ump1b,iassd901 umpchange,5,ump2b,(None) $HP umpire Gonzalez left with stomach flu; 1B umpire Wolf went behind plate and 2B umpire Iassogna moved to 1B; game completed with 3 umpires"2019ATL.EVN.regular.comment.csv",174

"ATL201905160",39,"Mound Visit"2019ATL.EVN.regular.comment.csv",175

"ATL201905160",45,"Mound Visit"2019ATL.EVN.regular.comment.csv",176

"ATL201905160",50,"Mound Visit"2019ATL.EVN.regular.comment.csv",177

"ATL201905160",55,"Mound Visit"2019ATL.EVN.regular.comment.csv",178

"ATL201905160",72,"Mound Visit"2019ATL.EVN.regular.comment.csv",179

"ATL201905160",76,"Injury Delay"2019ATL.EVN.regular.comment.csv",180

"ATL201905170",13,"Mound Visit"2019ATL.EVN.regular.comment.csv",181

"ATL201905170",20,"Injury Delay"2019ATL.EVN.regular.comment.csv",182

"ATL201905170",26,"On-field Delay"2019ATL.EVN.regular.comment.csv",183

"ATL201905170",51,"Mound Visit"2019ATL.EVN.regular.comment.csv",184

"ATL201905170",55,"Mound Visit"2019ATL.EVN.regular.comment.csv",185

"ATL201905170",57,"Mound Visit"2019ATL.EVN.regular.comment.csv",186

"ATL201905170",58,"$Brewers challenged call that Albies was safe at 1st; call was upheld - single"2019ATL.EVN.regular.comment.csv",187

"ATL201905170",87,"Mound Visit"2019ATL.EVN.regular.comment.csv",188

"ATL201905170",88,"Mound Visit"2019ATL.EVN.regular.comment.csv",189

"ATL201905170",90,"Mound Visit"2019ATL.EVN.regular.comment.csv",190

"ATL201905180",7,"Mound Visit"2019ATL.EVN.regular.comment.csv",191

"ATL201905180",31,"Mound Visit"2019ATL.EVN.regular.comment.csv",192

"ATL201905180",49,"Mound Visit"2019ATL.EVN.regular.comment.csv",193

"ATL201905180",52,"Mound Visit"2019ATL.EVN.regular.comment.csv",194

"ATL201905180",53,"Mound Visit"2019ATL.EVN.regular.comment.csv",195

"ATL201905180",55,"Mound Visit"2019ATL.EVN.regular.comment.csv",196

"ATL201905180",57,"Mound Visit"2019ATL.EVN.regular.comment.csv",197

"ATL201905180",62,"Mound Visit"2019ATL.EVN.regular.comment.csv",198

"ATL201905180",63,"Mound Visit"2019ATL.EVN.regular.comment.csv",199

"ATL201905180",71,"Mound Visit"2019ATL.EVN.regular.comment.csv",200

"ATL201905180",76,"Mound Visit"2019ATL.EVN.regular.comment.csv",201

"ATL201905190",31,"On-field Delay ej,counc001,M,onorb901,Arguing foul ball $Milwaukee manager Counsell ejected by HP umpire O'Nora for arguing that ball hit by Arcia was off his foot and a foul"2019ATL.EVN.regular.comment.csv",202

"ATL201905190",45,"Mound Visit"2019ATL.EVN.regular.comment.csv",203

"ATL201905190",55,"Mound Visit"2019ATL.EVN.regular.comment.csv",204

"ATL201905190",60,"Mound Visit"2019ATL.EVN.regular.comment.csv",205

"ATL201905190",61,"Mound Visit"2019ATL.EVN.regular.comment.csv",206

"ATL201905190",73,"Mound Visit"2019ATL.EVN.regular.comment.csv",207

"ATL201905280",29,"Mound Visit"2019ATL.EVN.regular.comment.csv",208

"ATL201905280",35,"Mound Visit"2019ATL.EVN.regular.comment.csv",209

"ATL201905280",51,"Mound Visit"2019ATL.EVN.regular.comment.csv",210

"ATL201905280",52,"Mound Visit"2019ATL.EVN.regular.comment.csv",211

"ATL201905280",53,"Mound Visit"2019ATL.EVN.regular.comment.csv",212

"ATL201905280",66,"$Braves challenged call that Acuna was not hit by pitch; call was upheld - ball"2019ATL.EVN.regular.comment.csv",213

"ATL201905280",73,"Mound Visit"2019ATL.EVN.regular.comment.csv",214

"ATL201905280",73,"Mound Visit"2019ATL.EVN.regular.comment.csv",215

"ATL201905280",78,"Mound Visit"2019ATL.EVN.regular.comment.csv",216

"ATL201905290",6,"Mound Visit"2019ATL.EVN.regular.comment.csv",217

"ATL201905290",7,"Mound Visit"2019ATL.EVN.regular.comment.csv",218

"ATL201905290",17,"Mound Visit"2019ATL.EVN.regular.comment.csv",219

"ATL201905290",60,"Mound Visit"2019ATL.EVN.regular.comment.csv",220

"ATL201905290",66,"Mound Visit"2019ATL.EVN.regular.comment.csv",221

"ATL201905310",35,"$Braves challenged call that Jones was safe at 3rd; call was upheld - triple"2019ATL.EVN.regular.comment.csv",222

"ATL201905310",49,"$Cabrera left with an injured knee"2019ATL.EVN.regular.comment.csv",223

"ATL201905310",59,"Mound Visit"2019ATL.EVN.regular.comment.csv",224

"ATL201905310",62,"Mound Visit"2019ATL.EVN.regular.comment.csv",225

"ATL201905310",63,"Mound Visit"2019ATL.EVN.regular.comment.csv",226

"ATL201905310",65,"Injury Delay"2019ATL.EVN.regular.comment.csv",227

"ATL201906010",35,"Mound Visit"2019ATL.EVN.regular.comment.csv",228

"ATL201906010",40,"Mound Visit $Braves challenged call that Soroka was out at 1st; call was overturned - safe on E1 and sacrifice"2019ATL.EVN.regular.comment.csv",229

"ATL201906010",49,"Mound Visit"2019ATL.EVN.regular.comment.csv",230

"ATL201906010",55,"Mound Visit"2019ATL.EVN.regular.comment.csv",231

"ATL201906010",64,"Mound Visit"2019ATL.EVN.regular.comment.csv",232

"ATL201906010",70,"$Tigers challenged call that Flowers was safe at 1st; call was upheld - single"2019ATL.EVN.regular.comment.csv",233

"ATL201906020",39,"Mound Visit"2019ATL.EVN.regular.comment.csv",234

"ATL201906020",40,"Mound Visit"2019ATL.EVN.regular.comment.csv",235

"ATL201906020",41,"Mound Visit"2019ATL.EVN.regular.comment.csv",236

"ATL201906020",45,"Mound Visit"2019ATL.EVN.regular.comment.csv",237

"ATL201906020",58,"Mound Visit"2019ATL.EVN.regular.comment.csv",238

"ATL201906020",65,"$Tigers challenged call that Dixon was out at 2nd; call was upheld - force out"2019ATL.EVN.regular.comment.csv",239

"ATL201906020",67,"Mound Visit"2019ATL.EVN.regular.comment.csv",240

"ATL201906020",72,"Mound Visit"2019ATL.EVN.regular.comment.csv",241

"ATL201906020",73,"Mound Visit"2019ATL.EVN.regular.comment.csv",242

"ATL201906100",9,"On-field Delay ej,donaj001,P,gormb901,Scrum after hit by pitch ej,musgj001,P,gormb901,Scrum after hit by pitch ej,hurdc001,M,gormb901,Arguing ejection $Donaldson, Musgrove, and Pirate manager Hurdle ejected by HP umpire Gorman; pitch hit Donaldson by brushing his jersey; as he went to first, he talked to Musgrove who walked toward him; both benches emptied and there was much pushing and shoving but no fighting; after the scrum settled down, Hurdle was ejected for arguing Musgrove's ejection"2019ATL.EVN.regular.comment.csv",243

"ATL201906100",9,"Mound Visit"2019ATL.EVN.regular.comment.csv",244

"ATL201906100",17,"Mound Visit"2019ATL.EVN.regular.comment.csv",245

"ATL201906100",21,"Mound Visit"2019ATL.EVN.regular.comment.csv",246

"ATL201906100",22,"$Braves challenged call that Swanson was out at 2nd; call was overturned - safe advancing on fly ball"2019ATL.EVN.regular.comment.csv",247

"ATL201906100",28,"Mound Visit"2019ATL.EVN.regular.comment.csv",248

"ATL201906100",30,"Mound Visit"2019ATL.EVN.regular.comment.csv",249

"ATL201906100",40,"Mound Visit"2019ATL.EVN.regular.comment.csv",250

"ATL201906100",41,"$Umpire review of ball hit by Freeman; call was upheld - homer"2019ATL.EVN.regular.comment.csv",251

"ATL201906100",71,"Mound Visit"2019ATL.EVN.regular.comment.csv",252

"ATL201906100",73,"Mound Visit"2019ATL.EVN.regular.comment.csv",253

"ATL201906100",74,"Mound Visit"2019ATL.EVN.regular.comment.csv",254

"ATL201906100",78,"$Braves challenged call that Freeman was out at 2nd; call was upheld - caught stealing"2019ATL.EVN.regular.comment.csv",255

"ATL201906110",17,"Mound Visit"2019ATL.EVN.regular.comment.csv",256

"ATL201906110",18,"Mound Visit"2019ATL.EVN.regular.comment.csv",257

"ATL201906110",33,"Mound Visit"2019ATL.EVN.regular.comment.csv",258

"ATL201906110",55,"Mound Visit"2019ATL.EVN.regular.comment.csv",259

"ATL201906110",61,"Mound Visit"2019ATL.EVN.regular.comment.csv",260

"ATL201906110",70,"Mound Visit"2019ATL.EVN.regular.comment.csv",261

"ATL201906110",71,"$Braves challenged call that Reynolds missed a base; call was upheld - triple"2019ATL.EVN.regular.comment.csv",262

"ATL201906110",71,"Mound Visit"2019ATL.EVN.regular.comment.csv",263

"ATL201906110",75,"Mound Visit"2019ATL.EVN.regular.comment.csv",264

"ATL201906110",76,"$Game called for rain after delay of 1:48; sub counts"2019ATL.EVN.regular.comment.csv",265

"ATL201906120",8,"Mound Visit"2019ATL.EVN.regular.comment.csv",266

"ATL201906120",39,"Mound Visit"2019ATL.EVN.regular.comment.csv",267

"ATL201906120",80,"Mound Visit"2019ATL.EVN.regular.comment.csv",268

"ATL201906120",92,"Mound Visit"2019ATL.EVN.regular.comment.csv",269

"ATL201906120",102,"Mound Visit Mound Visit"2019ATL.EVN.regular.comment.csv",270

"ATL201906120",105,"Injury Delay"2019ATL.EVN.regular.comment.csv",271

"ATL201906130",2,"$Pirates challenged call that Newman was out at 2nd; call was upheld - caught stealing"2019ATL.EVN.regular.comment.csv",272

"ATL201906130",19,"Mound Visit"2019ATL.EVN.regular.comment.csv",273

"ATL201906130",31,"Mound Visit"2019ATL.EVN.regular.comment.csv",274

"ATL201906130",38,"ej,snitb801,M,gibsh902,Arguing called strike 3 $Atlanta manager Snitker ejected by HP umpire Gibson for arguing called strike 3"2019ATL.EVN.regular.comment.csv",275

"ATL201906130",45,"Mound Visit"2019ATL.EVN.regular.comment.csv",276

"ATL201906130",46,"Mound Visit"2019ATL.EVN.regular.comment.csv",277

"ATL201906130",55,"Injury Delay"2019ATL.EVN.regular.comment.csv",278

"ATL201906130",60,"Mound Visit"2019ATL.EVN.regular.comment.csv",279

"ATL201906130",61,"Mound Visit"2019ATL.EVN.regular.comment.csv",280

"ATL201906130",63,"Mound Visit"2019ATL.EVN.regular.comment.csv",281

"ATL201906130",80,"Mound Visit"2019ATL.EVN.regular.comment.csv",282

"ATL201906140",23,"Mound Visit"2019ATL.EVN.regular.comment.csv",283

"ATL201906140",28,"Mound Visit"2019ATL.EVN.regular.comment.csv",284

"ATL201906140",40,"Mound Visit"2019ATL.EVN.regular.comment.csv",285

"ATL201906140",42,"$Braves challenged clal that Albies was out at 1st; call was overturned - single"2019ATL.EVN.regular.comment.csv",286

"ATL201906140",61,"Mound Visit"2019ATL.EVN.regular.comment.csv",287

"ATL201906140",62,"Mound Visit"2019ATL.EVN.regular.comment.csv",288

"ATL201906140",69,"Mound Visit"2019ATL.EVN.regular.comment.csv",289

"ATL201906140",72,"Mound Visit"2019ATL.EVN.regular.comment.csv",290

"ATL201906140",78,"Mound Visit"2019ATL.EVN.regular.comment.csv",291

"ATL201906140",83,"Mound Visit"2019ATL.EVN.regular.comment.csv",292

"ATL201906140",85,"Mound Visit"2019ATL.EVN.regular.comment.csv",293

"ATL201906150",8,"$Phillies challenged call that Donaldson's ball was fair; call was upheld - single"2019ATL.EVN.regular.comment.csv",294

"ATL201906150",21,"Injury Delay $Realmuto hit line drive off pitcher's head; ball caromed into visitor's dugout for ground rule double"2019ATL.EVN.regular.comment.csv",295

"ATL201906150",24,"$Braves challenged call that Bruce was safe at home; call was overturned - out at home"2019ATL.EVN.regular.comment.csv",296

"ATL201906150",33,"$Bruce left with hamstring tightness"2019ATL.EVN.regular.comment.csv",297

"ATL201906150",43,"Mound Visit Injury Delay Mound Visit"2019ATL.EVN.regular.comment.csv",298

"ATL201906150",44,"$Foul hit by Freeman hit Realmuto in groin; he left with nausea after next inning"2019ATL.EVN.regular.comment.csv",299

"ATL201906150",45,"Mound Visit"2019ATL.EVN.regular.comment.csv",300

"ATL201906150",48,"Mound Visit"2019ATL.EVN.regular.comment.csv",301

"ATL201906150",59,"Mound Visit"2019ATL.EVN.regular.comment.csv",302

"ATL201906150",60,"Mound Visit"2019ATL.EVN.regular.comment.csv",303

"ATL201906150",61,"Mound Visit"2019ATL.EVN.regular.comment.csv",304

"ATL201906160",8,"Mound Visit"2019ATL.EVN.regular.comment.csv",305

"ATL201906160",19,"Phillies challenged call that Velasquez was out at 1st after rounding base too far; call was overturned - safe returning"2019ATL.EVN.regular.comment.csv",306

"ATL201906160",22,"Mound Visit"2019ATL.EVN.regular.comment.csv",307

"ATL201906160",25,"Mound Visit"2019ATL.EVN.regular.comment.csv",308

"ATL201906160",39,"On-field Delay"2019ATL.EVN.regular.comment.csv",309

"ATL201906160",42,"Mound Visit"2019ATL.EVN.regular.comment.csv",310

"ATL201906160",72,"Mound Visit"2019ATL.EVN.regular.comment.csv",311

"ATL201906170",46,"Mound Visit"2019ATL.EVN.regular.comment.csv",312

"ATL201906170",59,"Mound Visit"2019ATL.EVN.regular.comment.csv",313

