"PHI201903280",13,"Mound Visit"FILENAME_TX","LINE_NUMBER_CT"
"PHI201904100",32,"Mound Visit"2019PHI.EVN.regular.comment.csv",72

"PHI201904100",33,"Mound Visit"2019PHI.EVN.regular.comment.csv",73

"PHI201904100",53,"Mound Visit"2019PHI.EVN.regular.comment.csv",74

"PHI201904100",59,"Mound Visit"2019PHI.EVN.regular.comment.csv",75

"PHI201904100",65,"Mound Visit"2019PHI.EVN.regular.comment.csv",76

"PHI201904100",71,"Injury Delay"2019PHI.EVN.regular.comment.csv",77

"PHI201904100",86,"Mound Visit"2019PHI.EVN.regular.comment.csv",78

"PHI201904150",11,"Injury Delay"2019PHI.EVN.regular.comment.csv",79

"PHI201904150",27,"Mound Visit"2019PHI.EVN.regular.comment.csv",80

"PHI201904150",34,"Mound Visit"2019PHI.EVN.regular.comment.csv",81

"PHI201904150",38,"Mound Visit"2019PHI.EVN.regular.comment.csv",82

"PHI201904150",46,"Mound Visit"2019PHI.EVN.regular.comment.csv",83

"PHI201904150",54,"Mound Visit"2019PHI.EVN.regular.comment.csv",84

"PHI201904150",73,"Mound Visit $Phillies challenged call that Lagares was out at 2nd; call was overturned - safe on error and out stretching"2019PHI.EVN.regular.comment.csv",85

"PHI201904150",77,"Mound Visit"2019PHI.EVN.regular.comment.csv",86

"PHI201904150",80,"Mound Visit"2019PHI.EVN.regular.comment.csv",87

"PHI201904150",89,"Mound Visit"2019PHI.EVN.regular.comment.csv",88

"PHI201904160",7,"Injury Delay"2019PHI.EVN.regular.comment.csv",89

"PHI201904160",9,"Mound Visit"2019PHI.EVN.regular.comment.csv",90

"PHI201904160",12,"Mound Visit"2019PHI.EVN.regular.comment.csv",91

"PHI201904160",12,"$Nimmo left with injured neck"2019PHI.EVN.regular.comment.csv",92

"PHI201904160",18,"$Segura left with injured leg"2019PHI.EVN.regular.comment.csv",93

"PHI201904160",34,"On-field Delay"2019PHI.EVN.regular.comment.csv",94

"PHI201904160",48,"Mound Visit"2019PHI.EVN.regular.comment.csv",95

"PHI201904160",61,"Mound Visit"2019PHI.EVN.regular.comment.csv",96

"PHI201904160",62,"Mound Visit"2019PHI.EVN.regular.comment.csv",97

"PHI201904170",26,"Mound Visit"2019PHI.EVN.regular.comment.csv",98

"PHI201904170",34,"Injury Delay"2019PHI.EVN.regular.comment.csv",99

"PHI201904170",56,"$Mets challenged call that Broxton was out at 1st; call was upheld - ground out"2019PHI.EVN.regular.comment.csv",100

"PHI201904170",62,"Mound Visit"2019PHI.EVN.regular.comment.csv",101

"PHI201904170",64,"Mound Visit"2019PHI.EVN.regular.comment.csv",102

"PHI201904170",66,"Mound Visit"2019PHI.EVN.regular.comment.csv",103

"PHI201904170",67,"Injury Delay"2019PHI.EVN.regular.comment.csv",104

"PHI201904250",43,"Mound Visit"2019PHI.EVN.regular.comment.csv",105

"PHI201904250",49,"Mound Visit"2019PHI.EVN.regular.comment.csv",106

"PHI201904250",50,"Mound Visit"2019PHI.EVN.regular.comment.csv",107

"PHI201904250",53,"$Fan interference"2019PHI.EVN.regular.comment.csv",108

"PHI201904250",54,"Mound Visit"2019PHI.EVN.regular.comment.csv",109

"PHI201904250",59,"Mound Visit"2019PHI.EVN.regular.comment.csv",110

"PHI201904250",60,"Mound Visit"2019PHI.EVN.regular.comment.csv",111

"PHI201904250",74,"Mound Visit"2019PHI.EVN.regular.comment.csv",112

"PHI201904260",0,"$Rain delay of 1 hour 33 minutes at start"2019PHI.EVN.regular.comment.csv",113

"PHI201904260",10,"$Phillies challenged call that Alfaro was safe at 1st; call was overturned - ground out"2019PHI.EVN.regular.comment.csv",114

"PHI201904260",31,"$Batter's interference"2019PHI.EVN.regular.comment.csv",115

"PHI201904260",42,"Mound Visit"2019PHI.EVN.regular.comment.csv",116

"PHI201904260",49,"Mound Visit"2019PHI.EVN.regular.comment.csv",117

"PHI201904260",53,"Mound Visit"2019PHI.EVN.regular.comment.csv",118

"PHI201904260",54,"Mound Visit"2019PHI.EVN.regular.comment.csv",119

"PHI201904260",61,"Mound Visit"2019PHI.EVN.regular.comment.csv",120

"PHI201904270",12,"On-field Delay"2019PHI.EVN.regular.comment.csv",121

"PHI201904270",20,"Mound Visit"2019PHI.EVN.regular.comment.csv",122

"PHI201904270",21,"Injury Delay"2019PHI.EVN.regular.comment.csv",123

"PHI201904270",49,"Mound Visit"2019PHI.EVN.regular.comment.csv",124

"PHI201904270",50,"Mound Visit"2019PHI.EVN.regular.comment.csv",125

"PHI201904270",51,"Mound Visit"2019PHI.EVN.regular.comment.csv",126

"PHI201904270",56,"Mound Visit"2019PHI.EVN.regular.comment.csv",127

"PHI201904270",57,"Mound Visit"2019PHI.EVN.regular.comment.csv",128

"PHI201904270",65,"Mound Visit"2019PHI.EVN.regular.comment.csv",129

"PHI201904270",76,"Mound Visit $Marlins challenged call that Granderson was out at 1st; call was upheld - ground out"2019PHI.EVN.regular.comment.csv",130

"PHI201904270",84,"$originally scored as E6, changed to single on 04-28-2019"2019PHI.EVN.regular.comment.csv",131

"PHI201904270",89,"Mound Visit"2019PHI.EVN.regular.comment.csv",132

"PHI201904280",43,"Mound Visit"2019PHI.EVN.regular.comment.csv",133

"PHI201904280",46,"Mound Visit"2019PHI.EVN.regular.comment.csv",134

"PHI201904280",65,"Mound Visit"2019PHI.EVN.regular.comment.csv",135

"PHI201904300",24,"Mound Visit"2019PHI.EVN.regular.comment.csv",136

"PHI201904300",25,"Mound Visit"2019PHI.EVN.regular.comment.csv",137

"PHI201904300",37,"Mound Visit"2019PHI.EVN.regular.comment.csv",138

"PHI201905010",1,"Mound Visit"2019PHI.EVN.regular.comment.csv",139

"PHI201905010",12,"$Phillies challenged call that Realmuto was out, claiming fly had been trapped; call was overturned - single"2019PHI.EVN.regular.comment.csv",140

"PHI201905010",26,"Injury Delay"2019PHI.EVN.regular.comment.csv",141

"PHI201905010",41,"$Tigers challenged call that Goodrum was out at 2nd; call was upheld - caught stealing"2019PHI.EVN.regular.comment.csv",142

"PHI201905010",43,"Mound Visit"2019PHI.EVN.regular.comment.csv",143

"PHI201905010",45,"Mound Visit"2019PHI.EVN.regular.comment.csv",144

"PHI201905010",59,"Injury Delay Mound Visit"2019PHI.EVN.regular.comment.csv",145

"PHI201905010",60,"Mound Visit"2019PHI.EVN.regular.comment.csv",146

"PHI201905010",64,"Mound Visit"2019PHI.EVN.regular.comment.csv",147

"PHI201905010",69,"Mound Visit"2019PHI.EVN.regular.comment.csv",148

"PHI201905010",76,"Mound Visit"2019PHI.EVN.regular.comment.csv",149

"PHI201905030",16,"Mound Visit"2019PHI.EVN.regular.comment.csv",150

"PHI201905030",20,"Mound Visit"2019PHI.EVN.regular.comment.csv",151

"PHI201905030",33,"Mound Visit"2019PHI.EVN.regular.comment.csv",152

"PHI201905030",47,"Mound Visit"2019PHI.EVN.regular.comment.csv",153

"PHI201905030",51,"Mound Visit"2019PHI.EVN.regular.comment.csv",154

"PHI201905030",65,"On-field Delay"2019PHI.EVN.regular.comment.csv",155

"PHI201905040",9,"Mound Visit"2019PHI.EVN.regular.comment.csv",156

"PHI201905040",24,"$Adams left with injured shoulder"2019PHI.EVN.regular.comment.csv",157

"PHI201905040",50,"Mound Visit"2019PHI.EVN.regular.comment.csv",158

"PHI201905040",60,"Mound Visit"2019PHI.EVN.regular.comment.csv",159

"PHI201905040",66,"Mound Visit"2019PHI.EVN.regular.comment.csv",160

"PHI201905040",72,"Mound Visit"2019PHI.EVN.regular.comment.csv",161

"PHI201905040",72,"Mound Visit"2019PHI.EVN.regular.comment.csv",162

"PHI201905040",79,"Mound Visit"2019PHI.EVN.regular.comment.csv",163

"PHI201905040",80,"Injury Delay"2019PHI.EVN.regular.comment.csv",164

"PHI201905040",81,"$Phillies challenged call that Dozier was safe at 3rd; call was upheld - safe advancing to 3rd on single"2019PHI.EVN.regular.comment.csv",165

"PHI201905040",88,"Mound Visit"2019PHI.EVN.regular.comment.csv",166

"PHI201905050",8,"Mound Visit"2019PHI.EVN.regular.comment.csv",167

"PHI201905050",43,"Mound Visit"2019PHI.EVN.regular.comment.csv",168

"PHI201905050",52,"Mound Visit"2019PHI.EVN.regular.comment.csv",169

"PHI201905050",59,"Mound Visit"2019PHI.EVN.regular.comment.csv",170

"PHI201905130",2,"$Umpire review of ball hit by Yelich; call was upheld - double"2019PHI.EVN.regular.comment.csv",171

"PHI201905130",4,"Mound Visit"2019PHI.EVN.regular.comment.csv",172

"PHI201905130",6,"Mound Visit"2019PHI.EVN.regular.comment.csv",173

"PHI201905130",21,"Mound Visit"2019PHI.EVN.regular.comment.csv",174

"PHI201905130",22,"Mound Visit"2019PHI.EVN.regular.comment.csv",175

"PHI201905130",40,"Mound Visit"2019PHI.EVN.regular.comment.csv",176

"PHI201905130",43,"Mound Visit"2019PHI.EVN.regular.comment.csv",177

"PHI201905130",51,"Mound Visit"2019PHI.EVN.regular.comment.csv",178

"PHI201905130",62,"Mound Visit"2019PHI.EVN.regular.comment.csv",179

"PHI201905130",69,"Mound Visit"2019PHI.EVN.regular.comment.csv",180

"PHI201905130",72,"Mound Visit"2019PHI.EVN.regular.comment.csv",181

"PHI201905130",73,"Mound Visit"2019PHI.EVN.regular.comment.csv",182

"PHI201905130",77,"Mound Visit"2019PHI.EVN.regular.comment.csv",183

"PHI201905140",12,"Injury Delay"2019PHI.EVN.regular.comment.csv",184

"PHI201905140",17,"$Phillies challenged call that Herrera was out at 2nd; call was overturned - stolen base"2019PHI.EVN.regular.comment.csv",185

"PHI201905140",34,"Mound Visit"2019PHI.EVN.regular.comment.csv",186

"PHI201905140",47,"Injury Delay"2019PHI.EVN.regular.comment.csv",187

"PHI201905140",61,"Mound Visit"2019PHI.EVN.regular.comment.csv",188

"PHI201905140",79,"Mound Visit"2019PHI.EVN.regular.comment.csv",189

"PHI201905150",2,"Injury Delay"2019PHI.EVN.regular.comment.csv",190

"PHI201905150",18,"Mound Visit"2019PHI.EVN.regular.comment.csv",191

"PHI201905150",22,"Mound Visit"2019PHI.EVN.regular.comment.csv",192

"PHI201905150",28,"Mound Visit"2019PHI.EVN.regular.comment.csv",193

"PHI201905150",32,"$Pina left with injured leg"2019PHI.EVN.regular.comment.csv",194

"PHI201905150",47,"Injury Delay"2019PHI.EVN.regular.comment.csv",195

"PHI201905150",50,"Mound Visit"2019PHI.EVN.regular.comment.csv",196

"PHI201905150",56,"Mound Visit"2019PHI.EVN.regular.comment.csv",197

"PHI201905150",63,"Mound Visit"2019PHI.EVN.regular.comment.csv",198

"PHI201905150",70,"Mound Visit"2019PHI.EVN.regular.comment.csv",199

"PHI201905150",75,"Mound Visit"2019PHI.EVN.regular.comment.csv",200

"PHI201905150",77,"$Braun's advance originally scoreed as defensive indifference;  changed sto stolen base on 05-16-2019"2019PHI.EVN.regular.comment.csv",201

"PHI201905160",23,"Mound Visit"2019PHI.EVN.regular.comment.csv",202

"PHI201905160",42,"Mound Visit"2019PHI.EVN.regular.comment.csv",203

"PHI201905160",46,"Mound Visit"2019PHI.EVN.regular.comment.csv",204

"PHI201905160",58,"Mound Visit"2019PHI.EVN.regular.comment.csv",205

"PHI201905160",62,"Mound Visit"2019PHI.EVN.regular.comment.csv",206

"PHI201905160",63,"Mound Visit"2019PHI.EVN.regular.comment.csv",207

"PHI201905170",6,"On-field Delay"2019PHI.EVN.regular.comment.csv",208

"PHI201905170",12,"$Phillies challenged call that Rodgers was safe at 1st; call was upheld - safe on fielder's choice"2019PHI.EVN.regular.comment.csv",209

"PHI201905170",13,"Mound Visit"2019PHI.EVN.regular.comment.csv",210

"PHI201905170",34,"Mound Visit"2019PHI.EVN.regular.comment.csv",211

"PHI201905170",42,"Mound Visit"2019PHI.EVN.regular.comment.csv",212

"PHI201905180",33,"Mound Visit"2019PHI.EVN.regular.comment.csv",213

"PHI201905180",54,"On-field Delay $Umpire review of ball hit by Wolters; call upheld - triple"2019PHI.EVN.regular.comment.csv",214

"PHI201905180",55,"Mound Visit"2019PHI.EVN.regular.comment.csv",215

"PHI201905180",56,"Mound Visit"2019PHI.EVN.regular.comment.csv",216

"PHI201905180",57,"Mound Visit"2019PHI.EVN.regular.comment.csv",217

"PHI201905180",58,"Mound Visit"2019PHI.EVN.regular.comment.csv",218

"PHI201905180",62,"Mound Visit"2019PHI.EVN.regular.comment.csv",219

"PHI201905180",63,"Mound Visit"2019PHI.EVN.regular.comment.csv",220

"PHI201905180",63,"Mound Visit"2019PHI.EVN.regular.comment.csv",221

"PHI201905190",18,"Mound Visit"2019PHI.EVN.regular.comment.csv",222

"PHI201905190",20,"Mound Visit"2019PHI.EVN.regular.comment.csv",223

"PHI201905190",22,"Mound Visit"2019PHI.EVN.regular.comment.csv",224

"PHI201905190",45,"Mound Visit"2019PHI.EVN.regular.comment.csv",225

"PHI201905190",50,"Mound Visit"2019PHI.EVN.regular.comment.csv",226

"PHI201905190",52,"Mound Visit"2019PHI.EVN.regular.comment.csv",227

"PHI201905190",55,"Mound Visit"2019PHI.EVN.regular.comment.csv",228

"PHI201905190",62,"Mound Visit"2019PHI.EVN.regular.comment.csv",229

"PHI201905280",4,"Mound Visit"2019PHI.EVN.regular.comment.csv",230

"PHI201905280",30,"Mound Visit"2019PHI.EVN.regular.comment.csv",231

"PHI201905280",43,"Mound Visit"2019PHI.EVN.regular.comment.csv",232

"PHI201905280",53,"Mound Visit"2019PHI.EVN.regular.comment.csv",233

"PHI201905290",10,"On-field Delay On-field Delay $Hernandez in rundown between 1st and 2nd, then Hoskins broke for home and was out in a second rundown"2019PHI.EVN.regular.comment.csv",234

"PHI201905290",26,"Mound Visit"2019PHI.EVN.regular.comment.csv",235

"PHI201905290",35,"Mound Visit"2019PHI.EVN.regular.comment.csv",236

"PHI201905290",47,"Mound Visit"2019PHI.EVN.regular.comment.csv",237

"PHI201905290",49,"Mound Visit"2019PHI.EVN.regular.comment.csv",238

"PHI201905290",49,"Injury Delay"2019PHI.EVN.regular.comment.csv",239

"PHI201905290",68,"Mound Visit"2019PHI.EVN.regular.comment.csv",240

"PHI201905300",44,"Mound Visit"2019PHI.EVN.regular.comment.csv",241

"PHI201905300",49,"Mound Visit"2019PHI.EVN.regular.comment.csv",242

"PHI201905300",61,"Mound Visit"2019PHI.EVN.regular.comment.csv",243

"PHI201905300",62,"Mound Visit"2019PHI.EVN.regular.comment.csv",244

"PHI201905300",65,"Mound Visit"2019PHI.EVN.regular.comment.csv",245

"PHI201905300",68,"Mound Visit"2019PHI.EVN.regular.comment.csv",246

"PHI201906070",30,"On-field Delay"2019PHI.EVN.regular.comment.csv",247

"PHI201906070",38,"Mound Visit"2019PHI.EVN.regular.comment.csv",248

"PHI201906070",47,"Mound Visit"2019PHI.EVN.regular.comment.csv",249

"PHI201906070",54,"Mound Visit"2019PHI.EVN.regular.comment.csv",250

"PHI201906070",65,"Mound Visit"2019PHI.EVN.regular.comment.csv",251

"PHI201906070",72,"Mound Visit"2019PHI.EVN.regular.comment.csv",252

"PHI201906080",9,"Mound Visit"2019PHI.EVN.regular.comment.csv",253

"PHI201906080",56,"Mound Visit"2019PHI.EVN.regular.comment.csv",254

"PHI201906090",26,"Mound Visit"2019PHI.EVN.regular.comment.csv",255

"PHI201906090",27,"$Popup lost in sun; Phillies challenged call that Harper was out at home, claiming slide interference by catcher; slide interference was disallowed, but out call overturned"2019PHI.EVN.regular.comment.csv",256

"PHI201906090",49,"Mound Visit"2019PHI.EVN.regular.comment.csv",257

"PHI201906090",54,"Injury Delay"2019PHI.EVN.regular.comment.csv",258

"PHI201906090",55,"Mound Visit"2019PHI.EVN.regular.comment.csv",259

"PHI201906090",57,"Mound Visit"2019PHI.EVN.regular.comment.csv",260

"PHI201906090",61,"Mound Visit"2019PHI.EVN.regular.comment.csv",261

"PHI201906090",69,"Mound Visit"2019PHI.EVN.regular.comment.csv",262

"PHI201906100",24,"$Phillies challenged call that Segura was out at 1st to complete double play; call was overturned - force out, no DP"2019PHI.EVN.regular.comment.csv",263

"PHI201906100",25,"On-field Delay $Phillies challenged call that Segura was out at 2nd; call was overturned - stolen base"2019PHI.EVN.regular.comment.csv",264

"PHI201906100",27,"Mound Visit"2019PHI.EVN.regular.comment.csv",265

"PHI201906100",31,"Mound Visit"2019PHI.EVN.regular.comment.csv",266

"PHI201906100",33,"Mound Visit"2019PHI.EVN.regular.comment.csv",267

"PHI201906100",40,"Mound Visit"2019PHI.EVN.regular.comment.csv",268

"PHI201906100",41,"Mound Visit"2019PHI.EVN.regular.comment.csv",269

"PHI201906100",78,"$Umpire review of ball hit by Williams; call overturned from home run to double"2019PHI.EVN.regular.comment.csv",270

"PHI201906100",83,"Mound Visit"2019PHI.EVN.regular.comment.csv",271

"PHI201906100",91,"$Phillies challenged call that Kingery was out at 1st; call was upheld - ground out"2019PHI.EVN.regular.comment.csv",272

"PHI201906110",3,"$Phillies challenged call that Escobar was safe at 1st; call was upheld - safe on pickoff attempt"2019PHI.EVN.regular.comment.csv",273

"PHI201906110",7,"Injury Delay"2019PHI.EVN.regular.comment.csv",274

"PHI201906110",15,"Mound Visit"2019PHI.EVN.regular.comment.csv",275

"PHI201906110",55,"Mound Visit"2019PHI.EVN.regular.comment.csv",276

"PHI201906110",65,"Mound Visit"2019PHI.EVN.regular.comment.csv",277

"PHI201906110",70,"Mound Visit"2019PHI.EVN.regular.comment.csv",278

"PHI201906110",72,"Mound Visit"2019PHI.EVN.regular.comment.csv",279

"PHI201906120",43,"Injury Delay"2019PHI.EVN.regular.comment.csv",280

"PHI201906120",48,"$Phillies challenged call that Realmuto was out at 1st; call was overturned - single"2019PHI.EVN.regular.comment.csv",281

"PHI201906120",49,"$Diamondbacks challenged call that Kingery was safe at 1st; call was overturne - ground out"2019PHI.EVN.regular.comment.csv",282

"PHI201906120",54,"Mound Visit"2019PHI.EVN.regular.comment.csv",283

"PHI201906210",35,"Mound Visit"2019PHI.EVN.regular.comment.csv",284

"PHI201906210",37,"Mound Visit"2019PHI.EVN.regular.comment.csv",285

"PHI201906210",48,"Mound Visit"2019PHI.EVN.regular.comment.csv",286

"PHI201906210",61,"$Phillies challenged call that Ramirez was safe on pickoff attempt; call was upheld - safe at 1st"2019PHI.EVN.regular.comment.csv",287

"PHI201906210",67,"$Batter interference"2019PHI.EVN.regular.comment.csv",288

"PHI201906210",68,"Mound Visit"2019PHI.EVN.regular.comment.csv",289

"PHI201906210",69,"Mound Visit"2019PHI.EVN.regular.comment.csv",290

"PHI201906210",69,"Mound Visit"2019PHI.EVN.regular.comment.csv",291

"PHI201906220",21,"Mound Visit"2019PHI.EVN.regular.comment.csv",292

"PHI201906220",28,"On-field Delay ej,kaplg001,M,guccc901,Arguing balls and strikes $Philadelphia manager ejected by HP umpire Guccione; pitch hit Kingery on hand, but on appeal 1B umpire Everitt ruled that he had swung so it was strike 3; Kapler claimed that Kingery had not swung which cannot be argued"2019PHI.EVN.regular.comment.csv",293

"PHI201906220",46,"Mound Visit"2019PHI.EVN.regular.comment.csv",294

"PHI201906220",47,"Mound Visit"2019PHI.EVN.regular.comment.csv",295

"PHI201906220",49,"Mound Visit"2019PHI.EVN.regular.comment.csv",296

"PHI201906220",50,"$First hit and RBI for Castillo in 3654 games (June 20, 2009)"2019PHI.EVN.regular.comment.csv",297

"PHI201906220",56,"Mound Visit"2019PHI.EVN.regular.comment.csv",298

"PHI201906220",68,"Mound Visit"2019PHI.EVN.regular.comment.csv",299

"PHI201906220",69,"Mound Visit"2019PHI.EVN.regular.comment.csv",300

"PHI201906220",71,"Mound Visit"2019PHI.EVN.regular.comment.csv",301

"PHI201906230",6,"$Phillies challenged call that Rojas was safe at home; call was overturned - out at home on single"2019PHI.EVN.regular.comment.csv",302

"PHI201906230",8,"Mound Visit"2019PHI.EVN.regular.comment.csv",303

"PHI201906230",9,"Mound Visit"2019PHI.EVN.regular.comment.csv",304

"PHI201906230",32,"Mound Visit"2019PHI.EVN.regular.comment.csv",305

"PHI201906230",43,"Mound Visit"2019PHI.EVN.regular.comment.csv",306

"PHI201906230",68,"Mound Visit"2019PHI.EVN.regular.comment.csv",307

"PHI201906230",71,"Mound Visit"2019PHI.EVN.regular.comment.csv",308

"PHI201906230",72,"$Phillies challenged call that Kingery was out at 1st; call was overturned - force out, no double play"2019PHI.EVN.regular.comment.csv",309

"PHI201906240",2,"$Mets challenged call that Alonso was out at 1st; call was overturned - single"2019PHI.EVN.regular.comment.csv",310

"PHI201906240",11,"Mound Visit"2019PHI.EVN.regular.comment.csv",311

"PHI201906240",37,"Mound Visit"2019PHI.EVN.regular.comment.csv",312

"PHI201906240",53,"Mound Visit"2019PHI.EVN.regular.comment.csv",313

"PHI201906240",66,"Mound Visit"2019PHI.EVN.regular.comment.csv",314

"PHI201906240",90,"$Mets challenged call that Frazier was out at 1st; call was upheld - out to complete double play"2019PHI.EVN.regular.comment.csv",315

"PHI201906250",14,"Mound Visit"2019PHI.EVN.regular.comment.csv",316

"PHI201906250",54,"Mound Visit"2019PHI.EVN.regular.comment.csv",317

"PHI201906250",58,"Mound Visit"2019PHI.EVN.regular.comment.csv",318

