"TBA200004110",71,"ej,vaugg001,P,millb901,Balls and strikes Greg Vaughn ejected by HP umpire Bill Miller"FILENAME_TX","LINE_NUMBER_CT"
"TBA200007010",32,"FLE3 somewhere in this inning"2000TBA.EVA.regular.comment.csv",21

"TBA200007010",52,"Debut game for Randy Choate"2000TBA.EVA.regular.comment.csv",22

"TBA200007010",57,"originally E9, not E3"2000TBA.EVA.regular.comment.csv",23

"TBA200007010",60,"ej,posaj001,P,reedr901,Fighting with Bobby Smith ej,smitr003,P,reedr901,Fighting with Jorge Posada $after Bobby Smith struck out, catcher Jorge Posada stepped in front of the plate to throw the ball to 3B; Smith pushed Posada slightly; Posada shoved Smith and they started wrestling; they fell to the ground with Smith on top, flailing away with both hands at Posada; the benches cleared and the players were separated; both were ejected by HP umpire Rick Reed"2000TBA.EVA.regular.comment.csv",24

"TBA200007140",24,"not clear why early sub"2000TBA.EVA.regular.comment.csv",25

"TBA200007160",0,"$Mgr Bobby Cox on five game suspension"2000TBA.EVA.regular.comment.csv",26

"TBA200007170",0,"$Mgr Bobby Cox on five game suspension"2000TBA.EVA.regular.comment.csv",27

"TBA200007180",0,"$Atlanta serving five game suspension"2000TBA.EVA.regular.comment.csv",28

"TBA200007180",71,"ej,rothl101,M,diazl901,Argued opposing pitcher threw at batter $Tampa manager Rothschild ejected by HP umpire Diaz for arguing that Maddux intentionally hit Canseco; after being ejected, Rothschild bumped Diaz and was suspended two games"2000TBA.EVA.regular.comment.csv",29

"TBA200008020",19,"Debut game for Aubrey Huff"2000TBA.EVA.regular.comment.csv",30

"TBA200008040",1,"Debut game for Travis Harper"2000TBA.EVA.regular.comment.csv",31

"TBA200008130",14,"$Abbott's ball landed on the top of the padding and stayed"2000TBA.EVA.regular.comment.csv",32

"TBA200008290",5,"ej,rothl101,M,mcclt901,Demanding Pedro Martinez' ejection ej,willg001,P,cuzzp901,Charging mound after HBP $Gerald Williams charged mound, knocked down Pedro Martinez then was tackled by Jason Varitek; both benches cleared; Williams ejected by HP umpire Phil Cuzzi; Devil Rays Manager Larry Rothschild ejected by 2B umpire Tim McClelland demanding that Martinez be ejected; this started a game-long beanball war which resulted in eight ejections; Martinez retired 24 consecutive batters after this HBP; Red Sox 1B Brian Daubach hurt his arm in the melee and was taken to the hospital for X-rays after the game"2000TBA.EVA.regular.comment.csv",33

"TBA200008290",18,"$the Devil Rays thought that Brian Daubach took some cheap shots in the scrum after Pedro Martinez hit Gerald Williams in the first inning; thus, they targeted Daubach"2000TBA.EVA.regular.comment.csv",34

"TBA200008290",20,"ej,eilad001,P,cuzzp901,Intentional HBP Dave Eiland ejected by HP umpire Phil Cuzzi"2000TBA.EVA.regular.comment.csv",35

"TBA200008290",23,"$Red Sox third baseman Lou Merloni left the game with a mild concussion suffered in the first-inning scrum when he was at the bottom of the pile"2000TBA.EVA.regular.comment.csv",36

"TBA200008290",47,"ej,lidlc001,P,cuzzp901,Throwing at batter ej,russb001,C,cuzzp901,Throwing at batter Cory Lidle's first pitch behind Brian Daubach; Lidle and and Devil Rays coach (and acting manager) Bill Russell ejected by HP umpire Phil Cuzzi"2000TBA.EVA.regular.comment.csv",37

"TBA200008290",48,"ej,fiort001,P,cuzzp901,Intentional HBP ej,cardj101,C,cuzzp901,Intentional HBP $Tony Fiore's first pitch was inside; his second pitch hit Brian Daubach; Fiore walked off mound towards dugout immediately after hitting Daubach; Fiore and coach (and acting manager) Jose Cardenal ejected by HP umpire Phil Cuzzi; both benches emptied again"2000TBA.EVA.regular.comment.csv",38

"TBA200008290",55,"ej,vaugg001,P,cuzzp901,Called third strike Greg Vaughn ejected by HP umpire Phil Cuzzi"2000TBA.EVA.regular.comment.csv",39

"TBA200008290",69,"$in the middle of the beanball war, Martinez (who started it all) took a no-hitter into the ninth; the only runner was Williams in the first who was hit by Martinez"2000TBA.EVA.regular.comment.csv",40

"TBA200008290",70,"$the first runner allowed by Pedro Martinez since the HBP in the first inning"2000TBA.EVA.regular.comment.csv",41

"TBA200008310",67,"Debut game for Scott Mullen"2000TBA.EVA.regular.comment.csv",42

"TBA200009020",51,"Debut game for Trevor Enders"2000TBA.EVA.regular.comment.csv",43

"TBA200009030",78,"Debut game for Damian Rolls"2000TBA.EVA.regular.comment.csv",44

"TBA200009150",59,"Debut game for Jose Ortiz"2000TBA.EVA.regular.comment.csv",45

"TBA200009150",65,"Debut game for Toby Hall"2000TBA.EVA.regular.comment.csv",46

"TBA200009150",73,"$both Giambis homer in the game"2000TBA.EVA.regular.comment.csv",47

"TBA200009150",90,"Debut game for Jon Ratliff"2000TBA.EVA.regular.comment.csv",48

"TBA200009180",68,"$Buhner's fly stuck in the catwalk 150 feet up"2000TBA.EVA.regular.comment.csv",49

"TBA200009280",10,"$Tino Martinez safe at 3B on double, but ball got past third baseman and Martinez was out trying to score"2000TBA.EVA.regular.comment.csv",50

"TBA200009300",57,"ej,lansm001,P,hollm901,Balls and strikes Mike Lansing ejected by HP umpire Matt Hollowell"2000TBA.EVA.regular.comment.csv",51

