"SDN201903280",41,"$Giants challenged call that Longoria was out at second; call was upheld - single and out stretching"FILENAME_TX","LINE_NUMBER_CT"
"SDN201905190",7,"Mound Visit"2019SDN.EVN.regular.comment.csv",146

"SDN201905190",53,"Mound Visit"2019SDN.EVN.regular.comment.csv",147

"SDN201905190",56,"Mound Visit"2019SDN.EVN.regular.comment.csv",148

"SDN201905190",63,"Mound Visit"2019SDN.EVN.regular.comment.csv",149

"SDN201905190",63,"Mound Visit"2019SDN.EVN.regular.comment.csv",150

"SDN201905190",67,"Mound Visit"2019SDN.EVN.regular.comment.csv",151

"SDN201905200",32,"On-field Delay"2019SDN.EVN.regular.comment.csv",152

"SDN201905200",37,"Mound Visit"2019SDN.EVN.regular.comment.csv",153

"SDN201905200",40,"Mound Visit On-field Delay"2019SDN.EVN.regular.comment.csv",154

"SDN201905200",44,"Mound Visit"2019SDN.EVN.regular.comment.csv",155

"SDN201905200",47,"Mound Visit Mound Visit"2019SDN.EVN.regular.comment.csv",156

"SDN201905200",48,"Mound Visit"2019SDN.EVN.regular.comment.csv",157

"SDN201905200",50,"Mound Visit"2019SDN.EVN.regular.comment.csv",158

"SDN201905200",61,"Mound Visit"2019SDN.EVN.regular.comment.csv",159

"SDN201905200",63,"Mound Visit"2019SDN.EVN.regular.comment.csv",160

"SDN201905220",7,"Mound Visit"2019SDN.EVN.regular.comment.csv",161

"SDN201905220",10,"Mound Visit"2019SDN.EVN.regular.comment.csv",162

"SDN201905220",17,"Injury Delay"2019SDN.EVN.regular.comment.csv",163

"SDN201905220",20,"Mound Visit"2019SDN.EVN.regular.comment.csv",164

"SDN201905220",70,"Mound Visit"2019SDN.EVN.regular.comment.csv",165

"SDN201905310",35,"Mound Visit"2019SDN.EVN.regular.comment.csv",166

"SDN201905310",46,"Mound Visit"2019SDN.EVN.regular.comment.csv",167

"SDN201905310",54,"Mound Visit"2019SDN.EVN.regular.comment.csv",168

"SDN201905310",64,"$Originally scored as dropped catch error on 1bman, changed to throwing error on 3bman on 06-01-2019"2019SDN.EVN.regular.comment.csv",169

"SDN201905310",69,"Mound Visit"2019SDN.EVN.regular.comment.csv",170

"SDN201906010",24,"Mound Visit"2019SDN.EVN.regular.comment.csv",171

"SDN201906010",26,"Mound Visit"2019SDN.EVN.regular.comment.csv",172

"SDN201906010",34,"$Marlins challenged call that Hosmer was safe at 1st; call Was overturned - out to complete double play"2019SDN.EVN.regular.comment.csv",173

"SDN201906010",37,"$Padres challenged call that Ramirez was safe at 1st; call was overturned - ground out"2019SDN.EVN.regular.comment.csv",174

"SDN201906020",22,"On-field Delay"2019SDN.EVN.regular.comment.csv",175

"SDN201906020",26,"Mound Visit"2019SDN.EVN.regular.comment.csv",176

"SDN201906020",36,"Mound Visit"2019SDN.EVN.regular.comment.csv",177

"SDN201906030",2,"$Segura fell as he swung so was slow getting out of box; Kinsler let popup drop, then threw out batter; McCutchen had held 1st and was out in rundown to complete DP, spraining left knee Injury Delay"2019SDN.EVN.regular.comment.csv",178

"SDN201906030",46,"Mound Visit"2019SDN.EVN.regular.comment.csv",179

"SDN201906030",48,"Mound Visit"2019SDN.EVN.regular.comment.csv",180

"SDN201906030",49,"Mound Visit"2019SDN.EVN.regular.comment.csv",181

"SDN201906030",69,"Mound Visit"2019SDN.EVN.regular.comment.csv",182

"SDN201906030",72,"Mound Visit"2019SDN.EVN.regular.comment.csv",183

"SDN201906040",27,"Mound Visit"2019SDN.EVN.regular.comment.csv",184

"SDN201906040",37,"Mound Visit"2019SDN.EVN.regular.comment.csv",185

"SDN201906040",60,"Mound Visit"2019SDN.EVN.regular.comment.csv",186

"SDN201906040",68,"Mound Visit"2019SDN.EVN.regular.comment.csv",187

"SDN201906040",69,"Mound Visit"2019SDN.EVN.regular.comment.csv",188

"SDN201906040",80,"Mound Visit"2019SDN.EVN.regular.comment.csv",189

"SDN201906050",11,"Mound Visit"2019SDN.EVN.regular.comment.csv",190

"SDN201906050",28,"Mound Visit"2019SDN.EVN.regular.comment.csv",191

"SDN201906050",37,"Mound Visit"2019SDN.EVN.regular.comment.csv",192

"SDN201906050",48,"Mound Visit"2019SDN.EVN.regular.comment.csv",193

"SDN201906050",58,"Mound Visit"2019SDN.EVN.regular.comment.csv",194

"SDN201906050",60,"Mound Visit"2019SDN.EVN.regular.comment.csv",195

"SDN201906050",61,"Mound Visit"2019SDN.EVN.regular.comment.csv",196

"SDN201906050",65,"Mound Visit"2019SDN.EVN.regular.comment.csv",197

"SDN201906050",66,"$Myers challenged call that Myers was out at 1st; call was upheld - ground out"2019SDN.EVN.regular.comment.csv",198

"SDN201906050",75,"Mound Visit Injury Delay"2019SDN.EVN.regular.comment.csv",199

"SDN201906050",77,"Mound Visit"2019SDN.EVN.regular.comment.csv",200

"SDN201906060",3,"On-field Delay"2019SDN.EVN.regular.comment.csv",201

"SDN201906060",6,"Mound Visit"2019SDN.EVN.regular.comment.csv",202

"SDN201906060",22,"Mound Visit"2019SDN.EVN.regular.comment.csv",203

"SDN201906060",54,"Mound Visit"2019SDN.EVN.regular.comment.csv",204

"SDN201906060",67,"Mound Visit"2019SDN.EVN.regular.comment.csv",205

"SDN201906060",68,"$Nationals challenged call that Hosmer was safe at 1st; call was overturned - out to complete double play"2019SDN.EVN.regular.comment.csv",206

"SDN201906070",26,"Mound Visit"2019SDN.EVN.regular.comment.csv",207

"SDN201906070",39,"Mound Visit"2019SDN.EVN.regular.comment.csv",208

"SDN201906070",49,"Mound Visit"2019SDN.EVN.regular.comment.csv",209

"SDN201906070",51,"Mound Visit"2019SDN.EVN.regular.comment.csv",210

"SDN201906070",66,"Mound Visit"2019SDN.EVN.regular.comment.csv",211

"SDN201906070",73,"Mound Visit"2019SDN.EVN.regular.comment.csv",212

"SDN201906080",28,"Mound Visit"2019SDN.EVN.regular.comment.csv",213

"SDN201906080",55,"Mound Visit"2019SDN.EVN.regular.comment.csv",214

"SDN201906080",70,"Mound Visit"2019SDN.EVN.regular.comment.csv",215

"SDN201906090",21,"$Garcia out for batter interference"2019SDN.EVN.regular.comment.csv",216

"SDN201906090",24,"Mound Visit"2019SDN.EVN.regular.comment.csv",217

"SDN201906090",58,"Mound Visit"2019SDN.EVN.regular.comment.csv",218

"SDN201906090",61,"Mound Visit"2019SDN.EVN.regular.comment.csv",219

"SDN201906090",69,"Mound Visit"2019SDN.EVN.regular.comment.csv",220

"SDN201906170",6,"Injury Delay"2019SDN.EVN.regular.comment.csv",221

"SDN201906170",17,"Mound Visit"2019SDN.EVN.regular.comment.csv",222

"SDN201906170",42,"Mound Visit"2019SDN.EVN.regular.comment.csv",223

"SDN201906170",56,"On-field Delay"2019SDN.EVN.regular.comment.csv",224

"SDN201906170",58,"Mound Visit"2019SDN.EVN.regular.comment.csv",225

"SDN201906180",18,"$Padres challenged call that Cain was safe at 1st; call was overturned - ground out"2019SDN.EVN.regular.comment.csv",226

"SDN201906180",30,"Injury Delay"2019SDN.EVN.regular.comment.csv",227

"SDN201906180",37,"Mound Visit"2019SDN.EVN.regular.comment.csv",228

"SDN201906180",41,"Mound Visit"2019SDN.EVN.regular.comment.csv",229

"SDN201906180",42,"Mound Visit"2019SDN.EVN.regular.comment.csv",230

"SDN201906180",44,"$Moustakas left with an injuured ankle"2019SDN.EVN.regular.comment.csv",231

"SDN201906180",57,"Mound Visit"2019SDN.EVN.regular.comment.csv",232

"SDN201906180",67,"Mound Visit"2019SDN.EVN.regular.comment.csv",233

"SDN201906180",72,"Mound Visit"2019SDN.EVN.regular.comment.csv",234

"SDN201906190",9,"Mound Visit"2019SDN.EVN.regular.comment.csv",235

"SDN201906190",20,"$Umpire review of ball hit by Machado; call was overturned - single, not homer, runner out advancing"2019SDN.EVN.regular.comment.csv",236

"SDN201906190",24,"Mound Visit"2019SDN.EVN.regular.comment.csv",237

"SDN201906190",25,"Mound Visit"2019SDN.EVN.regular.comment.csv",238

"SDN201906190",31,"Mound Visit"2019SDN.EVN.regular.comment.csv",239

"SDN201906190",33,"Mound Visit"2019SDN.EVN.regular.comment.csv",240

"SDN201906190",55,"$Padres challneged call that Tatis was out at 2nd; call was upheld - caught stealing"2019SDN.EVN.regular.comment.csv",241

"SDN201906190",58,"Mound Visit"2019SDN.EVN.regular.comment.csv",242

"SDN201906190",59,"Mound Visit"2019SDN.EVN.regular.comment.csv",243

"SDN201906190",70,"Mound Visit"2019SDN.EVN.regular.comment.csv",244

"SDN201906190",80,"Mound Visit"2019SDN.EVN.regular.comment.csv",245

"SDN201906280",9,"Mound Visit"2019SDN.EVN.regular.comment.csv",246

"SDN201906280",13,"$Padres challenged call that Edman was safe at 1st; call was overturned - ground out"2019SDN.EVN.regular.comment.csv",247

"SDN201906280",20,"$Padres challenged call that Ozuna was safe on pickoff atempt; call was overturned - out on pickoff"2019SDN.EVN.regular.comment.csv",248

"SDN201906280",20,"$Ozuna injured fingers when picked off and left game; placed on IL"2019SDN.EVN.regular.comment.csv",249

"SDN201906280",29,"Mound Visit $Cardinals challenged call that Wacha was out at 1st; call was overturned - single"2019SDN.EVN.regular.comment.csv",250

"SDN201906280",49,"Mound Visit"2019SDN.EVN.regular.comment.csv",251

"SDN201906280",57,"$Cardinals challenged call that Margot was safe at 1st; call was overturne - out to complete double play"2019SDN.EVN.regular.comment.csv",252

"SDN201906280",60,"Mound Visit"2019SDN.EVN.regular.comment.csv",253

"SDN201906280",61,"Mound Visit"2019SDN.EVN.regular.comment.csv",254

"SDN201906290",12,"Injury Delay"2019SDN.EVN.regular.comment.csv",255

"SDN201906290",13,"Mound Visit"2019SDN.EVN.regular.comment.csv",256

"SDN201906290",18,"Mound Visit"2019SDN.EVN.regular.comment.csv",257

"SDN201906290",20,"$Mejia left with injured elbow"2019SDN.EVN.regular.comment.csv",258

"SDN201906290",61,"Mound Visit"2019SDN.EVN.regular.comment.csv",259

"SDN201906290",78,"$Cardinals challenged call that Bader was out at 1st; call was upheld - strike out, thrown out at 1st"2019SDN.EVN.regular.comment.csv",260

"SDN201906300",2,"Injury Delay"2019SDN.EVN.regular.comment.csv",261

"SDN201906300",39,"Mound Visit"2019SDN.EVN.regular.comment.csv",262

"SDN201906300",40,"On-field Delay"2019SDN.EVN.regular.comment.csv",263

"SDN201906300",42,"Mound Visit"2019SDN.EVN.regular.comment.csv",264

"SDN201906300",44,"Mound Visit"2019SDN.EVN.regular.comment.csv",265

"SDN201906300",47,"$Cardinals challenged call that Munoz was out at 2nd; call was upheld - caught stealing"2019SDN.EVN.regular.comment.csv",266

"SDN201906300",50,"Mound Visit"2019SDN.EVN.regular.comment.csv",267

"SDN201906300",56,"Mound Visit"2019SDN.EVN.regular.comment.csv",268

"SDN201906300",61,"Mound Visit"2019SDN.EVN.regular.comment.csv",269

"SDN201906300",61,"Mound Visit"2019SDN.EVN.regular.comment.csv",270

"SDN201906300",69,"Mound Visit"2019SDN.EVN.regular.comment.csv",271

"SDN201906300",70,"Mound Visit"2019SDN.EVN.regular.comment.csv",272

"SDN201906300",72,"$Cardinals challenged call that Margot was out at 1st; call was upheld - out to complete GDP"2019SDN.EVN.regular.comment.csv",273

"SDN201906300",92,"Mound Visit"2019SDN.EVN.regular.comment.csv",274

"SDN201906300",94,"Mound Visit"2019SDN.EVN.regular.comment.csv",275

"SDN201907010",6,"$Padres challenged call that Tatis was out at 2nd; call was overturned - stolen base"2019SDN.EVN.regular.comment.csv",276

"SDN201907010",24,"Mound Visit"2019SDN.EVN.regular.comment.csv",277

"SDN201907010",26,"Mound Visit"2019SDN.EVN.regular.comment.csv",278

"SDN201907010",35,"Mound Visit"2019SDN.EVN.regular.comment.csv",279

"SDN201907010",38,"Mound Visit"2019SDN.EVN.regular.comment.csv",280

"SDN201907010",68,"Mound Visit"2019SDN.EVN.regular.comment.csv",281

"SDN201907020",34,"Mound Visit"2019SDN.EVN.regular.comment.csv",282

"SDN201907020",38,"Mound Visit"2019SDN.EVN.regular.comment.csv",283

"SDN201907020",59,"Mound Visit"2019SDN.EVN.regular.comment.csv",284

"SDN201907020",64,"Mound Visit"2019SDN.EVN.regular.comment.csv",285

"SDN201907030",16,"Mound Visit"2019SDN.EVN.regular.comment.csv",286

"SDN201907030",29,"Mound Visit"2019SDN.EVN.regular.comment.csv",287

"SDN201907030",35,"$Batter interference"2019SDN.EVN.regular.comment.csv",288

"SDN201907030",39,"Mound Visit"2019SDN.EVN.regular.comment.csv",289

"SDN201907030",40,"Mound Visit"2019SDN.EVN.regular.comment.csv",290

"SDN201907030",41,"Mound Visit"2019SDN.EVN.regular.comment.csv",291

"SDN201907030",51,"Mound Visit"2019SDN.EVN.regular.comment.csv",292

"SDN201907120",2,"On-field Delay"2019SDN.EVN.regular.comment.csv",293

"SDN201907120",2,"umpchange,1,umphome,herna901 umpchange,1,ump1b,segac901 umpchange,1,ump2b,(None) $HP umpire DeMuth hit on arm by foul ball and left; 1B umpire Hernandez went behind plate, 3B umpire Segal moved to 1st; game finished with 3 umpires"2019SDN.EVN.regular.comment.csv",294

"SDN201907120",57,"Mound Visit"2019SDN.EVN.regular.comment.csv",295

"SDN201907120",60,"Injury Delay"2019SDN.EVN.regular.comment.csv",296

"SDN201907120",65,"Mound Visit"2019SDN.EVN.regular.comment.csv",297

"SDN201907120",67,"Mound Visit"2019SDN.EVN.regular.comment.csv",298

"SDN201907120",76,"Mound Visit"2019SDN.EVN.regular.comment.csv",299

"SDN201907130",5,"Mound Visit"2019SDN.EVN.regular.comment.csv",300

"SDN201907130",32,"Mound Visit"2019SDN.EVN.regular.comment.csv",301

"SDN201907130",38,"Mound Visit"2019SDN.EVN.regular.comment.csv",302

"SDN201907130",61,"$Tatis broke for 2nd before pitch was thrown and got in rundown; Margot thenw went home and was safe - double steal"2019SDN.EVN.regular.comment.csv",303

"SDN201907130",62,"Mound Visit"2019SDN.EVN.regular.comment.csv",304

"SDN201907130",78,"Mound Visit"2019SDN.EVN.regular.comment.csv",305

"SDN201907130",83,"Injury Delay"2019SDN.EVN.regular.comment.csv",306

"SDN201907130",84,"Mound Visit"2019SDN.EVN.regular.comment.csv",307

"SDN201907130",85,"Mound Visit"2019SDN.EVN.regular.comment.csv",308

"SDN201907130",90,"Mound Visit"2019SDN.EVN.regular.comment.csv",309

"SDN201907130",91,"Mound Visit"2019SDN.EVN.regular.comment.csv",310

"SDN201907130",93,"Mound Visit"2019SDN.EVN.regular.comment.csv",311

"SDN201907140",4,"On-field Delay"2019SDN.EVN.regular.comment.csv",312

"SDN201907140",4,"$Umpire review of ball hit by Hosmer; call was upheld - foul ball"2019SDN.EVN.regular.comment.csv",313

"SDN201907140",19,"Injury Delay"2019SDN.EVN.regular.comment.csv",314

"SDN201907140",37,"On-field Delay"2019SDN.EVN.regular.comment.csv",315

"SDN201907140",40,"Injury Delay"2019SDN.EVN.regular.comment.csv",316

"SDN201907140",42,"Mound Visit"2019SDN.EVN.regular.comment.csv",317

"SDN201907140",43,"Mound Visit"2019SDN.EVN.regular.comment.csv",318

