"SDN201504090",16,"Padres pitcher Ian Kennedy left the game due to an injured leg","FILENAME_TX","LINE_NUMBER_CT"
"SDN201506120",56,"ej,gonza003,P,eddid901,Balls and strikes Dodgers first baseman Adrian Gonzalez ejected by HP umpire Doug Eddings","2015SDN.EVN.regular.comment.csv",27
"SDN201506130",60,"replay,8,uptoj001,SDN,millb901,SAN02,I,N,U,,H $Justin Upton's fly to CF was caught by a fan just over the wall; crew chief Bill Miller requested a review, which upheld the call","2015SDN.EVN.regular.comment.csv",28
"SDN201506140",39,"ej,kotsm001,C,johna901,Balls and strikes Padres Hitting Coach Mark Kotsay ejected by HP umpire Adrian Johnson","2015SDN.EVN.regular.comment.csv",29
"SDN201506140",82,"replay,10,alony001,SDN,millb901,SAN02,,Y,M,SDN,C $when Matt Kemp was called out at 2B, Padres manager Bud Black challenged the ruling; the call was overturned by replay; originally scored as 3E6, but cannot be error when play became force out","2015SDN.EVN.regular.comment.csv",30
"SDN201506150",29,"replay,3,venaw001,SDN,gormb901,SAN02,,N,M,SDN,I $when Will Venable was ruled not to have been hit by a pitch, Padres acting manager Dave Roberts challenged the ruling; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",31
"SDN201506160",72,"replay,9,burnb002,OAK,gormb901,SAN02,,N,M,OAK,A $when Sam Fuld was called out at 2B, Athletics manager Bob Melvin challenged the ruling; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",32
"SDN201506260",40,"replay,5,rosst001,SDN,cedeg901,SAN02,,N,M,ARI,A $when Cory Spangenberg was called safe at 2B, D-Backs manager Chip Hale challenged the ruling; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",33
"SDN201506260",55,"replay,7,spanc001,SDN,cedeg901,SAN02,,Y,M,SDN,C $when Cory Spangenberg was called out at 1B, Padres interim manager Pat Murphy challenged the ruling; the call was overturned by replay","2015SDN.EVN.regular.comment.csv",34
"SDN201506270",35,"Padres second baseman Cory Spangenberg left the game due to an injured knee","2015SDN.EVN.regular.comment.csv",35
"SDN201506280",59,"$originally scored as WP, changed to PB on 06-29-2015","2015SDN.EVN.regular.comment.csv",36
"SDN201506300",35,"replay,5,gyorj001,SDN,welkt901,SAN02,,Y,M,SDN,C $when Jedd Gyorko was called out at 1B, Padres interim manager Pat Murphy challenged the ruling; the call was overturned by replay","2015SDN.EVN.regular.comment.csv",37
"SDN201507170",59,"replay,7,tulot001,COL,westj901,SAN02,,N,M,SDN,A $when Charlie Blackmon was called safe at 1B on a pickoff attempt, Padres interim manager Pat Murphy challenged the ruling; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",38
"SDN201507220",10,"replay,2,crawb001,SFN,gibsg901,SAN02,,Y,M,SFN,A $when Brandon Belt was called out at 2B, Giants manager Bruce Bochy challenged the ruling; the call was overturned by replay","2015SDN.EVN.regular.comment.csv",39
"SDN201507240",2,"replay,1,pradm001,MIA,hallt901,SAN02,,Y,M,MIA,A $when Ichiro Suzuki was called out at 2B, Marlins interim manager Dan Jennings challenged the ruling; the call was overturned by replay","2015SDN.EVN.regular.comment.csv",40
"SDN201507260",45,"replay,6,kempm001,SDN,hallt901,SAN02,,N,M,SDN,C $when Matt Kemp was called out at 1B, Padres interim manager Pat Murphy challenged the ruling; the call was upheld by replay; Miguel Rojas dove at the ball and rolled over before making the throw and injured his shoulder","2015SDN.EVN.regular.comment.csv",41
"SDN201507260",53,"Marlins third baseman Miguel Rojas left the game due to an injured shoulder","2015SDN.EVN.regular.comment.csv",42
"SDN201508070",43,"ej,mcclb001,C,estam901,Balls and strikes Phillies Pitching Coach Bob McClure ejected by HP umpire Mike Estabrook","2015SDN.EVN.regular.comment.csv",43
"SDN201508070",62,"replay,7,uptoj001,SDN,demud901,SAN02,,N,M,SDN,P $when Yangervis Solarte was called out at HP, Padres interim manager Pat Murphy challenged the ruling; the call was upheld by replay saying the catcher did not block HP without the ball","2015SDN.EVN.regular.comment.csv",44
"SDN201508100",30,"ej,murpp801,M,randt901,Balls and strikes Padres Interim Manager Pat Murphy ejected by HP umpire Tony Randazzo","2015SDN.EVN.regular.comment.csv",45
"SDN201508180",18,"replay,2,shiej002,SDN,nelsj901,SAN02,,Y,U,,K $crew chief Jeff Nelson requested a review to verify the count when James Shields went to 1B on a walk with a 3-2 count; the count was verified as 3-2 not 4-2; the balk during the at bat contributed to the confusion","2015SDN.EVN.regular.comment.csv",46
"SDN201508220",38,"ej,carpm002,P,segac901,Called third strike $Carpenter ejected by HP umpire Segal for arguing called third strike","2015SDN.EVN.regular.comment.csv",47
"SDN201508230",86,"replay,9,spanc001,SDN,welkt901,SAN02,,N,M,SLN,I $when Cory Spangenberg was ruled to have been hit by a pitch, Cardinals manager Mike Matheny challenged the ruling; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",48
"SDN201508310",52,"replay,6,rosst001,TEX,carlm901,SAN02,,N,M,TEX,A $when Cory Spangenberg was called safe at HP, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",49
"SDN201509010",24,"Padres first baseman Yonder Alonso left the game due to an injured back","2015SDN.EVN.regular.comment.csv",50
"SDN201509010",57,"replay,7,choos001,TEX,carlm901,SAN02,,N,M,TEX,C $when Shin-Soo Choo was called out at 1B, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",51
"SDN201509020",84,"replay,10,stubd001,TEX,carlm901,SAN02,,Y,M,SDN,C $when Drew Stubbs was called safe at 1B, Padres interim manager Pat Murphy challenged the ruling; the call was overturned by replay","2015SDN.EVN.regular.comment.csv",52
"SDN201509030",54,"replay,6,gyorj001,SDN,barrt901,SAN02,,N,M,LAN,C $when Justin Upton was called safe at 2B, Dodgers manager Don Mattingly challenged the ruling; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",53
"SDN201509040",26,"replay,3,gyorj001,SDN,barrt901,SAN02,O,Y,U,,H $Jedd Gyorko's fly to LF was touched by a fan at the top of the wall; the ball was ruled in play and Gyorko reached 2B; crew chief Ted Barrett requested a review, which overturned the call to a home run","2015SDN.EVN.regular.comment.csv",54
"SDN201509050",33,"replay,4,norrd001,SDN,barrt901,SAN02,,N,M,SDN,C $when Justin Upton was called out at 2B, Padres interim manager Pat Murphy challenged the ruling; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",55
"SDN201509050",49,"replay,6,uptoj001,SDN,barrt901,SAN02,,Y,M,LAN,A $when Matt Kemp was called safe on a pickoff attempt, Dodgers manager Don Mattingly challenged the ruling; the call was overturned by replay","2015SDN.EVN.regular.comment.csv",56
"SDN201509060",55,"Dodgers pitcher Brett Anderson left the game due to an injured leg","2015SDN.EVN.regular.comment.csv",57
"SDN201509060",60,"replay,7,gonza003,LAN,barrt901,SAN02,,N,M,LAN,I $when Adrian Gonzalez was ruled to have not been hit by a pitch, Dodgers manager Don Mattingly challenged the ruling; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",58
"SDN201509060",61,"replay,7,turnj001,LAN,barrt901,SAN02,,N,M,SDN,A $when Jimmy Rollins was called safe at 3B, Padres interim manager Pat Murphy challenged the ruling; the call was upheld by replay; Rollins had rounded 3B and the throw was behind him","2015SDN.EVN.regular.comment.csv",59
"SDN201509070",65,"Rockies third baseman Nolan Arenado left the game due to an injured chest","2015SDN.EVN.regular.comment.csv",60
"SDN201509070",73,"ej,uptob001,P,muchm901,Balls and strikes Padres center fielder Melvin Upton ejected by HP umpire Mike Muchlinski","2015SDN.EVN.regular.comment.csv",61
"SDN201509090",59,"replay,6,kempm001,SDN,wintm901,SAN02,,N,M,COL,C $when Matt Kemp was called safe at 1B, Rockies manager Walt Weiss challenged the ruling; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",62
"SDN201509100",62,"$Ball was hit slowly down first base line and it hit Arenado in the foot; Quackenbush was closest fielder so he got the putout instead of the catcher","2015SDN.EVN.regular.comment.csv",63
"SDN201509220",29,"replay,4,spanc001,SDN,westj901,SAN02,,N,M,SDN,A $when Justin Upton was called out at 2B, Padres interim manager Pat Murphy challenged the ruling; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",64
"SDN201509220",66,"replay,8,crawb001,SFN,westj901,SAN02,,N,M,SFN,I $when Brandon Crawford was ruled not to have been hit by a pitch, Giants manager Bruce Bochy challenged the ruling; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",65
"SDN201509230",22,"replay,3,duffm002,SFN,westj901,SAN02,,Y,M,SDN,A $when Alejandro de Aza was called safe at 1B on a pickoff attempt, Padres interim manager Pat Murphy challenged the ruling; the call was overturned by replay","2015SDN.EVN.regular.comment.csv",66
"SDN201509240",51,"Padres pitcher Bud Norris left the game due to an injured groin","2015SDN.EVN.regular.comment.csv",67
"SDN201509240",76,"replay,9,duffm002,SFN,westj901,SAN02,,Y,M,SFN,A $when Angel Pagan was called out at 2B, Giants manager Bruce Bochy challenged the ruling; the call was overturned by replay","2015SDN.EVN.regular.comment.csv",68
"SDN201509260",44,"replay,6,gyorj001,SDN,mealj901,SAN02,,N,M,ARI,A $when Cory Spangenberg was called safe at HP, D-Backs manager Chip Hale challenged the ruling; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",69
"SDN201509270",4,"replay,1,perad001,ARI,mealj901,SAN02,,Y,M,ARI,A $when Ender Inciarte was called out at 2B, D-Backs manager Chip Hale challenged the ruling; the call overturned by replay","2015SDN.EVN.regular.comment.csv",70
"SDN201509290",44,"Padres right fielder Matt Kemp left the game due to an injured hand","2015SDN.EVN.regular.comment.csv",71
"SDN201509300",2,"replay,1,schal001,MIL,nelsj901,SAN02,F,Y,U,,H $Logan Schafer's fly down the RF line was ruled fair and a home run; the umpires huddled then crew chief Jeff Nelson requested a review; the call was overturned by replay to a foul ball","2015SDN.EVN.regular.comment.csv",72
"SDN201509300",2,"Padres LF Justin Upton left the game after running into the wall and suffering a head injury","2015SDN.EVN.regular.comment.csv",73
"SDN201509300",28,"replay,4,seguj002,MIL,nelsj901,SAN02,,Y,M,SDN,C $when Jean Segura was called safe at 1B, Padres interim manager Pat Murphy challenged the ruling; the call was overturned by replay","2015SDN.EVN.regular.comment.csv",74
"SDN201510010",44,"replay,5,norrd001,SDN,nelsj901,SAN02,,Y,M,MIL,A $when Melvin Upton was called safe at 2B, Brewers intgerim manager Craig Counsell challenged the ruling; the call was overturned by replay","2015SDN.EVN.regular.comment.csv",75
"SDN201510010",53,"replay,6,jankt001,SDN,nelsj901,SAN02,,N,M,SDN,C $when Travis Jankowski was called out at 1B, Padres interim manager Pat Murphy challenged the ruling; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",76
