"PIT192004230",5,"$Shotton ran up the line and dased toward home as soon as the ball left Carlson's hand.","FILENAME_TX","LINE_NUMBER_CT"
"PIT192006020",57,"Stock tried for second but was boxed.  Schultz was then trapped trying to go home and was trapped.  Stock made third as Schmidt tagged Schultz out.","1920PIT.EVN.regular.comment.csv",26
"PIT192006250",30,"Ball caromed off Terry's leg into Hollocher's hands.","1920PIT.EVN.regular.comment.csv",27
"PIT192006260",36,"Nicholson dropped the pop but Umpire Rigler ruled an infield fly.","1920PIT.EVN.regular.comment.csv",28
"PIT192006260",47,"Schmidt sustained an injured finger on a foul ball.","1920PIT.EVN.regular.comment.csv",29
"PIT192006260",71,"Lee was hit on the hand by his own foul ball.","1920PIT.EVN.regular.comment.csv",30
"PIT192006260",74,"Terry and Hollocher collided.","1920PIT.EVN.regular.comment.csv",31
"PIT192007051",2,"Cutshaw took Carey's throw and tried to head off the runner at third but threw over Whitted's head.","1920PIT.EVN.regular.comment.csv",32
"PIT192007051",5,"Infield hit.","1920PIT.EVN.regular.comment.csv",33
"PIT192007051",48,"Off Groh's glove.","1920PIT.EVN.regular.comment.csv",34
"PIT192007052",10,"Off Groh's glove.","1920PIT.EVN.regular.comment.csv",35
"PIT192007052",12,"Ball took a bad hop.","1920PIT.EVN.regular.comment.csv",36
"PIT192007052",35,"Bigbee lost the ball in the sun.","1920PIT.EVN.regular.comment.csv",37
"PIT192007052",37,"$No SH or RBI awarded","1920PIT.EVN.regular.comment.csv",38
"PIT192007052",53,"Squeeze play.","1920PIT.EVN.regular.comment.csv",39
"PIT192007070",10,"$McKechnie slipped and then threw wide.","1920PIT.EVN.regular.comment.csv",40
"PIT192007070",44,"$Smith muffed Wheat's quick return.","1920PIT.EVN.regular.comment.csv",41
"PIT192007080",38,"Infield hit.","1920PIT.EVN.regular.comment.csv",42
"PIT192007090",15,"Infield hit.","1920PIT.EVN.regular.comment.csv",43
"PIT192007101",31,"Infield hit.","1920PIT.EVN.regular.comment.csv",44
"PIT192007101",82,"Off McKechnie's glove.","1920PIT.EVN.regular.comment.csv",45
"PIT192007102",2,"Off McKechnie's glove.","1920PIT.EVN.regular.comment.csv",46
"PIT192007102",23,"Off Barbare's leg.","1920PIT.EVN.regular.comment.csv",47
"PIT192007120",70,"Off Fillingim's hands.","1920PIT.EVN.regular.comment.csv",48
"PIT192007130",23,"Carey was boxed as he tried to go to second and the play was diverted to Bigbee who was run down.","1920PIT.EVN.regular.comment.csv",49
"PIT192007130",47,"Attempted double steal.","1920PIT.EVN.regular.comment.csv",50
"PIT192007130",58,"Infield hit.","1920PIT.EVN.regular.comment.csv",51
"PIT192007130",75,"Infield hit.","1920PIT.EVN.regular.comment.csv",52
"PIT192007150",76,"Bigbee tried to score when Mann's throw got away from Boeckel.","1920PIT.EVN.regular.comment.csv",53
"PIT192007160",120,"Doyle and Spencer H&R","1920PIT.EVN.regular.comment.csv",54
"PIT192007160",127,"3 consecutive triples--this is or ties NL record (many times","1920PIT.EVN.regular.comment.csv",55
"PIT192007160",132,"Giants set record for most runs 17th--never matched","1920PIT.EVN.regular.comment.csv",56
"PIT192007171",28,"Southworth bunted past Doyle and tried for double","1920PIT.EVN.regular.comment.csv",57
"PIT192007171",46,"Burns trapped Whitted's fly for DPO but Rigler called inffly","1920PIT.EVN.regular.comment.csv",58
"PIT192007172",3,"Bancroft argued Moran's out call and was ejected","1920PIT.EVN.regular.comment.csv",59
"PIT192007172",64,"Pirates surrounded Moran after out call.Pop bottles thrown  from grandstand--one hits Pirates' Schmidt on R leg-painful injury","1920PIT.EVN.regular.comment.csv",60
"PIT192007200",68,"Southworth liner hit Nehf in stomach, Nehf made play then collapsed, but recovered and insisted on continuing","1920PIT.EVN.regular.comment.csv",61
"PIT192007220",44,"Grimes ejected 'off pitchers' bench for talking out of turn' by Harrison","1920PIT.EVN.regular.comment.csv",62
"PIT192007220",58,"Cutshaw and Southworth H&R","1920PIT.EVN.regular.comment.csv",63
"PIT192007230",49,"$Olsen foul tip broke Schmidt's finger","1920PIT.EVN.regular.comment.csv",64
"PIT192007230",49,"$First pitch to Olson with Haeffner at catcher hit Haeffner's bare hand and he had to leave game","1920PIT.EVN.regular.comment.csv",65
"PIT192007230",49,"$Third catcher of inning for Phillies","1920PIT.EVN.regular.comment.csv",66
"PIT192008130",12,"Hornsby ran in the line and stopped as Whitted intercepted Bigbee's throw.  McHenry ran off second too far on the play and was boxex when Whitted threw to Cutshaw.  Cutshaw ran McHenry toward third and when Hornsby started home, he was out, Cutshaw to Haeffner.","1920PIT.EVN.regular.comment.csv",67
"PIT192008130",58,"Diving catch.","1920PIT.EVN.regular.comment.csv",68
"PIT192008141",26,"Attempted sacrifice.","1920PIT.EVN.regular.comment.csv",69
"PIT192008142",26,"Carey caught the ball and held it momentarily, then dropped the ball.","1920PIT.EVN.regular.comment.csv",70
"PIT192008142",66,"$Game called so teams could catch a train.","1920PIT.EVN.regular.comment.csv",71
"PIT192008200",56,"Infield hit.","1920PIT.EVN.regular.comment.csv",72
"PIT192008200",64,"Attempted double steal.","1920PIT.EVN.regular.comment.csv",73
"PIT192008211",22,"Infield hit.","1920PIT.EVN.regular.comment.csv",74
"PIT192008211",34,"Infield hit.","1920PIT.EVN.regular.comment.csv",75
"PIT192008211",52,"Rixey deflected the ball to Rawlings.","1920PIT.EVN.regular.comment.csv",76
"PIT192008212",16,"Off Hubbell's glove.","1920PIT.EVN.regular.comment.csv",77
"PIT192008212",31,"Hit Paulette's chest.","1920PIT.EVN.regular.comment.csv",78
"PIT192008212",46,"Runners advanced as LeBourveau held the ball.","1920PIT.EVN.regular.comment.csv",79
"PIT192008230",50,"Southworth and Olsen collided full speed, about to fight  when Rigler stepped between them","1920PIT.EVN.regular.comment.csv",80
"PIT192008240",68,"Bigbee bad hop into Kilduff's face","1920PIT.EVN.regular.comment.csv",81
"PIT192008250",71,"says Schmidt tried sac, but Whitted did get to 2B so should be sac unless already Whitted at 2B (or 73 looked ahead 1x3)","1920PIT.EVN.regular.comment.csv",82
"PIT192008280",20,"Infield hit.","1920PIT.EVN.regular.comment.csv",83
"PIT192008310",66,"Actually Kelly singled out of turn. Pirate appeal-Smith out","1920PIT.EVN.regular.comment.csv",84
"PIT192009010",23,"attempted double steal","1920PIT.EVN.regular.comment.csv",85
"PIT192009020",8,"$Barbare injured sliding into 2B on stomach","1920PIT.EVN.regular.comment.csv",86
"PIT192009030",69,"Infield hit.","1920PIT.EVN.regular.comment.csv",87
"PIT192009040",6,"Caromed off Tyler into left field.","1920PIT.EVN.regular.comment.csv",88
"PIT192009040",32,"Off Adam's glove.","1920PIT.EVN.regular.comment.csv",89
"PIT192009040",46,"$Southworth tried to score when O'Farrel's throw went into center field.","1920PIT.EVN.regular.comment.csv",90
"PIT192009040",47,"Off Deal's glove.","1920PIT.EVN.regular.comment.csv",91
"PIT192009061",55,"Off Cooper's glove.","1920PIT.EVN.regular.comment.csv",92
"PIT192009062",25,"Off Bailey's hand.","1920PIT.EVN.regular.comment.csv",93
"PIT192009062",73,"$Nicholson overran the bag.","1920PIT.EVN.regular.comment.csv",94
"PIT192009062",78,"$Daly trapped McKechnie off first with a throw to Merkle but Merkle, in trying to get Grimm who started for third, threw wide to the stands.","1920PIT.EVN.regular.comment.csv",95
"PIT192009221",41,"Infield hit.","1920PIT.EVN.regular.comment.csv",96
"PIT192009221",53,"Infield hit.","1920PIT.EVN.regular.comment.csv",97
"PIT192009221",54,"Hit and run.","1920PIT.EVN.regular.comment.csv",98
"PIT192009221",66,"Groh made a delayed steal of third when Schmidt, thinking Neale had swung at a third strike, walked toward the bench.","1920PIT.EVN.regular.comment.csv",99
"PIT192009222",71,"Bigbee lost the ball in the sun.","1920PIT.EVN.regular.comment.csv",100
"PIT192009251",31,"Nobody covered third.","1920PIT.EVN.regular.comment.csv",101
"PIT192009251",57,"$Doak threw to first to catch Carey napping.  Max started for second and beat Fournier's throw.","1920PIT.EVN.regular.comment.csv",102
"PIT192010021",12,"Traynor threw wild to first but Grimm retrieved the ball and threw to Traynor getting Rariden trying for second.","1920PIT.EVN.regular.comment.csv",103
"PIT192010022",32,"$Allen was wounded on the bare hand by a foul tip.","1920PIT.EVN.regular.comment.csv",104
"PIT192010022",38,"$Ruether injured his hand at first.","1920PIT.EVN.regular.comment.csv",105
"PIT192010022",49,"Infield hit.","1920PIT.EVN.regular.comment.csv",106
"PIT192010022",54,"Infield hit.","1920PIT.EVN.regular.comment.csv",107
"PIT192010022",59,"Barnhart muffed Whitted's throw and Sicking was safe.","1920PIT.EVN.regular.comment.csv",108
"PIT192010023",50,"Game called for darkness","1920PIT.EVN.regular.comment.csv",109
