"LAN198804040",23,"$first 13 Giant batters took 1st pitch (10 balls, 3 strikes)","FILENAME_TX","LINE_NUMBER_CT"
"LAN198805200",56,"$Kirk Gibson broke up DP","1988LAN.EVN.regular.comment.csv",23
"LAN198805200",62,"$Sid Fernandez came out with arm problem","1988LAN.EVN.regular.comment.csv",24
"LAN198805210",11,"$Kirk Gibson lost the ball and Alfredo Griffin made a nice catch","1988LAN.EVN.regular.comment.csv",25
"LAN198805210",44,"$Alfredo Griffin's hand broken on the HBP","1988LAN.EVN.regular.comment.csv",26
"LAN198805210",47,"$both teams warned by HP umpire Dave Pallone","1988LAN.EVN.regular.comment.csv",27
"LAN198805220",26,"$David Cone called for interference on his sacrifice attempt","1988LAN.EVN.regular.comment.csv",28
"LAN198805220",56,"ej,guerp001,P,kiblj901,Throwing bat at David Cone $Pedro Guerrero leaned away from first pitch and his helmet flew off; Cone hit him on the 4th pitch with a curve ball; Guerrero threw his bat and was ejected by HP umpire John Kibler","1988LAN.EVN.regular.comment.csv",29
"LAN198806030",6,"$hit & run with Barry Larkin covering 2B so Hatcher hit it through hole","1988LAN.EVN.regular.comment.csv",30
"LAN198806030",66,"Rob Murphy out with an injury","1988LAN.EVN.regular.comment.csv",31
"LAN198806030",79,"$ball lined off John Franco's knee","1988LAN.EVN.regular.comment.csv",32
"LAN198806050",35,"$John Shelby bumped Jeff Treadway and called for interference","1988LAN.EVN.regular.comment.csv",33
"LAN198806050",61,"$Barry Larkin replaced due to injured finger","1988LAN.EVN.regular.comment.csv",34
"LAN198806060",7,"$rundown after 3rd strike but Billy Hatcher returned to 1B","1988LAN.EVN.regular.comment.csv",35
"LAN198806171",66,"$Mike Marshall hurt his elbow on this throw and missed 2nd game","1988LAN.EVN.regular.comment.csv",36
"LAN198806180",36,"$Steve Sax came out with a stiff back","1988LAN.EVN.regular.comment.csv",37
"LAN198807010",6,"$Mickey Hatcher strained left groin and had to stop at 1B","1988LAN.EVN.regular.comment.csv",38
"LAN198807020",47,"$Shawon Dunston strained a hamstring","1988LAN.EVN.regular.comment.csv",39
"LAN198807090",0,"Debut for umpire Mike Winters","1988LAN.EVN.regular.comment.csv",40
"LAN198807090",25,"$Darnell Coles called for interference","1988LAN.EVN.regular.comment.csv",41
"LAN198807290",48,"$Alex Trevino called out for running out of the basepath","1988LAN.EVN.regular.comment.csv",42
"LAN198807300",27,"$high hopper over drawn in infield","1988LAN.EVN.regular.comment.csv",43
"LAN198808010",67,"ej,franj001,P,tatat901,Balk John Franco ejected by HP umpire Terry Tata","1988LAN.EVN.regular.comment.csv",44
"LAN198808020",52,"$Steve Sax called for interference for running into his own bunt","1988LAN.EVN.regular.comment.csv",45
"LAN198808120",59,"$good catch leaning into the seats","1988LAN.EVN.regular.comment.csv",46
"LAN198808120",78,"ej,crair101,M,hallt901,Called third strike Giants manager ROger Craig ejected by HP umpire Tom Hallion for arguing the called third strike","1988LAN.EVN.regular.comment.csv",47
"LAN198808130",1,"Debut game for Ramon Martinez","1988LAN.EVN.regular.comment.csv",48
"LAN198808130",89,"$Candy Maldonado lost the ball in the lights","1988LAN.EVN.regular.comment.csv",49
"LAN198808130",90,"ej,guerp001,P,westj901,Balk non-call ej,lasot101,M,westj901,Balk non-call Pedro Guerrero and Dodgers manager Tommy Lasorda ejected by 2B umpire Joe West for arguing for a balk on the pitch that was the passed ball; Lasorda alternately argued with West and restrained Guerrero from attacking West","1988LAN.EVN.regular.comment.csv",50
"LAN198808130",91,"ej,davim002,P,rungp901,Fair/foul call (from bench) Mike Davis ejected by HP umpire Paul Runge for arguing a bunt play during John Shelby's at bat; Davis was not in the game","1988LAN.EVN.regular.comment.csv",51
"LAN198808140",46,"$Steve Sax lost it in the sun","1988LAN.EVN.regular.comment.csv",52
"LAN198808140",67,"$Tim Crews injured","1988LAN.EVN.regular.comment.csv",53
"LAN198808190",16,"$Otis Nixon called for interference when his bat struck the ball twice","1988LAN.EVN.regular.comment.csv",54
"LAN198808210",6,"FLE2 added by D.W. Smith on 3-10-89","1988LAN.EVN.regular.comment.csv",55
"LAN198808220",22,"$Tim Teufel called for interference with Mike Scioscia's throw","1988LAN.EVN.regular.comment.csv",56
"LAN198808230",59,"$Keith Hernandez faked going home and was picked off","1988LAN.EVN.regular.comment.csv",57
"LAN198809080",58,"$Buddy Bell caught rounding 1B too far","1988LAN.EVN.regular.comment.csv",58
"LAN198809212",25,"$Mike Scioscia held because ball lined off 2B umpire; Fred Brocklander; Dodgers manager Tommy Lasorda protested the call of umpire interference","1988LAN.EVN.regular.comment.csv",59
"LAN198809212",83,"$ball bounced off the pitching rubber","1988LAN.EVN.regular.comment.csv",60
"LAN198810020",42,"$first pitch hit ground then hit Bob Melvin in face","1988LAN.EVN.regular.comment.csv",61
