"CIN195404130",79,"$Andy Pafko struck on the head and was carried off on a stretcher"FILENAME_TX","LINE_NUMBER_CT"
"CIN195407240",56,"ej,hanef101,M,engeb902,Balls and strikes Pirates Manager Fred Haney ejected by HP umpire Bill Engeln"1954CIN.EVN.regular.comment.csv",29

"CIN195407251",16,"to match daily/TSN, arbitrary 63 to 53"1954CIN.EVN.regular.comment.csv",30

"CIN195407251",38,"to match daily/TSN, arbitrary 13 to 31"1954CIN.EVN.regular.comment.csv",31

"CIN195408110",10,"$Hank Sauer stopped at 3B but Ernie Banks kept running"1954CIN.EVN.regular.comment.csv",32

"CIN195408130",91,"ej,tebbb101,M,stewb901,Catch/trap call Reds Manager Birdie Tebbetts ejected by 2B umpire Bill Stewart when Gus Bell appeared to make a shoestring catch"1954CIN.EVN.regular.comment.csv",33

"CIN195408240",84,"missing play in CIN195408240"1954CIN.EVN.regular.comment.csv",34

"CIN195408250",26,"ej,savrm101,P,jackb901,Bench jockeying Moe Savransky ejected by HP umpire Bill Jackowski sometime in fourth"1954CIN.EVN.regular.comment.csv",35

"CIN195408270",35,"to match daily/TSN, arbitrary 9 to 7"1954CIN.EVN.regular.comment.csv",36

"CIN195408300",17,"ej,kazat101,P,dascf901,BAlls and strikes $Phillies Kazanski,not in game, ejected by HP umpire Dascoli for arguing ball 4 to Seminick"1954CIN.EVN.regular.comment.csv",37

"CIN195408300",80,"to match daily/TSN, arbitrary 31 to 13"1954CIN.EVN.regular.comment.csv",38

"CIN195409010",67,"ej,rhodd101,P,dascf901,Call at 2B Dusty Rhodes ejected by 2B umpire Frank Dascoli"1954CIN.EVN.regular.comment.csv",39

"CIN195409030",66,"ej,greej102,P,engeb902,Fighting ej,logaj101,P,engeb902,Fighting $Johnny Logan tagged Jim Greengrass hard and Greengrass came up fighting; both benches cleared and a 15 minute brawl ensued; Logan and Greengrass ejected by HP umpire Bill Engeln"1954CIN.EVN.regular.comment.csv",40

"CIN195409040",32,"Gene Conley left with arm trouble"1954CIN.EVN.regular.comment.csv",41

"CIN195409040",72,"ej,burdl101,P,stewb901,Bench jockeying ej,grimc101,M,stewb901,Bench jockeying ej,metkg101,P,stewb901,Bench jockeying Lew Burdette ejected by HP umpire Bill Stewart Braves Manager Charlie Grimm ejected by HP umpire Bill Stewart George Metkovich ejected by HP umpire Bill Stewart"1954CIN.EVN.regular.comment.csv",42

"CIN195409052",28,"ej,logaj101,P,stewb901,Call at 2B $Shortstop Logan ejected by 2B umpire Stewart for arguing that Kluszewski was out at 2nd"1954CIN.EVN.regular.comment.csv",43

"CIN195409180",10,"to match daily/TSN, arbitrary K to K23"1954CIN.EVN.regular.comment.csv",44

"CIN195409190",1,"1:11 rain delay"1954CIN.EVN.regular.comment.csv",45

"CIN195409190",58,"to match daily/TSN, arbitrary 53 to 13"1954CIN.EVN.regular.comment.csv",46

"CIN195409190",92,"$Bill Tremel threw wide after slipping on the wet field"1954CIN.EVN.regular.comment.csv",47

