"SEA201803290",63,"$Indians challenged call that Chisenhall was not hit by pitch; call was overturned - hit by pitch","FILENAME_TX","LINE_NUMBER_CT"
"SEA201807310",5,"Injury Delay","2018SEA.EVA.regular.comment.csv",104
"SEA201807310",10,"$George Springer left with an injured shoulder","2018SEA.EVA.regular.comment.csv",105
"SEA201807310",21,"$Mariners challenged call that Gordon was out at first; call was upheld - out on pickoff","2018SEA.EVA.regular.comment.csv",106
"SEA201807310",26,"Injury Delay","2018SEA.EVA.regular.comment.csv",107
"SEA201807310",29,"Mound Visit","2018SEA.EVA.regular.comment.csv",108
"SEA201807310",49,"Mound Visit","2018SEA.EVA.regular.comment.csv",109
"SEA201807310",50,"Mound Visit","2018SEA.EVA.regular.comment.csv",110
"SEA201807310",54,"Mound Visit","2018SEA.EVA.regular.comment.csv",111
"SEA201807310",55,"Mound Visit","2018SEA.EVA.regular.comment.csv",112
"SEA201807310",56,"Mound Visit Mound Visit","2018SEA.EVA.regular.comment.csv",113
"SEA201807310",58,"Mound Visit","2018SEA.EVA.regular.comment.csv",114
"SEA201807310",64,"Mound Visit","2018SEA.EVA.regular.comment.csv",115
"SEA201807310",71,"Mound Visit","2018SEA.EVA.regular.comment.csv",116
"SEA201807310",74,"Mound Visit","2018SEA.EVA.regular.comment.csv",117
"SEA201808010",13,"Mound Visit","2018SEA.EVA.regular.comment.csv",118
"SEA201808010",20,"Mound Visit","2018SEA.EVA.regular.comment.csv",119
"SEA201808010",39,"Mound Visit","2018SEA.EVA.regular.comment.csv",120
"SEA201808010",58,"Mound Visit","2018SEA.EVA.regular.comment.csv",121
"SEA201808010",72,"Injury Delay","2018SEA.EVA.regular.comment.csv",122
"SEA201808020",33,"Mound Visit","2018SEA.EVA.regular.comment.csv",123
"SEA201808020",57,"Mound Visit","2018SEA.EVA.regular.comment.csv",124
"SEA201808020",71,"Mound Visit","2018SEA.EVA.regular.comment.csv",125
"SEA201808020",75,"Injury Delay $Originally an RBI on this play, removed on 08-03-2018","2018SEA.EVA.regular.comment.csv",126
"SEA201808030",36,"Mound Visit","2018SEA.EVA.regular.comment.csv",127
"SEA201808040",3,"Mound Visit","2018SEA.EVA.regular.comment.csv",128
"SEA201808040",19,"Mound Visit","2018SEA.EVA.regular.comment.csv",129
"SEA201808040",48,"Mound Visit","2018SEA.EVA.regular.comment.csv",130
"SEA201808040",59,"Mound Visit","2018SEA.EVA.regular.comment.csv",131
"SEA201808040",64,"Injury Delay","2018SEA.EVA.regular.comment.csv",132
"SEA201808040",67,"On-field Delay","2018SEA.EVA.regular.comment.csv",133
"SEA201808050",19,"Mound Visit","2018SEA.EVA.regular.comment.csv",134
"SEA201808050",26,"Mound Visit","2018SEA.EVA.regular.comment.csv",135
"SEA201808050",51,"Mound Visit","2018SEA.EVA.regular.comment.csv",136
"SEA201808050",56,"Mound Visit","2018SEA.EVA.regular.comment.csv",137
"SEA201808050",62,"Mound Visit","2018SEA.EVA.regular.comment.csv",138
"SEA201808170",23,"Mound Visit","2018SEA.EVA.regular.comment.csv",139
"SEA201808170",31,"Mound Visit","2018SEA.EVA.regular.comment.csv",140
"SEA201808170",40,"Mound Visit","2018SEA.EVA.regular.comment.csv",141
"SEA201808170",41,"Mound Visit","2018SEA.EVA.regular.comment.csv",142
"SEA201808180",5,"Mound Visit","2018SEA.EVA.regular.comment.csv",143
"SEA201808180",30,"$Dodgers challenged call that Seager was safe at 2nd; call was overturned - out on caught stealing","2018SEA.EVA.regular.comment.csv",144
"SEA201808180",41,"$Dodgers challenged call of foul on fifth pitch to Haniger, claiming fan interference; call was upheld - foul","2018SEA.EVA.regular.comment.csv",145
"SEA201808180",70,"Mound Visit","2018SEA.EVA.regular.comment.csv",146
"SEA201808180",71,"Mound Visit","2018SEA.EVA.regular.comment.csv",147
"SEA201808180",82,"Mound Visit","2018SEA.EVA.regular.comment.csv",148
"SEA201808190",6,"Mound Visit","2018SEA.EVA.regular.comment.csv",149
"SEA201808190",29,"$Chris Herrmann left with an injured knee","2018SEA.EVA.regular.comment.csv",150
"SEA201808190",37,"Mound Visit","2018SEA.EVA.regular.comment.csv",151
"SEA201808190",43,"Mound Visit","2018SEA.EVA.regular.comment.csv",152
"SEA201808190",45,"On-field Delay","2018SEA.EVA.regular.comment.csv",153
"SEA201808190",66,"Mound Visit","2018SEA.EVA.regular.comment.csv",154
"SEA201808190",83,"Injury Delay","2018SEA.EVA.regular.comment.csv",155
"SEA201808200",7,"Mound Visit","2018SEA.EVA.regular.comment.csv",156
"SEA201808200",11,"Mound Visit","2018SEA.EVA.regular.comment.csv",157
"SEA201808200",22,"Mound Visit","2018SEA.EVA.regular.comment.csv",158
"SEA201808200",24,"Mound Visit","2018SEA.EVA.regular.comment.csv",159
"SEA201808200",47,"Mound Visit","2018SEA.EVA.regular.comment.csv",160
"SEA201808200",55,"Mound Visit","2018SEA.EVA.regular.comment.csv",161
"SEA201808200",69,"On-field Delay","2018SEA.EVA.regular.comment.csv",162
"SEA201808200",70,"Mound Visit ej,servs002,M,muchm901,Arguing balls and strikes $Seattle manager Servais ejected by plate umpire Muchlinski after second pitch to Gordon for arguing balls and strike","2018SEA.EVA.regular.comment.csv",163
"SEA201808210",16,"Mound Visit","2018SEA.EVA.regular.comment.csv",164
"SEA201808210",20,"Mound Visit","2018SEA.EVA.regular.comment.csv",165
"SEA201808210",30,"$Astros challenged call that Gurriel was out at 1st; call was upheld - double play","2018SEA.EVA.regular.comment.csv",166
"SEA201808210",36,"Mound Visit","2018SEA.EVA.regular.comment.csv",167
"SEA201808210",56,"Mound Visit","2018SEA.EVA.regular.comment.csv",168
"SEA201808210",68,"Mound Visit","2018SEA.EVA.regular.comment.csv",169
"SEA201808220",13,"Mound Visit","2018SEA.EVA.regular.comment.csv",170
"SEA201808220",20,"On-field Delay","2018SEA.EVA.regular.comment.csv",171
"SEA201808220",30,"Mound Visit","2018SEA.EVA.regular.comment.csv",172
"SEA201808220",32,"Mound Visit","2018SEA.EVA.regular.comment.csv",173
"SEA201808220",48,"$Astros challenged call that Gordon was safe at 2nd; call was upheld - double","2018SEA.EVA.regular.comment.csv",174
"SEA201808220",55,"Mound Visit","2018SEA.EVA.regular.comment.csv",175
"SEA201808220",57,"Mound Visit","2018SEA.EVA.regular.comment.csv",176
"SEA201808220",58,"Mound Visit","2018SEA.EVA.regular.comment.csv",177
"SEA201808220",61,"Mound Visit","2018SEA.EVA.regular.comment.csv",178
"SEA201808220",69,"Mound Visit","2018SEA.EVA.regular.comment.csv",179
"SEA201808220",72,"Mound Visit","2018SEA.EVA.regular.comment.csv",180
"SEA201808220",76,"Mound Visit","2018SEA.EVA.regular.comment.csv",181
"SEA201808220",80,"Mound Visit","2018SEA.EVA.regular.comment.csv",182
"SEA201809030",36,"Mound Visit","2018SEA.EVA.regular.comment.csv",183
"SEA201809030",38,"Mound Visit","2018SEA.EVA.regular.comment.csv",184
"SEA201809030",41,"Mound Visit","2018SEA.EVA.regular.comment.csv",185
"SEA201809040",40,"Mound Visit","2018SEA.EVA.regular.comment.csv",186
"SEA201809040",46,"Mound Visit","2018SEA.EVA.regular.comment.csv",187
"SEA201809040",50,"Mound Visit","2018SEA.EVA.regular.comment.csv",188
"SEA201809040",51,"Mound Visit","2018SEA.EVA.regular.comment.csv",189
"SEA201809040",53,"Mound Visit","2018SEA.EVA.regular.comment.csv",190
"SEA201809040",71,"Mound Visit","2018SEA.EVA.regular.comment.csv",191
"SEA201809040",77,"Mound Visit","2018SEA.EVA.regular.comment.csv",192
"SEA201809040",78,"Mound Visit","2018SEA.EVA.regular.comment.csv",193
"SEA201809040",81,"$Mariners challenged call that Gordon was out at 1st; call was upheld - ground out","2018SEA.EVA.regular.comment.csv",194
"SEA201809050",19,"$Orioles challenged call that 3rd pitch to Mullins was a ball, claiming it hit him; call was overturned - hit by pitch","2018SEA.EVA.regular.comment.csv",195
"SEA201809050",28,"Mound Visit","2018SEA.EVA.regular.comment.csv",196
"SEA201809050",44,"Mound Visit","2018SEA.EVA.regular.comment.csv",197
"SEA201809050",49,"Mound Visit","2018SEA.EVA.regular.comment.csv",198
"SEA201809050",58,"Mound Visit","2018SEA.EVA.regular.comment.csv",199
"SEA201809050",66,"Mound Visit","2018SEA.EVA.regular.comment.csv",200
"SEA201809050",69,"Mound Visit","2018SEA.EVA.regular.comment.csv",201
"SEA201809070",32,"Mound Visit","2018SEA.EVA.regular.comment.csv",202
"SEA201809080",34,"Mound Visit","2018SEA.EVA.regular.comment.csv",203
"SEA201809080",34,"$Felix Hernandez left with an injured leg","2018SEA.EVA.regular.comment.csv",204
"SEA201809080",65,"Mound Visit","2018SEA.EVA.regular.comment.csv",205
"SEA201809080",69,"Injury Delay","2018SEA.EVA.regular.comment.csv",206
"SEA201809080",69,"Mound Visit","2018SEA.EVA.regular.comment.csv",207
"SEA201809080",70,"Mound Visit","2018SEA.EVA.regular.comment.csv",208
"SEA201809080",71,"Mound Visit","2018SEA.EVA.regular.comment.csv",209
"SEA201809090",15,"$Mariners challenged call that Voit was safe at 3rd; call was upheld - safe advancing on fly ball","2018SEA.EVA.regular.comment.csv",210
"SEA201809090",30,"Mound Visit","2018SEA.EVA.regular.comment.csv",211
"SEA201809090",32,"Mound Visit","2018SEA.EVA.regular.comment.csv",212
"SEA201809090",47,"Mound Visit","2018SEA.EVA.regular.comment.csv",213
"SEA201809090",49,"Mound Visit","2018SEA.EVA.regular.comment.csv",214
"SEA201809090",62,"Mound Visit","2018SEA.EVA.regular.comment.csv",215
"SEA201809090",72,"ej,gardb001,P,rehaj901,Arguing balls and strikes $Brett Gardner ejected by plate umpire Rehak after striking out for continuing to argue called strike on 2-0 pitch","2018SEA.EVA.regular.comment.csv",216
"SEA201809090",74,"$Yankees challenged call that Stanton's fly was caught, claiming a trap; call was upheld - fly out","2018SEA.EVA.regular.comment.csv",217
"SEA201809110",2,"$Mariners challenged call that Mejia was safe at 1st; call was overturned - ground out","2018SEA.EVA.regular.comment.csv",218
"SEA201809110",54,"Mound Visit","2018SEA.EVA.regular.comment.csv",219
"SEA201809110",57,"Injury Delay","2018SEA.EVA.regular.comment.csv",220
"SEA201809110",60,"Mound Visit","2018SEA.EVA.regular.comment.csv",221
"SEA201809110",62,"Mound Visit","2018SEA.EVA.regular.comment.csv",222
"SEA201809110",66,"Mound Visit","2018SEA.EVA.regular.comment.csv",223
"SEA201809120",8,"$Originally scored as E6 throwing error, changed to dropped catch error by 1bman on 09-18-2018","2018SEA.EVA.regular.comment.csv",224
"SEA201809120",18,"Mound Visit","2018SEA.EVA.regular.comment.csv",225
"SEA201809120",49,"Mound Visit","2018SEA.EVA.regular.comment.csv",226
"SEA201809120",58,"Mound Visit","2018SEA.EVA.regular.comment.csv",227
"SEA201809120",66,"Mound Visit","2018SEA.EVA.regular.comment.csv",228
"SEA201809120",72,"Mound Visit","2018SEA.EVA.regular.comment.csv",229
"SEA201809240",35,"Injury Delay","2018SEA.EVA.regular.comment.csv",230
"SEA201809240",41,"Mound Visit","2018SEA.EVA.regular.comment.csv",231
"SEA201809240",46,"Mound Visit","2018SEA.EVA.regular.comment.csv",232
"SEA201809240",62,"$Athletics challenged call that 3rd pitch was ball, claiming it had hit Olson; call was upheld - ball, not hit by pitch Mound Visit","2018SEA.EVA.regular.comment.csv",233
"SEA201809250",15,"Mound Visit","2018SEA.EVA.regular.comment.csv",234
"SEA201809250",18,"Mound Visit","2018SEA.EVA.regular.comment.csv",235
"SEA201809250",30,"Mound Visit","2018SEA.EVA.regular.comment.csv",236
"SEA201809250",32,"Mound Visit","2018SEA.EVA.regular.comment.csv",237
"SEA201809250",43,"Mound Visit","2018SEA.EVA.regular.comment.csv",238
"SEA201809250",53,"Mound Visit","2018SEA.EVA.regular.comment.csv",239
"SEA201809250",55,"Mound Visit","2018SEA.EVA.regular.comment.csv",240
"SEA201809250",56,"Mound Visit","2018SEA.EVA.regular.comment.csv",241
"SEA201809250",75,"Mound Visit","2018SEA.EVA.regular.comment.csv",242
"SEA201809250",92,"Mound Visit","2018SEA.EVA.regular.comment.csv",243
"SEA201809260",13,"Mound Visit","2018SEA.EVA.regular.comment.csv",244
"SEA201809260",18,"Mound Visit","2018SEA.EVA.regular.comment.csv",245
"SEA201809260",20,"Mound Visit","2018SEA.EVA.regular.comment.csv",246
"SEA201809260",39,"Mound Visit","2018SEA.EVA.regular.comment.csv",247
"SEA201809260",41,"Mound Visit","2018SEA.EVA.regular.comment.csv",248
"SEA201809260",45,"Mound Visit","2018SEA.EVA.regular.comment.csv",249
"SEA201809260",50,"Mound Visit","2018SEA.EVA.regular.comment.csv",250
"SEA201809260",58,"Mound Visit","2018SEA.EVA.regular.comment.csv",251
"SEA201809270",46,"Mound Visit","2018SEA.EVA.regular.comment.csv",252
"SEA201809270",49,"Mound Visit","2018SEA.EVA.regular.comment.csv",253
"SEA201809270",57,"Mound Visit","2018SEA.EVA.regular.comment.csv",254
"SEA201809280",12,"Mound Visit","2018SEA.EVA.regular.comment.csv",255
"SEA201809280",17,"Mound Visit","2018SEA.EVA.regular.comment.csv",256
"SEA201809280",28,"Mound Visit","2018SEA.EVA.regular.comment.csv",257
"SEA201809280",35,"Mound Visit","2018SEA.EVA.regular.comment.csv",258
"SEA201809280",47,"Mound Visit","2018SEA.EVA.regular.comment.csv",259
"SEA201809280",65,"Mound Visit","2018SEA.EVA.regular.comment.csv",260
"SEA201809280",66,"Mound Visit","2018SEA.EVA.regular.comment.csv",261
"SEA201809280",71,"Mound Visit","2018SEA.EVA.regular.comment.csv",262
"SEA201809280",76,"$Ball got away from catcher, runner on 2nd broke for 3rd, but stopped; catcher threw behind him for out at 2nd; meawhile runner from 1st had not not stopped and was also at 2nd; he was run down to complete double play","2018SEA.EVA.regular.comment.csv",263
"SEA201809280",79,"Mound Visit","2018SEA.EVA.regular.comment.csv",264
"SEA201809280",81,"Mound Visit","2018SEA.EVA.regular.comment.csv",265
"SEA201809290",39,"Injury Delay","2018SEA.EVA.regular.comment.csv",266
"SEA201809290",53,"Mound Visit","2018SEA.EVA.regular.comment.csv",267
"SEA201809290",54,"Mound Visit","2018SEA.EVA.regular.comment.csv",268
"SEA201809290",55,"Mound Visit","2018SEA.EVA.regular.comment.csv",269
"SEA201809290",68,"Mound Visit","2018SEA.EVA.regular.comment.csv",270
"SEA201809290",69,"$Rangers challenged call that 3rd pitch to Guzman was a ball, claiming it hit him; call was overturned - hit by pitch","2018SEA.EVA.regular.comment.csv",271
"SEA201809300",39,"Mound Visit","2018SEA.EVA.regular.comment.csv",272
"SEA201809300",65,"$Rangers challenged call that DeShields was out at 2nd; call was upheld - out on pickoff","2018SEA.EVA.regular.comment.csv",273
