"ANA201704080",17,"$Martin Maldonado called for batter interference"FILENAME_TX","LINE_NUMBER_CT"
"ANA201708240",66,"$Rangers challenged call that Napoli was out at 1st to complete double play; call was overturned - force out, no DP"2017ANA.EVA.regular.comment.csv",55

"ANA201708250",4,"ej,coraa001,C,diazl901,Arguing strike one call from bench $Astros coach Alex Cora ejected by plate umpire Diaz after strike one call to Gurriel"2017ANA.EVA.regular.comment.csv",56

"ANA201708290",15,"$umpires reviewed call that Olson hit home run; call was upheld - home run"2017ANA.EVA.regular.comment.csv",57

"ANA201708300",70,"$umpires reviewed play to be sure Pennington's hit was a home run; call was upheld - home run"2017ANA.EVA.regular.comment.csv",58

"ANA201709130",22,"$Jake Marisnick left with injured hand"2017ANA.EVA.regular.comment.csv",59

"ANA201709140",50,"$Keynan Middleton left with injured elbow"2017ANA.EVA.regular.comment.csv",60

"ANA201709150",28,"$umpires reviewed to be sure Calhoun's hit was not a home run; call was upheld - double"2017ANA.EVA.regular.comment.csv",61

"ANA201709150",43,"$Nomar Mazara left with injured leg"2017ANA.EVA.regular.comment.csv",62

"ANA201709160",49,"$Angels challenged call that Gallo was safe at 2nd; call was overturned - caught stealing"2017ANA.EVA.regular.comment.csv",63

"ANA201709160",61,"$Angels challenged call that Simmons was out at 2nd; call was upheld - caught stealing"2017ANA.EVA.regular.comment.csv",64

"ANA201709170",8,"$Rangers challenged call that Trout was safe at 2nd; call was overturned - caught stealing"2017ANA.EVA.regular.comment.csv",65

"ANA201709170",24,"$Angels challenged call that Cron was out at home; call was upheld - fielder's choice out"2017ANA.EVA.regular.comment.csv",66

"ANA201709170",63,"$Rangers challenged call that Pujols was safe at 1st; call was upheld - single"2017ANA.EVA.regular.comment.csv",67

"ANA201710010",49,"$Angels challenged call that Cron was out at 1st; call was overturned - safe on fielder's choice"2017ANA.EVA.regular.comment.csv",68

