"SLN195304190",0,"Snow fell before and throughout the game; flurries were most intense in the first inning when time was called for six minutes.","FILENAME_TX","LINE_NUMBER_CT"
"SLN195305290",37,"$bunt off Joe Adcock's glove to Del Crandall who threw into RF","1953SLN.EVN.regular.comment.csv",19
"SLN195305290",61,"$onto the pavillion roof","1953SLN.EVN.regular.comment.csv",20
"SLN195305290",72,"to match daily/TSN, arbitrary 43 to 63","1953SLN.EVN.regular.comment.csv",21
"SLN195306160",31,"$onto the roof","1953SLN.EVN.regular.comment.csv",22
"SLN195306160",40,"$onto the roof","1953SLN.EVN.regular.comment.csv",23
"SLN195306160",53,"$Carl Furillo bruised his hip on Ray Jablonski hit in 1st","1953SLN.EVN.regular.comment.csv",24
"SLN195306250",14,"ej,schod101,P,donaa901,Bench jockeying (Threw towel) ej,stane101,M,donaa901,Bench jockeying Dick Schofield and Cardinals Manager Eddie Stanky ejected by HP umpire Augie Donatelli; Schofield had not yet played his first game","1953SLN.EVN.regular.comment.csv",25
"SLN195306250",27,"Conjecture","1953SLN.EVN.regular.comment.csv",26
"SLN195306260",65,"the rest of the game is conjecture","1953SLN.EVN.regular.comment.csv",27
"SLN195306272",40,"to match daily/TSN, arbitrary 63 to 43","1953SLN.EVN.regular.comment.csv",28
"SLN195307100",37,"to match daily/TSN, arbitrary 63 to 43","1953SLN.EVN.regular.comment.csv",29
"SLN195307100",40,"$onto the roof","1953SLN.EVN.regular.comment.csv",30
"SLN195307121",52,"$Solly Hemus injured","1953SLN.EVN.regular.comment.csv",31
"SLN195307300",28,"ej,repur101,P,warnl101,Called third strike Rip Repulski ejected by HP umpire Lon Warneke","1953SLN.EVN.regular.comment.csv",32
"SLN195307310",50,"$Stan Musial was trapped off 2B before Enos Slaughter was run down","1953SLN.EVN.regular.comment.csv",33
"SLN195308020",46,"ej,yvars101,P,jackb901,Call at HP Sal Yvars ejected by HP umpire Bill Jackowski","1953SLN.EVN.regular.comment.csv",34
"SLN195308030",75,"to match daily/TSN, arbitrary 8 to 9","1953SLN.EVN.regular.comment.csv",35
"SLN195308040",3,"$Del Rice thought Richie Ashburn was stealing 2B so he threw to no one at 2B","1953SLN.EVN.regular.comment.csv",36
"SLN195308050",42,"missing play in SLN195308050","1953SLN.EVN.regular.comment.csv",37
"SLN195308060",28,"to match daily/TSN, arbitrary 8 to 43","1953SLN.EVN.regular.comment.csv",38
"SLN195308060",33,"to match daily/TSN, arbitrary 43 to 63","1953SLN.EVN.regular.comment.csv",39
"SLN195308070",7,"$onto the roof","1953SLN.EVN.regular.comment.csv",40
"SLN195308080",40,"$onto the roof","1953SLN.EVN.regular.comment.csv",41
"SLN195308090",27,"$Del Rice and Monte Irvin injured in collision at HP","1953SLN.EVN.regular.comment.csv",42
"SLN195308090",62,"$onto the roof","1953SLN.EVN.regular.comment.csv",43
"SLN195308180",37,"to match daily/TSN, arbitrary 8 to 7","1953SLN.EVN.regular.comment.csv",44
"SLN195308180",51,"$Joe Garagiola overthrew 1B on the pickoff attempt","1953SLN.EVN.regular.comment.csv",45
"SLN195308190",19,"ej,sereb101,P,robel901,Bench jockeying Bill Serena ejected by HP umpire Lenny Roberts","1953SLN.EVN.regular.comment.csv",46
"SLN195308190",21,"ej,jeffh101,P,robel901,Bench jockeying Hal Jeffcoat ejected by HP umpire Lenny Roberts","1953SLN.EVN.regular.comment.csv",47
"SLN195308200",4,"$only fourth ball was intentional","1953SLN.EVN.regular.comment.csv",48
"SLN195308200",22,"$the fell near the pitcher's mound for a hit","1953SLN.EVN.regular.comment.csv",49
"SLN195308200",63,"$short passed ball","1953SLN.EVN.regular.comment.csv",50
"SLN195308210",13,"$Steve Bilko batted one slot early and grounded out; Cardinals manager Eddie Stanky informed HP umpire Bill Stewart as Ray Jablonski came to HP; Stewart ruled Jablonksi out since he was the proper batter whom Bilko had replaced; Bilko then became the proper batter","1953SLN.EVN.regular.comment.csv",51
"SLN195308220",25,"to match daily/TSN, arbitrary 7 to 8","1953SLN.EVN.regular.comment.csv",52
"SLN195309072",5,"to match daily/TSN, arbitrary K to K23","1953SLN.EVN.regular.comment.csv",53
"SLN195309072",51,"to match daily/TSN, arbitrary 7 to 9","1953SLN.EVN.regular.comment.csv",54
"SLN195309072",53,"to match daily/TSN, arbitrary 7 to 9","1953SLN.EVN.regular.comment.csv",55
"SLN195309140",56,"ej,jonew101,P,donaa901,Call at 1B Willie Jones ejected by 1B umpire Augie Donatelli","1953SLN.EVN.regular.comment.csv",56
"SLN195309140",67,"ej,burgs101,P,donaa901,Call at 1B Smoky Burgess ejected by 1B umpire Augie Donatelli","1953SLN.EVN.regular.comment.csv",57
"SLN195309140",85,"to match daily/TSN, arbitrary 7 to 8","1953SLN.EVN.regular.comment.csv",58
"SLN195309170",17,"to match daily/TSN, arbitrary 7 to 8","1953SLN.EVN.regular.comment.csv",59
"SLN195309170",20,"to match daily/TSN, arbitrary K to K23","1953SLN.EVN.regular.comment.csv",60
"SLN195309170",26,"to match daily/TSN, arbitrary 7 to 9","1953SLN.EVN.regular.comment.csv",61
"SLN195309230",39,"fielding credit invented","1953SLN.EVN.regular.comment.csv",62
