"CHA201004080",55,"Debut game for Sergio Santos"FILENAME_TX","LINE_NUMBER_CT"
"CHA201007280",25,"umpchange,3,umphome,wendh902 umpchange,3,ump2b,(None) $HP umpire Brian Runge left the game and was taken to the hospital for evaluation due to the foul ball off his mask in the first inning there was a ten-minute delay while Wendelstedt changed into his plate gear"2010CHA.EVA.regular.comment.csv",20

"CHA201007300",1,"Debut game for Lucas Harrell"2010CHA.EVA.regular.comment.csv",21

"CHA201008120",77,"White Sox pitcher Bobby Jenks left the game due to an injured back"2010CHA.EVA.regular.comment.csv",22

"CHA201008150",10,"$Tigers pitcher Armando Galarraga ran into the dugout and confronted catcher Alex Avila; Galarraga pointed and yelled at Avila, who then yelled back; Gerald Laird got in between them and started verbally defending his fellow catcher; he and Galarraga had words; coach Lloyd McClendon held back Galarraga as the latter threw a punch at Laird; other players, including Johnny Damon, separated the two"2010CHA.EVA.regular.comment.csv",23

"CHA201008150",20,"fan interference"2010CHA.EVA.regular.comment.csv",24

"CHA201008150",63,"ej,coopd001,C,nelsj901,Balls and strikes White Sox Pitching Coach Don Cooper ejected by HP umpire Jeff Nelson for yelling about balls and strikes from the dugout"2010CHA.EVA.regular.comment.csv",25

"CHA201008240",29,"Orioles center fielder Adam Jones left the game due to an injured shoulder"2010CHA.EVA.regular.comment.csv",26

"CHA201008240",79,"$Putz hurt knee and left after throwing 3 pitches to Wigginton"2010CHA.EVA.regular.comment.csv",27

"CHA201008260",58,"White Sox third baseman Omar Vizquel left the game due to an injured chest"2010CHA.EVA.regular.comment.csv",28

"CHA201008270",5,"fan interference"2010CHA.EVA.regular.comment.csv",29

"CHA201008280",20,"Yankees first baseman Mark Teixeira left the game due to an injured hand"2010CHA.EVA.regular.comment.csv",30

"CHA201008290",77,"ej,guilo001,M,davib902,Call at 1B $Brett Gardner beat the relay throw on a close call at first; White Sox Manager Ozzie Guillen argued the call and was ejected by 1B umpire Bob Davidson"2010CHA.EVA.regular.comment.csv",31

"CHA201009100",11,"originally scored E6 changed to single next day"2010CHA.EVA.regular.comment.csv",32

"CHA201009100",37,"ej,guilo001,M,herna001,Balk call $HP umpire Angel Hernandez called the balk on White Sox pitcher Mark Buehrle which prompted White Sox manager Ozzie Guillen to storm out of the dugout; Guillen threw a temper tamtrum on the field and was ejected by Hernandez"2010CHA.EVA.regular.comment.csv",33

"CHA201009120",53,"Royals second baseman Chris Getz left the game due to an injured head"2010CHA.EVA.regular.comment.csv",34

"CHA201009150",41,"Twins Jason Kubel left the game due to an injured wrist"2010CHA.EVA.regular.comment.csv",35

"CHA201009270",68,"$Alex Rios fouled the ball off his left knee"2010CHA.EVA.regular.comment.csv",36

"CHA201009290",30,"White Sox right fielder Carlos Quentin left the game due to an injured ankle"2010CHA.EVA.regular.comment.csv",37

"CHA201009300",60,"$before the 3-2 pitch to Ramon Castro, the lights went out at the stadium; the outfield lights, the scoreboard and the councourse lights came back on immediately, but the rest of the lights were out for 21 minutes"2010CHA.EVA.regular.comment.csv",38

"CHA201010020",53,"Game called for rain"2010CHA.EVA.regular.comment.csv",39

