"TOR201404040",9,"$Masahiro Tanaka surrendered a homer to the first major league batter he faced"FILENAME_TX","LINE_NUMBER_CT"
"TOR201404220",33,"$Blue Jays manager John Gibbons asked the umpires to check the glove of pitcher Miguel Gonzalez; they found no foreign substance"2014TOR.EVA.regular.comment.csv",12

"TOR201404240",63,"replay,8,schoj001,BAL,wintm901,TOR02,,N,M,TOR,I $Blue Jays manager John Gibbons challenged the HBP ruling; it was upheld by replay"2014TOR.EVA.regular.comment.csv",13

"TOR201404260",19,"replay,2,reyej001,TOR,kellj901,TOR02,,Y,M,BOS,C $when Jose Reyes was called safe at 1B, Red Sox manager John Farrell challenged the ruling; it was overturned by replay"2014TOR.EVA.regular.comment.csv",14

"TOR201404260",25,"ej,walkp001,C,kellj901,Balls and strikes Blue Jays Pitching Coach Pete Walker ejected by HP umpire Jeff Kellogg"2014TOR.EVA.regular.comment.csv",15

"TOR201405080",10,"run originally charged as earned, changed to unearned on 05-09-2014"2014TOR.EVA.regular.comment.csv",16

"TOR201405080",24,"$fan interference"2014TOR.EVA.regular.comment.csv",17

"TOR201405080",48,"replay,5,reyej001,TOR,kellj901,TOR02,,Y,M,TOR,I $when HP umpire D.J. Reyburn ruled Jose Reyes was not hit by the pitch, Blue Jays manager John Gibbons challenged the ruling; it was overturned by replay"2014TOR.EVA.regular.comment.csv",18

"TOR201405090",0,"$Angels bench coach Dino Ebel managed the team while manager Mike Scioscia was away to attend his daughter's college graduation"2014TOR.EVA.regular.comment.csv",19

"TOR201405090",44,"replay,5,stewi001,ANA,vanol901,TOR02,,Y,M,TOR,A $the pitch was very high and struck the backstop; the ball caromed back to catcher Dioner Navarro when Raul Ibanez was called safe at HP, Blue Jays manager John Gibbons challenged the ruling; it was overturned by replay"2014TOR.EVA.regular.comment.csv",20

"TOR201405090",65,"replay,7,getzc001,TOR,vanol901,TOR02,,N,M,TOR,C $when Chris Getz was called out at 1B, Blue Jays manager John Gibbons challenged the ruling; it was upheld by replay"2014TOR.EVA.regular.comment.csv",21

"TOR201405090",77,"replay,7,ibanr001,ANA,vanol901,TOR02,,N,M,ANA,A $when Mike Trout was called out at 3B, Angels bench coach Dino Ebel challenged the ruling; it was upheld by replay"2014TOR.EVA.regular.comment.csv",22

"TOR201405110",80,"replay,9,mcdoj003,ANA,vanol901,TOR02,,N,M,TOR,C $when John McDonald was called safe at 1B, Blue Jays manager John Gibbons challenged the ruling; it was upheld by replay"2014TOR.EVA.regular.comment.csv",23

"TOR201405120",53,"Blue Jays center fielder Colby Rasmus left the game due to an injured leg"2014TOR.EVA.regular.comment.csv",24

"TOR201405140",38,"replay,5,gomey001,CLE,mealj901,TOR02,,N,M,TOR,A $when Asdrubal Cabrera was called safe at 2B, Blue Jays manager John Gibbons challenged the ruling; it was upheld by replay"2014TOR.EVA.regular.comment.csv",25

"TOR201405140",41,"Indians left fielder Michael Brantley left the game due to an injured back"2014TOR.EVA.regular.comment.csv",26

"TOR201405140",49,"Indians center fielder Nyjer Morgan left the game due to an injured knee"2014TOR.EVA.regular.comment.csv",27

"TOR201405150",46,"replay,5,lawrb002,TOR,mealj901,TOR02,,N,M,CLE,B $the Indians appealed that Brett Lawrie missed 1B; when Lawrie was called safe, Indians manager Terry Francona challenged the ruling; it was upheld by replay"2014TOR.EVA.regular.comment.csv",28

"TOR201405150",65,"$fan interference"2014TOR.EVA.regular.comment.csv",29

"TOR201405150",73,"replay,8,cabrm002,TOR,mealj901,TOR02,,N,M,TOR,A $when Jose Reyes was called out at 2B, Blue Jays manager John Gibbons challenged the ruling; it was upheld by replay"2014TOR.EVA.regular.comment.csv",30

"TOR201405250",45,"ej,gibbj001,M,carlm901,Replay ruling replay,5,encae001,TOR,barrt901,TOR02,,N,M,TOR,C $when Jose Bautista was called out at 2B, Blue Jays manager John Gibbons challenged the ruling; the call was upheld by replay; Gibbons ejected by HP umpire Mark Carlson"2014TOR.EVA.regular.comment.csv",31

"TOR201405250",48,"a fan touched the ball"2014TOR.EVA.regular.comment.csv",32

"TOR201405260",37,"originally scored as single, changed to error on 06-04-2014, making one run unearned"2014TOR.EVA.regular.comment.csv",33

"TOR201405270",18,"replay,3,escoy001,TBA,onorb901,TOR02,,Y,M,TOR,C $when Yunel Escobar was called safe at 1B, Blue Jays manager John Gibbons challenged the ruling; the call was overturned by replay"2014TOR.EVA.regular.comment.csv",34

"TOR201405280",27,"replay,4,jennd002,TBA,onorb901,TOR02,F,N,U,,H $when Desmond Jennings' fly ball to LF was ruled foul, Rays manager Joe Maddon talked with acting crew chief Brian O'Nora; O'Nora requested a review, which upheld the call"2014TOR.EVA.regular.comment.csv",35

"TOR201405280",31,"replay,4,lawrb002,TOR,onorb901,TOR02,,N,M,TBA,C $when Brett Lawrie was called safe at 1B, Rays manager Joe Maddon challenged the ruling; the call was upheld by replay"2014TOR.EVA.regular.comment.csv",36

"TOR201405280",49,"$fan interference"2014TOR.EVA.regular.comment.csv",37

"TOR201405290",25,"$fan interference"2014TOR.EVA.regular.comment.csv",38

"TOR201405290",44,"replay,5,cabrm002,TOR,vanol901,TOR02,,Y,M,KCA,A $when Anthony Gose was called safe at 1B, Royals manager Ned Yost challenged the ruling; the call was overturned by replay"2014TOR.EVA.regular.comment.csv",39

"TOR201405290",48,"replay,6,aokin001,KCA,vanol901,TOR02,,N,M,KCA,I $when Nori Aoki was ruled to have been hit by a pitch on a squeeze play, Royals manager Ned Yost challenged the ruling; the call was upheld by replay"2014TOR.EVA.regular.comment.csv",40

"TOR201405310",51,"replay,6,hosme001,KCA,vanol901,TOR02,,N,M,TOR,C $when Eric Hosmer was called safe at 1B, Blue Jays manager John Gibbons challenged the ruling; the call was upheld by replay"2014TOR.EVA.regular.comment.csv",41

"TOR201406010",36,"Previous two plays really one, but must be entered separately for now"2014TOR.EVA.regular.comment.csv",42

"TOR201406010",67,"replay,8,lawrb002,TOR,vanol901,TOR02,,Y,M,KCA,C $when Brett Lawrie was called safe at 1B, Royals manager Ned Yost challenged the ruling; the call was overturned by replay"2014TOR.EVA.regular.comment.csv",43

"TOR201406060",78,"replay,9,cruzt002,SLN,culbf901,TOR02,,Y,M,TOR,N $when a fan reached out for a fly ball hit by Tony Cruz, no fan interference was called; Blue Jays manager John Gibbons challenged the ruling, which was overturned by replay"2014TOR.EVA.regular.comment.csv",44

"TOR201406070",67,"originally scored as E6, changed to single on 06-08-2014"2014TOR.EVA.regular.comment.csv",45

"TOR201406110",29,"Twins second baseman Brian Dozier left the game due to an injured back"2014TOR.EVA.regular.comment.csv",46

"TOR201406110",44,"replay,6,suzuk001,MIN,hallt901,TOR02,,N,M,MIN,A $when Kurt Suzuki was called out at 2B, Twins manager Ron Gardenhire challenged the ruling; the call was upheld by replay"2014TOR.EVA.regular.comment.csv",47

"TOR201406240",12,"$fan interference"2014TOR.EVA.regular.comment.csv",48

"TOR201406260",3,"White Sox center fielder Adam Eaton left the game due to an injured leg"2014TOR.EVA.regular.comment.csv",49

"TOR201406260",4,"originally scored as single, changed to error on 07-02-2014, making both runs in inning unearned"2014TOR.EVA.regular.comment.csv",50

"TOR201406260",16,"replay,2,reyej001,TOR,culbf901,TOR02,O,N,U,,H $Jose Reyes hit a fly ball that struck the top of the wall and caromed back onto the field; the ball was ruled in play but crew chief Fieldin Culbreth requested a review; the call was upheld by replay"2014TOR.EVA.regular.comment.csv",51

"TOR201406260",41,"originally scored as double, changed to E7 on 07-02-2014"2014TOR.EVA.regular.comment.csv",52

"TOR201406260",64,"replay,8,tolls001,TOR,culbf901,TOR02,,N,M,TOR,C $Conor Gillaspie's throw to 1B pulled Jose Abreu into foul territory; when Steve Tolleson was called out at 1B, Blue Jays manager John Gibbons challenged the ruling; the call was upheld by replay"2014TOR.EVA.regular.comment.csv",53

"TOR201407020",35,"replay,4,kawam001,TOR,gibsg901,TOR02,,N,M,TOR,C $when Munenori Kawasaki was called out at 1B, Blue Jays manager John Gibbons challenged the ruling; the call was upheld by replay"2014TOR.EVA.regular.comment.csv",54

"TOR201407020",66,"ej,roenr001,M,cuzzp901,Checked swing $Steve Tolleson was hit on the foot by a pitch on a checked swing; 1B umpire Phil Cuzzi ruled that Tolleson did not swing, therefore he was sent to 1B; Brewers manager Ron Roenicke talked to Cuzzi and was ejected by Cuzzi"2014TOR.EVA.regular.comment.csv",55

"TOR201407020",67,"replay,8,kawam001,TOR,gibsg901,TOR02,,Y,M,MIL,A ej,gibbj001,M,gibsg901,Replay ruling $when Steve Tolleson was called safe at 2B, Brewers acting manager Jerry Narron challenged the ruling; the call was overturned by replay; Blue Jays manager John Gibbons was ejected by HP umpire Greg Gibson"2014TOR.EVA.regular.comment.csv",56

"TOR201407190",2,"Rangers right fielder Alex Rios left the game due to an injured ankle"2014TOR.EVA.regular.comment.csv",57

"TOR201407190",22,"replay,3,kawam001,TOR,welkb901,TOR02,,Y,M,TEX,C $when Jose Reyes was called safe at 2B, Rangers manager Ron Washington challenged the ruling; the call was overturned by replay"2014TOR.EVA.regular.comment.csv",58

"TOR201407200",54,"replay,6,martl004,TEX,welkb901,TOR02,,Y,M,TEX,C $when Leonys Martin was called out at 1B, Rangers manager Ron Washington challenged the ruling; the call was overturned by replay"2014TOR.EVA.regular.comment.csv",59

"TOR201407240",15,"$fan interference"2014TOR.EVA.regular.comment.csv",60

"TOR201408050",29,"Blue Jays third baseman Brett Lawrie left the game due to an injured back"2014TOR.EVA.regular.comment.csv",61

"TOR201408060",56,"replay,7,rasmc001,TOR,kellj901,TOR02,,Y,M,BAL,C $when Colby Rasmus was called safe at 1B, Orioles manager Buck Showalter challenged the ruling; the call was overturned by replay"2014TOR.EVA.regular.comment.csv",62

"TOR201408060",61,"replay,8,goinr001,TOR,kellj901,TOR02,,N,M,BAL,A $when Munenori Kawasaki was called safe on a pickoff attempt, Orioles manager Buck Showalter challenged the ruling; the call was upheld by replay"2014TOR.EVA.regular.comment.csv",63

"TOR201408060",63,"replay,8,reyej001,TOR,kellj901,TOR02,,N,M,TOR,C $when Jose Reyes was called out at 1B, Blue Jays manager John Gibbons challenged the ruling; the call was upheld by replay"2014TOR.EVA.regular.comment.csv",64

"TOR201408070",24,"Blue Jays designated hitter Melky Cabrera left the game due to an injured elbow"2014TOR.EVA.regular.comment.csv",65

"TOR201408070",25,"replay,3,reimn001,TOR,kellj901,TOR02,,N,M,BAL,A $when Jose Reyes was called safe at 2B, Orioles manager Buck Showalter challenged the ruling; the call was upheld by replay"2014TOR.EVA.regular.comment.csv",66

"TOR201408080",15,"originally scored as double, changed to error on 08-19-2014, making run unearned"2014TOR.EVA.regular.comment.csv",67

"TOR201408080",17,"replay,2,goinr001,TOR,millb901,TOR02,,N,M,DET,C $when Ryan Goins was called safe at 1B, Tigers manager Brad Ausmus challenged the ruling; the call was upheld by replay"2014TOR.EVA.regular.comment.csv",68

"TOR201408080",49,"Tigers pitcher Anibal Sanchez left the game due to an injured chest"2014TOR.EVA.regular.comment.csv",69

"TOR201408090",62,"replay,9,cabrm002,TOR,millb901,TOR02,,N,M,DET,A $when Jose Reyes was called safe, Tigers manager Brad Ausmus challenged the ruling; the call was upheld by replay"2014TOR.EVA.regular.comment.csv",70

"TOR201408100",26,"ej,ausmb001,M,millb901,Balls and strikes Tigers Manager Brad Ausmus ejected by HP umpire Bill Miller"2014TOR.EVA.regular.comment.csv",71

"TOR201408100",75,"replay,9,rasmc001,TOR,millb901,TOR02,,Y,M,TOR,A $when Anthony Gose was called out at 2B, Blue Jays manager John Gibbons challenged the ruling; the call Was overturned by replay"2014TOR.EVA.regular.comment.csv",72

"TOR201408100",108,"replay,13,romia001,DET,millb901,TOR02,,Y,M,TOR,A $when Andrew Romine was called safe at 2B, Blue Jays manager John Gibbons challenged the ruling; the call Was overturned by replay"2014TOR.EVA.regular.comment.csv",73

"TOR201408220",21,"$a fan reached onto the field and caught the ball which was ruled interference"2014TOR.EVA.regular.comment.csv",74

"TOR201408230",0,"Protest=V"2014TOR.EVA.regular.comment.csv",75

"TOR201408230",29,"replay,4,escoy001,TBA,davib902,TOR02,,Y,M,TOR,A $when Wil Myers was called safe at 1B on a pickoff attempt, Blue Jays manager John Gibbons challenged the ruling; the call was overturned by replay; Rays manager Joe Maddon argued that his player had stepped into the batter's box and the pitcher was on the mound so Gibbons could not challenge; when Myers was called out, Maddon protested the game; the protest was denied on 8/26"2014TOR.EVA.regular.comment.csv",76

"TOR201408240",35,"replay,5,joycm001,TBA,davib902,TOR02,,Y,M,TBA,C $when Matt Joyce was called out at 1B, Rays manager Joe Maddon challenged the ruling; the call was overturned by replay"2014TOR.EVA.regular.comment.csv",77

"TOR201408240",47,"ej,bautj002,P,welkb901,Called third strike Blue Jays right fielder Jose Bautista ejected by HP umpire Bill Welke"2014TOR.EVA.regular.comment.csv",78

"TOR201408240",74,"replay,10,longe001,TBA,davib902,TOR02,,N,U,,P $when Logan Forsythe was called out at HP, acting crew chief Bob Davidson requested a review; the call was upheld by replay saying the catcher did not block HP without the ball and the runner was out"2014TOR.EVA.regular.comment.csv",79

"TOR201408250",47,"replay,7,vazqc001,BOS,hallt901,TOR02,,Y,M,BOS,A $when Mookie Betts was called out at 2B, Red Sox manager John Farrell challenged the ruling; the call was overturned by replay"2014TOR.EVA.regular.comment.csv",80

"TOR201408250",64,"replay,9,kawam001,TOR,hallt901,TOR02,,N,M,TOR,C $when Munenori Kawasaki was called out at 1B, Blue Jays manager John Gibbons challenged the ruling; the call was upheld by replay"2014TOR.EVA.regular.comment.csv",81

"TOR201408250",73,"replay,10,pedrd001,BOS,hallt901,TOR02,,N,U,,A $when Brock Holt was called safe at 2B, crew chief Tom Hallion requested a review; the call was upheld by replay"2014TOR.EVA.regular.comment.csv",82

"TOR201408260",7,"replay,1,middw001,BOS,hallt901,TOR02,,N,U,,P $when Allen Craig was called out at HP, crew chief Tom Hallion requested a review; the call was upheld by replay saying the catcher did not blocl HP and the runner was out"2014TOR.EVA.regular.comment.csv",83

"TOR201408260",14,"replay,2,vazqc001,BOS,hallt901,TOR02,,N,M,TOR,A $when Mookie Betts was called safe at 1B on a pickoff attempt, Blue Jays manager John Gibbons challenged the ruling; the call was upheld by replay"2014TOR.EVA.regular.comment.csv",84

"TOR201408260",93,"replay,11,vazqc001,BOS,hallt901,TOR02,,Y,M,BOS,C $when Mookie Betts was called out at 2B, Red Sox manager John Farrell challenged the ruling; the call was overturned by replay"2014TOR.EVA.regular.comment.csv",85

"TOR201408270",37,"originally scored as E5, changed to single on 09-09-2014, making run earned"2014TOR.EVA.regular.comment.csv",86

"TOR201408290",74,"replay,9,jeted001,NYA,millb901,TOR02,,Y,M,TOR,A replay,9,jeted001,NYA,millb901,TOR02,,N,U,,P $when Jacoby Ellsbury was called safe at HP, Blue Jays manager challenged the ruling; the call was overturned by replay; Yankees manager Joe Girardi talked to crew chief Bill Miller about the catcher blocking HP; Miller requested a review and it was confirmed that the catcher did not block HP without the ball"2014TOR.EVA.regular.comment.csv",87

"TOR201408310",47,"$fifth consecutive game with a homer for Jose Bautista"2014TOR.EVA.regular.comment.csv",88

"TOR201409080",16,"replay,2,goinr001,TOR,laynj901,TOR02,,Y,M,CHN,C $when Ryan Goins was called safe at 1B, Cubs manager Rick Renteria challenged the ruling; the call was overturned by replay"2014TOR.EVA.regular.comment.csv",89

"TOR201409100",53,"replay,7,goinr001,TOR,wendh902,TOR02,,N,M,TOR,C $when Ryan Goins was called out at 1B, Blue Jays manager John Gibbons challenged the ruling; the call was upheld by replay"2014TOR.EVA.regular.comment.csv",90

"TOR201409120",58,"replay,8,reyej001,TOR,hallt901,TOR02,,Y,M,TBA,I $when Jose Reyes was ruled to have been hit by a pitch, Rays manager Joe Maddon challenged the call; the call was overturned to a foul ball by replay"2014TOR.EVA.regular.comment.csv",91

"TOR201409130",72,"ej,joycm001,P,nauep901,Balls and strikes Rays left fielder Matt Joyce ejected by HP umpire Paul Nauert"2014TOR.EVA.regular.comment.csv",92

"TOR201409140",17,"replay,3,guyeb001,TBA,hallt901,TOR02,,N,M,TBA,A $when Brandon Guyer was called out at 3B, Rays manager Joe Maddon challenged the ruling; the call was upheld by replay"2014TOR.EVA.regular.comment.csv",93

"TOR201409140",58,"replay,8,forsl001,TBA,hallt901,TOR02,,Y,M,TOR,N $Logan Forsythe's fly ball in RF foul territory was caught by a fan in the first row as Jose Bautista attempted to catch the ball; the play was ruled no interference; Blue Jays manager John Gibbons challenged the ruling; the call was overturned to fan interference by replay"2014TOR.EVA.regular.comment.csv",94

"TOR201409220",12,"replay,1,valed001,TOR,joycj901,TOR02,,Y,M,TOR,A $when Danny Valencia was called out at 3B, Blue Jays manager John Gibbons challenged the ruling; the call was overturned by replay"2014TOR.EVA.regular.comment.csv",95

"TOR201409220",23,"replay,2,navad001,TOR,joycj901,TOR02,,N,U,,P"2014TOR.EVA.regular.comment.csv",96

"TOR201409220",24,"$when Jose Bautista was called out at HP, crew chief Jim Joyce requested a review; the call was upheld by replay saying the catcher did not block HP and the runner was out"2014TOR.EVA.regular.comment.csv",97

"TOR201409220",79,"replay,8,tolls001,TOR,joycj901,TOR02,,Y,M,TOR,C $when Steve Tolleson was called out at 1B, Blue Jays manager John Gibbons challenged the ruling; the call was overturned by replay"2014TOR.EVA.regular.comment.csv",98

"TOR201409230",24,"replay,3,reyej001,TOR,joycj901,TOR02,,Y,M,SEA,C $when Jose Reyes was called safe at 1B, Mariners manager Lloyd McClendon challenged the ruling; the call was overturned by replay"2014TOR.EVA.regular.comment.csv",99

"TOR201409230",37,"originally scored as bunt single, changed to SH and error on 09-27-2014, making runs scored by Thole, Bautista, Encarnacion, and Kawasaki unearned"2014TOR.EVA.regular.comment.csv",100

"TOR201409240",14,"replay,3,hartc001,SEA,joycj901,TOR02,,N,M,TOR,O $when Corey Hart's fly down the RF line was ruled fair, Blue Jays manager John Gibbons challenged the call; the ruling was upheld by replay"2014TOR.EVA.regular.comment.csv",101

"TOR201409240",50,"replay,8,pompd001,TOR,joycj901,TOR02,,Y,M,SEA,C $when Dalton Pompey was called safe at 1B, Mariners manager Lloyd McClendon challenged the ruling; the call was overturned by replay"2014TOR.EVA.regular.comment.csv",102

"TOR201409240",56,"replay,9,jacka001,SEA,joycj901,TOR02,,N,M,SEA,A $when James Jones was called out at 1B, Mariners manager Lloyd McClendon challenged the ruling; the call was upheld by replay"2014TOR.EVA.regular.comment.csv",103

"TOR201409270",54,"replay,7,reyej001,TOR,randt901,TOR02,,Y,U,,P $when Kevin Pillar was called out at HP, acting crew chief Tony Randazzo requested a review; the call was overturned by replay, scoring the run"2014TOR.EVA.regular.comment.csv",104

