"TOR201903280",42,"Mound Visit"FILENAME_TX","LINE_NUMBER_CT"
"TOR201904280",70,"$Blue Jays challenged call that Hanson was out at 2nd; call was upheld - force out"2019TOR.EVA.regular.comment.csv",99

"TOR201904280",71,"Mound Visit"2019TOR.EVA.regular.comment.csv",100

"TOR201904280",78,"Mound Visit"2019TOR.EVA.regular.comment.csv",101

"TOR201904280",85,"Mound Visit ej,walkp001,C,marqa901,Arguing balls and strikes $Toronto pitching coach Pete Walker ejected by HP umpire Marquez for arguing balls and strikes while Phegley was batting"2019TOR.EVA.regular.comment.csv",102

"TOR201904280",87,"Mound Visit"2019TOR.EVA.regular.comment.csv",103

"TOR201904280",90,"$Umpire review of ball hit by Tellez; call was upheld - double"2019TOR.EVA.regular.comment.csv",104

"TOR201904280",94,"Mound Visit"2019TOR.EVA.regular.comment.csv",105

"TOR201905060",13,"Mound Visit"2019TOR.EVA.regular.comment.csv",106

"TOR201905060",15,"$Blue Jays challenged call that Buxton was safe at 2nd; call was overturned - out on pickoff"2019TOR.EVA.regular.comment.csv",107

"TOR201905060",30,"Mound Visit"2019TOR.EVA.regular.comment.csv",108

"TOR201905060",38,"Mound Visit"2019TOR.EVA.regular.comment.csv",109

"TOR201905060",41,"On-field Delay ej,montc001,M,hamaa901,Arguing called third strike $Toronto manager Montoyo ejected by HP umpire Hamari for arguing called third strike"2019TOR.EVA.regular.comment.csv",110

"TOR201905060",53,"Mound Visit"2019TOR.EVA.regular.comment.csv",111

"TOR201905060",68,"Mound Visit"2019TOR.EVA.regular.comment.csv",112

"TOR201905060",71,"$Castro left with an injured elbow"2019TOR.EVA.regular.comment.csv",113

"TOR201905070",6,"Mound Visit"2019TOR.EVA.regular.comment.csv",114

"TOR201905070",10,"Injury Delay"2019TOR.EVA.regular.comment.csv",115

"TOR201905070",58,"Mound Visit"2019TOR.EVA.regular.comment.csv",116

"TOR201905070",61,"Mound Visit"2019TOR.EVA.regular.comment.csv",117

"TOR201905080",5,"Mound Visit $originally scored as single and runner to 3rd on E8; error was removed on 05-09-2019"2019TOR.EVA.regular.comment.csv",118

"TOR201905080",22,"Mound Visit Mound Visit"2019TOR.EVA.regular.comment.csv",119

"TOR201905080",50,"Mound Visit"2019TOR.EVA.regular.comment.csv",120

"TOR201905080",73,"Mound Visit"2019TOR.EVA.regular.comment.csv",121

"TOR201905100",9,"Mound Visit"2019TOR.EVA.regular.comment.csv",122

"TOR201905100",21,"Mound Visit"2019TOR.EVA.regular.comment.csv",123

"TOR201905100",40,"Mound Visit"2019TOR.EVA.regular.comment.csv",124

"TOR201905100",45,"Mound Visit"2019TOR.EVA.regular.comment.csv",125

"TOR201905100",46,"Mound Visit"2019TOR.EVA.regular.comment.csv",126

"TOR201905100",50,"$originally scored as double, changed to error on 05-20-2019"2019TOR.EVA.regular.comment.csv",127

"TOR201905100",54,"$White Sox challenged call that Anderson was out at 1st; call was overturned - single"2019TOR.EVA.regular.comment.csv",128

"TOR201905100",57,"Mound Visit"2019TOR.EVA.regular.comment.csv",129

"TOR201905110",19,"Mound Visit"2019TOR.EVA.regular.comment.csv",130

"TOR201905110",50,"Mound Visit"2019TOR.EVA.regular.comment.csv",131

"TOR201905110",51,"Mound Visit"2019TOR.EVA.regular.comment.csv",132

"TOR201905110",54,"Mound Visit"2019TOR.EVA.regular.comment.csv",133

"TOR201905110",57,"Mound Visit"2019TOR.EVA.regular.comment.csv",134

"TOR201905110",61,"Mound Visit"2019TOR.EVA.regular.comment.csv",135

"TOR201905110",71,"Batter interference"2019TOR.EVA.regular.comment.csv",136

"TOR201905110",74,"Mound Visit"2019TOR.EVA.regular.comment.csv",137

"TOR201905120",18,"$White Sox challenged call that Adnerson was out at 2nd; call was upheld - caught stealing"2019TOR.EVA.regular.comment.csv",138

"TOR201905120",23,"Injury Delay"2019TOR.EVA.regular.comment.csv",139

"TOR201905120",28,"Mound Visit"2019TOR.EVA.regular.comment.csv",140

"TOR201905120",29,"Mound Visit"2019TOR.EVA.regular.comment.csv",141

"TOR201905120",32,"$Garcia left with an injured back"2019TOR.EVA.regular.comment.csv",142

"TOR201905120",59,"Injury Delay"2019TOR.EVA.regular.comment.csv",143

"TOR201905120",64,"$Batter interference"2019TOR.EVA.regular.comment.csv",144

"TOR201905200",4,"Mound Visit"2019TOR.EVA.regular.comment.csv",145

"TOR201905200",47,"Mound Visit"2019TOR.EVA.regular.comment.csv",146

"TOR201905200",56,"Mound Visit"2019TOR.EVA.regular.comment.csv",147

"TOR201905200",66,"Mound Visit"2019TOR.EVA.regular.comment.csv",148

"TOR201905200",76,"Mound Visit"2019TOR.EVA.regular.comment.csv",149

"TOR201905210",16,"Mound Visit"2019TOR.EVA.regular.comment.csv",150

"TOR201905210",25,"Mound Visit"2019TOR.EVA.regular.comment.csv",151

"TOR201905210",30,"Mound Visit"2019TOR.EVA.regular.comment.csv",152

"TOR201905210",41,"Mound Visit"2019TOR.EVA.regular.comment.csv",153

"TOR201905210",51,"Mound Visit"2019TOR.EVA.regular.comment.csv",154

"TOR201905210",56,"Mound Visit"2019TOR.EVA.regular.comment.csv",155

"TOR201905210",59,"Mound Visit"2019TOR.EVA.regular.comment.csv",156

"TOR201905210",60,"Mound Visit"2019TOR.EVA.regular.comment.csv",157

"TOR201905210",62,"Mound Visit"2019TOR.EVA.regular.comment.csv",158

"TOR201905210",71,"Mound Visit"2019TOR.EVA.regular.comment.csv",159

"TOR201905220",17,"Mound Visit"2019TOR.EVA.regular.comment.csv",160

"TOR201905220",22,"Mound Visit"2019TOR.EVA.regular.comment.csv",161

"TOR201905220",47,"Mound Visit"2019TOR.EVA.regular.comment.csv",162

"TOR201905220",51,"Mound Visit"2019TOR.EVA.regular.comment.csv",163

"TOR201905220",52,"Mound Visit"2019TOR.EVA.regular.comment.csv",164

"TOR201905220",58,"Mound Visit"2019TOR.EVA.regular.comment.csv",165

"TOR201905220",75,"Mound Visit"2019TOR.EVA.regular.comment.csv",166

"TOR201905220",81,"$Red Sox challenged call that Bogaerts was out at 2nd; call was upheld - caught stealing"2019TOR.EVA.regular.comment.csv",167

"TOR201905220",85,"Mound Visit"2019TOR.EVA.regular.comment.csv",168

"TOR201905220",97,"Mound Visit"2019TOR.EVA.regular.comment.csv",169

"TOR201905220",99,"Injury Delay"2019TOR.EVA.regular.comment.csv",170

"TOR201905220",102,"$Umpire reivew play at 1st that Grichul was safe; call was overturned - ground out"2019TOR.EVA.regular.comment.csv",171

"TOR201905230",14,"Mound Visit"2019TOR.EVA.regular.comment.csv",172

"TOR201905230",31,"On-field Delay"2019TOR.EVA.regular.comment.csv",173

"TOR201905230",44,"Mound Visit"2019TOR.EVA.regular.comment.csv",174

"TOR201905230",65,"Mound Visit"2019TOR.EVA.regular.comment.csv",175

"TOR201905240",16,"$Blue Jays challenged call that Garcia was safe at 1st; call was overturned - ground out"2019TOR.EVA.regular.comment.csv",176

"TOR201905240",18,"Mound Visit"2019TOR.EVA.regular.comment.csv",177

"TOR201905240",37,"Mound Visit"2019TOR.EVA.regular.comment.csv",178

"TOR201905240",49,"$Originally scored as pickoff, changed to pickoff and caught stelaing on 05-25-2019"2019TOR.EVA.regular.comment.csv",179

"TOR201905240",53,"Mound Visit"2019TOR.EVA.regular.comment.csv",180

"TOR201905240",57,"Mound Visit"2019TOR.EVA.regular.comment.csv",181

"TOR201905250",28,"Mound Visit"2019TOR.EVA.regular.comment.csv",182

"TOR201905250",42,"Mound Visit"2019TOR.EVA.regular.comment.csv",183

"TOR201905250",57,"Mound Visit"2019TOR.EVA.regular.comment.csv",184

"TOR201905250",68,"$Padres challenged call that France was out at 1st; call was overturned - single"2019TOR.EVA.regular.comment.csv",185

"TOR201905250",72,"Mound Visit"2019TOR.EVA.regular.comment.csv",186

"TOR201905250",74,"Mound Visit"2019TOR.EVA.regular.comment.csv",187

"TOR201905260",15,"Mound Visit"2019TOR.EVA.regular.comment.csv",188

"TOR201905260",20,"Injury Delay"2019TOR.EVA.regular.comment.csv",189

"TOR201905260",37,"Mound Visit"2019TOR.EVA.regular.comment.csv",190

"TOR201905260",44,"Mound Visit"2019TOR.EVA.regular.comment.csv",191

"TOR201905260",57,"On-field Delay Mound Visit $Padres challenged call that runners should be on 2nd and 3rd after fan interference, claiming France would have scored; call was upheld - fan interference putting runners on 2nd and 3rd"2019TOR.EVA.regular.comment.csv",192

"TOR201906040",14,"Injury Delay"2019TOR.EVA.regular.comment.csv",193

"TOR201906040",35,"Mound Visit"2019TOR.EVA.regular.comment.csv",194

"TOR201906040",40,"$Blue Jays challenged call that Biggio was out at 2nd; call was overturned - stolen base"2019TOR.EVA.regular.comment.csv",195

"TOR201906040",44,"Mound Visit"2019TOR.EVA.regular.comment.csv",196

"TOR201906040",46,"Mound Visit"2019TOR.EVA.regular.comment.csv",197

"TOR201906040",47,"Mound Visit"2019TOR.EVA.regular.comment.csv",198

"TOR201906040",54,"Injury Delay"2019TOR.EVA.regular.comment.csv",199

"TOR201906040",57,"Mound Visit"2019TOR.EVA.regular.comment.csv",200

"TOR201906040",58,"$Runner on 2nd retired going back to base, then relay to 1st got batter"2019TOR.EVA.regular.comment.csv",201

"TOR201906040",65,"Mound Visit"2019TOR.EVA.regular.comment.csv",202

"TOR201906040",66,"Mound Visit"2019TOR.EVA.regular.comment.csv",203

"TOR201906040",67,"Mound Visit"2019TOR.EVA.regular.comment.csv",204

"TOR201906050",17,"$Yankees challenged call that Gardner was out at 1st; call was upheld - ground out"2019TOR.EVA.regular.comment.csv",205

"TOR201906050",26,"Mound Visit"2019TOR.EVA.regular.comment.csv",206

"TOR201906050",35,"Mound Visit"2019TOR.EVA.regular.comment.csv",207

"TOR201906050",44,"Mound Visit"2019TOR.EVA.regular.comment.csv",208

"TOR201906050",55,"Mound Visit"2019TOR.EVA.regular.comment.csv",209

"TOR201906050",56,"Mound Visit"2019TOR.EVA.regular.comment.csv",210

"TOR201906050",68,"$originally no assists credited to RF and 1bman, added on 06-07-2019"2019TOR.EVA.regular.comment.csv",211

"TOR201906050",77,"Mound Visit"2019TOR.EVA.regular.comment.csv",212

"TOR201906060",12,"Injury Delay"2019TOR.EVA.regular.comment.csv",213

"TOR201906060",14,"Mound Visit"2019TOR.EVA.regular.comment.csv",214

"TOR201906060",30,"Mound Visit"2019TOR.EVA.regular.comment.csv",215

"TOR201906060",31,"Injury Delay"2019TOR.EVA.regular.comment.csv",216

"TOR201906060",38,"Mound Visit"2019TOR.EVA.regular.comment.csv",217

"TOR201906060",72,"Mound Visit"2019TOR.EVA.regular.comment.csv",218

"TOR201906070",24,"Mound Visit"2019TOR.EVA.regular.comment.csv",219

"TOR201906070",33,"On-field Delay"2019TOR.EVA.regular.comment.csv",220

"TOR201906070",42,"Mound Visit"2019TOR.EVA.regular.comment.csv",221

"TOR201906070",50,"$Blue Jays challenged call at 2nd; call was upheld - stolen base"2019TOR.EVA.regular.comment.csv",222

"TOR201906070",56,"Mound Visit"2019TOR.EVA.regular.comment.csv",223

"TOR201906080",12,"Mound Visit"2019TOR.EVA.regular.comment.csv",224

"TOR201906080",20,"Mound Visit"2019TOR.EVA.regular.comment.csv",225

"TOR201906080",42,"Mound Visit"2019TOR.EVA.regular.comment.csv",226

"TOR201906080",56,"Mound Visit"2019TOR.EVA.regular.comment.csv",227

"TOR201906080",57,"Mound Visit"2019TOR.EVA.regular.comment.csv",228

"TOR201906080",66,"Mound Visit"2019TOR.EVA.regular.comment.csv",229

"TOR201906080",69,"Mound Visit"2019TOR.EVA.regular.comment.csv",230

"TOR201906090",26,"Mound Visit"2019TOR.EVA.regular.comment.csv",231

"TOR201906090",27,"Mound Visit"2019TOR.EVA.regular.comment.csv",232

"TOR201906090",27,"$Ahmed left with an injured foot"2019TOR.EVA.regular.comment.csv",233

"TOR201906090",29,"Mound Visit"2019TOR.EVA.regular.comment.csv",234

"TOR201906090",65,"Mound Visit"2019TOR.EVA.regular.comment.csv",235

"TOR201906170",14,"Mound Visit"2019TOR.EVA.regular.comment.csv",236

"TOR201906170",17,"Mound Visit"2019TOR.EVA.regular.comment.csv",237

"TOR201906170",23,"Injury Delay"2019TOR.EVA.regular.comment.csv",238

"TOR201906170",39,"Mound Visit"2019TOR.EVA.regular.comment.csv",239

"TOR201906170",54,"$Hernandez left with an injured wrist"2019TOR.EVA.regular.comment.csv",240

"TOR201906170",62,"Mound Visit"2019TOR.EVA.regular.comment.csv",241

"TOR201906170",70,"Mound Visit"2019TOR.EVA.regular.comment.csv",242

"TOR201906170",74,"Mound Visit"2019TOR.EVA.regular.comment.csv",243

"TOR201906180",46,"Mound Visit"2019TOR.EVA.regular.comment.csv",244

"TOR201906180",48,"Mound Visit"2019TOR.EVA.regular.comment.csv",245

"TOR201906180",52,"Mound Visit"2019TOR.EVA.regular.comment.csv",246

"TOR201906180",55,"Mound Visit"2019TOR.EVA.regular.comment.csv",247

"TOR201906180",59,"Mound Visit"2019TOR.EVA.regular.comment.csv",248

"TOR201906190",40,"Mound Visit"2019TOR.EVA.regular.comment.csv",249

"TOR201906190",43,"Mound Visit"2019TOR.EVA.regular.comment.csv",250

"TOR201906190",46,"Mound Visit"2019TOR.EVA.regular.comment.csv",251

"TOR201906190",64,"Mound Visit"2019TOR.EVA.regular.comment.csv",252

"TOR201906190",67,"Mound Visit"2019TOR.EVA.regular.comment.csv",253

"TOR201906190",71,"Mound Visit"2019TOR.EVA.regular.comment.csv",254

"TOR201906190",71,"Mound Visit"2019TOR.EVA.regular.comment.csv",255

"TOR201906190",84,"Injury Delay Mound Visit"2019TOR.EVA.regular.comment.csv",256

"TOR201906190",90,"Injury Delay"2019TOR.EVA.regular.comment.csv",257

"TOR201906200",10,"Mound Visit"2019TOR.EVA.regular.comment.csv",258

"TOR201906200",43,"Mound Visit"2019TOR.EVA.regular.comment.csv",259

"TOR201906200",50,"Mound Visit"2019TOR.EVA.regular.comment.csv",260

"TOR201906200",51,"Mound Visit"2019TOR.EVA.regular.comment.csv",261

"TOR201906200",52,"Mound Visit"2019TOR.EVA.regular.comment.csv",262

"TOR201906200",54,"Mound Visit"2019TOR.EVA.regular.comment.csv",263

"TOR201906200",62,"$Fan interference"2019TOR.EVA.regular.comment.csv",264

"TOR201906200",65,"Mound Visit"2019TOR.EVA.regular.comment.csv",265

"TOR201906200",74,"Mound Visit"2019TOR.EVA.regular.comment.csv",266

"TOR201906200",77,"Injury Delay Mound Visit"2019TOR.EVA.regular.comment.csv",267

"TOR201906200",80,"$Blue Jays challenged call that Guerrero was out at 1st; call was upheld - double play"2019TOR.EVA.regular.comment.csv",268

"TOR201906280",37,"Mound Visit"2019TOR.EVA.regular.comment.csv",269

"TOR201906280",41,"Mound Visit"2019TOR.EVA.regular.comment.csv",270

"TOR201906280",52,"Mound Visit"2019TOR.EVA.regular.comment.csv",271

"TOR201906280",54,"Mound Visit"2019TOR.EVA.regular.comment.csv",272

"TOR201906280",58,"Mound Visit"2019TOR.EVA.regular.comment.csv",273

"TOR201906280",65,"Mound Visit"2019TOR.EVA.regular.comment.csv",274

"TOR201906280",66,"Mound Visit"2019TOR.EVA.regular.comment.csv",275

"TOR201906290",12,"$Umpire review of ball hit by Maldonado on 2nd pitch; call upheld - foul"2019TOR.EVA.regular.comment.csv",276

"TOR201906290",35,"Injury Delay"2019TOR.EVA.regular.comment.csv",277

"TOR201906290",35,"$Stroman left with injured shoulder"2019TOR.EVA.regular.comment.csv",278

"TOR201906290",43,"Mound Visit"2019TOR.EVA.regular.comment.csv",279

"TOR201906290",50,"Mound Visit"2019TOR.EVA.regular.comment.csv",280

"TOR201906300",16,"Mound Visit"2019TOR.EVA.regular.comment.csv",281

"TOR201906300",19,"Mound Visit"2019TOR.EVA.regular.comment.csv",282

"TOR201906300",22,"Mound Visit"2019TOR.EVA.regular.comment.csv",283

"TOR201906300",25,"Mound Visit"2019TOR.EVA.regular.comment.csv",284

"TOR201906300",34,"Mound Visit"2019TOR.EVA.regular.comment.csv",285

"TOR201906300",45,"Mound Visit"2019TOR.EVA.regular.comment.csv",286

"TOR201906300",59,"Mound Visit"2019TOR.EVA.regular.comment.csv",287

"TOR201906300",73,"$Blue Jays challenged call that Lopez was safe at 3rd; call was upheld - out on fielder's choice"2019TOR.EVA.regular.comment.csv",288

"TOR201906300",74,"Mound Visit"2019TOR.EVA.regular.comment.csv",289

"TOR201906300",75,"Mound Visit"2019TOR.EVA.regular.comment.csv",290

"TOR201907010",14,"Mound Visit"2019TOR.EVA.regular.comment.csv",291

"TOR201907010",33,"Mound Visit"2019TOR.EVA.regular.comment.csv",292

"TOR201907010",49,"Mound Visit"2019TOR.EVA.regular.comment.csv",293

"TOR201907010",72,"$Blue Jays challenged call that Biggio was out at 1st; call was overturned - force out, no double play"2019TOR.EVA.regular.comment.csv",294

"TOR201907020",3,"Mound Visit"2019TOR.EVA.regular.comment.csv",295

"TOR201907020",7,"Mound Visit"2019TOR.EVA.regular.comment.csv",296

"TOR201907020",25,"Mound Visit"2019TOR.EVA.regular.comment.csv",297

"TOR201907020",32,"Mound Visit"2019TOR.EVA.regular.comment.csv",298

"TOR201907020",56,"Mound Visit"2019TOR.EVA.regular.comment.csv",299

"TOR201907020",69,"$Blue Jays challenged call that Betts was safe at 1st; call Was upheld - safe on pickoff attempt"2019TOR.EVA.regular.comment.csv",300

"TOR201907020",81,"Mound Visit"2019TOR.EVA.regular.comment.csv",301

"TOR201907020",82,"Mound Visit"2019TOR.EVA.regular.comment.csv",302

"TOR201907030",20,"$Red Sox challenged call that Devers was out at 2nd; call was overturned - single and advance on throw"2019TOR.EVA.regular.comment.csv",303

"TOR201907030",35,"Mound Visit"2019TOR.EVA.regular.comment.csv",304

"TOR201907030",39,"Mound Visit"2019TOR.EVA.regular.comment.csv",305

"TOR201907030",50,"Mound Visit"2019TOR.EVA.regular.comment.csv",306

"TOR201907030",53,"Mound Visit"2019TOR.EVA.regular.comment.csv",307

"TOR201907030",55,"Mound Visit"2019TOR.EVA.regular.comment.csv",308

"TOR201907030",55,"Mound Visit"2019TOR.EVA.regular.comment.csv",309

"TOR201907030",71,"Mound Visit"2019TOR.EVA.regular.comment.csv",310

"TOR201907040",4,"Mound Visit"2019TOR.EVA.regular.comment.csv",311

"TOR201907040",10,"Mound Visit"2019TOR.EVA.regular.comment.csv",312

"TOR201907040",25,"Mound Visit"2019TOR.EVA.regular.comment.csv",313

"TOR201907040",34,"Mound Visit"2019TOR.EVA.regular.comment.csv",314

"TOR201907040",48,"Mound Visit"2019TOR.EVA.regular.comment.csv",315

"TOR201907040",49,"Mound Visit"2019TOR.EVA.regular.comment.csv",316

"TOR201907040",50,"Mound Visit"2019TOR.EVA.regular.comment.csv",317

"TOR201907040",54,"Mound Visit"2019TOR.EVA.regular.comment.csv",318

"TOR201907040",75,"Mound Visit"2019TOR.EVA.regular.comment.csv",319

"TOR201907040",85,"Mound Visit"2019TOR.EVA.regular.comment.csv",320

