"PIT196004172",43,"$Don Newcombe struck on right wrist"FILENAME_TX","LINE_NUMBER_CT"
"PIT196007020",63,"ej,burgs101,P,jackb901,Call at HP Smoky Burgess ejected by HP umpire Bill Jackowski"1960PIT.EVN.regular.comment.csv",31

"PIT196007030",63,"$Don Demeter and Maury Wills collide; Demeter suffered broken wrist, plays only one more inning (on 7-16) before break discovered"1960PIT.EVN.regular.comment.csv",32

"PIT196007140",0,"$make-up Memorial Day rainout"1960PIT.EVN.regular.comment.csv",33

"PIT196007140",75,"$Dick Stuart called for interference"1960PIT.EVN.regular.comment.csv",34

"PIT196007150",39,"umpchange,5,ump1b,sudoe901 umpchange,5,ump2b,(None) 1B umpire Vinnie Smith left with chills; 2B umpire Ed Sudol moved to 1B"1960PIT.EVN.regular.comment.csv",35

"PIT196007171",15,"ej,hoakd101,P,sudoe901,Called third strike Don Hoak ejected by HP umpire Ed Sudol"1960PIT.EVN.regular.comment.csv",36

"PIT196007171",31,"ej,mcmir101,P,sudoe901,Call at HP (Threw helmet) Roy McMillan ejected by HP umpire Ed Sudol"1960PIT.EVN.regular.comment.csv",37

"PIT196007172",5,"ej,newcd101,P,boggd901,Ordered to change shirt $when Don Newcombe took the mound in the bottom of the first inning, the Pirates protested that the sleeves on Newcombe's uniform weren't the same length; Newcombe went to the dugout to change shirts but got into an argument with HP umpire Dusty Boggess, who ejected Newcombe"1960PIT.EVN.regular.comment.csv",38

"PIT196008020",24,"ej,larkn101,P,burkk101,Call at 1B Norm Larker ejected by 1B umpire Ken Burkhart; Larker rounded 1B too far"1960PIT.EVN.regular.comment.csv",39

"PIT196008030",19,"420 feet"1960PIT.EVN.regular.comment.csv",40

"PIT196008030",47,"430 feet"1960PIT.EVN.regular.comment.csv",41

"PIT196008030",56,"play,8,0,moonw101,00,,NP sub,facer101,'Roy Face',1,9,1 play,8,0,moonw101,02,.CLX,43 play,8,0,larkn101,00,X,4 play,8,0,howaf102,32,CBBFBFX,53 game called for rain; the top of the 8th was played but does not count; Roy Face pitched but not in his records"1960PIT.EVN.regular.comment.csv",42

"PIT196008050",47,"$Roberto Clemente crashed into the wall and  required 5 stitches on his chin; he missed 5 games"1960PIT.EVN.regular.comment.csv",43

"PIT196008050",56,"$Don Blasingame covered 1B and collided with Dick Groat"1960PIT.EVN.regular.comment.csv",44

"PIT196009051",16,"$the ball went behind CF flag pole"1960PIT.EVN.regular.comment.csv",45

"PIT196009051",41,"$off the clock on top of scoreboard"1960PIT.EVN.regular.comment.csv",46

"PIT196009051",72,"$the throw surprised Eddie Mathews"1960PIT.EVN.regular.comment.csv",47

"PIT196009052",28,"Debut game for Diomedes Olivo"1960PIT.EVN.regular.comment.csv",48

"PIT196009060",6,"$Dick Groat suffered a fractured wrist"1960PIT.EVN.regular.comment.csv",49

"PIT196009070",63,"Debut game for Gary Kolb"1960PIT.EVN.regular.comment.csv",50

"PIT196009090",0,"25 minute rain delay before start of game"1960PIT.EVN.regular.comment.csv",51

"PIT196009090",71,"Debut game for Nelson Mathews"1960PIT.EVN.regular.comment.csv",52

"PIT196009120",48,"Debut game for Don Choate"1960PIT.EVN.regular.comment.csv",53

"PIT196009221",70,"Debut game for Dick Barone"1960PIT.EVN.regular.comment.csv",54

"PIT196009222",14,"Debut game for Dick Bertell"1960PIT.EVN.regular.comment.csv",55

"PIT196009222",41,"Debut game for Jim McKnight"1960PIT.EVN.regular.comment.csv",56

